Nome: PRESIDENTE KENNEDY
Codigo Estacao: A622
Latitude: -21.10083333
Longitude: -41.03944444
Altitude: 69.12
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;0;1006,075;31,1;25,3125;22,8;77,083333;4,816667;
2023-01-02;2,6;1004,6625;28,9;24,858333;22,2;77;4,970833;
2023-01-03;0;1002,275;31,9;25,508333;21;71,458333;4,583333;
2023-01-04;0;1000,733333;33,2;27,091667;22,8;73,25;3,620833;
2023-01-05;,6;1001,0375;33,9;26,85;24;79;2,583333;
2023-01-06;0;1004,204167;27,3;24,108333;23;86,5;3,0875;
2023-01-07;30,8;1006,9875;26,5;22,916667;20,4;86,375;3,979167;
2023-01-08;2;1007,304167;25,7;22,791667;20,9;87,083333;2,566667;
2023-01-09;,2;1005,558333;30,7;25,15;22,3;83,666667;2,004167;
2023-01-10;1;1005,525;28,9;25,475;23,2;85;2,275;
2023-01-11;1;1004,291667;32,9;26,45;22,7;79,291667;3,558333;
2023-01-12;,2;1002,845833;32,6;25,420833;23,9;85,041667;2,4875;
2023-01-13;5,2;1001,991667;33,2;26,266667;22;77,916667;4,254167;
2023-01-14;0;1003,170833;32,8;26,9625;23,2;74,25;5,791667;
2023-01-15;0;1004,875;31,8;26,520833;23,6;71,625;7,345833;
2023-01-16;0;1004,5375;31,2;26,3375;22,3;67,916667;7,116667;
2023-01-17;0;1005,741667;31,8;26,504167;22,3;69,291667;6,2875;
2023-01-18;0;1006,616667;31,7;26,216667;22,4;73,916667;4,995833;
