Nome: CARMO
Codigo Estacao: A629
Latitude: -21.9386111
Longitude: -42.60083333
Altitude: 293
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;1;982,166667;29,2;23,483333;21,7;84,333333;1,154167;
2023-01-02;42,6;980,679167;29,5;23,179167;18;78,041667;1,175;
2023-01-03;,2;978,425;30,8;24,195833;20,2;80,708333;,958333;
2023-01-04;8,6;977,1625;31,1;25,125;21,5;78,833333;,966667;
2023-01-05;16,2;977,6625;29,9;24,004167;21,8;86,708333;,858333;
2023-01-06;70,8;980,345833;25,5;22,466667;20,6;90,791667;,958333;
2023-01-07;13,6;983,129167;23,3;20,883333;19;90,125;1,029167;
2023-01-08;12,8;983;25,8;21,583333;18,7;89,291667;,791667;
2023-01-09;41,4;981,5125;29,8;23,7625;20,4;85;,8125;
2023-01-10;65,4;981,9125;28,4;23,141667;20,9;87,333333;,904167;
2023-01-11;3,6;980,854167;30,1;25,254167;22,1;82,333333;,845833;
2023-01-12;,6;979,045833;30,1;25,229167;21,2;80,458333;,795833;
2023-01-13;,6;978,379167;32,9;26,766667;22,2;75,208333;1,029167;
2023-01-14;0;979,1875;33,4;27,275;22,4;74,5;,8625;
2023-01-15;0;980,595833;33,4;26,925;22,6;78;,958333;
2023-01-16;0;980,4;32,2;26,3;21,1;72,625;1,070833;
2023-01-17;0;981,554167;32,8;25,779167;20,8;73;1,108333;
2023-01-18;0;982,508333;32,8;25,604167;20,3;72,833333;,954167;
2023-01-19;0;982,025;31,9;26,141667;20,9;68,625;1,408333;
2023-01-20;0;980,5875;26,9;23,854167;21,5;79,375;1,0375;
2023-01-21;11;977,0375;25,9;22,270833;20,9;88,416667;1,016667;
2023-01-22;3,8;975,583333;32,3;24,920833;20,4;77,666667;,704167;
2023-01-23;1,2;976,75;31,6;25,316667;21,9;82,916667;,820833;
2023-01-24;45,2;976,5625;29,1;23,4125;21,9;89,875;1,0125;
2023-01-25;23,8;977,291667;31,7;25,341667;21,5;76,708333;,870833;
2023-01-26;0;979,3625;30,9;23,575;16,1;71,041667;1,029167;
2023-01-27;0;980,491667;31,5;25,45;21,5;74,666667;1,120833;
2023-01-28;0;981,145833;32,7;26,3;21,5;75,375;,979167;
2023-01-29;0;979,7625;32,9;26,2125;21,5;76,5;,854167;
2023-01-30;0;979,4375;29,7;24,6;21,9;83,416667;1,183333;
2023-01-31;2,4;980,258333;32,1;25,4375;21,5;76,25;,966667;
2023-02-01;,2;980,25;32,2;25,641667;21;74,625;,8375;
2023-02-02;0;980,3125;33,2;26,670833;22,2;72,083333;,85;
2023-02-03;0;979,391667;34,1;27,495833;22,1;69,416667;1,004167;
2023-02-04;0;979,483333;35,8;27,775;21,5;68,875;,979167;
2023-02-05;1,6;979,058333;35,8;26,345833;22,1;75,791667;1,083333;
2023-02-06;15,2;979,133333;33,1;25,433333;20,8;76,458333;1,129167;
2023-02-07;1;979,791667;32,7;24,991667;21,1;76,5;1,208333;
2023-02-08;7;980,3;29,7;23,541667;20,6;83,125;,858333;
2023-02-09;9,2;980,929167;31,3;25,1625;20,4;78,208333;1,0375;
2023-02-10;0;980,425;32,9;26,316667;21,3;75,041667;1,0375;
2023-02-11;4,6;980,845833;31,4;25,254167;21,4;77,333333;1,025;
2023-02-12;0;979,841667;29,8;25,991667;22,6;79,291667;,804167;
2023-02-13;0;979,370833;32,8;26,179167;21,4;77,125;1,041667;
2023-02-14;33,8;979,129167;32,6;25,0125;20,5;79,666667;1,354167;
2023-02-15;48;977,3875;32,2;25,258333;21,1;81,291667;1,120833;
2023-02-16;29;975,991667;31,7;24,8875;20,8;80,208333;,8625;
2023-02-17;,2;976,708333;32,8;26,583333;23,6;79,25;,854167;
2023-02-18;13,4;979,179167;32,2;25,6625;21,6;79,333333;,958333;
2023-02-19;0;981,454167;32,1;26,170833;22,1;77,25;1,145833;
2023-02-20;0;982,1875;31,9;25,595833;20,7;71,708333;1,3125;
