Nome: RIO DE JANEIRO - JACAREPAGUA
Codigo Estacao: A636
Latitude: -22.93999999
Longitude: -43.40277777
Altitude: 20
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;,2;1012;30,5;24,55;19,6;79,083333;,7;
2023-01-02;0;1009,379167;33;26,058333;19,8;69,583333;,820833;
2023-01-03;0;1006,016667;34,9;27,654167;20,9;62,375;1,129167;
2023-01-04;4;1005,458333;33,8;26,920833;23,1;71,541667;1,225;
2023-01-05;6,4;1008,591667;24,4;23,108333;22,3;87,875;,525;
2023-01-06;50,4;1013,175;23;21,558333;21,4;88,75;1,041667;
2023-01-07;41,4;1016,220833;21,9;19,941667;18,8;90,666667;,245833;
2023-01-08;5,6;1015,1125;24,3;21,3;19,6;88,208333;,279167;
2023-01-09;22,4;1013,108333;23,9;21,791667;20,7;90,916667;,1625;
2023-01-10;12,6;1011,783333;28,7;23,9875;21,2;86,25;,470833;
2023-01-11;0;1010,375;31,8;25,0375;21,8;85,041667;,558333;
2023-01-12;8,4;1007,733333;31,6;26,054167;21,7;79,875;,470833;
2023-01-13;3,8;1007,408333;35,5;27,058333;22,4;75,5;,875;
2023-01-14;2,8;1008,2625;35,9;28,545833;22,8;72,083333;1,041667;
2023-01-15;1,2;1009,695833;34;28,716667;23,9;75,041667;,8625;
2023-01-16;,2;1009,691667;32,7;27,141667;23,1;77,916667;,8625;
2023-01-17;0;1011,575;30,6;26,358333;22,9;78,291667;,904167;
2023-01-18;0;1012,879167;30,9;26,008333;21,6;76,5;,9125;
2023-01-19;0;1012,266667;31,1;26,5375;22,7;75,083333;,9125;
2023-01-20;0;1010,0875;30,7;24,7625;21,7;82,375;,466667;
2023-01-21;8,8;1006,333333;28,7;24,291667;21,4;81,5;,658333;
2023-01-22;,2;1005,35;31,2;24,954167;19,6;77,041667;,8;
2023-01-23;0;1006,133333;35,2;25,241667;21,1;79,875;,775;
2023-01-24;40,6;1006,441667;29,4;25,383333;22,1;83,083333;,45;
2023-01-25;0;1009,0875;29,8;24,770833;20,4;80,416667;,783333;
2023-01-26;0;1011,004167;29,4;23,8;19,3;79,333333;,7;
2023-01-27;0;1011,1625;31,3;25,779167;22,1;76;1,0625;
2023-01-28;0;1011,420833;32,6;25,420833;21,8;80,916667;,829167;
2023-01-29;42,2;1009,595833;33;25,354167;21,9;80,708333;,933333;
2023-01-30;28,2;1008,358333;34,5;26,325;22,2;77,375;,7125;
2023-01-31;3,8;1008,983333;34,5;27,054167;22;74,958333;,9875;
2023-02-01;,2;1009,704167;33,2;26,791667;22,7;75,791667;,85;
2023-02-02;,6;1009,995833;34,5;26,820833;22,3;75,5;,75;
2023-02-03;,2;1008,779167;35,6;27;22;75,333333;,720833;
2023-02-04;3,4;1008,254167;37,3;28,679167;22,8;70,208333;,858333;
2023-02-05;8,4;1009,175;34,7;27,045833;22,8;77,208333;,683333;
2023-02-06;1;1009,25;32,7;26,7875;22,4;76,583333;,716667;
2023-02-07;0;1010,5125;30,5;26,129167;23,6;82,458333;,729167;
2023-02-08;129,6;1011,004167;28,1;24,333333;21,8;86,666667;,575;
2023-02-09;2,4;1011,470833;29,9;25,158333;21;80,666667;1;
2023-02-10;0;1010,7625;32,2;25,245833;21,5;78,958333;,854167;
2023-02-11;53,6;1010,7875;30,1;25,054167;21,4;81,291667;,675;
2023-02-12;30,6;1010,15;31,8;24,783333;21,9;85,041667;,383333;
2023-02-13;1,8;1009,525;31,2;25,575;22,5;83,125;,658333;
2023-02-14;8,8;1008,3625;33,4;26,275;21,7;79,416667;,816667;
2023-02-15;,2;1005,320833;35;29,141667;23,3;64,375;1,3375;
2023-02-16;5,8;1003,8125;33,6;27,366667;22,7;72,833333;,783333;
2023-02-17;0;1004,733333;37,1;29,1;24;65,416667;1,525;
2023-02-18;0;1008,541667;32,5;27,041667;23;74,25;1,029167;
2023-02-19;0;1012,570833;29,8;25,866667;23,9;83,125;,8125;
2023-02-20;3,6;1012,470833;30,1;26,066667;23;79,583333;,945833;
2023-02-21;0;1011,0125;35,5;27,408333;21,9;70,125;1,225;
2023-02-22;9,4;1014,220833;31,1;25,295833;20,9;78,833333;,8625;
2023-02-23;0;1014,404167;30,6;25,779167;23,2;81,875;,941667;
2023-02-24;0;1010,9;33,1;26,904167;23;78,041667;,554167;
2023-02-25;0;1008,633333;36;27,916667;22,2;71,666667;,816667;
2023-02-26;0;1010,35;37,2;29,595833;23,7;65,875;1,016667;
2023-02-27;0;1013,933333;31,8;26,958333;23,2;76,208333;,9125;
2023-02-28;0;1015,225;31;26,195833;22,7;79,916667;,995833;
2023-03-01;4,4;1014,166667;30,2;24,825;20,4;78,25;1;
2023-03-02;0;1011,141667;32,5;25,920833;20,9;77,458333;,829167;
2023-03-03;0;1010,525;34,2;27,041667;22,3;76;,779167;
2023-03-04;0;1010,166667;36,4;28;23,3;72,25;1,004167;
2023-03-05;0;1008,041667;33,7;27,133333;23;76,416667;,758333;
2023-03-06;0;1007,9125;31,8;25,908333;22,9;75,583333;,641667;
2023-03-07;1,2;1009,491667;34,6;25,8375;22,2;80,291667;,591667;
2023-03-08;20,6;1010,958333;31,7;25,720833;21,5;80,375;,65;
2023-03-09;,2;1010,883333;35,4;27,225;22,5;72,791667;,7875;
2023-03-10;0;1011,3375;33;26,270833;22,2;77,458333;,75;
2023-03-11;,2;1011,225;29,7;25,3625;23,3;83,25;,5125;
2023-03-12;20,8;1012,266667;30,6;24,304167;20,8;84;,654167;
2023-03-13;1,6;1013,475;30,6;25,7125;22,9;80;,541667;
2023-03-14;0;1013,791667;30,4;25,491667;21,6;77,166667;,879167;
2023-03-15;0;1013,658333;30,7;24,666667;20,5;78,708333;,904167;
2023-03-16;0;1013,225;30,5;24,7875;20,2;76,5;1,029167;
2023-03-17;0;1013,554167;29,8;24,375;19,4;77,041667;1,0375;
2023-03-18;0;1013,133333;30,7;25,091667;20,8;77,958333;,75;
2023-03-19;0;1012,329167;31,5;25,654167;22,2;78,708333;,808333;
2023-03-20;0;1010,875;33,8;26,320833;21,3;76,041667;,808333;
2023-03-21;0;1012,0625;31,1;25,329167;20,4;78,791667;,729167;
2023-03-22;0;1015,308333;30,9;24,675;19,9;79,958333;,570833;
2023-03-23;0;1015,670833;30;24,883333;20,3;78,916667;1,0875;
2023-03-24;0;1012,633333;33,6;25,8625;21;76,041667;,666667;
2023-03-25;0;1012,483333;30,2;24,583333;20,2;79,833333;,8375;
