Nome: SAQUAREMA - SAMPAIO CORREIA
Codigo Estacao: A667
Latitude: -22.8711111
Longitude: -42.60888888
Altitude: 26
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;0;1012,320833;30,5;26,070833;21,2;71,5;2,375;
2023-01-02;0;1010,020833;32,6;26,516667;19,8;67,333333;2,8875;
2023-01-03;0;1006,508333;34,8;27,820833;20,1;61,875;2,4;
2023-01-04;0;1005,479167;34,8;29,029167;25,3;58,958333;2,504167;
2023-01-05;13,8;1008,575;24,8;23,3;22,7;87,791667;1,6;
2023-01-06;62,4;1012,5375;23,5;22,108333;21,5;89,916667;1,454167;
2023-01-07;39,2;1015,9125;22,3;20,375;19;89,375;1,391667;
2023-01-08;10;1015,083333;25;21,770833;19,7;87,583333;,6875;
2023-01-09;13,4;1013,291667;24,5;22,283333;21,1;90,25;,804167;
2023-01-10;8,2;1011,929167;30,1;24,504167;21,8;86,041667;1,1;
2023-01-11;,2;1010,6125;32,1;25,2125;21,8;84,625;1,05;
2023-01-12;14,4;1008,175;31,6;26,166667;22,1;82,75;1,020833;
2023-01-13;0;1007,654167;34;27,454167;23,5;77,208333;1,6;
2023-01-14;1,8;1008,875;35,3;27,9875;22,1;76,666667;1,733333;
2023-01-15;0;1010,441667;34,7;28,5375;24,6;70,25;2,9375;
2023-01-16;0;1010,217391;34,2;27,956522;24;68,956522;3,143478;
2023-01-17;0;1012,008333;32,8;27,395833;23,9;71,458333;2,379167;
2023-01-18;0;1013,275;32,2;27,354167;23,3;71,25;2,508333;
2023-01-19;0;1013,0125;32,1;26,945833;23,7;71,125;3,033333;
2023-01-20;0;1010,529167;30,9;25,020833;21,5;76;2,041667;
2023-01-21;33,6;1006,625;27;23,870833;20,5;85,958333;1,258333;
2023-01-22;2,8;1005,945833;30,1;24,3125;19;84,166667;1,2375;
2023-01-23;,2;1006,291667;34,5;26,0875;20,8;84,625;1,1625;
2023-01-24;62,4;1006,6;28,7;24,595833;22,2;88,416667;,991667;
2023-01-25;1,8;1009,3;29,5;24,85;20,8;85,666667;1,308333;
2023-01-26;0;1011,275;28,7;24,516667;21,1;82,041667;1,7375;
2023-01-27;,2;1011,770833;30,3;25,358333;21;79,25;1,679167;
2023-01-28;0;1011,7125;32;26,320833;22,6;77,5;1,616667;
2023-01-29;0;1009,929167;30,9;25,016667;21,7;81,416667;1,45;
2023-01-30;3,8;1008,729167;33,6;26,891667;22,1;79,875;1,879167;
2023-01-31;,2;1009,5125;34,3;28,058333;23,1;68,625;2,445833;
2023-02-01;0;1010,0625;31,2;26,295833;21,7;71,916667;1,325;
2023-02-02;0;1010,291667;32,8;26,983333;22,3;77,333333;1,079167;
2023-02-03;0;1009,070833;33,2;26,975;22,9;74,375;1,441667;
2023-02-04;3,8;1008,633333;34,7;28,058333;23,9;75,541667;1,45;
2023-02-05;,2;1009,295833;34;26,9875;22,8;72,708333;1,458333;
2023-02-06;0;1009,5625;31,9;26,308333;22,4;77,083333;1,408333;
2023-02-07;0;1010,675;31,2;25,408333;22,7;81,666667;1,554167;
2023-02-08;288,8;1011,120833;30,1;24,35;21,3;85,541667;1,283333;
2023-02-09;0;1011,925;29,3;25,325;21,3;82,125;1,5;
2023-02-10;0;1010,845833;33,5;25,395833;20,9;78,041667;1,391667;
2023-02-11;28,4;1010,866667;31,5;26,220833;22;78,625;1,4875;
2023-02-12;3,2;1010,370833;29,2;25,383333;22,5;81,75;1,054167;
2023-02-13;0;1009,7875;30,4;26,308333;23,1;82,75;1,458333;
2023-02-14;11,4;1008,758333;31;26,125;22,2;81,333333;1,595833;
2023-02-15;1,2;1005,654167;35,3;28,075;22,1;71,708333;1,908333;
2023-02-16;1;1003,8375;34;27,691667;22,8;67,75;2,225;
2023-02-17;0;1005,079167;34,6;28,629167;24,9;71,166667;1,720833;
2023-02-18;10,8;1008,883333;33,5;26,9375;23,2;74,125;1,391667;
2023-02-19;,2;1012,820833;32,5;26,35;22,1;78,333333;1,541667;
2023-02-20;0;1012,925;33;27,258333;23,9;71,25;2,683333;
2023-02-21;0;1011,317391;35,2;28,347826;23,1;66,043478;2,386957;
2023-02-22;,4;1014,333333;30,5;25,779167;21,9;74,5;1,895833;
2023-02-23;0;1014,7125;31,1;26,054167;22,5;78,083333;1,425;
2023-02-24;2,6;1011,608333;33;27,4125;22,9;68,791667;2,466667;
2023-02-25;0;1009,270833;36,2;28,879167;22,8;60,833333;2,4875;
2023-02-26;0;1010,816667;36,2;28,833333;23;66,541667;1,5;
2023-02-27;0;1013,891667;32,6;27,233333;23,3;73,5;1,804167;
2023-02-28;0;1015,552174;32;26,226087;22,6;77,217391;1,4;
2023-03-01;0;1014,216667;31,4;25,9375;21,7;74,458333;1,579167;
2023-03-02;0;1011,354167;33,8;26,875;21;73,041667;1,475;
2023-03-03;0;1010,9;34,5;27,9875;22,2;69,041667;1,6125;
2023-03-04;0;1010,6;35;28,558333;25;61,916667;2,5125;
2023-03-05;0;1008,520833;33;26,004167;21,8;74,166667;1,345833;
2023-03-06;5,2;1008,304348;32,7;26,313043;21,4;75,521739;1,513043;
2023-03-07;0;1009,721739;35,2;29,108696;24,6;63,913043;2,93913;
2023-03-08;0;1011,566667;34,1;28,1625;25,3;59;2,579167;
2023-03-09;0;1011,470833;34,8;28,620833;22,1;60,625;2,304167;
2023-03-10;0;1011,779167;33,2;27,708333;21,7;63,041667;1,958333;
2023-03-11;0;1011,308333;31,4;26,645833;21,7;66,5;1,516667;
2023-03-12;2;1012,554167;31,3;25,6625;22,6;77,083333;1,579167;
2023-03-13;1;1013,916667;31,9;26,858333;24;70,583333;3,008333;
2023-03-14;0;1014,325;30,9;25,941667;22,5;72,375;2,045833;
2023-03-15;0;1014,1625;29,5;24,979167;21,1;77,166667;1,558333;
2023-03-16;0;1013,720833;30,1;25,05;20,5;76,083333;1,716667;
2023-03-17;0;1013,9375;29,3;24,083333;19,1;77,916667;1,366667;
2023-03-18;0;1013,45;31,9;25,0625;20,2;78,208333;1,5;
2023-03-19;0;1012,783333;31,6;26,279167;21,5;75,416667;1,716667;
2023-03-20;0;1011,229167;34;26,833333;20,5;69,833333;1,6;
2023-03-21;0;1012,133333;32,7;26,158333;21,3;73,583333;1,316667;
2023-03-22;0;1015,4375;30,9;24,833333;19,6;76,458333;1,2375;
2023-03-23;0;1016,05;30,1;24,995833;19,6;78,041667;1,4375;
2023-03-24;0;1012,9875;31,7;25,183333;19,7;77,375;1,258333;
2023-03-25;0;1012,425;31,2;25,15;20,2;76,416667;1,6125;
2023-03-26;0;1010,916667;36,7;26,5;20,5;72,25;1,108333;
2023-03-27;,4;1012,1;28,2;25,1;23,5;77,708333;1,866667;
2023-03-28;1,8;1014,654167;30;24,675;21,7;78,25;1,125;
2023-03-29;0;1013,183333;32,9;25,4;20,7;73,25;1,633333;
2023-03-30;0;1012,275;31,5;26,166667;22,4;73,083333;1,6;
2023-03-31;3,4;1011,025;27,8;24,625;20,6;76,416667;1,35;
2023-04-01;0;1009,633333;31,9;25,7375;20,6;72,666667;1,645833;
2023-04-02;7,8;1013,4375;26,3;23,320833;22,2;77,708333;1,420833;
2023-04-03;1;1014,4875;28,5;23,1;18,6;74,875;1,370833;
2023-04-04;0;1012,754167;30,8;23,945833;18,5;72,708333;1,883333;
2023-04-05;0;1011,941667;30,6;24,458333;18,9;73,125;1,225;
2023-04-06;0;1013,0625;26,5;23,383333;21,3;80,916667;1,1875;
2023-04-07;1,2;1012,204167;29,4;24,179167;20,3;81,708333;1,15;
2023-04-08;2,8;1011,895833;25,2;23,833333;23,5;83,875;1,445833;
2023-04-09;80,2;1015,566667;24,8;22,870833;22;87,375;1,275;
2023-04-10;5,4;1017,425;27,3;22,3;19;84,416667;1,295833;
2023-04-11;,2;1015,83913;28,7;22,634783;17,4;79,434783;2,06087;
2023-04-12;0;1012,4375;31;24,770833;19,3;70,833333;1,6;
2023-04-13;0;1009,133333;30,8;24,558333;19,2;77,166667;1,141667;
2023-04-14;0;1008,875;30,7;25,029167;21,9;80,791667;1,220833;
2023-04-15;45,6;1010,208333;29,9;23,841667;20,8;84,291667;1,366667;
2023-04-16;16,8;1013,356522;27,8;23,626087;20,7;83,73913;1,152174;
2023-04-17;0;1006,504167;32,5;25,354167;20,9;75;2;
2023-04-18;0;1001,2875;28,7;24,733333;21,5;79,833333;1,170833;
2023-04-19;12,2;1003,76087;25,8;24,23913;23,8;83,391304;1,856522;
2023-04-20;,8;1011,733333;27;23,166667;20,5;78,583333;1,958333;
2023-04-21;0;1017,333333;26,8;21,308333;16,5;70,625;1,308333;
2023-04-22;0;1017,427273;27,7;21,668182;16,6;77,409091;1,622727;
2023-04-23;0;1017,883333;26,9;21,625;17,3;76,041667;1,633333;
2023-04-24;0;1018,695833;27,3;20,916667;15,6;77,125;1,166667;
2023-04-25;0;1017,4375;28,3;22,958333;18;79,208333;1,375;
2023-04-26;0;1013,347826;30,9;25,447826;19,2;74,086957;1,786957;
2023-04-27;11,2;1010,291304;29,9;24,604348;20,8;74,347826;1,569565;
2023-04-28;11,8;1013,7;24,3;21,991304;20,8;82,956522;,704348;
2023-04-29;,2;1016,186957;24,7;22,430435;20;84,26087;1,213043;
2023-04-30;,2;1015,4625;28,8;23,95;21,4;80,375;1,958333;
2023-05-01;,2;1013,508333;29,6;23,858333;17,8;70,833333;1,6875;
2023-05-02;0;1012,7375;27,7;23,45;19,4;78,208333;1,320833;
2023-05-03;0;1013,095833;27,4;22,283333;18,3;83,458333;1,120833;
