Nome: SAO PAULO - MIRANTE
Codigo Estacao: A701
Latitude: -23.49638888
Longitude: -46.61999999
Altitude: 785.64
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;9,2;926,058333;28,6;22,641667;18,1;73,75;1,170833;
2023-01-02;1;923,558333;30,4;23,5;18,9;67;1,829167;
2023-01-03;0;921,55;27,1;23,129167;20,7;69,333333;1,870833;
2023-01-04;8,8;921,258333;25,2;21,141667;20,1;80,041667;2,35;
2023-01-05;46,2;924,116667;18,5;17,241667;16,6;91,75;1,7375;
2023-01-06;11;927,591667;19,4;16,775;15,2;80,958333;1,941667;
2023-01-07;5,2;929,2;19,5;16,8375;15,2;85,291667;1,966667;
2023-01-08;,2;928,1375;23,6;19,045833;16,3;78,708333;2,05;
2023-01-09;,8;926,583333;22,2;19,254167;17,3;82,166667;1,575;
2023-01-10;0;925,695833;25,2;20,783333;18,6;80,625;1,6;
2023-01-11;6,6;925,020833;26,1;21,670833;19;79,791667;1,566667;
2023-01-12;4,4;923,058333;28,2;22,904167;19;69,833333;1,883333;
2023-01-13;14,6;922,491667;28,5;23,525;19,5;72,5;2,341667;
2023-01-14;33,8;924,1375;28,9;23,491667;18,8;72,083333;2,166667;
2023-01-15;0;925,6375;32,4;25,1625;21;69,416667;1,616667;
2023-01-16;4;925,341667;33,2;24,695833;21,2;72,041667;1,454167;
2023-01-17;1;926,283333;31,9;25,091667;20,3;69,458333;1,641667;
2023-01-18;1;927,641667;31,2;23,554167;20,4;73;1,666667;
2023-01-19;1,2;926,829167;31,2;23,095833;19,3;71,708333;1,670833;
2023-01-20;,4;924,366667;25;21,295833;19,9;78,083333;1,15;
2023-01-21;7;921,279167;29;22,4875;18,4;73,666667;1,675;
2023-01-22;0;920,795833;30,4;24,495833;20,5;64,791667;2,541667;
2023-01-23;0;921,783333;29,1;23,75;21,9;68,583333;1,404167;
2023-01-24;6,8;921,6375;30,6;22,716667;20,6;74,75;1,5875;
2023-01-25;14,8;923,295833;30,7;23,608333;19;68,958333;1,895833;
2023-01-26;0;924,1;30,8;23,445833;18,4;52,958333;2,825;
2023-01-27;0;924,970833;30,7;22,604167;18;62,583333;2,079167;
2023-01-28;0;925,725;30,8;22,983333;19,7;72,5;1,679167;
2023-01-29;30,2;924,595833;30,1;23,204167;19,1;76,25;1,754167;
2023-01-30;1,6;923,3125;28,4;23,045833;20,1;71,833333;2,208333;
2023-01-31;2,6;923,895833;29,1;23,6;20,3;69,958333;2,208333;
2023-02-01;48,2;925,15;28,7;23,1875;19,6;75,375;1,55;
2023-02-02;13,6;925,045833;31;24,4375;19,8;68,791667;2,116667;
2023-02-03;,6;924,379167;28,3;23,591667;20,5;69,166667;3,016667;
2023-02-04;3,4;924,6125;27,2;22,945833;20,1;71,083333;3,633333;
2023-02-05;10,6;924,7375;28;24,091667;21;71,833333;2,2625;
2023-02-06;10,2;924,75;28;22,795833;20,4;75,583333;1,7875;
2023-02-07;6,4;925,491667;28,2;21,641667;19,5;82,833333;1,25;
2023-02-08;45,6;925,191667;28,5;22,3625;19,3;76,416667;1,841667;
2023-02-09;0;925,429167;30,9;22,9;18,3;73,083333;1,633333;
2023-02-10;10,2;925,279167;30,2;23,308333;19,8;72,666667;2,154167;
2023-02-11;,6;925,491667;25,6;21,154167;19,4;81,583333;1,325;
2023-02-12;26;924,658333;28,5;21,720833;19,7;80,208333;1,7;
2023-02-13;30,8;924,529167;29;22,958333;18,7;74,166667;1,891667;
2023-02-14;7;923,645833;30,3;24,366667;20;67,375;2,241667;
2023-02-15;2,2;921,420833;31,1;24,108333;20,1;69,25;2,741667;
2023-02-16;12,8;919,241667;29,2;23,408333;18,6;70,291667;3,15;
2023-02-17;32,6;920,429167;29,2;23,833333;19,1;69,125;2,816667;
2023-02-18;13,2;924,883333;26,8;22,0875;20,4;82,916667;1,645833;
2023-02-19;50,6;928,5375;20,3;18,6625;17,5;88,208333;2,408333;
2023-02-20;4,2;926,483333;31,5;22,395833;18;77,708333;1,479167;
