Nome: PONTA PORA
Codigo Estacao: A703
Latitude: -22.5525
Longitude: -55.71638888
Altitude: 668
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;0;935,720833;33,3;26,5875;20,7;69,208333;2,258333;
2023-01-02;0;935,2125;28,9;24,633333;22,7;77,791667;2,25;
2023-01-03;9,2;932,991667;29;22,554167;18,8;83,583333;2,5625;
2023-01-04;51,6;934,133333;27,1;21,8375;19,1;81,958333;2,3375;
2023-01-05;0;936,970833;28;23,270833;18,3;58,125;2,783333;
2023-01-06;0;938,395833;27,2;22,258333;17,1;63,625;2,433333;
2023-01-07;0;939,270833;27,5;22,391667;17,7;70,375;2,704167;
2023-01-08;0;938,945833;28,3;22,995833;18,4;70,458333;2,733333;
2023-01-09;0;936,991667;28,9;22,791667;18;73,541667;2,441667;
2023-01-10;5,8;936,445833;31;22,7;18,9;80,75;2,3625;
2023-01-11;22,6;936,433333;29,9;23,616667;17,3;74,333333;2,233333;
2023-01-12;0;934,429167;30,5;24,041667;18,4;74,166667;2,191667;
2023-01-13;0;933,070833;28,2;23,058333;20,2;81,375;2,7375;
2023-01-14;8,6;934,933333;26,1;21,725;20,4;87,833333;2,183333;
2023-01-15;,2;937,795833;28,4;22,8;18,5;77,291667;1,65;
2023-01-16;0;937,545833;31,2;24,904167;20,4;70,625;1,545833;
2023-01-17;,4;937,5875;29,6;25,033333;20,7;77,583333;1,85;
2023-01-18;0;939,179167;30,9;23,9;20,2;79,333333;2,5;
2023-01-19;2,4;938,979167;29,9;23,6;19,6;76,708333;2,333333;
2023-01-20;7,2;935,7;31,8;25,425;19,6;72,583333;1,95;
2023-01-21;0;933,266667;32,3;26,858333;24,1;67,208333;2,691667;
2023-01-22;0;933,7375;28,4;23,7;21,9;81,458333;2,8;
2023-01-23;1;935,0875;28,2;23,204167;19,7;81,125;1,966667;
2023-01-24;,2;934,470833;31,3;25,833333;21;73,25;1,875;
2023-01-25;0;934,9125;32,8;25,770833;21,8;69,416667;1,541667;
2023-01-26;4,8;934,358333;33;26,720833;21,1;65,041667;2,283333;
2023-01-27;0;934,704167;33,7;26,733333;20,1;53,958333;2,141667;
2023-01-28;0;936,104167;33,5;25,7875;20,1;72,25;2,291667;
2023-01-29;2,8;936,754167;29,3;24,491667;23,2;80,083333;1,504167;
2023-01-30;101,2;934,383333;29,6;23,041667;19;83,956522;2,425;
2023-01-31;57,6;934,454167;23,3;21,520833;19,3;90,958333;1,770833;
2023-02-01;2,8;936,008333;28,6;23,483333;20,3;83,791667;2,1;
2023-02-02;3,6;936,658333;29,5;24,004167;21,8;83,666667;1,929167;
2023-02-03;24;936,408333;24,1;20,925;19;91,416667;2,083333;
2023-02-04;6;938,4625;28,5;23,4625;19;78,333333;2,35;
2023-02-05;0;938,554167;30,7;25,308333;20,1;58;1,283333;
2023-02-06;0;937,1875;31,6;25,933333;20,9;57,041667;1,470833;
2023-02-07;0;937,575;28,4;24,316667;21,6;75,291667;1,383333;
2023-02-08;18;936,675;32,2;25,566667;19,1;67,625;1,3375;
2023-02-09;0;936,545833;32;24,7625;20,9;73,583333;2,041667;
2023-02-10;12;936,595833;27,2;22,066667;19,8;88,125;2,341667;
2023-02-11;44,2;936,0625;28,3;23,0375;19,5;84,25;1,316667;
2023-02-12;4,6;935,433333;30,1;23,983333;20,4;80,25;1,691667;
2023-02-13;10,4;935;28,2;22,858333;18,9;81,625;3,020833;
2023-02-14;,6;934,845833;31,4;24,2375;20,5;81,208333;2,975;
2023-02-15;40,4;933,241667;25,9;22,8625;19,1;83,125;2,9375;
2023-02-16;127;929,816667;27,7;22,566667;19,3;89,333333;2,433333;
2023-02-17;141,2;932,725;24,1;19,375;17,1;90,25;2,908333;
2023-02-18;1,2;940,345833;22,7;16,995833;10,7;65,416667;3,0125;
2023-02-19;0;939,516667;26,2;19,425;13;71,041667;2,720833;
2023-02-20;2,4;938,0375;22,5;20,225;18,1;89,916667;2,516667;
2023-02-21;2,8;937,4125;27,8;21,604167;18;89,541667;2,204167;
2023-02-22;9,2;938,7875;30,3;23,5875;18,7;81,75;2,2;
2023-02-23;3;939,0375;29,5;23,208333;19,8;81,916667;2,579167;
2023-02-24;12,4;937,1375;24,2;21,204167;19,6;90,083333;1,9625;
2023-02-25;,2;936,0625;29,5;23,441667;18,1;79,75;1,975;
2023-02-26;26,4;938,579167;25,7;22,095833;17,9;81,083333;2,2625;
2023-02-27;1,2;941,475;28,2;22,679167;20,4;84,291667;2,2875;
2023-02-28;1,6;940,645833;31,3;23,704167;20;81,75;3,075;
2023-03-01;15,8;939,325;26,7;20,629167;18,6;87,25;3,154167;
2023-03-02;18,2;936,804167;23,7;19,975;18,3;91,5;3,229167;
2023-03-03;22,2;935,491667;27,7;22,4125;19;81,791667;3,566667;
