Nome: PRESIDENTE PRUDENTE
Codigo Estacao: A707
Latitude: -22.11999999
Longitude: -51.40861111
Altitude: 431.92
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;0;962,516667;33,7;26,770833;22,3;70,565217;1,083333;
2023-01-02;0;960,970833;31,2;24,575;23,4;68,117647;1,1125;
2023-01-03;47,4;959,566667;29,9;23,466667;19,4;74,285714;1,020833;
2023-01-04;64,6;958,766667;26,4;21,9625;20,5;null;2,1;
2023-01-05;30,8;961,320833;23,8;20,5875;18,6;84,352941;2,183333;
2023-01-06;0;963,425;27,5;22,55;18,9;65,041667;2,2;
2023-01-07;0;964,945833;27;22,475;17,6;63,75;2,416667;
2023-01-08;0;964,354167;27,2;23,070833;18,6;65,416667;2,108333;
2023-01-09;0;962,683333;28,9;23,991667;20,1;70,583333;1,6125;
2023-01-10;0;962,333333;32,1;25,258333;21,9;72,409091;1,208333;
2023-01-11;19,2;962,558333;30,2;24,0875;20,5;76,058824;1,229167;
2023-01-12;5;961,0875;29,6;23,608333;20,5;78,071429;1,354167;
2023-01-13;,6;959,629167;30,2;24,404167;21,8;78,277778;1,5625;
2023-01-14;32,6;960,941667;29,1;23,191667;19,8;null;1,516667;
2023-01-15;7;963,091667;32;26,195833;22,1;58,769231;1,083333;
2023-01-16;0;962,83913;31,8;25,721739;23,6;74;1,091304;
2023-01-17;3;963,45;33,5;25,933333;21,7;63,6;1,258333;
2023-01-18;,4;964,354167;33;27,325;22,5;63,5;1,275;
2023-01-19;0;963,991667;32;25,9875;21,8;70,73913;1,404167;
2023-01-20;,2;961,516667;29,5;24,445833;21,7;78;1,004167;
2023-01-21;9,6;959,341667;31,7;24,4;20,7;73,0625;1,216667;
2023-01-22;,8;959,220833;30,2;23,916667;21,8;77,555556;1,466667;
2023-01-23;0;959,979167;31,6;25,579167;21;64,764706;1,316667;
2023-01-24;0;959,2625;33,7;27,254167;23;64,291667;,945833;
2023-01-25;,2;960,008333;34;28,045833;23,5;58,958333;1,066667;
2023-01-26;0;959,804167;34,4;27,508333;21,4;49,958333;1,716667;
2023-01-27;0;960,495833;33,9;26,925;21,5;57,375;1,616667;
2023-01-28;,2;962,395833;32,6;27,054167;23;65,041667;1,008333;
2023-01-29;2,2;962,1625;33,1;27,279167;23,3;68,916667;1,5375;
2023-01-30;68,6;960,8125;29;23,695833;20,7;73,714286;null;
2023-01-31;9,2;961,45;30;23,329167;20,7;78,857143;1,0875;
2023-02-01;10,8;962,6125;31,2;24,558333;20,7;65,833333;1,016667;
2023-02-02;1,6;962,683333;27,6;23,941667;22,9;null;,913636;
2023-02-03;63;962,704167;27,8;22,183333;19,9;null;1,042857;
2023-02-04;13;963,395833;29,7;24,058333;20,4;71,538462;1,6375;
2023-02-05;0;963,529167;31,1;25,491667;21,3;70,388889;1,166667;
2023-02-06;0;962,433333;32,5;26,0125;21,2;65,578947;1,054167;
2023-02-07;0;962,825;31,3;24,666667;22,5;78,363636;1,1375;
2023-02-08;2,8;962,220833;32,2;26,070833;21,7;66,5;1,0375;
2023-02-09;0;962,0625;33,7;26,979167;22,6;65,304348;1,204167;
2023-02-10;16,8;962,429167;30,2;24,8375;21;72;1,3875;
2023-02-11;12;962,4125;28,9;24,041667;21,1;74,866667;1,179167;
2023-02-12;0;961,816667;28,4;23,920833;22,1;85,428571;,875;
2023-02-13;12,2;962,145833;31,4;24,829167;21;70,8;1,2625;
2023-02-14;,2;961,65;32;26,379167;22,4;69,095238;1,491667;
2023-02-15;16,2;959,254167;31,1;24,1;21,5;81,071429;1,625;
2023-02-16;4,2;956,879167;31,4;25,741667;20,7;71,375;1,8625;
2023-02-17;1;957,325;28,5;23,741667;22,6;84,2;2,104167;
2023-02-18;8;962,004167;30,9;24,7;20;67,533333;1,3125;
2023-02-19;0;964,55;26,4;22,620833;20,3;73,625;2,433333;
2023-02-20;,4;964,220833;23,9;21,2625;19,6;85,4;1,3;
2023-02-21;1;964,066667;30;23,3375;19,7;81,789474;1,529167;
2023-02-22;2;965,383333;30,9;24,804167;21,2;70,5;,945833;
2023-02-23;12,4;965,558333;29,4;24,2875;21,4;82,066667;,935;
2023-02-24;46,4;963,85;23,9;21,391667;18,6;null;1,522222;
2023-02-25;5,4;962,441667;31,2;24,266667;18,8;60,461538;,925;
2023-02-26;0;964,4125;30,1;24,904167;22,5;73,904762;,882609;
2023-02-27;12,8;966,25;32,7;25,883333;20,6;67,7;,886957;
2023-02-28;24;966,395833;30,6;25,483333;21,5;71,916667;1,508333;
2023-03-01;49,2;965,8375;29,9;23,425;18,5;67,875;1,245833;
2023-03-02;,2;963,191667;32,6;25,941667;20,9;70,708333;1,308333;
