Nome: IGUAPE
Codigo Estacao: A712
Latitude: -24.67166666
Longitude: -47.54583333
Altitude: 2.7
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;,2;1013,641667;29,2;24,191667;19,6;80,75;1,229167;
2023-01-02;0;1010,1125;30,3;24,966667;20,1;79,458333;1,55;
2023-01-03;0;1006,166667;34;25,820833;21;77,541667;1,266667;
2023-01-04;67;1008,5;25,7;21,841667;21,1;89,416667;2,304167;
2023-01-05;27;1013,066667;24,5;21,116667;19,1;85,208333;1,408333;
2023-01-06;12;1016,595833;26;21,566667;18,8;83,125;1,175;
2023-01-07;4,6;1018,391667;26,9;22,520833;18,4;77,041667;1,908333;
2023-01-08;1,6;1017,241667;25,2;22,570833;20;82,291667;1,554167;
2023-01-09;1;1015,466667;26,6;22,266667;19,5;83,25;1,204167;
2023-01-10;,8;1013,708333;26,2;22,675;19,7;86,208333;1,245833;
2023-01-11;,4;1011,358333;29,3;24,183333;22,1;85,333333;1,145833;
2023-01-12;5,6;1008,9;32,4;24,895833;20,2;80,666667;1,025;
2023-01-13;,2;1007,204167;34;26,483333;21,6;76,875;1,3;
2023-01-14;0;1008,495833;35;27,879167;22,8;70,375;1,373913;
2023-01-15;0;1011,229167;31,1;26,295833;22,1;82,625;1,1375;
2023-01-16;0;1012,2125;29,5;26,441667;24,6;84,208333;1,316667;
2023-01-17;3,8;1013,391667;30,6;26,716667;24,3;83,083333;1,529167;
2023-01-18;0;1015,116667;30,1;25,879167;21,1;79,166667;1,391667;
2023-01-19;0;1014,329167;30,5;25,654167;22,1;81,083333;1,658333;
2023-01-20;0;1011,2;29,1;24,029167;21,9;86,291667;1,025;
2023-01-21;1;1007,833333;31,2;24,8;20,6;80,75;1,308333;
2023-01-22;,2;1005,766667;36,2;26,054167;19,8;75,791667;1,1375;
2023-01-23;0;1007,6875;31,6;25,841667;22,8;81,125;1,079167;
2023-01-24;4,8;1008,616667;30,4;25,333333;20,8;80,958333;1,370833;
2023-01-25;0;1010,25;32,1;25,775;19,8;77,833333;1,791667;
2023-01-26;0;1011,3875;31,2;26,741667;21,3;67,958333;2,9625;
2023-01-27;0;1012,670833;30;25,304167;20,3;72;2,054167;
2023-01-28;0;1012,525;30,9;25,229167;20;79,833333;1,545833;
2023-01-29;0;1010,116667;33,3;26,0875;20,6;78,416667;1,575;
2023-01-30;22,4;1009,320833;31;24,695833;21,3;80,5;1,033333;
2023-01-31;,2;1009,225;32,5;25,458333;21,6;80,666667;1,045833;
2023-02-01;2,4;1010,291667;33;26,016667;22,6;81;1,041667;
2023-02-02;9,4;1010,516667;34,1;26,4125;23,5;81,958333;1,2;
2023-02-03;31,8;1008,370833;34,2;27,683333;23,1;70,75;1,679167;
2023-02-04;0;1008,766667;34,3;27,4;23,1;68,791667;1,816667;
2023-02-05;,6;1010,129167;32;26,058333;22,4;81,125;,891667;
2023-02-06;,2;1010,495833;30,8;25,829167;22,4;84,791667;1,058333;
2023-02-07;12,6;1012,654167;29;25,3875;23,8;81,75;1,2;
2023-02-08;2;1012,516667;30,2;24,554167;19,1;79,041667;1,5625;
