Nome: DOURADOS
Codigo Estacao: A721
Latitude: -22.19388888
Longitude: -54.91138888
Altitude: 463.3
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;,4;957,95;33,9;27,383333;22,4;71,833333;1,883333;
2023-01-02;0;957,35;27,3;23,545833;22,3;87,458333;2,058333;
2023-01-03;17,6;955,379167;29,7;23,766667;20,2;83,583333;2,220833;
2023-01-04;22,2;955,845833;27,4;22,808333;20,7;85,583333;1,9875;
2023-01-05;,8;958,758333;28,8;22,916667;17,6;67;2,6875;
2023-01-06;0;960,3625;28,5;22,770833;17,5;70,166667;2,858333;
2023-01-07;0;961,408333;28,4;23,575;19,1;67,625;3,641667;
2023-01-08;0;961,045833;29,6;24,333333;19,7;65,25;2,991667;
2023-01-09;0;959,125;30,4;24,795833;20,2;70,25;2,445833;
2023-01-10;0;958,641667;32,3;24,1625;21;79,041667;2,3375;
2023-01-11;37,8;958,770833;30,9;23,0625;19;83,833333;1,866667;
2023-01-12;1,4;956,816667;30,2;23,9875;18,6;80,541667;2,070833;
2023-01-13;0;955,4375;29,3;24,1875;20,7;82,25;2,483333;
2023-01-14;0;956,941667;28,6;23,775;21,2;82,333333;2,258333;
2023-01-15;0;959,854167;29,8;24,533333;20,6;77,625;1,379167;
2023-01-16;,2;959,433333;32,5;26,625;20,9;69,416667;1,033333;
2023-01-17;0;959,795833;31,2;25,329167;21,7;77,958333;1,5875;
2023-01-18;4;961,258333;32,3;25,195833;20,9;78;1,7;
2023-01-19;,8;960,941667;31,9;24,458333;20,2;79,916667;1,4625;
2023-01-20;0;957,679167;32,8;25,6625;20,8;75,916667;1,620833;
2023-01-21;12;955,4125;32,1;25,141667;21,2;80,333333;2,320833;
2023-01-22;0;955,775;31,4;23,866667;21,1;86,041667;2,695833;
2023-01-23;4,4;957,066667;27;22,970833;19;88;1,5;
2023-01-24;,2;956,366667;32,4;25,779167;19,9;79,083333;1,679167;
2023-01-25;0;956,683333;33,7;26,758333;21;72,208333;1,466667;
2023-01-26;0;956,158333;35,2;28,2;22,7;58,541667;1,7;
2023-01-27;0;956,366667;35;28,25;23,1;54,5;2,4875;
2023-01-28;3,6;958,045833;33,9;27,466667;21,3;67,5;1,995833;
2023-01-29;0;958,683333;31,1;26,3625;22,1;72;1,970833;
2023-01-30;7,2;956,670833;27,5;23,954167;20,9;83;1,845833;
2023-01-31;34,4;956,8125;25,2;22,1375;19,9;93,833333;1,804167;
2023-02-01;20,2;958,266667;30,8;24,591667;19,8;82,916667;2,333333;
2023-02-02;,8;958,7;32,6;25,4375;22;82,666667;2,016667;
2023-02-03;31;958,7;24,9;21,733333;20,6;95,083333;1,233333;
2023-02-04;14,2;960,395833;30,6;24,116667;19,8;78,25;1,45;
2023-02-05;0;960,320833;32,3;25,6875;19,3;65,458333;1,141667;
2023-02-06;0;959;32,1;26,454167;20,6;62,75;1,558333;
2023-02-07;0;959,433333;29,9;25,2125;21,1;76,666667;1,345833;
2023-02-08;0;958,516667;33;26,341667;20,1;70,833333;1,445833;
2023-02-09;0;958,458333;33,9;26,025;22,4;74,25;1,629167;
2023-02-10;0;958,845833;30;23,5625;20,4;81,875;2,520833;
2023-02-11;0;958,166667;30,5;23,408333;20;85,416667;1,15;
2023-02-12;,4;957,6875;31,5;24,783333;21,1;81,083333;1,704167;
2023-02-13;,8;957,654167;28;22,5625;19,9;90;2,475;
2023-02-14;14,2;957,129167;32,8;25,908333;20,3;78,541667;2,5625;
2023-02-15;7,8;955,258333;28,1;24,058333;20,7;82,958333;2,329167;
2023-02-16;6,2;952,0875;31,6;25,316667;20,6;79,833333;2,954167;
2023-02-17;60,2;954,795833;27,5;21,841667;17,7;83,583333;2,420833;
2023-02-18;0;961,754167;27,3;20,158333;14,1;62,458333;3,854167;
2023-02-19;0;961,65;25,3;19,895833;14,7;71,333333;2,954167;
2023-02-20;1,8;960,191667;27;21,791667;18,3;86,5;2,679167;
2023-02-21;29,6;959,808333;27,9;22,854167;19,3;87,458333;1,995833;
2023-02-22;0;961,120833;30,2;24,479167;20,6;82,416667;1,620833;
2023-02-23;10;961,2625;31,3;24,15;20,8;85,166667;1,983333;
2023-02-24;63,2;959,658333;24,2;21,1375;20,4;93,458333;1,858333;
2023-02-25;4,4;958,495833;31,3;23,4875;18,5;81,916667;2,120833;
2023-02-26;13,8;960,9;28,3;22,904167;18,3;86,75;1,25;
2023-02-27;1,6;963,5125;30,3;23,975;19,6;83,583333;1,883333;
2023-02-28;18;962,85;32,2;24,425;20,5;81,791667;2,029167;
2023-03-01;2,4;961,579167;28,4;22,270833;19,7;82,208333;2,675;
2023-03-02;4,4;959,466667;27,5;21,6625;18,9;88,541667;2,054167;
2023-03-03;20,2;958,308333;30,8;23,395833;19,1;83,708333;2,558333;
2023-03-04;0;958,925;34;26,5;20,5;70,833333;2,720833;
2023-03-05;0;958,3125;34,8;27,3;22,3;67,583333;1,5875;
2023-03-06;0;955,791667;35,2;27,416667;20,9;65,208333;1,3875;
2023-03-07;0;956,5;34,6;26,5;23,2;63,125;1,820833;
2023-03-08;,4;958,291667;32,6;24,633333;21,2;77,625;1,7375;
2023-03-09;2,8;959,5875;29;24,733333;22;77,666667;1,4875;
2023-03-10;0;959,429167;31,7;25,2375;21;74,958333;1,5;
2023-03-11;4;959,145833;31,1;24,458333;21,2;80,083333;1,858333;
2023-03-12;5,2;959,025;31;23,104167;20,1;84,541667;1,333333;
2023-03-13;56,2;959,158333;29;22,454167;20,2;91,125;1,9;
2023-03-14;5;959,220833;26,7;22,375;21,1;93,458333;1,9875;
2023-03-15;14;959,229167;29,2;23,616667;20,5;87,208333;1,470833;
2023-03-16;3,6;958,770833;30;24,154167;20,9;86,416667;1,625;
2023-03-17;6,4;959,116667;29,3;24,045833;21,2;81,875;2,4875;
2023-03-18;10,8;960,516667;27,7;23,1875;20,2;84,541667;1,7125;
2023-03-19;,2;960,133333;31,3;24,920833;20,2;74,083333;1,779167;
2023-03-20;2,4;960,3125;31,4;25,720833;21;66,416667;2,620833;
2023-03-21;0;960,770833;32,4;26,9375;22,2;61,541667;1,85;
2023-03-22;0;961,5875;32,8;27,5;22,5;62,083333;2,179167;
2023-03-23;0;961,895833;33,4;27,566667;22,5;65,583333;1,408333;
2023-03-24;0;961,929167;33,2;26,841667;21,9;68,25;1;
2023-03-25;0;960,95;33,7;25,491667;21,3;72,791667;1,025;
2023-03-26;,4;961,858333;31,9;24,679167;21,4;76,625;,575;
2023-03-27;1,8;960,595833;32,7;25,554167;19,6;71,333333;1,3625;
2023-03-28;0;959,404167;34,6;26,895833;22,3;64,666667;1,8375;
2023-03-29;0;959,341667;35,4;27,579167;22;63,208333;1,179167;
2023-03-30;,6;961,570833;33,4;25,129167;22;77,583333;,904167;
2023-03-31;34,4;961,558333;31;24,729167;19,5;76,208333;1,2;
2023-04-01;0;961,208333;32,5;25,9;19,9;66,583333;1,704167;
2023-04-02;0;959,729167;32,8;26,25;20,3;65,625;1,704167;
2023-04-03;0;959,375;31,9;26,408333;22;66,875;2,216667;
2023-04-04;0;958,795833;32,6;26,7875;22,2;61,708333;1,645833;
2023-04-05;0;958,7625;27,8;23,366667;21,2;75,833333;1,5125;
2023-04-06;16,8;959,141667;26,3;21,933333;18,3;86,625;1,854167;
2023-04-07;2,4;959,745833;26,1;21,916667;19,4;87,875;1,295833;
2023-04-08;0;961,166667;28,3;23,1875;19,6;81,875;1,320833;
2023-04-09;,2;962,341667;29,2;24,033333;20,4;78,458333;1,179167;
2023-04-10;0;962,879167;29,8;24,779167;20,2;72,041667;1,820833;
2023-04-11;0;960,916667;30,3;25,066667;20;67;1,591667;
2023-04-12;0;958,825;30,9;25,016667;20,9;72,791667;1,3;
2023-04-13;5,6;957,116667;31,5;23,6875;19,2;81,208333;2,125;
2023-04-14;3,6;958,429167;29,1;22,5625;18,2;81,125;1,095833;
2023-04-15;0;960,829167;28;22,758333;19,5;81,541667;1,191667;
2023-04-16;0;959,45;31,3;25,808333;21,7;76,375;1,691667;
2023-04-17;,4;955,033333;28,3;23,833333;21,8;87,708333;2,091667;
2023-04-18;30,8;952,929167;24,8;21,9125;21,4;95,958333;1,595833;
2023-04-19;12,6;959,408333;26;19,045833;13,4;71,083333;1,425;
2023-04-20;0;963,141667;24;18,525;13,7;66,375;1,2375;
2023-04-21;0;961,966667;25,1;18,5625;11,6;63,958333;2,0625;
2023-04-22;0;962,420833;25,4;19,933333;14,3;64,291667;2,154167;
2023-04-23;0;962,233333;28,2;22,083333;16,8;70,958333;1,625;
2023-04-24;2,8;962,7875;26,5;22,2375;19,7;81,833333;2,025;
2023-04-25;11,8;962,091667;27,2;21,791667;19,2;86,541667;2,408333;
2023-04-26;25,8;961,725;25,9;20,8;18;89,625;1,779167;
2023-04-27;10;961,404167;24,5;20,65;18,1;85,416667;1,741667;
2023-04-28;0;961,7125;26;19,941667;13,9;76,625;1,275;
2023-04-29;0;961,691667;27,8;22,191667;16,9;73,458333;1,975;
2023-04-30;0;961,229167;28,5;23,05;18,1;74,041667;2,541667;
2023-05-01;0;961,475;29,5;23,75;19,5;77,083333;2,291667;
2023-05-02;0;960,208333;28,7;24;20,7;77,458333;2,079167;
2023-05-03;0;960,841667;25,5;22,454167;20,7;91,5;,945833;
2023-05-04;1,6;961,908333;28,1;23,125;19,7;87,75;1,1875;
2023-05-05;0;962,7125;29,8;25,0375;20,4;72,875;1,391667;
2023-05-06;0;962,808333;29,2;24,325;19,4;73,125;1,341667;
2023-05-07;0;961,233333;29,3;24,491667;20,7;76,333333;1,3375;
2023-05-08;0;963,095833;25,6;22,420833;21,4;91;1,729167;
2023-05-09;,6;964,270833;25,4;21,808333;19,1;87,375;1,775;
2023-05-10;,2;963,575;26,3;21,6125;17,7;81;1,866667;
2023-05-11;0;962,958333;24,8;18,15;11,3;64,083333;1,9625;
2023-05-12;0;964,070833;24,4;17,104167;10,6;64,833333;1,95;
2023-05-13;0;964,5875;24,2;17,1125;10,8;61;1,5;
2023-05-14;0;965,808333;25,2;18,325;10,4;57,708333;1,208333;
2023-05-15;0;966,308333;25,9;19,4;10,8;60,208333;1,545833;
2023-05-16;0;964,5875;25,7;20,4875;15;55,208333;1,8375;
2023-05-17;0;963,095833;25,3;19,6375;11,8;60,458333;2,604167;
2023-05-18;0;964,629167;25,6;19,1875;12,4;67,791667;1,975;
2023-05-19;0;963,445833;25,5;19,604167;12;67,625;1,516667;
2023-05-20;0;962,55;26,8;20,266667;12,7;66,666667;1,791667;
2023-05-21;0;959,816667;26;21,2375;16,2;61,958333;2,129167;
2023-05-22;2;960,595833;27;21,7;17,2;68,875;1,820833;
2023-05-23;0;963,329167;27,9;22,633333;18,2;63,333333;2,2625;
2023-05-24;0;962,2625;27,4;22,083333;17,1;56,75;2,620833;
2023-05-25;0;961,725;29;22,558333;16,8;62,125;2,566667;
2023-05-26;0;961,070833;30,2;23,5125;18,5;66,291667;2,270833;
2023-05-27;0;961,4625;29,8;23,85;19,2;69,916667;1,791667;
2023-05-28;32,2;963,504167;24,8;19,241667;17,2;89,208333;2,075;
2023-05-29;0;963,929167;22,4;19,2875;16,9;89,583333;1,304167;
2023-05-30;,2;964,641667;20,2;18,095833;17;91;2,258333;
2023-05-31;,4;965,5125;20,5;18,070833;16,5;91,625;1,204167;
2023-06-01;0;966,175;25,1;20,058333;15,9;78,291667;1,333333;
2023-06-02;0;964,2875;25,1;19,629167;14,9;76,958333;2,358333;
2023-06-03;0;963,3;25,6;19,854167;14,4;74,666667;1,808333;
2023-06-04;0;965,066667;27,7;21,3625;13,1;67,75;1,283333;
2023-06-05;0;965,675;26,9;21,25;14,5;63,333333;1,220833;
2023-06-06;0;964,545833;25,3;20,291667;14;64,208333;2,108333;
2023-06-07;0;964,783333;26,3;20,3375;14,8;64,458333;1,816667;
2023-06-08;0;964,504167;26,9;21;15,5;59,083333;1,891667;
2023-06-09;0;962,545833;28,6;21,416667;15,5;56,791667;1,791667;
2023-06-10;0;961,616667;29,1;22,4875;16,8;63,125;1,5875;
2023-06-11;0;960,583333;29,9;23,220833;17,9;69,25;2,1125;
2023-06-12;,6;963,620833;22,9;14,629167;13,8;94,541667;2,233333;
2023-06-13;5,6;967,458333;11,3;8,525;7,6;96,041667;2,266667;
2023-06-14;15,6;967,5625;9,1;7,829167;6,9;96,791667;,8;
2023-06-15;9;967,141667;15,7;10,454167;7,1;86,208333;,975;
2023-06-16;,2;967,691667;17,3;11,3625;5,9;83,958333;,7;
2023-06-17;0;969,204167;17,5;12,866667;7,7;81,041667;1,541667;
2023-06-18;0;968,070833;20,5;14,179167;9,6;73,833333;1,004167;
2023-06-19;0;966,308333;22,8;15,9875;10,2;70,166667;2,425;
2023-06-20;0;965,479167;25;17,7375;11,9;69,083333;1,179167;
2023-06-21;0;962,616667;23,8;19,516667;13,9;71,791667;1,2;
2023-06-22;0;961,216667;29,7;22,904167;17,7;63,291667;1,020833;
2023-06-23;0;960,9125;28,4;21,745833;15;68,416667;1,016667;
2023-06-24;0;961,645833;28,9;22,195833;16,7;64,833333;1,283333;
2023-06-25;0;963,841667;28,8;22,083333;15,5;62,041667;1,125;
2023-06-26;0;963,8625;27,7;21,595833;16;61,875;1,308333;
2023-06-27;0;963,0875;27,8;20,7375;14,1;62,375;1,454167;
2023-06-28;0;964,9375;28,4;21,7125;12,8;57,5;,479167;
2023-06-29;0;966,45;27,4;21,75;15,8;61;1,6625;
2023-06-30;0;966,979167;26,5;21,108333;15,8;63,666667;1,629167;
2023-07-01;0;966,141667;26,3;20,266667;12,4;68,583333;1,158333;
2023-07-02;0;963,841667;26,2;20,891667;15;63,625;1,541667;
2023-07-03;0;964,441667;26,1;20,3625;14,6;62,666667;2,091667;
2023-07-04;0;964,320833;25,1;19,204167;14,2;64,875;3,154167;
2023-07-05;0;964,1125;26,4;19,8875;12,5;61,416667;1,8625;
2023-07-06;0;961,545833;29;22,3125;17,4;56,875;2,129167;
2023-07-07;0;959,916667;29,2;23,0125;18,6;56,625;2,125;
2023-07-08;0;959,008333;28,9;22,833333;18,8;61,791667;2,195833;
2023-07-09;0;960,3375;30,9;23,6625;18,7;66,833333;1,720833;
2023-07-10;0;960,395833;30,4;23,775;18,7;65;1,466667;
2023-07-11;0;959,104167;31,8;25,241667;20,6;60,875;1,333333;
2023-07-12;0;955,579167;31,4;24,158333;17,9;58,458333;2,670833;
2023-07-13;8;962,391667;25,8;14,308333;12,1;80,5;2,970833;
2023-07-14;0;966,5125;17,4;11,9625;7,2;68,125;2,433333;
2023-07-15;0;963,679167;21,7;14,745833;7,6;62;2,045833;
2023-07-16;0;962,7125;24,6;19,354167;13,4;56,625;1,016667;
2023-07-17;0;964,020833;24,1;19,2625;16,5;72,416667;1,095833;
2023-07-18;0;967,866667;17,8;15,1875;12,4;80,166667;2,2125;
2023-07-19;0;969,754167;25,4;17,204167;12,2;76,791667;1,908333;
2023-07-20;0;968,4;27,4;20,691667;13,8;70,333333;3,483333;
2023-07-21;0;966,2;30,5;23,2375;17,3;62,375;3,1875;
2023-07-22;0;964,066667;30,9;23,041667;16,9;58,958333;2,7625;
2023-07-23;0;965,658333;30,7;22,854167;15,9;55,625;1,283333;
2023-07-24;0;966,0375;29,9;23,775;18,9;49,208333;1,554167;
2023-07-25;0;962,883333;30,8;23,883333;17,4;45,125;1,7125;
2023-07-26;0;962,216667;28,6;22,720833;18,6;55,416667;1,354167;
2023-07-27;,2;964,091667;27,1;21,495833;16,9;70,583333;2,070833;
2023-07-28;0;966,833333;26,5;19,5375;16,1;82,875;1,470833;
2023-07-29;1,8;967,854167;20,1;17,15;15,6;93,954545;1,4625;
2023-07-30;,2;966,616667;27,6;20,333333;15,4;74,916667;2,395833;
2023-07-31;0;967,4125;31;22,891667;16,2;56,333333;2,116667;
2023-08-01;0;966,275;30,7;23,345833;15,1;52,708333;2,241667;
2023-08-02;0;965,041667;31,9;23,916667;16,5;45,916667;2,345833;
2023-08-03;0;964,629167;32,3;24,55;15,2;44,875;1,441667;
2023-08-04;0;963,766667;32;24,733333;16,4;43,666667;1,6125;
