Nome: CORUMBA
Codigo Estacao: A724
Latitude: -18.99666666
Longitude: -57.63749999
Altitude: 111.73
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;0;995,1875;36,8;29,5625;24,6;65,083333;1,3375;
2023-01-02;0;993,791667;36,4;29,695833;25,6;64,375;1,479167;
2023-01-03;17,4;993,858333;30,2;24,979167;22,3;82,666667;1,558333;
2023-01-04;2,8;995,033333;26,3;24,475;23,9;82,458333;2,0875;
2023-01-05;0;996,141667;33,2;26,991667;22;63,666667;1,858333;
2023-01-06;0;996,954167;33,9;28,7375;24,1;42,083333;2,720833;
2023-01-07;0;997,5625;34,7;28,891667;22,9;48,333333;1,704167;
2023-01-08;0;997,275;35,4;29,954167;26;48,666667;2,720833;
2023-01-09;0;995,683333;36,9;28,908333;23,3;60,458333;1,225;
2023-01-10;0;996,05;36,4;28,358333;25,1;64,666667;,9125;
2023-01-11;2,2;997,158333;29,8;25,475;23,4;75,583333;1,495833;
2023-01-12;8,8;994,854167;30;25,429167;21,5;76,625;1,670833;
2023-01-13;13,6;993,320833;33,6;26,0625;22;76,875;1,904167;
2023-01-14;39,8;996,454167;29,2;22,175;21,1;88,916667;1,9375;
2023-01-15;5,2;998,304167;32,3;25,683333;20,9;73,5;,608333;
2023-01-16;0;997,1625;33;26,525;24,3;77,375;,8375;
2023-01-17;9,8;997,3375;33,2;25,9375;23,5;76,5;1,591667;
2023-01-18;5,4;998,691667;33,5;27,4;23,4;68,916667;1,304167;
2023-01-19;0;998,629167;34,9;28,775;23,5;62,5;,579167;
2023-01-20;0;996,008333;35,4;28,820833;24,1;66,5;,891667;
2023-01-21;5,6;993,370833;35,3;29,691667;25,7;62,166667;1,416667;
2023-01-22;0;993,345833;35,3;30,041667;25,1;59,416667;1,4875;
2023-01-23;0;994,4625;34,3;29,166667;25,9;66,208333;1,804167;
2023-01-24;0;994,891667;30;26,375;23,6;74,375;1,483333;
2023-01-25;0;994,295833;34,1;28,25;24,2;70,958333;,816667;
2023-01-26;0;993,295833;34,9;28,554167;25,3;71,166667;1,025;
2023-01-27;4,2;993,841667;31,4;27,370833;24,8;75,416667;,945833;
2023-01-28;0;995,475;34,4;27,895833;25;73,125;1,1625;
2023-01-29;0;996,591667;32,6;26,495833;23,8;77,958333;,875;
2023-01-30;25,8;994,629167;32,6;27,525;24,3;74,916667;1,420833;
2023-01-31;2,6;994,466667;32,6;27,258333;25,2;73,625;2,054167;
2023-02-01;15;996,2625;32,2;25,875;22,5;81,291667;1,004167;
2023-02-02;2;996,454167;33,1;26,766667;25,2;78,125;,745833;
2023-02-03;5,4;997,3875;28;25,8;23;81,708333;1,233333;
2023-02-04;6,6;999,5375;29,6;25,391667;23,5;83,25;1,125;
2023-02-05;12;998,808333;34,1;27,3;23,2;71,291667;,566667;
2023-02-06;4,2;997,170833;32,7;25,570833;23,7;83,125;1,0375;
2023-02-07;28;997,583333;33,2;27,15;23,4;76,833333;,983333;
2023-02-08;0;996,491667;32,8;26,858333;24,3;77,083333;,841667;
2023-02-09;0;996,329167;33,7;27,204167;24,4;77,5;,920833;
2023-02-10;0;996,595833;30,5;27,033333;25,6;79,041667;1,4;
2023-02-11;0;996,370833;31,7;25,575;23,5;80,791667;1,220833;
2023-02-12;8,8;995,041667;33,4;27,291667;24,5;76,958333;,608333;
2023-02-13;5,6;994,8625;33,2;26,316667;23,6;78,333333;2,05;
2023-02-14;18,4;994,733333;34,1;28,225;23;72,916667;1,458333;
2023-02-15;0;993,95;33,8;27,745833;24;72,041667;1,3875;
2023-02-16;8,2;990,6875;33,4;27,05;22,7;76,916667;1,358333;
2023-02-17;21,8;994,733333;28,1;23,458333;20,3;82;1,308333;
2023-02-18;10,4;1000,433333;26,3;23,5875;20,4;60,583333;3;
2023-02-19;0;999,970833;29,8;23,3;17,5;49,958333;2,8375;
2023-02-20;0;997,0875;32,1;26,866667;19,7;60,583333;1,65;
2023-02-21;0;997,141667;30,7;26,716667;24,2;76,166667;1,7;
2023-02-22;,2;998,4375;31,9;27,229167;24,2;73,791667;1,841667;
2023-02-23;1,8;999,033333;32,9;27,941667;24,5;73,833333;1,675;
2023-02-24;0;997,9125;33,4;26,633333;25,5;76,416667;2,066667;
2023-02-25;35,6;996,475;33,5;26,091667;21,2;77,333333;1,5;
2023-02-26;0;997,65;33,3;28,3625;23,8;72,166667;,970833;
2023-02-27;4,8;1000,375;33,4;27,520833;22,8;72;1,516667;
2023-02-28;,4;1000,029167;33,3;28,533333;23,7;72,25;1,05;
2023-03-01;0;997,95;33,8;28,5625;23,7;73,583333;,954167;
2023-03-02;0;996,05;35;29,416667;26;66,083333;1,866667;
2023-03-03;10,4;996,145833;32,8;26,316667;22,8;77,5;2,325;
2023-03-04;1,2;997,095833;33,5;27,508333;23,9;74,666667;1,033333;
2023-03-05;0;996,766667;35,2;28,1625;24,5;74,958333;,766667;
2023-03-06;6,2;994,0875;35,1;29,275;25,1;72,375;,445833;
2023-03-07;0;994,004167;34,2;28,370833;27,2;74,375;1,395833;
2023-03-08;2,4;996,045833;33,7;27,05;23;73,291667;1,566667;
2023-03-09;0;997,020833;33,2;27,220833;23,7;74,375;,975;
2023-03-10;17,2;996,65;34,4;27,408333;23,7;74,25;1,779167;
2023-03-11;0;996,933333;30,4;25,695833;23,3;79,208333;1,070833;
2023-03-12;20,4;996,708333;32,6;25,5625;23,4;81,208333;1,454167;
2023-03-13;36;996,429167;31,2;24,645833;21,5;84;1,391667;
2023-03-14;3,6;996,4125;31,9;26,7875;23,1;77,166667;1,245833;
2023-03-15;,6;996,654167;32,7;26,566667;24,4;76,583333;,958333;
2023-03-16;,4;996,175;31,7;25,1375;23,4;82,208333;,770833;
2023-03-17;30;995,9625;31,9;26,141667;22,2;78,375;,825;
2023-03-18;0;996,5;31,6;25,766667;23,5;78,875;2,591667;
2023-03-19;43,4;996,483333;30,6;25,2125;22,2;82,208333;2,420833;
2023-03-20;19,6;996,545833;28,9;25,058333;22,8;83,458333;2,416667;
2023-03-21;33,4;997,35;27,5;24,5125;22,4;85,75;1,729167;
2023-03-22;5,8;998,604167;31,9;26,954167;23;73,791667;1,866667;
2023-03-23;0;998,983333;33,3;27,895833;24,6;74,791667;,895833;
2023-03-24;19,4;1000,2125;30;25,391667;21,6;79,166667;1,458333;
2023-03-25;0;998,8625;33,5;27,2625;22,3;75,208333;,745833;
2023-03-26;0;999,65;34,6;27,329167;23,9;75,375;1,075;
2023-03-27;25,2;999,004167;33,1;27,345833;23,3;74;1,229167;
2023-03-28;0;996,925;34,9;28,970833;24,4;72,666667;,558333;
2023-03-29;0;996,591667;35;29,5125;25,8;67,291667;,945833;
2023-03-30;0;998,670833;35;29,820833;25,7;65,875;,7625;
2023-03-31;0;999,091667;34,6;29,15;24,5;64,666667;1,3625;
2023-04-01;0;998,954167;33,5;28,5625;24,4;65,875;,833333;
2023-04-02;0;997,029167;34;28,320833;24;71,041667;,641667;
2023-04-03;0;996,554167;33,3;28,420833;25,2;70;,925;
2023-04-04;0;995,8625;33,8;28,0125;25;72,208333;,55;
2023-04-05;41,6;996,3125;28,9;24,7375;20,8;82;1,120833;
2023-04-06;17;997,404167;30,3;25,075;20,6;80,083333;,779167;
2023-04-07;,2;998,258333;29;24,720833;22,6;79,416667;1,541667;
2023-04-08;4,4;999,7875;29,1;25,308333;22,6;77;,9625;
2023-04-09;,2;1000,116667;31,7;26,704167;22,6;70,083333;,8125;
2023-04-10;0;999,845833;33,3;27,566667;24,5;70,208333;,725;
2023-04-11;,8;997,9875;32,7;26,341667;23,6;77,333333;,641667;
2023-04-12;3,8;996,15;32,5;26,983333;23,6;75,75;,729167;
2023-04-13;0;994,645833;32,7;26,954167;25,2;78,833333;1,470833;
2023-04-14;52,8;997,154167;26,3;23,3875;21,5;85,375;1,308333;
