Nome: AVARE
Codigo Estacao: A725
Latitude: -23.10166666
Longitude: -48.9411111
Altitude: 776.36
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;0;927,1625;29,4;23,975;19,2;74,5;1,8125;
2023-01-02;0;924,9375;29,7;23,6625;19,6;76,083333;2,058333;
2023-01-03;1,4;923,208333;27,5;22,216667;19,3;80,541667;2,475;
2023-01-04;3,4;922,429167;23,5;20,7625;19,4;90,625;2,683333;
2023-01-05;36,8;925,3875;18,1;16,570833;15,3;90,791667;3,545833;
2023-01-06;2;927,8625;22,8;18,458333;15,5;78,5;4,3125;
2023-01-07;0;929,583333;23,9;18,633333;14,9;74,5;4,166667;
2023-01-08;0;928,875;24,4;19,225;15,3;78,875;3,408333;
2023-01-09;0;927,233333;25,5;20,266667;16,9;80,625;3,329167;
2023-01-10;0;926,866667;25;20,504167;18,4;87,125;1,5;
2023-01-11;9,8;926,391667;28;22,270833;19,4;80,75;2,008333;
2023-01-12;55,4;924,779167;27,3;21,808333;18,7;83,708333;1,758333;
2023-01-13;2,8;923,9125;28,3;22,275;19,2;84,083333;2,125;
2023-01-14;7;925,125;28;23,095833;19,9;81,208333;2,816667;
2023-01-15;0;926,991667;30;24,7875;20,8;74,958333;1,708333;
2023-01-16;0;926,925;29,9;23,675;21,9;79,583333;1,025;
2023-01-17;6,4;927,783333;30,4;23,25;19,4;79,666667;1,766667;
2023-01-18;4,6;928,658333;30,3;23,395833;19,5;76,625;2,441667;
2023-01-19;3,2;928,1875;28,4;21,933333;19,1;81;2,225;
2023-01-20;9;925,629167;27,2;22,291667;19;78,875;1,691667;
2023-01-21;0;923,195833;28,1;22,379167;18,1;79,458333;1,266667;
2023-01-22;0;922,7125;29,6;23,541667;19,9;78,583333;2,0375;
2023-01-23;0;923,479167;28,7;23,270833;19,6;80,083333;1,758333;
2023-01-24;0;923,479167;29,6;23,816667;18,9;71,166667;1,679167;
2023-01-25;0;924,691667;30,1;24,445833;19;64,666667;2,558333;
2023-01-26;0;924,708333;30,5;23,720833;18,3;69,791667;2,708333;
2023-01-27;0;925,666667;31,3;23,404167;16,6;65,375;2,483333;
2023-01-28;0;926,933333;28,8;23,679167;19,4;75,5;2,145833;
2023-01-29;0;926,2;29,8;23,904167;20,7;78,958333;1,779167;
2023-01-30;13,4;924,7375;27,1;21,5375;19;86,125;2,1375;
2023-01-31;24,2;925,579167;27,9;21,95;19,8;87,333333;1,4375;
2023-02-01;29,8;926,65;27,5;22,6875;19,6;82,875;1,345833;
2023-02-02;12;926,725;29,6;23,329167;20,4;80,958333;2,454167;
2023-02-03;63,4;926,079167;27,8;22,1375;19,4;82,75;2,4375;
2023-02-04;5,6;926,5875;27;21,991667;18,9;81,166667;2,8125;
2023-02-05;,2;926,775;27,3;23,025;20,3;81,083333;1,633333;
2023-02-06;0;926,3375;28,3;23,383333;20,3;79,833333;1,241667;
2023-02-07;0;926,879167;26,5;22,083333;20,3;83,708333;1,479167;
2023-02-08;2;926,420833;28,9;22,65;17,4;77,25;1,9625;
2023-02-09;0;926,491667;30,3;23,566667;17,6;72,041667;1,583333;
2023-02-10;0;926,675;28,7;21,920833;19,2;84,541667;1,575;
2023-02-11;65;926,954167;25,3;21,266667;18,3;86,625;1,529167;
2023-02-12;,4;925,895833;27,7;22,170833;19,6;84;1,570833;
2023-02-13;66,8;926,191667;28,6;22,3;18,9;83,25;1,654167;
2023-02-14;29,4;925,454167;30,3;24,05;19,6;77,25;1,575;
2023-02-15;18,6;923,120833;29,3;23,8875;18,9;78,041667;2,166667;
2023-02-16;,2;921,004167;28,9;22,354167;19,5;84;2,408333;
2023-02-17;26,6;921,620833;27,1;21,866667;19,8;86,208333;3,283333;
2023-02-18;2,6;925,808333;27,1;21,108333;19,3;88,708333;2,083333;
2023-02-19;9,2;929,516667;20,2;17,629167;15,9;88,25;4,008333;
