Nome: PIRACICABA
Codigo Estacao: A726
Latitude: -22.70305555
Longitude: -47.62333332
Altitude: 566.46
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;,2;949,820833;29,3;23,741667;20,3;81,375;1,504167;
2023-01-02;10,2;947,5375;31,5;23,958333;18,6;75,833333;1,570833;
2023-01-03;3,8;945,983333;27,9;23,5125;20,1;83,166667;1,658333;
2023-01-04;1,6;945,3625;27,8;22,954167;21,2;84,291667;2,133333;
2023-01-05;13,4;947,845833;21,6;19,275;18;90,041667;3,054167;
2023-01-06;7,8;950,820833;22,9;19,2875;17,5;74,708333;4,4625;
2023-01-07;0;952,4125;24,2;20,329167;17,8;70,458333;4,208333;
2023-01-08;0;951,654167;24,3;20,825;17,5;73,958333;3,079167;
2023-01-09;,2;949,820833;26,5;21,75;19,3;81,625;2,45;
2023-01-10;4,2;949,629167;28,4;22,129167;19,6;86,041667;2,041667;
2023-01-11;56,8;949,479167;27,4;22,091667;18,8;88,583333;1,633333;
2023-01-12;0;947,458333;29,4;23,041667;19,2;82,083333;1,583333;
2023-01-13;3,6;946,995833;29,5;23,154167;19,9;86,041667;2,1875;
2023-01-14;83,2;948,325;30,5;24,008333;19,8;81,75;1,870833;
2023-01-15;4,6;949,6625;33;25,229167;20,8;79;2,041667;
2023-01-16;0;949,116667;33,1;25,054167;20,2;76,826087;1,854167;
2023-01-17;21,2;950,133333;31,1;23,95;19,5;81,208333;1,7375;
2023-01-18;,6;951,158333;32,4;24,445833;20,6;73,708333;2,029167;
2023-01-19;,2;950,725;31,4;23,683333;20,3;75,791667;1,7875;
2023-01-20;7,8;948,391667;27,6;21,9875;19,8;88,208333;1,325;
2023-01-21;23,4;945,795833;28,3;22,666667;19,3;85,5;1,133333;
2023-01-22;10,6;945,25;30,4;24,508333;20;77,166667;1,104167;
2023-01-23;0;945,945833;30;23,520833;20,3;84;1,475;
2023-01-24;50,2;945,875;29,9;24,141667;20;78,791667;1,704167;
2023-01-25;0;946,770833;31,7;25,191667;19,3;66,166667;1,983333;
2023-01-26;0;946,954167;32,1;25,541667;19;60,375;2,804167;
2023-01-27;0;948,1;31,5;24,708333;17,6;57,291667;2,054167;
2023-01-28;0;949,570833;30;25,145833;20,8;69,416667;2,170833;
2023-01-29;2,2;949,091667;28,1;22,979167;21,5;90,416667;1,445833;
2023-01-30;38,6;947,8875;28,3;22,325;18,7;90,625;1,6625;
2023-01-31;25;948,275;30,9;24,3;19,8;79,416667;1,408333;
2023-02-01;34;949,6;29,4;23,295833;20,1;87,208333;1,283333;
2023-02-02;19,2;949,7125;30,1;22,941667;20,4;89;1,691667;
2023-02-03;23,6;949,170833;29,2;22,65;19,9;87,708333;1,908333;
2023-02-04;23,2;949,625;29,1;23,420833;20;81,166667;2,5125;
2023-02-05;3,2;949,408333;30;24,554167;21,4;81,041667;1,854167;
2023-02-06;,6;949,0875;28,7;23,041667;20,2;86,875;1,375;
2023-02-07;10,2;949,583333;27,1;22,166667;20;92,791667;1,3875;
2023-02-08;2,6;948,741667;31,1;24,170833;19,8;78,541667;1,720833;
2023-02-09;0;948,9875;31,8;25,275;19,2;70,833333;1,945833;
2023-02-10;0;949,279167;29,9;23,6375;20,7;78,875;1,479167;
2023-02-11;3,4;949,741667;27,1;22,466667;20,3;89,25;1,095833;
2023-02-12;5,2;948,770833;29,2;22,825;19,8;85,958333;1,3;
2023-02-13;7,8;949,025;29,2;23,2375;19,6;83,25;1,6375;
2023-02-14;9,8;948,241667;30,6;23,341667;19,8;87,333333;1,483333;
2023-02-15;3,6;945,7875;32,2;25,383333;20,2;76,291667;2,270833;
2023-02-16;0;943,816667;30,5;24,65;20,9;73,956522;2,233333;
2023-02-17;11,2;944,883333;30,9;23,854167;19,9;81,916667;2,216667;
2023-02-18;0;948,420833;31,4;23,825;21;84,125;1,808333;
2023-02-19;7,6;952,233333;24,6;21,2875;19,3;79,375;3,279167;
2023-02-20;,2;950,516667;31,4;22,720833;18;78,791667;1,891667;
2023-02-21;0;950,595833;29,7;23,595833;19,7;79;1,616667;
2023-02-22;0;952,208333;30,5;24,329167;19,7;73,545455;1,625;
2023-02-23;0;952,504167;29,6;23,129167;19,7;83,217391;1,5375;
2023-02-24;14,6;949,8;30,1;24,0625;19,7;80,708333;1,5125;
2023-02-25;0;948,375;31,3;24,608333;20,1;79,083333;1,633333;
2023-02-26;6,4;950,75;30;24,408333;19,5;80,416667;1,2625;
2023-02-27;0;952,6125;33;25,558333;21,2;75,875;1,8875;
2023-02-28;,4;953,775;30,8;23,104167;20,1;79,916667;2,154167;
2023-03-01;6,6;952,0625;30,6;23,3;18,5;76,958333;1,35;
2023-03-02;0;949,958333;32,1;24,491667;18,7;70,791667;1,245833;
2023-03-03;0;949,166667;32,2;26,079167;21;68,875;1,416667;
2023-03-04;8,4;950,070833;29,9;22,575;20,6;85,958333;1,679167;
2023-03-05;19,8;948,2;31,1;23,0625;19,4;82,125;1,541667;
2023-03-06;,4;946,454167;30,9;23,470833;18,6;78,416667;2,0625;
2023-03-07;1,2;948,354167;31,2;24,070833;17,9;68,75;1,845833;
2023-03-08;0;949,879167;32;24,383333;19;70,208333;1,495833;
2023-03-09;0;950,666667;30,8;23,541667;20,4;80,958333;1,283333;
2023-03-10;0;950,7375;28,9;22,2375;20,1;88,75;1,35;
2023-03-11;8,2;949,9;26,6;21,591667;19,5;95,142857;1,0625;
2023-03-12;3;950,245833;28,2;22,945833;20,4;77,571429;1,466667;
2023-03-13;,4;950,741667;28,8;23,033333;19,8;84,789474;1,083333;
2023-03-14;0;951,454167;29,6;22,483333;20,5;88,904762;1,208333;
2023-03-15;4,4;950,741667;30,3;23,6875;19,8;78,7;1,308333;
2023-03-16;0;949,866667;31,7;24,933333;19,1;68,458333;2,470833;
2023-03-17;0;950,495833;29,9;23,970833;18,9;68,625;2,2125;
2023-03-18;0;950,779167;31,4;24,3;18,1;66,625;1,633333;
2023-03-19;0;950,320833;32,1;24,529167;18,8;70,916667;1,445833;
2023-03-20;0;950,170833;32,2;24,279167;19,5;73,8;1,6625;
2023-03-21;28;951,579167;30,9;23,804167;18,8;65,625;1,508333;
2023-03-22;0;952,641667;31,8;24,829167;18,8;68;1,6625;
2023-03-23;0;952,75;31,6;25,041667;19;66,666667;1,554167;
2023-03-24;0;951,4375;32,2;25,666667;19,4;68,363636;1,458333;
2023-03-25;0;950,804167;32,2;25,654167;19,9;62,708333;1,8625;
2023-03-26;0;950,025;33,4;25,983333;19,3;65,571429;1,608333;
2023-03-27;0;950,583333;29,9;25,1625;21,6;68,791667;2,775;
2023-03-28;0;951,020833;30,5;23,425;18,7;74,291667;1,725;
2023-03-29;2;950,704167;30,2;23,791667;19,7;79,772727;1,575;
2023-03-30;0;951,408333;31;24,575;19,2;72,875;1,341667;
2023-03-31;0;949,783333;31,8;24,254167;20,4;76;1,820833;
2023-04-01;8,4;949,025;30,6;24,220833;18;69,863636;1,579167;
2023-04-02;0;950,645833;28,1;22,85;17,6;66,208333;3,845833;
2023-04-03;0;950,658333;30,2;22,445833;16;67,333333;1,833333;
2023-04-04;0;949,666667;30;23,341667;17,1;65,454545;1,466667;
2023-04-05;0;949,55;30,8;23,058333;16,5;62,238095;1,975;
2023-04-06;0;949,754167;30,1;23,504167;18,6;65,791667;2,608333;
2023-04-07;11,4;949,545833;23,7;20,4375;19,1;90,833333;1,75;
2023-04-08;10,8;950,608333;26,8;21,8375;18,5;81,2;1,841667;
2023-04-09;,2;952,525;23,9;21,491667;19,9;77,166667;3,204167;
2023-04-10;1,4;953,354167;28,4;21,925;16,9;65,041667;3,054167;
2023-04-11;0;951,841667;29,4;21,429167;14,6;70,708333;1,4125;
2023-04-12;0;949,775;29,3;22,1625;17,6;80,25;1,016667;
2023-04-13;0;947,941667;30,9;22,829167;18,1;74,95;1,4;
2023-04-14;27,8;948,4875;23,5;20,058333;18,1;94,615385;1,116667;
