Nome: LINS
Codigo Estacao: A727
Latitude: -21.66611111
Longitude: -49.73472221
Altitude: 460.65
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;0;960,841667;32,5;26,2625;21,5;71,041667;1,029167;
2023-01-02;,2;959,0125;32,6;25,095833;21,6;74,333333;1,404167;
2023-01-03;7,6;957,804167;29,7;23,854167;20,8;79,041667;,820833;
2023-01-04;21;957,170833;27,7;22,85;20,7;87,041667;1,025;
2023-01-05;42,6;958,733333;23,3;20,958333;18,9;83,75;2,545833;
2023-01-06;0;961,141667;26,1;21,733333;18,1;68,416667;3,225;
2023-01-07;0;962,691667;27,2;22,241667;18,7;65,333333;3,4;
2023-01-08;0;962,008333;27,3;22,645833;18,1;67,291667;2,9875;
2023-01-09;0;960,595833;28,2;23,308333;20;77,875;1,941667;
2023-01-10;43,8;960,770833;29,5;24,2125;21;80,25;1,116667;
2023-01-11;82,8;960,833333;31,3;23,925;19,6;77,458333;1,516667;
2023-01-12;2,6;959,229167;30;24,5;20,9;75,583333;,820833;
2023-01-13;,4;958,254167;32,2;25,225;21,6;74,541667;1,291667;
2023-01-14;9;959,541667;30,6;25,233333;21,6;74,875;1,295833;
2023-01-15;,4;961,245833;33,1;26,691667;22,3;69,125;,9;
2023-01-16;0;960,533333;33,8;26,904167;23,3;67,75;1,220833;
2023-01-17;2,8;961,554167;32,8;26,416667;21,3;68,291667;1,125;
2023-01-18;2;962,2;33;26,725;20,8;65,958333;1,354167;
2023-01-19;7;961,933333;30,9;24,95;20,8;71,541667;1,666667;
