Nome: TAUBATE
Codigo Estacao: A728
Latitude: -23.04166666
Longitude: -45.52083332
Altitude: 582.26
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;15,2;948,7625;30,1;22,575;17,7;76,916667;1,520833;
2023-01-02;,2;946,341667;31,3;23,383333;17,9;73,333333;1,854167;
2023-01-03;1,4;944,420833;28,8;22,9;18,3;78,166667;1,454167;
2023-01-04;0;943,445833;29,8;23,4375;21;81,625;1,3875;
2023-01-05;42,6;946,504167;21,5;19,245833;17,9;90,458333;2,116667;
2023-01-06;15,6;950,3;21,2;18,895833;17,7;81,083333;1,6625;
2023-01-07;0;952,004167;22,8;18,983333;17;79,666667;1,691667;
2023-01-08;0;950,9625;24,5;19,9375;17,1;81,375;1,554167;
2023-01-09;21;949,2875;24,2;20,45;18,6;88,041667;1,245833;
2023-01-10;7,8;948,325;28,7;22,7375;19,5;80,083333;1,079167;
2023-01-11;0;947,895833;27,2;22,916667;19,8;82,083333;1,320833;
2023-01-12;2,8;945,766667;30,2;23,4125;20,3;80,916667;1,704167;
2023-01-13;1;945,516667;30,1;22,933333;19,9;82,833333;1,333333;
2023-01-14;3;946,666667;32,7;24,8625;20;73,25;2,120833;
2023-01-15;30,6;948,2;33,6;24,929167;19,5;74,833333;1,720833;
2023-01-16;,2;947,670833;33,7;25,595833;20,7;73,708333;1,541667;
2023-01-17;1,2;948,4875;33,4;26,254167;20,7;67,125;1,966667;
2023-01-18;0;950;32,8;23,875;20,2;75,416667;1,6375;
2023-01-19;22,2;949,5375;30,9;22,429167;18,4;83,083333;1,558333;
2023-01-20;6;947,333333;25;21,266667;19,2;86,416667;1,245833;
2023-01-21;1,8;943,575;30,3;23,704167;19;73,916667;2,275;
2023-01-22;0;943,166667;31,6;24,25;18,8;72,416667;1,95;
2023-01-23;0;944,1625;31,8;24,325;19,4;74,208333;1,4875;
2023-01-24;1,8;944,0875;29,8;23,0375;20,1;81,875;1,716667;
2023-01-25;7,6;945,704167;31,1;24,2875;19,9;73,291667;1,891667;
2023-01-26;0;946,954167;30,9;22,975;15,6;60,625;2,325;
2023-01-27;0;947,479167;32,1;23,154167;16,7;70,666667;2,129167;
2023-01-28;0;948,3875;29,8;24,3375;20,4;74,875;2,2;
2023-01-29;12;947,554167;30,4;22,529167;19,9;84,5;1,908333;
2023-01-30;5,8;946,204167;29,6;23,020833;19,5;80,208333;1,658333;
2023-01-31;15,8;946,858333;31,5;23,283333;19,5;79,291667;1,9;
2023-02-01;3,6;948,2125;28,9;22,7;19,6;84,083333;1,495833;
2023-02-02;15,4;948,0125;30,7;24,258333;20,5;78,5;1,683333;
2023-02-03;0;947,208333;28,3;24,045833;20,5;80,333333;1,845833;
2023-02-04;3,4;947,091667;32,5;25,625;20,5;71,125;2,379167;
2023-02-05;0;946,979167;32,9;26,133333;20,5;69,75;1,820833;
2023-02-06;0;947,366667;29,7;23,195833;20,3;83,625;1,545833;
2023-02-07;29,6;948,141667;26;21,9875;19,6;88,208333;1,2375;
2023-02-08;24,8;947,925;29,1;21,708333;19,6;86,458333;1,441667;
2023-02-09;76;948,166667;30,5;22,8375;17,7;80,25;1,8125;
2023-02-10;2,8;948,0875;30,6;23,266667;20,5;81,458333;2,1375;
2023-02-11;43;948,225;29,3;22,1375;18,7;84,791667;1,375;
2023-02-12;21,2;947,358333;27,1;22,675;20,2;83,125;1,945833;
2023-02-13;1,8;947,2375;29,4;23,7125;19,8;77,75;1,4625;
2023-02-14;,4;946,304167;31;24,458333;20,1;78,333333;1,604167;
2023-02-15;19,8;944,083333;34;24,7125;19,7;76,375;1,883333;
2023-02-16;3,8;941,870833;31,6;25,733333;21,5;71,166667;2,554167;
2023-02-17;1;943,266667;30,7;25,441667;20,5;72,583333;2,054167;
2023-02-18;,2;946,829167;30,8;23,854167;21,5;81,041667;2,3875;
2023-02-19;37,4;950,683333;25,3;21,208333;19,6;86,083333;2,85;
2023-02-20;,6;949,179167;31,3;23,020833;18,7;79,958333;1,729167;
2023-02-21;22;948,991667;31,4;22,808333;19,8;81;1,958333;
2023-02-22;1,4;951,3;27,3;22,3375;19,3;81,708333;1,425;
2023-02-23;0;951,291667;29,3;23,141667;19,9;79,833333;1,575;
2023-02-24;50,4;948,404167;30,9;23,3;19,1;81,791667;1,558333;
2023-02-25;1,2;946,858333;33,4;24,966667;20,6;75,541667;1,733333;
2023-02-26;2,6;948,975;32,4;24,204167;20,2;79,875;1,4;
2023-02-27;2,6;951,470833;32,2;23,925;20;81,25;1,45;
2023-02-28;4;952,808333;30,7;23,329167;21,1;81,208333;1,5125;
2023-03-01;25,8;950,558333;30,8;23,091667;18,1;77,375;1,733333;
2023-03-02;,2;948,545833;32,3;23,579167;18,8;76,916667;2,075;
2023-03-03;8,2;948,125;32,3;24,0875;19,4;77,791667;1,916667;
2023-03-04;4,6;948,466667;30,4;23,083333;20,1;82,125;1,420833;
2023-03-05;3,2;946,466667;30,3;22,7875;20,6;83,541667;1,875;
2023-03-06;29,2;945,433333;30,6;23,354167;16,9;77,208333;2,295833;
2023-03-07;4;947,425;29,2;23,1125;19,5;78,666667;2,345833;
2023-03-08;4,8;948,704167;28,7;22,708333;18;81,125;1,233333;
2023-03-09;,2;949,204167;31,3;23,395833;19,7;81,416667;1,195833;
2023-03-10;,8;949,175;32,2;22,829167;19,1;80,916667;1,445833;
2023-03-11;16,8;948,733333;27,7;21,783333;20;87,083333;1,345833;
2023-03-12;4,4;949,141667;27,1;21,941667;20,2;86,083333;1,3375;
2023-03-13;18,2;949,979167;28,4;22,2875;19,7;83,291667;2,066667;
2023-03-14;6,8;950,283333;28,5;22,7;20,1;84;1,675;
2023-03-15;,4;949,9375;30,1;23,308333;18,2;75,166667;1,708333;
2023-03-16;0;949,491667;29,8;22,891667;18;74,125;2,141667;
2023-03-17;0;949,745833;30,7;22,6125;16,7;72,5;1,954167;
2023-03-18;0;949,7125;30,9;23,2375;16,8;72,125;1,941667;
2023-03-19;0;949,208333;31,9;23,883333;18,8;74,541667;1,875;
2023-03-20;0;948,795833;32,7;24,204167;19,2;73,625;1,55;
2023-03-21;7,8;949,875;31,2;23,454167;18,1;73,833333;1,7;
2023-03-22;,2;951,829167;31,2;22,979167;17,1;72,958333;1,670833;
2023-03-23;0;952;31,5;23,354167;16,9;71,583333;1,9875;
2023-03-24;0;950,066667;32,1;23,8375;17,6;73,083333;1,4375;
