Nome: IBITINGA
Codigo Estacao: A737
Latitude: -21.85555555
Longitude: -48.79972221
Altitude: 496.75
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;null;956,7875;32,5;25,195833;20;76,125;1,008333;
2023-01-02;null;954,904167;32,4;24,9625;20,2;76,208333;1,679167;
2023-01-03;null;953,7875;27,7;22,908333;19,8;84,708333;1,5125;
2023-01-04;null;953,133333;27,8;22,270833;20,2;89,958333;2,775;
2023-01-05;null;954,5875;21,4;19,658333;17,8;94,166667;2,108333;
2023-01-06;null;956,966667;25,5;20,483333;17,1;77,583333;2,954167;
2023-01-07;null;958,695833;26,3;21,283333;18,2;73,666667;2,808333;
2023-01-08;null;958,2125;24,4;20,7375;17,9;82,125;2,116667;
2023-01-09;null;956,691667;24,5;21,283333;19,2;94,166667;1,183333;
2023-01-10;null;956,825;28;23,420833;20,7;85,791667;1,7125;
2023-01-11;null;956,9875;26;21,666667;18,7;92,291667;1,204167;
2023-01-12;null;955,066667;29,8;23,354167;19,2;81,75;1,379167;
2023-01-13;null;954,291667;30,8;24,033333;20,3;82,375;1,933333;
2023-01-14;null;955,645833;30,2;24,258333;20,6;81,791667;1,675;
2023-01-15;null;957,066667;31,7;26,108333;20,9;75,625;1,516667;
2023-01-16;null;956,508333;33,6;25,7375;21,4;78,333333;1,070833;
2023-01-17;null;957,445833;31,7;24,370833;19,1;81,5;1,125;
2023-01-18;null;958,008333;33,5;25,675;20,2;75,041667;1,491667;
2023-01-19;null;957,804167;30,8;24,1625;20,7;80,333333;1,6125;
2023-01-20;null;955,666667;29,8;23,441667;20,4;84,416667;1,325;
