Nome: CASA BRANCA
Codigo Estacao: A738
Latitude: -21.78055554
Longitude: -47.07527777
Altitude: 734.15
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;null;932,291667;29,7;23,583333;20,4;71,416667;1,5625;
2023-01-02;null;930,4375;30,7;22,720833;19,5;75,416667;1,9625;
2023-01-03;null;929,379167;25,7;21,554167;20,2;84,291667;1,804167;
2023-01-04;null;928,833333;27,2;21,4625;19,4;83,208333;2,179167;
2023-01-05;null;929,208333;23,7;20,454167;19,3;89,625;,895833;
2023-01-06;null;931,466667;24,9;19,741667;17,6;80,416667;1,25;
2023-01-07;null;933,454167;23,9;19,579167;16,7;79,791667;,775;
2023-01-08;null;933,15;26;20,395833;16,7;81,75;,870833;
2023-01-09;null;931,958333;26,6;21,258333;19,2;85,25;1,0625;
2023-01-10;null;932,483333;26,9;21,691667;18,9;82;1,8;
2023-01-11;null;932,395833;25,8;21,1375;19,2;85,708333;,875;
2023-01-12;null;930,416667;26,9;22,070833;18,6;82,541667;1,4875;
2023-01-13;null;930,091667;27,8;22,366667;20;81,541667;2,05;
2023-01-14;null;931,433333;30,9;23,758333;19,5;73,125;2,3875;
2023-01-15;null;932,475;32,5;25,095833;20,4;70;1,166667;
2023-01-16;null;931,733333;32,4;23,845833;20,2;73,875;1,454167;
2023-01-17;null;932,420833;31,3;23,920833;20,2;74,833333;1,4125;
2023-01-18;null;933,345833;31,9;23,945833;19,5;71,375;1,4625;
2023-01-19;null;932,8875;31,4;22,795833;18,6;76,041667;1,620833;
2023-01-20;null;931,045833;25,5;21,104167;19,2;85,083333;1,391667;
2023-01-21;null;928,670833;27,9;21,758333;19,1;83,708333;1,283333;
2023-01-22;null;928,35;29,2;22,829167;19,5;79,708333;,729167;
2023-01-23;null;928,833333;30,1;23,854167;19,7;73,791667;1,2125;
2023-01-24;null;928,475;29,4;23,3375;19,7;77,208333;1;
2023-01-25;null;928,929167;31,3;25,0375;18,9;65,708333;,495833;
2023-01-26;null;929,166667;32,3;25,575;21,1;57,375;1,508333;
2023-01-27;null;930,429167;31,6;25,220833;21;63,25;2,2875;
2023-01-28;null;932,479167;29;24,4;22;69,791667;1,9625;
2023-01-29;null;931,983333;28,6;22,508333;20,7;76,083333;1,55;
2023-01-30;null;930,741667;28,2;22,254167;19,8;79,791667;1,008333;
2023-01-31;null;931,2;29,3;23,420833;19,3;75,625;2,1625;
2023-02-01;null;932,2875;30,1;22,904167;19,8;80,166667;1,429167;
2023-02-02;null;932,620833;28,6;22,125;19,3;85,083333;1,183333;
2023-02-03;null;931,783333;31,2;23,870833;19,9;75,375;1,220833;
2023-02-04;null;932,670833;30,8;24,4875;20,1;68,125;2,1875;
2023-02-05;null;932,4875;29,5;23,895833;21;76,083333;,85;
2023-02-06;null;931,775;30;24,308333;20,6;74,458333;,779167;
2023-02-07;null;931,9875;30,3;23,279167;20,7;75,291667;1,133333;
2023-02-08;null;931,054167;31,5;23,729167;19,7;74,291667;1,158333;
2023-02-09;null;931,6875;32;24,683333;19,6;68,208333;1,7;
2023-02-10;null;932,029167;30,6;23,279167;19,9;74;1,358333;
2023-02-11;null;932,195833;27,2;22,029167;19,7;81,916667;1,154167;
2023-02-12;null;931,8625;27;20,858333;19,3;85,416667;1,55;
2023-02-13;null;931,641667;29,6;23,116667;19,3;75,083333;1,391667;
2023-02-14;null;930,904167;31,3;24,3875;19,9;73,416667;1,141667;
2023-02-15;null;929,029167;33,5;24,970833;20,9;71,333333;2,004167;
2023-02-16;null;927,104167;31;24,5625;20,5;70,166667;2,016667;
2023-02-17;null;928,075;31,5;24,566667;20,1;71,375;1,916667;
2023-02-18;null;930,766667;30,6;24,820833;21,5;70,083333;1,304167;
2023-02-19;null;933,195833;28,3;22,329167;18,9;79,5;1,6375;
2023-02-20;null;932,570833;31,4;23,695833;18,1;70,333333;1,554167;
2023-02-21;null;933,325;28,9;22,116667;19,4;80,5;1,404167;
2023-02-22;null;934,625;31,2;24,175;19,6;71,625;,958333;
2023-02-23;null;934,829167;30,1;23,2625;20,4;74,75;1,1625;
2023-02-24;null;932,704167;30;23,245833;19,9;75,75;1,5375;
2023-02-25;null;931,479167;32,4;24,5375;19,8;71,166667;1,575;
2023-02-26;null;933,429167;32,1;24,0875;20,5;75,458333;1,275;
2023-02-27;null;934,595833;33,5;25,708333;20,2;68,5;1,016667;
2023-02-28;null;935,45;32,5;24,283333;20,1;70,416667;1,654167;
2023-03-01;null;934,095833;31,7;24,0125;18,7;67,291667;,8;
2023-03-02;null;932,5875;32,7;24,675;19,3;64,958333;1,216667;
2023-03-03;null;932,029167;31,9;24,879167;20,9;68,708333;1,304167;
2023-03-04;null;932,7875;31,7;23,454167;21,7;76,416667;1,566667;
2023-03-05;null;931,120833;29,5;23,116667;19,2;76,708333;1,854167;
2023-03-06;null;929,783333;29,3;22,125;18,9;74,5;2,995833;
2023-03-07;null;931,320833;30;22,55;18,2;67;1,883333;
2023-03-08;null;932,516667;29,8;23,7625;18,3;66,916667;1,629167;
2023-03-09;null;933,025;30,8;23,945833;20,9;69,791667;1,108333;
2023-03-10;null;933,2;30,6;22,575;20,1;78,041667;,970833;
2023-03-11;null;932,366667;27,8;21,8875;19,5;82,416667;1,095833;
2023-03-12;null;932,541667;28,5;22,745833;19,5;79,708333;,9;
2023-03-13;null;933,104167;29,1;22,620833;19,1;80,708333;1,083333;
2023-03-14;null;933,579167;29;22,9;20,3;79,333333;1,016667;
2023-03-15;null;932,8125;30,5;23,754167;19,8;73,416667;,845833;
2023-03-16;null;932,041667;30,8;24,520833;20,2;65,166667;1,4625;
2023-03-17;null;932,583333;29,2;23,733333;19,1;64,875;,754167;
2023-03-18;null;932,954167;30,5;24,7125;19,1;61,333333;,729167;
