Nome: SAO LUIZ DO PARAITINGA
Codigo Estacao: A740
Latitude: -23.22833332
Longitude: -45.41694443
Altitude: 862.3
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;null;917,675;29,2;20,683333;14,9;83,666667;,9125;
2023-01-02;null;915,35;28,8;21,075;16,3;81,166667;1,408333;
2023-01-03;null;913,4625;26,7;21,0875;17,7;84,125;1,454167;
2023-01-04;null;912,645833;26,8;21,029167;18,9;88,541667;1,345833;
2023-01-05;null;915;19,6;17,383333;16,1;96,666667;1,058333;
2023-01-06;null;918,645833;18,8;16,283333;15,2;91,125;1,695833;
2023-01-07;null;920,358333;19,3;16,491667;14,7;91;1,754167;
2023-01-08;null;919,420833;23,4;17,920833;15,1;89,375;,9;
2023-01-09;null;917,866667;23;18,666667;16,9;95,541667;1,15;
2023-01-10;null;917,175;25,6;20,5375;17,3;86,875;,908333;
2023-01-11;null;916,7625;24,8;20,695833;17,8;90,458333;1,033333;
2023-01-12;null;914,779167;27,1;21,191667;18,2;88,125;1,233333;
2023-01-13;null;914,554167;27,9;20,966667;18,2;89,625;1,6875;
2023-01-14;null;915,783333;30,2;22,941667;18,1;80,5;1,941667;
2023-01-15;null;917,429167;32,5;23,070833;18,6;83,208333;1,620833;
2023-01-16;null;916,945833;31,1;23,366667;18,2;81,958333;1,2875;
2023-01-17;null;917,8125;30,4;23,070833;18,1;80,333333;1,475;
2023-01-18;null;919,079167;30,6;22,279167;16,9;82,041667;1,358333;
2023-01-19;null;918,441667;28,8;21,0375;17,1;86,791667;1,2375;
2023-01-20;null;916,0875;23,5;19,354167;17,6;93,041667;,716667;
2023-01-21;null;912,745833;27,6;20,754167;16,9;86,083333;1,2625;
2023-01-22;null;912,3625;28,9;21,9125;16,3;81;1,220833;
2023-01-23;null;913,370833;29,4;22,175;17,7;82,75;1,070833;
2023-01-24;null;913,170833;27,5;21,045833;18,1;89,541667;1,216667;
2023-01-25;null;914,9;27,9;21,575;16,6;81,458333;2,0375;
2023-01-26;null;916,0625;27,6;20,070833;13,6;72,583333;1,970833;
2023-01-27;null;916,558333;30;20,404167;13,9;81,708333;1,520833;
2023-01-28;null;917,375;28,4;21,825;17;83,791667;1,7875;
2023-01-29;null;916,458333;28,6;20,8;18,1;90,125;1,391667;
2023-01-30;null;915,2;27,9;20,633333;17,7;88,5;1,708333;
