Nome: BRAGANCA PAULISTA
Codigo Estacao: A744
Latitude: -22.94916666
Longitude: -46.5261111
Altitude: 880
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;9,2;915,708696;28,6;21,730435;18,8;81,913043;,504348;
2023-01-02;1,6;913,483333;29,9;22,604167;17,7;77,958333;1,379167;
2023-01-03;,2;911,9;26,3;21,5;19;88,086957;1,547826;
2023-01-04;12,8;911,213043;25,8;21,534783;19,8;85,652174;2,195652;
2023-01-05;46,2;913,121739;19,3;17,347826;16,2;99,521739;2,730435;
2023-01-06;12;916,213636;18,1;16,209091;15,2;90,818182;3,318182;
2023-01-07;0;917,754167;20,1;16,9;14,9;89,916667;3,304167;
2023-01-08;0;917,066667;23,5;18,133333;15,3;88,583333;2,279167;
2023-01-09;5,8;915,55;22,9;19,640909;17,5;93,863636;1,577273;
2023-01-10;null;915,242857;25,9;null;18,1;84,095238;1,809524;
2023-01-11;,2;915,227273;24,9;20,85;18,8;90,636364;1,336364;
2023-01-12;null;912,97;27,3;null;18,4;83;1,705;
2023-01-13;0;912,843478;27,7;22,243478;20;84,869565;1,686957;
2023-01-14;25,8;914,325;29,4;23,045833;18,2;79,458333;1,995833;
2023-01-15;,4;915,613043;30,9;24,704348;19,7;77,826087;1,286957;
2023-01-16;0;915,041667;32,5;24,395833;20,1;71,791667;,825;
2023-01-17;7;915,8;31,6;24,326087;19,8;76,608696;1,047826;
2023-01-18;0;917,086364;31,7;22,545455;19,2;84,590909;1,472727;
2023-01-19;5,8;916,358333;28,7;21,5;18,8;86,916667;1,325;
2023-01-20;5,2;914,052174;23,3;20,108696;18,9;95,695652;,378261;
2023-01-21;5,2;911,13913;28,2;22,3;18,6;81,217391;1,83913;
2023-01-22;,2;911,1125;28,9;23,445833;20,1;79;1,941667;
2023-01-23;0;911,7875;29,5;22,6375;19;84,666667;1,275;
2023-01-24;5,6;911,425;29,2;23,008333;19,8;83,958333;1,704167;
2023-01-25;16;912,630435;29,5;23,143478;18,2;77;1,586957;
2023-01-26;0;913,270833;29,6;22,854167;17,2;66,875;2,275;
2023-01-27;0;914,091667;30;22,695833;16,4;67,666667;1,466667;
2023-01-28;0;915,521739;28,6;22,634783;19;82,304348;1,834783;
2023-01-29;1,6;914,816667;28,8;22,470833;19,9;84,833333;1,2875;
2023-01-30;,6;913,55;28,5;22,170833;19,6;85,666667;1,583333;
2023-01-31;1,4;913,943478;29,9;23,726087;19,9;74;1,578261;
2023-02-01;15,4;915,220833;29,3;22,704167;18,9;84,833333;1,354167;
2023-02-02;13,4;915,433333;29,3;22,983333;19,4;82,791667;1,766667;
2023-02-03;5,2;914,7375;27,7;22,841667;19,5;83,5;1,954167;
2023-02-04;22,2;915,2;27,5;22,116667;18,5;87,166667;2,6;
2023-02-05;9;915,078261;27,6;23,465217;20,8;84,565217;2,095652;
2023-02-06;1,4;914,795833;29,5;22,766667;19,9;85,625;1,383333;
2023-02-07;,6;915,245833;26,8;21,508333;19,3;92,791667;,954167;
2023-02-08;7,4;914,504348;29,6;22,334783;18,7;82,956522;1,534783;
2023-02-09;,2;914,929167;30,5;23,520833;18,3;76,791667;1,483333;
2023-02-10;0;915,108333;29,6;22,833333;18,9;79,25;1,770833;
2023-02-11;34;915,213636;25,8;21,954545;18,5;85,863636;1,354545;
2023-02-12;0;914,495652;26,7;21,704348;19,1;86,956522;1,613043;
2023-02-13;1;914,654545;28,4;22,240909;18,9;84,363636;1,140909;
2023-02-14;,4;914;29,6;23,3;19,1;82,75;1,795833;
2023-02-15;7,8;911,945833;30,9;23,291667;19,7;82,666667;1,95;
2023-02-16;5,2;909,878947;29,2;null;19,6;79,473684;3,573684;
2023-02-17;null;null;29,3;null;null;60,833333;null;
2023-02-18;0;914,459091;28,6;22,836364;21,4;85,909091;1,263636;
2023-02-19;33,4;917,620833;21,3;19,179167;17,8;97,166667;2,995833;
2023-02-20;,2;916,108333;29,9;22,0125;18;80,958333;1,175;
2023-02-21;9,8;916,304545;27,7;21,3;18,6;87,954545;1,45;
2023-02-22;9,6;917,972727;29;21,963636;17,8;81,545455;,904545;
2023-02-23;,6;918,170833;28,5;21,620833;18,3;87,458333;1,3375;
2023-02-24;5,2;915,6375;28,4;21,8125;18;87,375;,879167;
2023-02-25;6,2;914,375;30,7;23,054167;18,8;81,958333;1,708333;
2023-02-26;,2;916,575;29,7;23,754167;19;77,25;1,291667;
2023-02-27;0;918,416667;31,1;23,1;19,5;87,083333;1,066667;
2023-02-28;4;919,466667;29,9;21,5125;20,2;91,666667;2,1;
2023-03-01;29,4;917,408333;29,8;22,308333;16,8;79,416667;1,491667;
2023-03-02;,2;915,675;31;23,679167;17,9;76,041667;1,133333;
2023-03-03;0;915,291667;30,6;24,5125;20;69,541667;,9125;
2023-03-04;1,8;915,921739;28,1;22,552174;20,9;91,956522;,313043;
2023-03-05;12;914,066667;26,3;21,166667;18,5;87,166667;1,5;
2023-03-06;15;912,582609;28,7;21,956522;17,6;81,043478;1,047826;
2023-03-07;1,2;914,504167;29,2;22,470833;17,2;70,5;,841667;
2023-03-08;0;915,83913;30,1;21,286957;17,9;79,869565;,704348;
2023-03-09;5,6;916,566667;27,9;21,279167;17,4;92,875;,479167;
2023-03-10;3,2;916,286364;28,7;21,513636;19,1;89,227273;,95;
2023-03-11;18,2;915,465217;25,4;20,695652;18,5;93,217391;,53913;
2023-03-12;9,4;915,828571;26,2;null;19,3;95,238095;,357143;
2023-03-13;null;916,447619;27,2;null;18,1;94,809524;,819048;
2023-03-14;24,4;917,004545;26,6;21,2;18,9;93,545455;,731818;
2023-03-15;17,4;916,608333;28,2;22,2625;18,3;85;1,7625;
2023-03-16;0;915,93913;28,9;22,413043;17,9;80,304348;1,956522;
2023-03-17;null;916,238095;29,2;null;17,3;76,238095;1,87619;
2023-03-18;null;916,415;29,8;null;17;70,5;1,14;
2023-03-19;0;916,179167;31,6;23,633333;18,5;77,416667;1,095833;
2023-03-20;,8;916,021739;30,6;23,034783;19,2;79,043478;1,473913;
2023-03-21;29,2;917,077273;30,3;23,022727;16,5;74,363636;,827273;
2023-03-22;,2;918,534783;28,9;21,991304;17,3;84,173913;1,178261;
2023-03-23;0;918,517391;30,5;23,3;17,8;73,086957;1,313043;
2023-03-24;0;917,3;30,5;24,156522;18,3;71,869565;1,621739;
2023-03-25;0;916,595833;30,9;23,9;17,7;72,375;1,295833;
2023-03-26;0;916,095833;31,5;24,9375;18,9;71,458333;1,483333;
2023-03-27;0;916,4875;26,5;22,595833;19,9;83,958333;2,570833;
2023-03-28;0;916,8625;28,1;21,395833;18;89,083333;1,666667;
2023-03-29;5;916,65;28,9;21,770833;18,7;87,25;,9875;
2023-03-30;,4;917,029167;29,4;23,179167;18,4;79,458333;1,145833;
2023-03-31;0;915,920833;29,7;22,116667;18,5;82,5;1,379167;
2023-04-01;0;914,721739;29,5;22,256522;16,4;76,565217;1,073913;
2023-04-02;0;916,433333;24,4;19,870833;16,2;82,708333;2,7125;
2023-04-03;0;916,145833;28,5;20,4125;15,1;80,708333;2,020833;
2023-04-04;0;915,279167;29,1;21,8375;17,2;79,333333;1,683333;
2023-04-05;0;915,2125;29,7;21,470833;17,3;82,291667;1,766667;
2023-04-06;0;915,704167;26,6;20,595833;17,5;86,208333;2,391667;
2023-04-07;2;914,979167;22,2;19,2375;17,7;98,791667;,9625;
2023-04-08;15,2;915,958333;26,2;20,208333;17,9;92,458333;1,841667;
2023-04-09;0;918,033333;21;19,041667;18;94,625;2,470833;
2023-04-10;0;918,895833;25,2;19,4875;15,6;80;2,216667;
2023-04-11;0;917,316667;27,7;20,05;15,1;82,875;1,420833;
2023-04-12;0;915,475;27,2;21,066667;16,6;83,958333;1,279167;
2023-04-13;,2;913,704167;28,8;22,3625;17,4;79,375;,7375;
2023-04-14;0;913,845833;24,1;20,454167;18,6;95,666667;,8875;
2023-04-15;14;915,779167;24,6;20,266667;18,3;93,083333;1,2375;
2023-04-16;,4;915,675;26,8;20,966667;17;83;,8625;
2023-04-17;0;911,191667;28,5;20,979167;17,2;87,333333;1,720833;
2023-04-18;34,6;907,683333;25;21,0625;18,1;99,041667;2,225;
