Nome: BARRA DO TURVO
Codigo Estacao: A746
Latitude: -24.96277777
Longitude: -48.41638888
Altitude: 659.89
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;,2;940,783333;27,8;21,991667;18,5;88,208333;,7875;
2023-01-02;2;937,825;29,1;21,891667;16,1;87,208333;,658333;
2023-01-03;1;934,4875;27,1;21,683333;18;91,166667;1,170833;
2023-01-04;39,6;936,070833;21,8;17,616667;17,8;98,958333;1,2;
2023-01-05;23,6;939,875;20,6;16,925;15,1;94,791667;1,175;
2023-01-06;,6;943,204167;21,7;16,979167;13,6;92,25;1,095833;
2023-01-07;2,6;944,841667;23,8;17,7375;13,4;90,416667;1,35;
2023-01-08;2;943,8875;21,2;17,5625;15,4;95,666667;,995833;
2023-01-09;4,8;942,05;21,3;17,995833;15,3;95,458333;,7;
2023-01-10;4,2;940,504167;24,2;19,45;16;94,458333;,3375;
2023-01-11;1;938,895833;26,9;20,504167;17,9;94,5;,708333;
2023-01-12;14,4;936,841667;29,2;21,279167;17,7;89,083333;1,033333;
2023-01-13;,2;935,4375;29,7;22,795833;17,2;84,708333;1,208333;
2023-01-14;,4;936,820833;28,5;22,920833;20,1;87,208333;1,683333;
2023-01-15;3,4;939,358333;29,1;22,508333;18,7;93,166667;,55;
2023-01-16;16,8;940,1375;28,1;22,6;20,9;94,666667;,75;
2023-01-17;,8;941,241667;28,8;23,216667;20,9;92,125;,820833;
2023-01-18;,4;942,666667;28,3;22,545833;19;90,083333;,929167;
2023-01-19;,8;941,904167;28;22,3625;19,7;87,666667;,8875;
2023-01-20;3,4;938,908333;26,6;21,129167;18,9;92,458333;,404167;
2023-01-21;15,2;935,641667;28,6;20,8875;14,9;88,833333;,7;
2023-01-22;0;934,35;31,2;21,820833;18,2;91,833333;,9625;
2023-01-23;29,8;935,945833;29,4;22,283333;19;90;,733333;
2023-01-24;7,2;936,45;29,6;22,175;17,3;86,416667;,6625;
2023-01-25;,2;938,120833;31,2;22,8375;16,1;79,791667;,654167;
2023-01-26;,2;939,366667;29,2;20,495833;13,8;81,375;,775;
2023-01-27;0;940,1;28,9;19,775;12,7;85,375;,558333;
2023-01-28;,2;940,108333;31,5;22,425;13,5;82,083333;,816667;
2023-01-29;0;938,3;32,8;24,241667;18,8;81,5;1,3125;
2023-01-30;16,8;937,058333;26,8;21,345833;18,3;90,291667;,654167;
2023-01-31;,6;937,125;27;22,825;20,4;88,041667;1,341667;
2023-02-01;2,6;938,320833;29,1;23,341667;20,8;89,708333;1,15;
2023-02-02;19,4;938,6;29,4;22,925;20,3;92;,991667;
2023-02-03;56,6;936,320833;28,5;23,070833;20,2;84,166667;2,279167;
2023-02-04;,2;936,8625;29,5;22,770833;20,6;83,416667;1,8;
2023-02-05;8;938,125;28,3;22,333333;18,7;87,666667;,904167;
2023-02-06;,2;938,5375;29,6;22,220833;18,3;89,5;,65;
2023-02-07;6;940,2;27,3;21,525;18,4;91,291667;,583333;
2023-02-08;6,6;940,025;29,5;20,9125;14,5;86,583333;,445833;
2023-02-09;,8;940,033333;31,4;21,783333;14,3;83,291667;,6875;
2023-02-10;0;939,845833;32,6;22,0125;17,4;86,916667;,8;
2023-02-11;10,8;939,716667;26,4;21,470833;18,5;92,25;,5125;
2023-02-12;1,6;938,845833;28,1;21,904167;17,7;91,833333;,566667;
2023-02-13;1;938,5;29,4;21,329167;17,2;91,5;,766667;
2023-02-14;1,4;937,033333;30,4;22,6;18,9;90,875;1,275;
2023-02-15;26,8;933,854167;30,5;23,645833;19,7;85;1,629167;
2023-02-16;9,4;931,55;30,5;22,808333;20,1;86,541667;1,470833;
2023-02-17;15,4;932,258333;25,5;21,683333;19;89,25;1,925;
2023-02-18;10,4;940,341667;20,7;18,6625;19,3;98,708333;1,504167;
2023-02-19;8,2;944,891667;17,2;15,520833;14,3;99,333333;1,654167;
2023-02-20;2,4;941,316667;25,8;19,654167;14,9;95,041667;,6;
2023-02-21;4,2;940,225;25,5;20,791667;18,3;93,875;1,0375;
2023-02-22;3,8;943,2625;24,2;20,033333;18;95,291667;,666667;
2023-02-23;1;943,254167;24,6;20,733333;18,5;94,416667;,433333;
2023-02-24;,6;939,0375;28,8;21,604167;18,2;91,125;,9875;
2023-02-25;8,2;937,3125;29,6;23,175;20;85,583333;1,4375;
2023-02-26;,2;939,991667;29,6;21,795833;16,4;88,291667;,995833;
2023-02-27;1,8;944,629167;26,9;21,1125;16,6;87;1,025;
2023-02-28;2,4;945,441667;23,6;19,604167;17,3;96,375;,420833;
2023-03-01;2,4;942,566667;25,9;20,291667;17,9;94,166667;,620833;
2023-03-02;4;940,254167;29,5;22,233333;17,6;88,25;,854167;
2023-03-03;2,2;939,629167;30,7;23,666667;19,2;87,208333;,879167;
2023-03-04;22,8;939,204167;29,1;22,375;18,9;91,041667;1,141667;
2023-03-05;19;936,866667;29,2;21,208333;18,3;88,5;1,566667;
2023-03-06;17,4;935,75;27,2;21,0625;16,9;89,041667;,920833;
2023-03-07;1,4;937,316667;28,8;22,345833;18,5;84,541667;1,291667;
2023-03-08;0;939,1;30,9;23,875;19;79,833333;1,2;
2023-03-09;0;940,6875;30,1;21,529167;17,9;92,416667;,466667;
2023-03-10;3;941,420833;25,4;20,766667;19,1;96,041667;,670833;
2023-03-11;23,6;940,5125;24,1;20,129167;18,4;97,541667;,6;
2023-03-12;9,8;941,391667;25,5;20,558333;18,9;96,5;,516667;
2023-03-13;17,4;942,225;25;20,529167;18,7;96,5;,516667;
2023-03-14;38,6;942,6875;24,4;20,258333;19,4;98,75;,433333;
2023-03-15;18,6;942,7375;26,6;20,595833;17,2;92,416667;,804167;
2023-03-16;1,4;942,183333;25,1;20,604167;17,3;92,458333;,554167;
2023-03-17;,2;942,616667;27,4;19,9;15;90,541667;,679167;
2023-03-18;,6;942,283333;27,6;19,670833;13;87,208333;,575;
2023-03-19;0;941,358333;29,7;22,204167;15,1;84,958333;,55;
2023-03-20;,2;940,370833;32,1;22,754167;18,7;88,875;,770833;
2023-03-21;2,2;942,075;28,8;20,970833;14,4;85,25;,6375;
2023-03-22;,2;944,316667;29,2;21,804167;16,9;86,083333;,741667;
2023-03-23;0;944,129167;30,4;21,9625;15,6;84,208333;,583333;
2023-03-24;0;942,108333;31;22,595833;17,4;86,708333;1,054167;
2023-03-25;1,2;941,683333;28,1;22,066667;18,6;90,541667;,654167;
2023-03-26;0;939,741667;31,7;23,65;19,7;87,375;1,4125;
2023-03-27;20,8;942,833333;21,3;19,070833;17,8;97,041667;,979167;
2023-03-28;2,2;942,7375;23,8;19,466667;15,3;93,333333;,245833;
2023-03-29;,2;941,245833;27,9;20,891667;15,7;91,166667;,483333;
2023-03-30;3,4;941,15;29,6;21,675;17,6;88,375;1,133333;
2023-03-31;10,8;940,308333;27,8;20,854167;17;93,708333;,304167;
2023-04-01;0;939,616667;27,8;21,6875;18,7;91,291667;1,025;
2023-04-02;2;942,7375;20,7;17,345833;15,6;93,5;,65;
2023-04-03;,6;942,179167;25,3;17,316667;10,6;87,375;,316667;
2023-04-04;,2;940,4625;27,7;18,6875;11,6;87,208333;,375;
2023-04-05;0;941,320833;25,8;19,154167;14,7;89,458333;,704167;
2023-04-06;,4;941,8375;23,7;18,5125;14,2;93,291667;,504167;
2023-04-07;15;941,195833;19,6;17,570833;16,2;97,75;,695833;
2023-04-08;1;942,475;21,9;18,425;17;96,375;,845833;
2023-04-09;2,2;944,545833;23,2;18,604167;16,1;94,666667;,525;
2023-04-10;3,8;945,354167;23,7;18,4625;15,4;91,416667;,283333;
2023-04-11;,2;943,125;26,9;17,4875;10,5;86,208333;,254167;
2023-04-12;0;940,0625;28,2;20,408333;14,5;85,75;,554167;
2023-04-13;,2;937,666667;29,1;21,391667;15,4;87,666667;,695833;
2023-04-14;1,8;938,733333;21,9;19,675;19;97;,508333;
2023-04-15;6,4;941,991667;21,5;18,608333;17,6;97,125;,825;
2023-04-16;3,8;941,316667;24,2;19,175;17;93,458333;,404167;
2023-04-17;4;934,1375;26,1;20,75;17,4;91;1,166667;
2023-04-18;15;930,716667;19,7;18,3125;18;99,708333;,3875;
2023-04-19;28,6;933,504167;23,2;17,370833;13,5;81,708333;1,033333;
2023-04-20;0;940,870833;21,1;14,1125;9,6;77,041667;,725;
2023-04-21;0;945,066667;19,8;12,070833;5,4;92,166667;,229167;
2023-04-22;,2;944,983333;24,6;15,854167;8,8;88,541667;,4375;
2023-04-23;,2;945,695833;23,7;16,1625;10;90,75;,525;
2023-04-24;2,2;946,266667;24,3;17,729167;14,2;92,041667;,554167;
2023-04-25;2;944,825;23,7;17,416667;12,5;90,375;,2375;
2023-04-26;,2;940,933333;22,7;17,666667;14,7;94,541667;,854167;
2023-04-27;1,2;939,304167;23,9;18,275;14,8;88,416667;,720833;
2023-04-28;,2;942,541667;23,7;16,120833;12,2;95,375;,370833;
2023-04-29;3,8;943,916667;20,6;16,9625;15,7;96,458333;,358333;
2023-04-30;5,4;943,204348;24;18,486957;15,3;94,608696;,256522;
2023-05-01;,8;941,854167;24,9;18,529167;14,4;90,833333;,5875;
2023-05-02;,2;940,95;24,1;18,9125;15,1;91,416667;,4375;
2023-05-03;0;940,9375;26;19,270833;15,2;91,041667;,470833;
2023-05-04;,2;941,733333;26,9;20,333333;16;90,458333;,795833;
2023-05-05;,2;944,541667;26,5;21,333333;18,4;91,208333;,3375;
2023-05-06;0;944,625;25,5;21,358333;19,1;89,958333;,204167;
2023-05-07;0;942,979167;26,5;19,758333;13,9;89,833333;,479167;
2023-05-08;0;942,25;27,6;21,825;17,9;87,083333;,975;
2023-05-09;9;943,5;21,1;19,145833;18,7;98,041667;,620833;
2023-05-10;1;942,9875;19,4;17,479167;16,4;97,666667;,333333;
2023-05-11;,4;940,979167;21,4;16,654167;13,1;91,833333;,55;
2023-05-12;0;943,358333;18,4;13,8875;11,2;90,458333;,716667;
2023-05-13;,2;944,370833;19,7;13,654167;9,5;91,166667;,2125;
2023-05-14;0;945,05;22,2;14,495833;9,5;88,333333;,633333;
2023-05-15;,2;945,320833;23,7;12,775;5,8;84;,3375;
2023-05-16;,2;944,745833;21,5;12,5625;4,9;88,125;,445833;
2023-05-17;0;945,758333;20,7;13,045833;8,2;91,458333;,416667;
2023-05-18;,2;946,470833;22,7;13,858333;7,5;88,708333;,329167;
2023-05-19;0;945,4125;22,7;15,041667;10,8;88,583333;,325;
2023-05-20;0;944,191667;21,9;15,120833;10,8;87,541667;,491667;
2023-05-21;,2;942,508333;22,6;13,416667;7,3;92,375;,358333;
2023-05-22;0;943,475;22,7;15,716667;10,2;89,333333;,3375;
2023-05-23;,2;945,433333;25,3;16,116667;8,9;87,125;,308333;
2023-05-24;,2;945,545833;24,7;16,145833;9,4;89,541667;,425;
2023-05-25;0;945,733333;24,6;18,308333;14,6;90,875;,2875;
2023-05-26;0;944,504167;25,5;18,870833;14,9;88,25;,575;
2023-05-27;,2;942,891667;25,9;18,766667;13,2;87,416667;1,075;
2023-05-28;3;943,920833;19,5;16,491667;16,4;97,375;1,0125;
2023-05-29;4,8;945,866667;17,7;14,4875;13,3;96,958333;1,141667;
2023-05-30;1,8;947,25;17,1;14,6375;13,7;97,666667;,533333;
2023-05-31;6,6;945,266667;20,3;15,454167;13,5;96,333333;,3625;
2023-06-01;,6;946,058333;21,1;15,191667;12,3;94,291667;,341667;
2023-06-02;,2;945,958333;22,3;13,095833;6,9;91,541667;,3625;
2023-06-03;0;945,091667;23,7;16,083333;10,8;89,75;,495833;
2023-06-04;,2;945,6;24,3;16,695833;12,6;89,958333;,9875;
2023-06-05;0;946,258333;23,9;15,166667;9,6;90,125;,425;
2023-06-06;,2;946,370833;20,8;15,016667;10,3;93,291667;,258333;
2023-06-07;,2;946,083333;22,8;15,620833;9;90,333333;,504167;
2023-06-08;0;945,479167;23,1;13,7625;7,4;87,913043;,470833;
2023-06-09;,2;943,045833;24,3;14,345833;7,5;87,125;,779167;
2023-06-10;,2;942,020833;25,8;15,258333;7;85,458333;,529167;
2023-06-11;,2;940,325;28;16,495833;8,8;85,583333;1,029167;
2023-06-12;,4;943,733333;16,8;14,683333;14,8;98,125;1,208333;
2023-06-13;9,8;947,991667;12,5;11,108333;10,8;99,375;1,570833;
2023-06-14;17;946,304167;14,4;12,933333;10,6;99,833333;,825;
2023-06-15;11,2;942,241667;17,1;15,054167;12,6;97,083333;1,441667;
2023-06-16;2,2;942,529167;16,2;11,9375;9,5;82,583333;1,570833;
2023-06-17;,8;945,441667;18,2;11,595833;7,8;89,458333;,433333;
2023-06-18;0;947,125;18,1;12,204167;7,8;92,458333;,391667;
2023-06-19;0;949,3;17,7;12,125;8,8;92,541667;,304167;
2023-06-20;0;947,85;19,5;11,729167;6,2;93,208333;,295833;
2023-06-21;,2;944,616667;22,6;15,258333;9;89,75;,583333;
2023-06-22;0;942,904167;23,2;16,758333;13,1;88,208333;,8125;
2023-06-23;,4;942,383333;25;16,895833;11,2;87,75;,691667;
2023-06-24;,2;942,420833;25,8;18,266667;13,3;84,458333;1,158333;
2023-06-25;0;944,295833;26,5;16,354167;9,7;87,083333;,483333;
2023-06-26;,2;944,495833;25,9;15,495833;7,7;85,916667;,529167;
2023-06-27;,2;943,8;24,2;15,0125;8,1;88,083333;,733333;
2023-06-28;,4;943,925;25,2;17,033333;10,6;82,333333;1,1125;
2023-06-29;1;948,541667;16,3;13,770833;9,8;98;1,083333;
2023-06-30;,6;949,129167;18;14,154167;12,3;96,583333;,229167;
2023-07-01;0;946,35;22;15,7;12,5;91,375;,775;
