Nome: BARRETOS
Codigo Estacao: A748
Latitude: -20.55916666
Longitude: -48.54499999
Altitude: 534.36
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;5,2;952,629167;32,1;24,670833;18,9;70;,9;
2023-01-02;0;950,991667;31,1;24,520833;18,8;68,083333;1,2375;
2023-01-03;4,2;950,020833;29,9;23,608333;19,4;72,083333;1,308333;
2023-01-04;10,6;949,666667;28,7;22,770833;20;78,916667;1,525;
2023-01-05;9,4;949,895833;28,3;21,883333;19,9;84,5;1,2;
2023-01-06;23,8;951,675;28,3;21,291667;18,4;80,083333;1,375;
2023-01-07;27,4;953,520833;27,5;20,375;17;83,416667;1,366667;
2023-01-08;31;953,108333;25,5;20,9;18,6;85,458333;1,2;
2023-01-09;22,4;952,229167;30;21,891667;19;82,791667;1,104167;
2023-01-10;19,8;953,129167;28,8;22,895833;20;76,666667;1,045833;
2023-01-11;4,2;952,829167;30,1;24,1375;20,3;73,166667;1,208333;
2023-01-12;3,6;951,204167;29,8;23,925;19,9;72,583333;1,341667;
2023-01-13;3,2;950,720833;30,5;24,020833;19,9;73,041667;1,575;
2023-01-14;20,6;952,008333;31,5;24,466667;19,8;70,833333;1,066667;
2023-01-15;0;953,125;32,1;25,2875;21,1;70;1,033333;
2023-01-16;0;952,204167;32,6;24,858333;20,6;74,125;,745833;
2023-01-17;0;952,908333;32,7;25,720833;20,2;63,5;1,283333;
2023-01-18;0;953,566667;32,7;25,0875;19,6;67;,970833;
2023-01-19;0;953,3625;32,8;24,4125;19,5;69,083333;1,075;
2023-01-20;13,2;951,754167;29,8;23,329167;19,7;74,5;1,379167;
2023-01-21;8,6;950,104167;28,3;21,995833;19;80,375;1,4625;
2023-01-22;9,2;949,291667;30,8;23,95;20;74,666667;1,279167;
2023-01-23;18;950,021739;30,1;23,517391;20,1;77,565217;1,1;
2023-01-24;21,4;949,483333;30,4;23,520833;19,4;77,083333;,8375;
2023-01-25;,2;949,5625;32,3;25,008333;20;68,416667;,941667;
2023-01-26;0;949,191667;33,1;24,75;18,9;67,625;1,066667;
2023-01-27;0;950,675;32,2;24,245833;19,5;73,125;,875;
2023-01-28;4,8;953,058333;30;24,054167;21,2;76,333333;,958333;
2023-01-29;0;952,795833;30,3;23,254167;20,6;76,416667;,8875;
2023-01-30;44;951,491667;29,8;22,608333;19,2;78,125;1,175;
2023-01-31;41,8;951,786957;31,9;23,152174;18,1;76,347826;,782609;
2023-02-01;1;952,754167;30,6;23,5625;20,2;78,25;,904167;
2023-02-02;2,4;952,820833;32,6;23,55;20,6;77,875;,9875;
2023-02-03;1;952,621739;32,7;24,252174;19,6;72,130435;1,495652;
2023-02-04;1,6;953,679167;30,9;24,4375;20;70,208333;1,275;
2023-02-05;0;953,570833;31,3;24,045833;19,8;72,5;1,083333;
2023-02-06;,2;952,675;31,9;25,391667;20,4;67,333333;,8625;
2023-02-07;2,2;952,804167;30,4;23,616667;19,1;73,416667;,945833;
2023-02-08;0;951,625;33;24,479167;19;70,708333;,7875;
2023-02-09;6;952,166667;33,1;24,283333;19,2;71,791667;1,125;
2023-02-10;3,4;952,708333;31,1;23,6125;18,7;72,625;1,0375;
2023-02-11;3,2;952,583333;30,3;23,320833;20,1;77,375;,754167;
2023-02-12;7,8;952,083333;27,6;21,9625;19,7;82,333333;1,016667;
2023-02-13;5,4;952,25;32,3;24,316667;19,2;71,666667;,883333;
2023-02-14;1,2;951,758333;32,5;24,9125;19,3;67,708333;1,004167;
2023-02-15;0;949,620833;33,7;24,545833;19,9;73,958333;,929167;
2023-02-16;26,8;948,0125;32;24,408333;19,9;72,208333;1,304167;
2023-02-17;1,8;948,775;32,2;24,45;20,8;72,916667;1,191667;
2023-02-18;0;951,341667;31,6;23,558333;20,5;79,291667;,791667;
2023-02-19;3,4;953,083333;31,2;23,041667;19,9;77,625;1,625;
2023-02-20;11,6;952,841667;32,3;24,191667;18,7;70,166667;1,375;
2023-02-21;0;954,1;29;22,25;18,4;76,541667;1,025;
2023-02-22;,4;955,166667;33;24,466667;18,8;68,291667;,8625;
2023-02-23;,2;955,354167;31,6;24,0875;20,2;73,166667;1,033333;
2023-02-24;4,8;953,6875;31,2;23,470833;19,6;75,125;,9125;
2023-02-25;,2;952,170833;32,4;24,808333;20;71,75;1,079167;
2023-02-26;0;954,020833;33,6;24,175;19,7;73,791667;1,083333;
2023-02-27;7;955,043478;34,4;25,46087;19,6;71,347826;,826087;
2023-02-28;0;955,258333;34,2;26,091667;20,3;63,5;1,270833;
2023-03-01;0;954,554167;32,5;24,333333;19,2;68,375;1,3;
2023-03-02;9,8;953,25;33,4;24,4125;18,7;67,833333;,916667;
2023-03-03;0;952,225;33,3;25,316667;19,8;67,5;,854167;
2023-03-04;,2;953,1;33,7;24,373913;20,5;74,130435;,986957;
2023-03-05;2;951,930435;32,4;24,552174;20,1;72,130435;1,021739;
2023-03-06;1,2;950,0375;30,8;22,379167;17,9;76,291667;1,133333;
2023-03-07;1,6;951,7;31,4;21,7625;18;75,291667;1,033333;
2023-03-08;0;953,0375;32,3;23,358333;17,5;68,375;,904167;
2023-03-09;0;953,608333;31,7;23,820833;19,4;73,166667;,841667;
2023-03-10;3,2;953,525;30,9;22,808333;20;77,333333;1,054167;
2023-03-11;5,6;953,104167;28,8;23,045833;20,1;76,083333;,9125;
2023-03-12;0;953,025;31,5;24,0125;19,8;71,75;,916667;
2023-03-13;,6;953,654167;30,2;22,2375;19,7;80,875;,9125;
2023-03-14;4;954,073913;31,5;22,921739;20;78,73913;,86087;
2023-03-15;4,8;953,441667;31;23,245833;19,8;77,791667;,995833;
2023-03-16;,4;952,266667;32,1;24,429167;20,2;71,75;1,154167;
2023-03-17;,6;952,983333;31,3;23,825;20,2;72,041667;,941667;
2023-03-18;0;953,266667;32,5;23,0875;18,6;72,583333;1,079167;
