Nome: ITAQUIRAI
Codigo Estacao: A752
Latitude: -23.44944444
Longitude: -54.18194443
Altitude: 337.82
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;0;971,558333;35,3;28,691667;23;69,75;1,6125;
2023-01-02;,6;971,041667;30,2;23,970833;22,1;83,631579;1,175;
2023-01-03;40;969,179167;28,2;23,579167;20,9;84,2;1,6375;
2023-01-04;43;969,5625;28;23,029167;19,9;71,166667;2,829167;
2023-01-05;,2;972,825;29,8;23,333333;17,6;65,375;2,366667;
2023-01-06;0;974,820833;28,6;23,308333;18,4;71,125;2,066667;
2023-01-07;0;975,9625;29,1;24,0375;18,4;66,041667;2,454167;
2023-01-08;0;975,466667;29,8;24,254167;19;67,416667;2,05;
2023-01-09;0;973,366667;29,9;24,116667;21,1;76,541667;1,625;
2023-01-10;,2;972,5875;30,8;23,8875;20,4;83,608696;1,354167;
2023-01-11;1,6;972,3625;30,6;24,495833;19,6;76,222222;,7375;
2023-01-12;null;970,2375;32,3;25,725;20,7;71,388889;1,408333;
2023-01-13;null;968,691667;32,3;25,004167;21,3;79,75;2,433333;
2023-01-14;null;970,541667;29,1;23,4375;19,9;82,538462;1,941667;
2023-01-15;null;973,329167;31,2;24,7375;21,1;75,625;1,041667;
2023-01-16;null;973,1375;33;26,4625;21,3;73,15;,508333;
2023-01-17;null;973,670833;31,5;26,5625;22,9;76,173913;1,454167;
2023-01-18;null;975,2875;32,5;25,0875;22;81,809524;2,108333;
2023-01-19;null;974,633333;32,7;25,025;19,4;73,764706;,729167;
2023-01-20;null;971,029167;33,7;26,7125;21,3;75,863636;1,254167;
2023-01-21;null;968,816667;35,4;25,9;21,3;80,5;1,2625;
2023-01-22;null;969,2;27,5;23,9125;21,6;84,826087;1,325;
2023-01-23;null;970,308333;32,6;26,020833;21;72,714286;,720833;
2023-01-24;null;969,525;35,3;27,679167;21,3;66,25;,925;
2023-01-25;null;970,1;35;28,358333;21,6;64,863636;1,108333;
2023-01-26;null;970,2375;34,2;28,333333;22,1;55,375;1,529167;
2023-01-27;null;970,5375;34,5;27,091667;20,3;58,666667;1,5375;
2023-01-28;null;971,895833;35,1;27,8125;23,3;70,333333;1,454167;
2023-01-29;null;971,833333;35,7;27,208333;22,4;69,714286;2,116667;
2023-01-30;null;969,966667;31,6;24,608333;20,1;82,611111;1,6875;
2023-01-31;null;970,441667;25,4;22,829167;22;null;1,858333;
2023-02-01;null;971,9;31,5;24,0125;21,8;null;1,6125;
2023-02-02;null;972,3125;32,1;24,0375;21,9;null;2,070833;
