Nome: SIDROLANDIA
Codigo Estacao: A754
Latitude: -20.98166666
Longitude: -54.97194443
Altitude: 471.43
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;0;957,283333;33,6;27,320833;21,6;69,25;1,658333;
2023-01-02;1,8;956,445833;33,1;25,225;23,2;76,5;1,745833;
2023-01-03;5,2;955;26,5;23,066667;20,4;83,291667;2,595833;
2023-01-04;38,6;955,025;24,4;21,945833;21,2;89,25;1,716667;
2023-01-05;42,4;957,2125;27,9;22,629167;18;76,833333;3,641667;
2023-01-06;0;958,729167;28;22,066667;17,7;74,583333;2,558333;
2023-01-07;0;959,5375;29,7;22,875;17,9;74,708333;3,241667;
2023-01-08;0;959,458333;31,6;24,05;19;71,083333;2,279167;
2023-01-09;0;957,783333;31,9;25,1875;19,6;67,791667;1,6875;
2023-01-10;0;957,770833;33,2;25,458333;20,7;71,791667;2,070833;
2023-01-11;1,6;958,3;31,8;22,6375;19,5;83,041667;2,1625;
2023-01-12;44,4;956,304167;30,3;24,270833;19,5;79,041667;1,754167;
2023-01-13;0;955,208333;27,7;22,683333;21,1;85,458333;2,295833;
2023-01-14;7;956,55;26,3;22,470833;19,7;85;2,1875;
2023-01-15;2,6;959,258333;30,6;24,2375;20,2;78,333333;1,5375;
2023-01-16;0;958,545833;33,1;25,870833;20,1;69,333333;1,35;
2023-01-17;0;958,858333;31,4;24,795833;21,5;75,916667;1,7;
2023-01-18;1,6;960,158333;33,3;25,85;20,6;73,416667;1,375;
2023-01-19;5;960,05;32,7;24,904167;20,3;73,166667;1,941667;
2023-01-20;0;957,283333;32,5;25,104167;20,8;76,916667;1,741667;
2023-01-21;6,2;954,908333;33,1;26,454167;21,8;73,125;1,866667;
2023-01-22;5,6;955,141667;32,3;25,15;22;79,958333;2,241667;
2023-01-23;3,2;956,441667;28,5;22,883333;21;86,875;1,6125;
2023-01-24;,4;955,945833;30,8;24,283333;20,5;82,125;1,575;
2023-01-25;0;955,983333;32,7;25,716667;20,4;74,041667;1,516667;
2023-01-26;0;955,095833;33;27,0375;21,2;68,833333;1,491667;
2023-01-27;0;955,154167;34,5;26,8875;21,4;66,666667;1,566667;
2023-01-28;13;957,3625;31,8;26,125;22,2;73,958333;1,8125;
2023-01-29;0;958,120833;30,5;25,666667;23;74,875;1,641667;
2023-01-30;,6;956,158333;27,4;23,9625;22,8;83,375;1,6375;
2023-01-31;13;956,4125;24,6;21,945833;21,8;88,875;1,3125;
2023-02-01;51,6;957,791667;29,2;23,666667;19,5;87,166667;1,566667;
2023-02-02;9,8;958,0625;32,7;25,670833;22,5;78,166667;1,425;
2023-02-03;10,6;958,166667;27,8;22,058333;20,5;89,041667;1,604167;
2023-02-04;27,2;960,129167;27,1;21,9875;20,1;89,416667;1,504167;
2023-02-05;6,4;959,716667;31,6;25,179167;19,8;75,583333;,970833;
2023-02-06;0;958,3125;32,3;26,2;21,4;71,958333;1,191667;
2023-02-07;14,2;958,829167;30,3;24,216667;20,2;82,208333;1,633333;
2023-02-08;1,8;957,758333;31,9;26,175;19,9;75,25;1,054167;
2023-02-09;,2;957,745833;33,5;26,629167;21,1;74,625;1,433333;
2023-02-10;23,4;958,3375;26;22,125;20,1;88,041667;2,095833;
2023-02-11;9,8;957,5375;30,4;23,725;19,7;82,75;1,379167;
2023-02-12;0;957;30,3;24,85;22;77,208333;1,6;
2023-02-13;40,8;957,058333;29,4;23,904167;20,1;81,333333;1,966667;
2023-02-14;2,4;956,708333;32,9;26,325;21,5;71,458333;1,879167;
2023-02-15;0;955,145833;31,1;25,3875;21,7;73,708333;1,866667;
2023-02-16;,2;952,258333;29,7;24,7625;21,7;79,833333;3,1375;
2023-02-17;34,4;954,016667;27,2;22,408333;18;79,75;2,770833;
2023-02-18;0;960,245833;27,8;21,2875;15,7;68,625;3,458333;
2023-02-19;0;960,058333;27,4;20,275;14,2;71,291667;3,583333;
2023-02-20;0;958,55;28,5;22,8875;18,5;82,583333;1,908333;
2023-02-21;3;958,875;28,8;23,4875;21,2;82,791667;2,325;
2023-02-22;2;960,208333;31,8;25,854167;21,2;71,833333;1,733333;
2023-02-23;0;960,733333;30,2;24,766667;21,3;78,125;1,604167;
2023-02-24;6,4;959,208333;25,1;21,2375;19,4;89,625;1,65;
2023-02-25;12;957,966667;30,4;23,1;17,4;80,875;1,658333;
2023-02-26;0;960,1125;30,9;25,154167;20,2;72,916667;1,908333;
2023-02-27;11,2;962,0875;33,4;24,966667;21,1;77,625;2,104167;
2023-02-28;,4;961,633333;34,2;25,791667;19,6;71,333333;2,275;
2023-03-01;0;960,233333;32,5;25,604167;20,9;68,416667;2,5625;
2023-03-02;,4;958,508333;31,4;24,641667;20,3;74,083333;2,404167;
2023-03-03;23,4;958,0125;29,1;23,1875;19,7;81,958333;1,958333;
2023-03-04;,2;958,554167;32,3;25,845833;21;75,625;1,316667;
2023-03-05;,2;957,6875;32,8;26,258333;22,3;74,708333;1,545833;
2023-03-06;17,8;955,258333;34;27,35;22;69,875;1,270833;
2023-03-07;0;955,9625;32,6;25,775;22,8;79;1,683333;
2023-03-08;0;957,55;32,4;25,545833;20,5;73,791667;1,725;
2023-03-09;0;958,695833;32,4;24,425;21,1;77,125;1,5875;
2023-03-10;6,6;958,4875;31;24,654167;19,7;76,958333;1,1125;
2023-03-11;,2;958,254167;31,3;24,129167;21,4;79,583333;1,7125;
2023-03-12;1,6;958,1375;30,5;23,308333;20,4;83,75;1,275;
2023-03-13;5,2;958,308333;26;22,945833;21,3;86,416667;1,6125;
2023-03-14;2,6;958,404167;27,8;22,8125;21,6;86,458333;1,9375;
2023-03-15;8,8;958,158333;31,3;25,029167;20,3;78;2,3625;
