Nome: AGUA CLARA
Codigo Estacao: A756
Latitude: -20.44444444
Longitude: -52.87583332
Altitude: 323.63
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;0;973,8875;34,3;27,920833;23,2;75,125;1,270833;
2023-01-02;0;973,154167;31,6;24,8375;23,2;88,125;1,104167;
2023-01-03;13;971,616667;31,7;25,1875;21,1;82;1,6375;
2023-01-04;25;971,608333;25,4;22,679167;21,7;96,041667;1,566667;
2023-01-05;80,8;972,979167;28,2;23,408333;19,9;87,541667;1,391667;
2023-01-06;0;974,7375;28,9;23,5375;20,1;80,041667;1,8875;
2023-01-07;0;975,670833;30;24,791667;20,9;73,333333;2,158333;
2023-01-08;0;975,479167;31,9;25,616667;20;70,5;1,683333;
2023-01-09;0;973,916667;33,8;26,254167;21,1;75,666667;1,491667;
2023-01-10;73,2;974,383333;30,8;23,475;20,6;89,833333;1,304167;
2023-01-11;5,6;974,908333;31,7;23,854167;21,8;90,833333;1,3375;
2023-01-12;7,2;972,945833;32;25,883333;21,8;79,5;1,3;
2023-01-13;0;971,941667;30,9;25,604167;22,9;79,625;1,9125;
2023-01-14;4,8;973,241667;27,7;24,683333;21,9;83,708333;1,1375;
2023-01-15;0;975,354167;33,3;26,466667;21;76,791667;,866667;
2023-01-16;0;974,958333;33,9;25,8125;23,1;83,083333;,816667;
2023-01-17;15,6;975,225;33,4;25,383333;20,8;79,25;1,0375;
