Nome: JARDIM
Codigo Estacao: A758
Latitude: -21.4786111
Longitude: -56.13777777
Altitude: 252.47
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;0;980,520833;34,8;29,025;24,1;61,875;1,758333;
2023-01-02;0;979,75;33,3;27,958333;24,8;65,958333;1,391667;
2023-01-03;0;978,425;30;25,2875;21,8;73,833333;2,466667;
2023-01-04;0;978,758333;30,2;25,5125;23,3;78,5;1,3125;
2023-01-05;0;981,8875;32;25,670833;19,8;57,5;1,104167;
2023-01-06;0;983,304167;31,2;24,783333;18,8;56,666667;1,441667;
2023-01-07;0;984,079167;30,8;25,258333;20,7;61,75;1,295833;
2023-01-08;0;983,6125;33,2;26,529167;20,5;58,708333;1,141667;
2023-01-09;0;981,625;34,6;27,470833;20,6;55,333333;1,004167;
2023-01-10;0;981,3;33,3;26,766667;23,1;62,125;1,916667;
2023-01-11;0;982,054167;32,2;25,170833;21,7;73,583333;1,6375;
2023-01-12;0;979,85;31,5;26,025;21,8;71,25;1,995833;
2023-01-13;0;978,833333;27,8;24,466667;22,7;77,166667;2,079167;
2023-01-14;0;980,529167;27,7;24,225;21,7;79,708333;1,85;
2023-01-15;0;983,2875;30,1;25,4625;21,9;73,25;1,295833;
2023-01-16;0;982,2;34,7;27,908333;21,5;62,25;,845833;
2023-01-17;0;982,475;33,2;27,975;23,2;63,708333;1,633333;
2023-01-18;0;984,120833;34,3;26,741667;23;69;1,345833;
2023-01-19;0;983,95;34,1;27,7;22,8;61,666667;1,8625;
2023-01-20;0;980,895833;33,2;27,716667;22;63,708333;1,708333;
2023-01-21;0;978,05;35,4;29,141667;23,8;60,125;2,0375;
2023-01-22;0;978,520833;35,2;27,775;24,2;63,958333;1,970833;
2023-01-23;0;980,1875;30,3;25,1625;22,6;76,458333;1,4125;
2023-01-24;1,4;979,904167;32,3;25,754167;22,2;75,166667;1,595833;
2023-01-25;0;979,525;35,2;28,229167;21,6;63,041667;1,3875;
