Nome: DRACENA
Codigo Estacao: A762
Latitude: -21.45777777
Longitude: -51.55222222
Altitude: 383
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;0;968,383333;33,8;26,608333;22,2;82,083333;2,658333;
2023-01-02;6;966,991667;31,8;24,483333;22;91,083333;2,520833;
2023-01-03;7,8;965,55;30,1;24,320833;20,4;88,666667;1,879167;
2023-01-04;15,4;964,979167;26,1;22,9;21,3;99,791667;3,308333;
2023-01-05;8,8;966,958333;24,1;21,116667;19;98,583333;3,133333;
2023-01-06;0;969,104167;27,1;22,925;18,2;74,833333;3,979167;
2023-01-07;0;970,391667;27,5;23,5;18,8;69,791667;4,129167;
2023-01-08;0;969,925;27,7;23,954167;18,9;69,25;3,445833;
2023-01-09;0;968,329167;30,4;24,979167;21,3;80,791667;2,725;
2023-01-10;0;968,1375;31,6;26,141667;22,1;80,291667;1,991667;
2023-01-11;23,2;968,579167;31,4;24,541667;20,9;86,916667;2,679167;
2023-01-12;6,6;967,075;29,6;24,325;20,9;87;2,175;
2023-01-13;4,2;965,775;30,6;24,479167;21,5;89,5;3,016667;
2023-01-14;4,8;966,925;32;25,266667;21,6;85,916667;3,4;
2023-01-15;0;969,1875;32,5;26,3375;21,7;78,041667;1,645833;
2023-01-16;0;968,6;33,5;25,958333;22,8;85,583333;2,141667;
2023-01-17;32,8;969,395833;32,6;26,079167;21,1;78,875;2,05;
2023-01-18;0;970,170833;32,4;26,241667;22,2;79,083333;2,083333;
2023-01-19;46,8;969,829167;32,7;25,770833;20,3;79,583333;2,6375;
2023-01-20;2;967,520833;31,6;24,225;21,7;91,458333;2,416667;
2023-01-21;38,8;965,520833;30,7;24,1;20,4;94;1,966667;
2023-01-22;,6;965,379167;31,3;24,258333;20,5;90,25;2,154167;
2023-01-23;,4;966,054167;32,5;25,625;20,6;80,25;1,570833;
2023-01-24;0;965,325;33,7;26,858333;21,1;78,375;1,445833;
2023-01-25;,4;965,8125;34;27,466667;20,9;71,333333;1,920833;
2023-01-26;,2;965,4;34,8;28,179167;21,3;55,083333;2,820833;
2023-01-27;0;966,016667;34,2;27,141667;23,5;68,833333;3,629167;
2023-01-28;40;968,308333;33,8;26,691667;21;79,875;2,5;
2023-01-29;5;968,308333;32,8;26,4375;22,7;82;2,308333;
2023-01-30;24,8;967,091667;27,4;23,475;21,4;94,333333;3,029167;
2023-01-31;13,4;967,504167;30,5;23,895833;20,3;91,333333;2,570833;
2023-02-01;7,6;968,679167;31,2;24,95;21,2;87,916667;1,795833;
2023-02-02;1,4;968,508333;31,1;25,191667;23,5;90,666667;2,016667;
2023-02-03;24,4;968,9375;28,7;22,5875;21;97,333333;2,516667;
2023-02-04;33,6;969,641667;30,2;24,683333;20,2;86,666667;2,0625;
2023-02-05;46;969,741667;31,5;25,229167;20,8;84,416667;1,95;
2023-02-06;0;968,5375;32,8;25,7125;20,3;82,625;1,75;
2023-02-07;0;968,920833;30,5;24,804167;21,7;89,208333;1,9875;
2023-02-08;0;967,970833;32,9;26,583333;22,1;80,416667;2,020833;
2023-02-09;0;968,033333;34;26,183333;22,4;85,25;1,791667;
2023-02-10;69,2;968,495833;30;24,1375;19,9;91;2,608333;
2023-02-11;42,6;968,466667;29,2;23,6125;20,6;93,958333;2,433333;
2023-02-12;2,4;967,704167;32,3;24,166667;22,4;93,125;2,391667;
2023-02-13;62,4;968,145833;31,5;24,9375;19,8;85,625;2,0625;
2023-02-14;0;967,720833;32,8;25,916667;21,2;82;2,341667;
2023-02-15;0;965,333333;32,1;25,125;22,5;91,25;2,258333;
2023-02-16;9,8;963,175;31,3;25,929167;21,8;82,708333;2,691667;
2023-02-17;1,6;963,520833;30;24,2625;22,6;93,125;4,216667;
2023-02-18;7;968,208333;30,5;24,091667;19,5;85,083333;1,95;
2023-02-19;3,2;969,879167;28;24,170833;21,4;82,083333;4,4875;
2023-02-20;5,6;970;25,6;22,025;19,7;96,5;2,4875;
2023-02-21;6,6;970,075;28,5;23,295833;20,4;95,125;2,975;
2023-02-22;16,4;971,258333;31,9;25,3375;20,4;85,666667;2,120833;
2023-02-23;,4;971,404167;31,9;25,875;22,1;83,458333;1,333333;
2023-02-24;23,8;970,058333;25,5;21,616667;19,7;99,958333;2,675;
2023-02-25;12,6;968,554167;32,1;24,320833;17,7;80,583333;1,275;
2023-02-26;0;970,3875;31,4;25,570833;21,8;88,125;1,579167;
2023-02-27;2;972,054167;33,8;26,858333;21,5;78,869565;2,108333;
2023-02-28;0;972,020833;32;26,554167;22,6;77,166667;3,308333;
2023-03-01;64,2;971,8875;26,9;22,95;19;88,333333;2,925;
2023-03-02;,2;969,129167;33,1;25,991667;20,9;80,208333;2,0375;
2023-03-03;0;968,225;33,5;26,866667;21,6;79,666667;2,291667;
2023-03-04;,2;968,604167;34,1;27,5;22,6;77,916667;1,333333;
2023-03-05;59,6;967,754167;32,2;25,125;20,1;86,166667;2,75;
2023-03-06;,2;965,183333;32,4;25,729167;20,3;81,875;1,525;
2023-03-07;0;966,495833;34,1;26,016667;21,3;81,958333;2,9125;
2023-03-08;,2;968,570833;31,4;24,825;20,3;82,625;2,441667;
2023-03-09;0;968,9;32,7;26,508333;21,5;78,166667;2,241667;
2023-03-10;0;969,491667;28,7;24,316667;21,9;91,75;1,5875;
2023-03-11;1,6;968,7875;29,5;23,783333;21,7;90,041667;2,55;
2023-03-12;24,6;969,016667;29,7;24,058333;20,2;89,541667;2,05;
2023-03-13;12,2;969,579167;28,6;23,383333;21,3;97,347826;2,504167;
2023-03-14;78,2;969,925;29,2;23,525;20,9;95,5;2,6875;
2023-03-15;9,8;969,595833;28,9;24,183333;21,4;89,625;2,941667;
2023-03-16;0;968,754167;30,1;24,533333;21,5;89,75;3,166667;
2023-03-17;0;969,470833;28,4;23,395833;21,1;92,217391;2,804167;
2023-03-18;0;970,183333;27,3;24,075;22;89,26087;2,291667;
2023-03-19;0;969,816667;31,4;24,933333;21,7;84,708333;1,516667;
2023-03-20;0;970,104167;32,9;25,425;20,7;83,541667;1,7;
2023-03-21;3,4;970,566667;32,4;26,175;20,8;72,458333;2,425;
2023-03-22;0;971,208333;32,9;25,9;21,4;76,083333;1,979167;
2023-03-23;1,2;971,45;33;27,058333;22,8;77,375;2,058333;
2023-03-24;0;970,7125;34,9;27,116667;22,9;79,083333;1,483333;
2023-03-25;0;969,7375;33,8;26,3;22,6;81,916667;1,945833;
2023-03-26;0;970,129167;34,2;26,766667;21,6;78,583333;1,433333;
2023-03-27;0;969,395833;34;26,470833;21,3;80,041667;1,595833;
2023-03-28;0;969,425;33,9;26,383333;21,9;77,083333;2,7625;
2023-03-29;0;969,0125;35;28;23;71,958333;2,383333;
2023-03-30;0;970,529167;33,9;27,366667;21,6;70,583333;2,529167;
2023-03-31;0;970,0875;33,8;26,675;20,3;76,083333;1,529167;
2023-04-01;0;969,104167;34,3;26,245833;19,5;72,916667;1,541667;
2023-04-02;0;968,3875;34,2;25,608333;20;74,5;2,225;
2023-04-03;1;969,4;32,5;25,829167;19,9;66,541667;2,979167;
2023-04-04;0;968,395833;33,5;26,254167;18,8;65,75;2,004167;
2023-04-05;0;967,966667;32,9;26,1125;21;64,666667;2,545833;
2023-04-06;0;967,858333;32,7;25,770833;21;67,166667;3,545833;
2023-04-07;7,8;968,579167;29,1;23,333333;20,3;88,541667;1,7625;
2023-04-08;0;970,179167;27,6;23,191667;22;97,25;1,925;
2023-04-09;5;971,579167;28,9;23,933333;20,9;85,833333;1,779167;
2023-04-10;0;972,1875;31,1;24,866667;19,8;77,916667;2,658333;
2023-04-11;0;970,354167;31,7;25,016667;19,2;67;2,7125;
2023-04-12;0;968,408333;31,2;25,270833;22;79,208333;2,3875;
2023-04-13;10,2;966,7375;32,4;25,154167;19,5;81,208333;1,6375;
2023-04-14;10,8;967,695833;29;23,770833;20,9;92,304348;1,720833;
2023-04-15;,2;969,725;30,8;24,458333;20,4;88,625;1,891667;
2023-04-16;0;969,304167;31,3;25,0625;20,7;81,791667;2,433333;
2023-04-17;37,2;964,620833;31,2;24,429167;19;87,454545;2,925;
2023-04-18;6,2;962;26,1;23,425;21,4;99,125;2,45;
2023-04-19;16,2;967,041667;26,7;21,366667;17,7;77,375;2,491667;
2023-04-20;0;971,970833;26,2;19,233333;13,4;75,291667;1,108333;
2023-04-21;0;971,875;25,7;19,620833;13,9;61,333333;3,133333;
2023-04-22;0;971,2;29,6;21,445833;15;70,791667;2,725;
2023-04-23;0;971,879167;29,5;23,854167;18,3;69,833333;3,483333;
2023-04-24;0;972,5625;29,7;24,125;19,8;64,708333;4,016667;
2023-04-25;8;972,95;24,8;21,329167;18,5;84,181818;3,129167;
2023-04-26;37,2;971,629167;26,8;21,254167;18,3;null;2,4125;
2023-04-27;4,8;969,7125;26,5;21,858333;18,8;null;1,304167;
2023-04-28;12;970,758333;28,3;21,5;16,7;null;1,470833;
2023-04-29;0;971,7125;28,6;22,2375;17,8;null;3,0125;
2023-04-30;0;971,354167;30;22,879167;17,7;null;2,45;
2023-05-01;0;971,191667;30,7;23,404167;16,8;null;2,016667;
2023-05-02;0;970,066667;30,1;22,845833;16,1;null;1,845833;
2023-05-03;0;970,225;30,6;23,4875;18,6;null;2,054167;
2023-05-04;0;971,195833;31,3;24,729167;19,7;null;1,558333;
2023-05-05;0;972,370833;32;24,954167;19,7;null;2,029167;
2023-05-06;0;972,2375;32,1;25,5125;20,2;null;2,108333;
2023-05-07;0;970,8375;31,4;25,041667;20,2;null;2,866667;
2023-05-08;0;971,883333;31,8;25,3125;20,1;null;1,991667;
2023-05-09;0;972,366667;31,2;25,0125;19,5;null;1,391667;
2023-05-10;0;971,641667;30,8;24,175;19,8;null;1,2375;
2023-05-11;0;970,483333;29,1;22,079167;15,8;null;1,516667;
2023-05-12;0;972,033333;26,3;17,9;10;null;1,283333;
2023-05-13;0;973,35;26,5;18,541667;12,4;null;1,9625;
2023-05-14;0;975,054167;26,9;19,570833;13,5;null;2,391667;
2023-05-15;0;975,458333;27,2;20,466667;13,4;null;2,495833;
2023-05-16;0;973,908333;27,7;20,475;13,2;null;2,4375;
2023-05-17;0;973,316667;26,2;19,141667;12,6;null;3,2;
2023-05-18;0;974,2875;27,8;19,670833;13,2;null;2,704167;
2023-05-19;0;973,345833;28,6;20,354167;14,2;null;2,808333;
2023-05-20;0;972,416667;29,6;20,645833;14,4;null;2,3625;
2023-05-21;0;970,529167;28,9;20,7875;15,8;null;2,829167;
2023-05-22;0;971,445833;29,2;21,891667;17;null;3,045833;
2023-05-23;0;973,508333;29,3;21,854167;16,7;null;2,870833;
2023-05-24;0;972,470833;28,7;21,804167;15,8;null;3,475;
2023-05-25;0;972,475;30,4;22,579167;17,4;null;3,366667;
2023-05-26;0;972,283333;30,3;22,733333;17;null;3,679167;
2023-05-27;0;971,870833;31,5;23,7;18;null;2,858333;
2023-05-28;7,4;972,354167;24,8;20,9625;18,2;null;2,616667;
2023-05-29;,2;972,8875;26,1;21,233333;18,4;null;2,758333;
2023-05-30;0;974,0625;21,3;17,7125;16,8;null;3,166667;
2023-05-31;19,6;974,845833;22,2;19,041667;16,7;null;1,575;
2023-06-01;,2;975,608333;26,6;20,120833;15,5;null;2,2375;
2023-06-02;0;974,308333;26,4;19,791667;14,3;null;2,895833;
2023-06-03;0;973,204167;28,2;20,3875;14,9;null;2,583333;
2023-06-04;0;974,675;30,1;21,616667;16,4;null;2,166667;
2023-06-05;0;975,0125;28,2;21,783333;15,7;null;2,570833;
2023-06-06;0;974,2875;27;20,470833;14,9;null;2,9625;
