Nome: MARILIA
Codigo Estacao: A763
Latitude: -22.235222
Longitude: -49.965111
Altitude: 660
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;0;938,3125;30,4;24,241667;20,5;85,125;1,529167;
2023-01-02;17,6;936,454167;30,1;23,8875;19,5;84,5;1,691667;
2023-01-03;53,8;934,966667;28,1;22,625;19,5;91,666667;1,475;
2023-01-04;28,8;934,125;24,3;21,3125;19,8;98,416667;2,079167;
2023-01-05;24,6;936,15;21;18,191667;16,8;100;2,108333;
2023-01-06;2,4;938,479167;24,5;19,6625;16,4;82,583333;3,054167;
2023-01-07;0;940,058333;24,5;20,183333;16,4;78,541667;3,170833;
2023-01-08;0;939,445833;25,3;20,808333;16,6;78,25;2,945833;
2023-01-09;0;938,0625;27,6;22,05;18,5;88,5;1,991667;
2023-01-10;0;938,025;27,2;22,291667;20;95,416667;1,758333;
2023-01-11;66;938,058333;29,5;21,816667;19,2;93,375;1,579167;
2023-01-12;7,8;936,475;29,3;23,008333;19,8;89,083333;1,404167;
2023-01-13;13,4;935,433333;28,7;23,083333;20,1;90,708333;1,8125;
2023-01-14;12;936,504167;29,6;24,025;20,8;86,625;2,320833;
2023-01-15;0;938,55;30,1;24,8375;21,5;83,583333;1,416667;
2023-01-16;0;938,191667;30,9;24,283333;21,7;88,125;1,0875;
2023-01-17;null;938,966667;30,4;null;20,7;81;null;
2023-01-18;null;939,815;30,5;null;20,7;78,15;null;
2023-01-19;7;939,408333;29,1;23,004167;19,6;89,375;null;
2023-01-20;null;null;28,6;null;null;null;null;
2023-01-21;null;null;null;null;null;null;null;
2023-01-22;null;null;30,8;null;null;77,846154;null;
2023-01-23;null;null;29,8;null;null;78,857143;null;
2023-01-24;null;null;30,5;null;22,2;null;null;
2023-01-25;null;null;32,4;null;null;50,769231;null;
2023-01-26;0;935,441667;33;26,0375;20,3;63,541667;null;
2023-01-27;0;936,673684;31,5;null;20,1;65,210526;null;
2023-01-28;null;null;28,3;null;null;90,230769;null;
2023-01-29;48,2;937,795833;31;24,933333;20,8;85,375;null;
2023-01-30;59,8;936,354167;27,9;21,991667;19,3;93,5;null;
2023-01-31;,2;937,054167;27,9;22,175;20;97,541667;null;
2023-02-01;18;938,283333;29,4;22,925;19,9;92,083333;null;
2023-02-02;9,2;938,330435;30,5;23,773913;21,7;91,434783;null;
2023-02-03;13;938,041667;28,5;22,558333;19,8;92,5;null;
2023-02-04;,4;938,575;29,2;23,091667;20;88,958333;null;
2023-02-05;1,2;938,770833;28,4;23,883333;20,7;87,708333;null;
2023-02-06;0;938,054167;28,1;23,141667;20,3;90,5;null;
2023-02-07;18;938,216667;28,4;23,283333;20,8;91,625;null;
2023-02-08;2,2;937,741667;30;23,9125;19,6;85,083333;null;
2023-02-09;,2;937,7625;31,3;24,8875;20,2;81,333333;null;
2023-02-10;0;938;30,1;24,866667;20,9;81,375;null;
2023-02-11;34,8;938,158333;25,3;21,525;19,3;98,833333;null;
2023-02-12;16,6;937,35;28,9;22,5125;20,2;94,083333;null;
2023-02-13;3,8;937,6;30,3;23,716667;19,8;86,125;null;
2023-02-14;66;937,2;31,2;24,483333;19,9;84,5;null;
2023-02-15;0;934,945833;29,9;24,445833;20,9;84;null;
2023-02-16;1,4;932,766667;29,6;22,8625;21;94,625;null;
2023-02-17;46,4;933,1375;25,5;22,2375;19,8;98;null;
2023-02-18;18;936,925;29,3;22,65;19,6;89,791667;null;
2023-02-19;10,6;939,995833;24,5;19,458333;17,7;99,375;null;
2023-02-20;8;939,358333;25,6;20,125;17,8;96;null;
2023-02-21;15;939,6125;25,7;20,954167;18,5;98,208333;null;
2023-02-22;3,6;940,825;30,3;24,641667;19,4;81,333333;null;
2023-02-23;1,2;941,0875;27,2;23,2875;20,9;92,791667;null;
2023-02-24;5,8;938,858333;26,2;22,070833;18,6;92,666667;null;
2023-02-25;,2;937,679167;30,5;24,333333;19,7;79,375;null;
2023-02-26;0;939,683333;30;25,0625;22,1;76,333333;null;
2023-02-27;0;941,529167;32,3;25,5625;21,2;80,583333;null;
2023-02-28;0;942,133333;27,2;22,841667;19,6;90,166667;null;
