Nome: BERTIOGA
Codigo Estacao: A765
Latitude: -23.84472221
Longitude: -46.14333333
Altitude: 5
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;,2;1013,754167;29,1;24,275;20,7;86,708333;1,1625;
2023-01-02;,2;1010,508333;28,3;24,904167;21,4;84,958333;1,370833;
2023-01-03;0;1006,466667;33,4;26,666667;22,9;76,083333;1,4625;
2023-01-04;,4;1007,466667;28,8;24,883333;25,1;83,416667;1,6875;
2023-01-05;34,8;1012,525;21,8;20,716667;20;95,083333;1,241667;
2023-01-06;13,6;1016,5875;23,8;21,145833;19,9;86;1,108333;
2023-01-07;4,2;1018,3;25;21,554167;18,7;86,25;1,016667;
2023-01-08;6;1016,908333;25,4;22,041667;20,3;90,25;1,795833;
2023-01-09;18,6;1015,320833;23,9;21,645833;20,2;92,666667;1,2125;
2023-01-10;2,8;1013,675;24,7;22,575;21,1;93,791667;,908333;
2023-01-11;,8;1011,6375;26,7;23,783333;21,7;91,708333;1,016667;
2023-01-12;4,8;1009,391667;27,9;24,725;21,7;86,625;1,233333;
2023-01-13;15;1007,854167;30,2;25,95;23,1;85,833333;1,3375;
2023-01-14;5,8;1009,129167;33;28,083333;23,3;71,666667;1,675;
2023-01-15;1;1011,216667;31,2;26,795833;23,9;84,875;1,295833;
2023-01-16;15,6;1011,908333;30,5;26,279167;23,7;89,458333;1,2875;
2023-01-17;1,2;1013,283333;28,5;26,1625;23,3;87,958333;1,141667;
2023-01-18;0;1014,875;29,3;26,133333;23,8;85,875;1,129167;
2023-01-19;0;1014,191667;29,5;25,854167;22,4;84,583333;1,329167;
2023-01-20;0;1011,229167;27,9;24,466667;22,7;89,75;,904167;
2023-01-21;9;1008,054167;28,4;24,720833;21,5;84,833333;1,154167;
2023-01-22;,6;1006,041667;31,9;26,5625;21,8;80,791667;1,354167;
2023-01-23;0;1007,55;31,3;26,175;24,6;86,875;null;
2023-01-24;39,6;1008,391667;29,2;25,441667;22,9;84,708333;null;
2023-01-25;1,4;1010,345833;30,1;26,9875;23,1;80,416667;null;
2023-01-26;0;1011,454167;32,1;26,7375;21;66,25;null;
2023-01-27;0;1012,495833;28,8;25,1;21,2;79,75;null;
2023-01-28;0;1012,625;29,3;25,808333;22,7;84,416667;null;
2023-01-29;11;1010,683333;30,1;26,316667;23,2;85,916667;null;
2023-01-30;,2;1009,408333;28,9;25,958333;23,5;83,916667;null;
2023-01-31;34;1009,720833;30,4;26,925;23,7;77,708333;null;
2023-02-01;17,4;1010,95;30,6;26,1375;23,2;81,333333;null;
2023-02-02;0;1010,791667;30,6;28,1625;24,6;74;null;
2023-02-03;18,8;1009,3875;31,4;26,591667;23,7;83,5;null;
2023-02-04;,2;1009,116667;34;29,395833;24,9;59,5;null;
2023-02-05;0;1010,4;30,5;26,720833;24,4;84,916667;null;
2023-02-06;2,6;1010,641667;31,8;25,4125;23,2;89,333333;null;
2023-02-07;32,6;1012,508333;28,8;24,5125;22,7;90,333333;null;
2023-02-08;18,8;1012,691667;28,7;25,108333;22,2;83,791667;null;
2023-02-09;,2;1012,658333;29,5;25,4375;20,9;81,041667;null;
2023-02-10;0;1012,133333;29,9;25,8375;23,5;85;null;
2023-02-11;0;1012,329167;28,7;24,429167;22,9;87,833333;null;
2023-02-12;40,2;1011,333333;28,6;24,5125;22,9;89,583333;null;
2023-02-13;33,6;1011,041667;28,6;24,825;22,3;89,25;null;
2023-02-14;6,6;1009,195833;30,8;26,375;22,5;83,833333;null;
2023-02-15;0;1005,6375;35,2;28,625;25,4;69,933333;null;
2023-02-16;10,6;1003,45;34,9;29,654167;24,3;null;null;
2023-02-17;5,2;1004,745833;35,6;28,683333;23,6;null;null;
2023-02-18;,4;1011,266667;28;25,170833;24,3;null;null;
2023-02-19;288,8;1016,558333;24;22,295833;20,8;null;null;
2023-02-20;3,8;1014,420833;25,2;23,3375;21,4;null;null;
2023-02-21;4,4;1012,85;28,7;24,141667;22,2;null;null;
2023-02-22;28;1015,833333;28,2;24,329167;21,6;null;null;
2023-02-23;0;1016,204167;28,4;24,758333;22,2;null;null;
2023-02-24;0;1011,829167;30;25,695833;22,2;null;null;
2023-02-25;,2;1009,204167;32;27,6625;24,1;null;null;
2023-02-26;0;1011,466667;33,9;28,5375;24,5;null;null;
2023-02-27;0;1016,629167;27,9;25,6125;24,2;null;null;
2023-02-28;64,6;1017,791667;28,5;24,525;23,7;null;null;
2023-03-01;21,4;1015,558333;29;24,529167;21,3;null;null;
2023-03-02;0;1012,879167;29,2;25,529167;22,7;null;null;
2023-03-03;0;1012,058333;28,7;25,8875;23,2;null;null;
2023-03-04;8,6;1011,408333;29;26,283333;24,3;null;null;
2023-03-05;,8;1009,075;30,8;27,1125;24,2;null;null;
2023-03-06;14,8;1008,604167;29,5;24,5625;22,1;null;null;
2023-03-07;76,4;1010,004167;31,2;25,8625;19,9;null;null;
2023-03-08;0;1011,483333;31,1;26,729167;22,2;null;null;
2023-03-09;0;1012,379167;31,2;26,825;23,4;null;null;
2023-03-10;,2;1013,491667;29,2;25,766667;24,1;null;null;
2023-03-11;5,8;1012,9875;28,1;24,366667;22,7;null;null;
2023-03-12;34,4;1013,541667;28,3;24,475;22,8;null;null;
