Nome: TUPA
Codigo Estacao: A768
Latitude: -21.927251
Longitude: -50.490251
Altitude: 498
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;0;956,086957;32,2;25,213043;21,5;84,611111;2,134783;
2023-01-02;null;954,233333;31;null;22;86,473684;2,671429;
2023-01-03;4,8;952,909091;29;23,804545;20,2;81,666667;2,036364;
2023-01-04;23,2;952,086364;24,9;22,163636;20,4;null;2,618182;
2023-01-05;null;954,204762;22,1;null;17,9;99,941176;3,314286;
2023-01-06;null;956,522727;25,7;21,540909;17,2;76,954545;4,013636;
2023-01-07;0;957,909091;26,3;22,086364;17,2;73,409091;4,536364;
2023-01-08;0;957,252174;27,3;22,465217;17,1;75,043478;3,647826;
2023-01-09;0;955,780952;27,2;null;20,1;83,428571;3,047619;
2023-01-10;0;955,777273;30,7;24,422727;21,3;86,9;2,527273;
2023-01-11;24,4;956,022727;29,1;22,754545;19,5;92,055556;1,904545;
2023-01-12;null;954,080952;29,9;null;20;78,571429;2,114286;
2023-01-13;0;953,295652;29,7;23,8;20,9;86,066667;2,313043;
2023-01-14;1,6;954,413043;31;24,869565;21,3;81,235294;3,230435;
2023-01-15;13,8;956,482609;31,4;25,986957;22;67,5;2,008696;
2023-01-16;0;955,929167;32,8;26,6;23;79,608696;2,629167;
2023-01-17;1,2;956,730435;32,9;26,382609;21,2;70,4;2,252174;
2023-01-18;null;957,57619;31,7;null;21,5;76,190476;2,57619;
2023-01-19;,8;957,15;31,8;25,195455;20,7;80,52381;2,690909;
2023-01-20;1,8;954,882609;28,7;22,891304;19,9;88,230769;2,069565;
2023-01-21;2,8;952,719048;30,1;null;20,4;77,583333;1,97619;
2023-01-22;0;952,417391;31,8;24,226087;20,3;83,578947;2,256522;
2023-01-23;null;953,209524;31,3;null;20,6;71,357143;1,985714;
2023-01-24;0;952,7;33,1;25,869565;21;76;1,813043;
2023-01-25;0;953,386957;33,4;27,095652;21,1;71,434783;2,643478;
2023-01-26;0;953,017391;33,3;27,343478;20,2;59,130435;2,717391;
2023-01-27;,4;953,922727;32,3;26,627273;20,8;68,409091;2,986364;
2023-01-28;0;956,113636;30,4;24,931818;21,4;86;2,304545;
2023-01-29;33;955,543478;32,1;26,126087;22,1;72,125;2,456522;
2023-01-30;10,8;954,269565;28,8;23,743478;20,3;83,933333;2,913043;
2023-01-31;,4;954,921739;29,1;23,586957;21,1;92,823529;1,83913;
2023-02-01;19,4;956,059091;30;23,990909;20,7;83,769231;2,413636;
2023-02-02;null;956,1;31,4;null;22,2;92,941176;2,119048;
2023-02-03;14,2;956,086957;28,2;22,808696;19,7;93,705882;2,404348;
2023-02-04;9;956,631818;29,7;24,454545;20,8;74,692308;2,609091;
2023-02-05;2,8;956,816667;29,3;24,879167;21,4;79,235294;2,066667;
2023-02-06;0;955,882609;31,1;25,252174;21,1;82,434783;1,934783;
2023-02-07;0;956,208696;29,6;24,208696;22;91,173913;1,686957;
2023-02-08;0;955,491667;31,6;25,470833;20,6;79;1,925;
2023-02-09;0;955,478261;32,1;25,830435;21,8;82,869565;2,13913;
2023-02-10;0;955,795652;30,2;24,834783;21,8;85,521739;2,113043;
2023-02-11;22;955,891667;29,6;23,5;21;90;2,641667;
2023-02-12;19,6;955,054545;30,9;24,131818;21,5;90,3;2,272727;
2023-02-13;0;955,472727;31,4;25,25;20,9;71,071429;1,972727;
2023-02-14;0;955,130435;32,4;26,047826;21,3;80,590909;2,178261;
2023-02-15;null;952,5;32,6;null;21,6;88,8;2,595238;
2023-02-16;11;950,504167;31,4;25,041667;21,3;83,176471;2,408333;
2023-02-17;,2;951,104348;26,9;23,204348;21,4;98,15;3,286957;
2023-02-18;32,6;955,095455;30,4;24,245455;20,2;79,117647;1,668182;
2023-02-19;9;957,813043;27,1;22,130435;20,3;87,608696;4,813043;
2023-02-20;21,6;957,304348;26,1;21,713043;18,9;90,789474;2,586957;
2023-02-21;null;957,57619;27,7;null;19,1;86,8;2,390476;
2023-02-22;null;958,654545;31,3;25,6;20,1;72,882353;1,663636;
2023-02-23;0;958,866667;28,8;24,8875;21,9;86,666667;2,025;
2023-02-24;51,8;956,969565;26,1;22,082609;18,9;93,368421;2,695652;
2023-02-25;,2;955,663636;30,6;25;19,2;75,578947;1,677273;
2023-02-26;0;957,620833;30,5;25,141667;21,2;83,791667;1,491667;
2023-02-27;1,2;959,2875;33,7;26,829167;21,8;78,208333;1,970833;
2023-02-28;0;959,725;29,7;24,725;20,6;84,541667;2,808333;
2023-03-01;32,8;959,017391;29,1;23,513043;18,2;81,277778;2,93913;
2023-03-02;null;956,480952;32,7;null;21,2;70,85;1,97619;
2023-03-03;0;955,4;33,5;27,213636;21,8;73,772727;2,227273;
2023-03-04;,4;955,947826;33,2;26,917391;22,1;79,681818;1,769565;
2023-03-05;1,8;955,230435;30,6;23,678261;19,9;87,285714;2,495652;
2023-03-06;null;952,586364;32;24,959091;19,5;70,384615;1,740909;
2023-03-07;0;954,118182;33,1;25,213636;19,3;75,947368;3,05;
2023-03-08;null;956,085714;31,3;null;19,4;75,578947;2,471429;
2023-03-09;0;956,617391;31,7;25,504348;21,1;81,217391;2,421739;
2023-03-10;29,6;957,033333;27,9;23,320833;20,9;86;2,4375;
2023-03-11;17;956,161905;27,6;null;21;87,846154;1,985714;
2023-03-12;1;956,569565;26,9;23,286957;21;90,642857;2,082609;
2023-03-13;,4;957,02381;28;null;21,5;88,809524;2,890476;
2023-03-14;25;957,681818;29,3;23,418182;21;null;2,459091;
