Nome: SAO PAULO - INTERLAGOS
Codigo Estacao: A771
Latitude: -23.724501
Longitude: -46.677501
Altitude: 771
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;34,8;927,408333;29,3;21,2625;17,9;92,375;1,808333;
2023-01-02;0;924,741667;31,8;23,129167;18,7;79,541667;1,625;
2023-01-03;,6;922,4375;29,6;23,075;19,8;81,833333;2,329167;
2023-01-04;15,2;922,429167;24,4;20,241667;19,6;97,666667;2,220833;
2023-01-05;38,6;925,404167;18,3;16,733333;15,9;100;2,758333;
2023-01-06;5,8;928,929167;18,6;16,566667;15,9;95,041667;3,108333;
2023-01-07;2,2;930,570833;18,5;16,979167;15,5;95,375;2,979167;
2023-01-08;2,4;929,516667;22,1;18,341667;16,5;96,75;2,733333;
2023-01-09;1;928,0125;21,7;18,316667;16,5;98,666667;2,7;
2023-01-10;,2;927,016667;23,1;19,575;17,6;98,791667;1,283333;
2023-01-11;2;926,008333;27,8;21,8375;19;89,125;1,679167;
2023-01-12;14;924,170833;29,3;21,745833;18,1;90,541667;1,941667;
2023-01-13;2;923,404167;29,9;23,375;20,2;85,916667;2,233333;
2023-01-14;16,8;925,0875;30;23,25;18,8;82,333333;2,379167;
2023-01-15;,2;926,7875;33,6;24,35;20,9;82,666667;1,820833;
2023-01-16;47,8;926,633333;30,2;23,658333;19,4;92,75;1,679167;
2023-01-17;,4;927,679167;29,7;23,633333;20,4;90,5;2,175;
2023-01-18;0;929,0125;28,9;22,420833;19,6;91,625;1,991667;
2023-01-19;0;928,166667;28,6;21,941667;18,5;91,125;2,029167;
2023-01-20;,2;925,4875;26,2;21,004167;19,4;92,583333;1,316667;
2023-01-21;31,6;922,4875;29,1;21,983333;18,1;87,833333;1,741667;
2023-01-22;0;921,858333;30,6;24,1375;19,4;77,125;2,025;
2023-01-23;0;922,904167;30;22,716667;20,8;89,916667;1,333333;
2023-01-24;9,4;922,975;29,2;22,233333;19,4;91,291667;1,5125;
2023-01-25;,2;924,7125;27,1;22,166667;18,4;87,666667;2,416667;
2023-01-26;0;925,566667;27,3;21,975;17,7;69,5;2,666667;
2023-01-27;0;926,408333;26,4;20,933333;17,3;86,625;2,225;
2023-01-28;0;926,933333;31,1;22,895833;19,2;87,458333;1,533333;
2023-01-29;2,4;925,65;32,2;23,508333;19,9;87,958333;1,7625;
2023-01-30;5;924,3625;29,3;23,025;18,5;83,916667;2,1375;
2023-01-31;1,8;924,8875;29,1;23,158333;20,4;85,708333;2,395833;
2023-02-01;20,8;926,1875;30;23,354167;19,6;85,291667;1,791667;
2023-02-02;0;926,1;31,9;24,7;20,3;79,625;2,045833;
2023-02-03;23,6;925,204167;29,1;23,204167;19,7;84,666667;3,2;
2023-02-04;7,6;925,35;28,7;22,945833;19,7;84,041667;3,6625;
2023-02-05;,4;925,816667;30,2;24,041667;21,3;85,416667;2,4625;
2023-02-06;5,2;925,820833;28,9;22,2375;19,2;91,25;1,45;
2023-02-07;6;926,733333;26,1;21,645833;19,3;93,791667;1,5375;
2023-02-08;23;926,566667;25,8;21,275;18,5;90,75;1,941667;
2023-02-09;,2;926,682609;29,6;21,965217;18;88,26087;1,734783;
2023-02-10;0;926,495833;30,8;22,675;19,7;88,416667;1,879167;
2023-02-11;1;926,654167;25,8;21,208333;19,2;95;1,166667;
2023-02-12;7,6;925,7875;28,4;21,7875;19,7;92,791667;1,4875;
2023-02-13;49,8;925,65;30,3;22,4125;18,6;88;1,8;
2023-02-14;2,2;924,7375;31,3;23,7;19,2;83,958333;1,8;
2023-02-15;6,8;922,325;32,3;23,6625;19,6;85,541667;2,5;
2023-02-16;10,8;920,025;30,1;23,591667;19,7;84,916667;2,8875;
2023-02-17;27,6;921,2625;29,6;23,720833;19,3;81,291667;3,104167;
2023-02-18;9,2;926,175;25,6;21,525;20,1;96,916667;1,954167;
2023-02-19;24,4;929,816667;20;18,270833;17,5;99,791667;3,404167;
2023-02-20;7,2;927,833333;31;21,1625;17,7;91,5;1,604167;
