Nome: SANTANA DO LIVRAMENTO
Codigo Estacao: A804
Latitude: -30.75055555
Longitude: -55.40138888
Altitude: 196
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;0;987,145833;37,9;27,791667;19,4;49,541667;,304167;
2023-01-02;3,8;985,666667;30;23,825;19,4;67,208333;,133333;
2023-01-03;0;987,145833;29,6;22,6;14,4;44,916667;,004167;
2023-01-04;0;987,879167;33,9;25,408333;16,8;40,583333;,0875;
2023-01-05;0;991;34;24,866667;16,8;55,458333;,0375;
2023-01-06;0;993,941667;33,3;25,433333;17,3;49,541667;,075;
2023-01-07;0;996,5125;32,8;24,195833;15,3;50,5;,65;
2023-01-08;0;995,133333;32,3;23,816667;15,4;58,666667;,120833;
2023-01-09;0;991,720833;32,6;24,454167;16,4;53,416667;0;
2023-01-10;0;988,725;34,4;25,654167;17,1;53,458333;,008333;
2023-01-11;0;987,491667;37,1;25,295833;17,5;59,25;,404167;
2023-01-12;,2;985,233333;35,1;25,925;19,4;56,291667;,158333;
2023-01-13;1,8;985,4375;24,7;20,304167;20;82,75;,220833;
2023-01-14;14,4;988,166667;28,5;21,891667;15,2;57,958333;,004167;
2023-01-15;0;990,9875;32,8;24,679167;15,5;50,375;,070833;
2023-01-16;0;991,25;34,4;25,966667;17,9;52,875;,329167;
2023-01-17;0;991,816667;35;26,666667;18,5;53,166667;,408333;
2023-01-18;0;994,033333;34,3;26,454167;18,8;63,5;,575;
2023-01-19;0;993,075;34,2;26,933333;21,9;63,291667;,479167;
2023-01-20;0;987,554167;36,3;27,508333;19,9;61,083333;,0125;
2023-01-21;0;983,829167;29,5;24,65;21,8;73,708333;,1375;
2023-01-22;9,8;984,129167;33,8;26,570833;19,5;60,875;,0875;
2023-01-23;0;986,45;34,9;27,1875;20,2;51,916667;0;
2023-01-24;0;985,75;36,8;26,629167;17,5;56,083333;,054167;
2023-01-25;0;986,704167;37,5;26,7625;20,4;55,791667;,004167;
2023-01-26;,2;987,241667;29,1;23,995833;23,2;73,083333;,1;
2023-01-27;14,4;987,3;36,2;25,891667;18,8;71,666667;,216667;
2023-01-28;,2;989,191667;28,6;24,95;21,2;72,75;,066667;
2023-01-29;4;990,441667;31,3;24,641667;19,5;71,708333;,429167;
2023-01-30;0;987,2375;30,8;24,029167;17,4;65,458333;,1125;
2023-01-31;0;985,604167;34,2;26,016667;16,1;49;,025;
2023-02-01;0;988,033333;35,6;27,420833;18,6;56,666667;,008333;
2023-02-02;0;988,9375;33,2;24,041667;20,4;74,583333;1,254167;
2023-02-03;10,6;988,1;27,5;22,6125;19,7;80,666667;,495833;
2023-02-04;0;990,720833;27,4;21,516667;17,1;66,625;,404167;
2023-02-05;0;990,6375;29,3;22,05;15,2;57,458333;0;
2023-02-06;0;989,020833;33,9;24,8375;15,7;54,041667;0;
2023-02-07;0;989,3375;35,5;26,720833;18,4;48,583333;,008333;
2023-02-08;0;988,5;38;25,9625;17,7;54,708333;,004167;
2023-02-09;6,2;989,045833;32,7;24,4375;18;70;0;
2023-02-10;0;988,791667;35,8;27,279167;19;59,75;0;
2023-02-11;0;989,1;36,7;28,166667;19,8;50,708333;0;
2023-02-12;0;987,2875;37,9;28,9875;20;39,375;1,095833;
2023-02-13;0;984,116667;38,3;29,304167;20,2;43,416667;1;
2023-02-14;0;983,4;35,2;26,45;23,5;64,666667;1,091667;
2023-02-15;8,2;984,408333;31,3;23,654167;17,5;73,875;0;
2023-02-16;0;979,679167;33,9;23,608333;20,3;75,833333;,929167;
2023-02-17;9,4;986,333333;18,8;15,8875;12,4;59,875;1,825;
2023-02-18;0;997,708333;21,8;14,1625;7,4;53,583333;,1875;
2023-02-19;0;998,341667;25;16,733333;8,5;51,5;,6625;
2023-02-20;0;993,804167;29,2;20,3;13,7;66,5;,045833;
2023-02-21;0;992,829167;30;22,2875;15,9;68,083333;0;
2023-02-22;0;993,7;30,8;23,204167;16,6;63,666667;,004167;
2023-02-23;0;991,225;32,3;23,358333;17,1;70,541667;,3125;
2023-02-24;11;989,145833;24,4;20,491667;18,9;87,958333;,029167;
2023-02-25;8;984,9875;29,5;21,895833;16,4;73,5;,3375;
2023-02-26;,2;989,308333;33,2;24,308333;17,2;60,291667;,016667;
2023-02-27;1,6;994,716667;32;23,866667;17,8;69,458333;0;
2023-02-28;1,4;994,458333;32,9;25,2625;18,4;65,791667;0;
2023-03-01;0;990,283333;33,6;25,533333;16,6;59,166667;0;
2023-03-02;0;988,525;27,8;24,720833;20,1;68,958333;0;
2023-03-03;0;987,379167;27,1;22,595833;18,9;84,041667;0;
