Nome: CURITIBA
Codigo Estacao: A807
Latitude: -25.4486111
Longitude: -49.23055554
Altitude: 922.91
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;0;912,3;28,8;21,583333;18,4;77,458333;1,9125;
2023-01-02;4,6;909,541667;27,7;22,020833;17,9;79,5;1,870833;
2023-01-03;0;906,4375;26,5;21,845833;18,7;80,916667;1,9375;
2023-01-04;21,4;907,958333;21;16,1125;15,3;95,541667;1,879167;
2023-01-05;27,2;911,308333;23,2;17,266667;13,4;77,708333;2,266667;
2023-01-06;0;914,329167;23,9;17,608333;13,2;74,125;2,995833;
2023-01-07;0;915,9625;22,6;17,1875;13,4;79,541667;2,941667;
2023-01-08;,2;915,041667;21,7;17,533333;14,6;84,291667;2,366667;
2023-01-09;1,2;913,220833;21,7;17,583333;15;87,875;1,966667;
2023-01-10;,4;911,720833;25;19,270833;16;87,541667;1,779167;
2023-01-11;4;910,533333;26,1;20,733333;18;85,083333;1,525;
2023-01-12;0;908,620833;27,7;21,1375;16,8;80,041667;1,408333;
2023-01-13;,6;907,266667;29,2;22,395833;17,6;77,625;2,279167;
2023-01-14;0;908,566667;27,1;22,383333;19;79,791667;2,170833;
2023-01-15;1,6;911,133333;29;22,808333;20,2;82,583333;1,620833;
2023-01-16;,4;911,795833;31;22,716667;19,8;84,5;1,7125;
2023-01-17;3,8;913,079167;29,9;22,191667;19,6;84,958333;1,241667;
2023-01-18;5,2;914,35;28,7;21,708333;18,9;86,458333;1,35;
2023-01-19;18,8;913,5625;27,2;21,5375;18,5;81,916667;1,970833;
2023-01-20;,2;910,533333;26,1;20,825;18,5;83,625;1,5875;
