Nome: TORRES
Codigo Estacao: A808
Latitude: -29.35027777
Longitude: -49.73333333
Altitude: 8.44
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;0;1012,158333;27,7;23,5625;20,3;81,291667;3,383333;
2023-01-02;0;1007,370833;28,2;23,925;21,8;78,541667;3,420833;
2023-01-03;4,2;1006,995833;27,5;23,083333;20,6;78,166667;3,170833;
2023-01-04;0;1010,633333;28,7;23,229167;19,9;72,333333;1,554167;
2023-01-05;0;1014,385714;28,2;null;16;72;1,609524;
2023-01-06;0;1019;28,6;22,7875;17,2;69,666667;1,8625;
2023-01-07;0;1021,340909;28,4;23,022727;16,4;67,909091;2,422727;
2023-01-08;,2;1019,3125;28,5;23,095833;18,7;69,833333;1,9375;
2023-01-09;0;1015,820833;28,2;23,6625;17,9;68,583333;3,158333;
2023-01-10;0;1013,225;28,9;23,45;18,4;73,708333;2,341667;
2023-01-11;2,8;1010,679167;29,5;23,925;17,9;74,958333;1,975;
2023-01-12;,2;1007,573913;30;24,978261;20,1;73,173913;2,652174;
2023-01-13;0;1006,008696;29,5;23,678261;21;82,608696;2,226087;
2023-01-14;4;1008,004167;29,8;23,4125;19,3;80,375;2,441667;
2023-01-15;7;1013,621739;27,2;22,734783;20,2;84,782609;1,582609;
2023-01-16;5,8;1014,179167;29,1;24,591667;22;87,041667;1,504167;
2023-01-17;0;1015,579167;30,4;24,8;20,1;78,583333;1,608333;
2023-01-18;1,6;1017,045833;29,6;25,2375;23,1;82,458333;2,233333;
2023-01-19;,2;1016,441667;29,4;25,2875;23,5;82,416667;3,283333;
2023-01-20;2,2;1011,742857;30,1;null;21;80,380952;2,590476;
2023-01-21;0;1006,829167;30,2;24,6625;21,5;77,833333;2,6375;
2023-01-22;17,2;1005,004167;30,3;25,133333;21,4;81,958333;1,675;
2023-01-23;0;1008,179167;30,8;25,058333;20,2;77;1,825;
2023-01-24;0;1008,421739;29,7;24,821739;17,5;73,173913;2,147826;
2023-01-25;0;1009,870833;31,4;26,3375;21,7;77,375;1,625;
2023-01-26;0;1010,7375;30,8;26,533333;24,4;79,458333;3,375;
2023-01-27;0;1010,7;28,5;24,036364;21,8;74,681818;3,572727;
2023-01-28;0;1010,83913;28,3;23,291304;19,9;77,391304;2,8;
2023-01-29;1,8;1010,6375;29,8;24,916667;22;79,708333;2,375;
2023-01-30;,2;1009,116667;29,8;24,545833;19,3;78,791667;2,004167;
2023-01-31;0;1007,595833;31,4;24,9625;20,9;79,833333;1,383333;
2023-02-01;2,2;1010,020833;31,6;25,691667;20,5;79,041667;1,483333;
2023-02-02;0;1011,1;31,3;26,021739;21,7;79,478261;1,621739;
2023-02-03;0;1006,95;31;25,741667;23,2;78,416667;1,9875;
2023-02-04;10,4;1007,343478;31,6;25,343478;21,4;70,956522;3,36087;
2023-02-05;0;1009,716667;32,1;25,495833;18,3;57,75;1,9;
2023-02-06;0;1011,5375;31,6;25,770833;22,1;62,083333;1,9125;
2023-02-07;0;1012,970833;31;24,454167;18,8;64;2,2875;
2023-02-08;0;1012,25;30,8;26,375;22,5;72,791667;3,379167;
2023-02-09;0;1011,833333;29,4;25,066667;22,1;72,958333;2,2;
2023-02-10;0;1011,870833;31,7;26,1875;20,7;72,5;1,945833;
2023-02-11;0;1012,208333;32,4;25,766667;19;72,666667;1,483333;
2023-02-12;0;1011,25;31,3;25,683333;19,1;69,125;2,6875;
2023-02-13;0;1009,15;31,3;26,5875;21,8;72,75;3,479167;
2023-02-14;0;1006,230435;36,2;26,617391;22;68,956522;2,391304;
2023-02-15;15,2;1004,834783;30,5;24,321739;20,3;74,608696;2,886957;
2023-02-16;0;1002,870833;30,9;25,516667;20,3;74,541667;1,970833;
2023-02-17;0;1002,420833;27,4;24,6125;21,9;72,541667;4,129167;
2023-02-18;0;1017,070833;24,6;20,195833;15,8;43,166667;4,716667;
2023-02-19;0;1021,826087;27,4;20,252174;13,7;53,956522;1,569565;
2023-02-20;2,4;1016,783333;22,9;20,925;18,9;77,125;2,720833;
2023-02-21;67,4;1013,956522;28,1;22,556522;19,6;88,130435;3,126087;
2023-02-22;1,2;1017,25;29,1;23,395833;19,8;75,833333;1,625;
2023-02-23;2,2;1016,229167;25,4;21,816667;20,2;84,541667;2,066667;
2023-02-24;17,8;1010,821739;26,6;22,434783;19,8;91;1,230435;
2023-02-25;,2;1007,120833;32,5;23,7125;19,6;78,541667;2,133333;
2023-02-26;3,2;1011,429167;30,9;25,045833;20,7;68,208333;1,554167;
2023-02-27;,2;1018,117391;29,4;23,821739;17,1;72,521739;2,278261;
2023-02-28;0;1018,608333;28,8;24,070833;17,7;75,541667;3,458333;
2023-03-01;0;1014,9125;28,7;24,670833;20,9;75,708333;3,945833;
2023-03-02;0;1011,765217;29,4;24,83913;20,9;74,086957;2,6;
2023-03-03;,4;1011,033333;27,8;24,625;22,5;77,708333;2,3375;
2023-03-04;4,8;1009,145833;29;24,629167;22,5;86,875;1,958333;
2023-03-05;60,4;1008,554167;27,6;23,445833;21,1;90,208333;3,641667;
2023-03-06;59;1007,978261;24,9;22,726087;21,5;null;2,46087;
2023-03-07;39,8;1007,233333;29,3;24,083333;21,3;null;2,0875;
2023-03-08;15,6;1008,708333;31,8;26,008333;21,4;null;1,895833;
2023-03-09;0;1012,3625;31,3;25,570833;21,6;84,416667;1,433333;
2023-03-10;0;1014,004167;31,1;25,983333;21,2;82,608696;1,295833;
2023-03-11;0;1014,575;30,5;26,041667;21,6;82,75;1,6875;
2023-03-12;0;1016,3125;29,9;26,483333;24,1;78,125;3,404167;
2023-03-13;1,4;1016,613636;29,6;25,818182;22,4;81;3,631818;
2023-03-14;0;1015,883333;29,4;25,920833;22,9;79,875;4,1;
2023-03-15;0;1015,845833;28,8;25,679167;23,1;80,333333;4,666667;
2023-03-16;0;1015,026087;28,8;25,265217;22,2;79,391304;3,221739;
2023-03-17;0;1014,5875;28,3;24,725;21,9;78,125;3,7;
2023-03-18;0;1014,279167;28,2;24,1625;20,7;76,708333;3,020833;
2023-03-19;0;1012,716667;28,2;23,3875;18,9;79,416667;1,725;
2023-03-20;0;1011,613043;30,1;24,191304;19;77,478261;1,269565;
2023-03-21;0;1015,247826;29,6;24,721739;21,1;80,043478;1,817391;
2023-03-22;,2;1018,06087;26,8;24,23913;23;81,956522;2,465217;
2023-03-23;,4;1016,183333;28,3;24,4625;23,1;80,458333;3,695833;
2023-03-24;11,4;1015,156522;28,5;23,73913;21,8;93;2,091304;
2023-03-25;,4;1013,73913;27,4;23,604348;21,3;87,956522;2,847826;
2023-03-26;20,2;1011,0625;28,8;24,304167;21,4;78,625;2,879167;
2023-03-27;,2;1017,066667;27;22,545833;17,3;65,875;2,470833;
2023-03-28;0;1015,125;26,8;22,683333;16,8;69,5;3,204167;
