Nome: CANGUCU
Codigo Estacao: A811
Latitude: -31.40333333
Longitude: -52.70083333
Altitude: 446.81
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;0;959,679167;35,9;27,804167;22,9;40;4,2125;
2023-01-02;,2;955,433333;29,9;24,879167;19,9;62,565217;4,4875;
2023-01-03;0;957,420833;29,9;21,083333;15,3;54,380952;4,095833;
2023-01-04;0;959,008333;32,3;22,725;15,8;41,952381;4,775;
2023-01-05;0;962,925;30,9;22,5;17,2;63,3;4,520833;
2023-01-06;0;966,783333;29,6;21,483333;16,5;69,913043;4,625;
2023-01-07;0;969,3375;29,4;21,191667;16;70,666667;5,0375;
2023-01-08;0;967,5625;30,3;21,220833;16,4;69;4,9;
2023-01-09;0;963,7125;30,2;21,495833;16,5;69,9;4,6875;
2023-01-10;0;961,116667;32,1;21,5625;17,5;81,3;4,2625;
2023-01-11;11,2;958,829167;33,8;24,104167;17,6;41,461538;3,316667;
2023-01-12;,2;955,870833;33,7;23,345833;20,5;61,526316;4,9625;
2023-01-13;64,6;956,041667;23,6;19,679167;18,4;null;4,4375;
2023-01-14;17,6;957,916667;26,8;20,104167;17;null;3,870833;
2023-01-15;,2;962,579167;29,2;22,379167;17,1;57,958333;3,566667;
2023-01-16;0;963,004167;30,6;22,4;17,4;71,388889;4,166667;
2023-01-17;,2;964,4;30,4;22,670833;18,9;73;4,470833;
2023-01-18;0;967,045833;27,6;21,108333;19,4;88,0625;4,754167;
2023-01-19;1;965,875;26,5;21,066667;18,8;null;4,033333;
2023-01-20;,2;960,604167;29,3;22,75;19,2;85,85;4,854167;
2023-01-21;0;955,441667;28,4;22,783333;20;85,181818;3,154167;
2023-01-22;0;954,525;32,3;24,85;20;63,85;3,283333;
2023-01-23;0;957,591667;32,5;24,8875;20,3;52,25;3,6375;
2023-01-24;0;957,725;32,3;23,483333;18,7;72,277778;3,6125;
2023-01-25;0;959,070833;34,7;25,308333;19,8;57,375;4,2875;
2023-01-26;0;959,241667;28,3;22,891667;21;89,428571;4,854167;
2023-01-27;7;958,670833;33;24,616667;18,6;74,958333;3,3;
2023-01-28;0;960,304167;32,2;24,320833;22,8;69,5;3,054167;
2023-01-29;30;961,204167;28,6;22,091667;18,5;null;4,004167;
2023-01-30;0;957,975;29,8;22,875;18,8;60,153846;3,05;
2023-01-31;0;956,95;31,3;24,408333;20,7;71,826087;3,858333;
2023-02-01;0;960,041667;31,5;23,9875;19,7;71,076923;3,5875;
2023-02-02;,2;960,920833;30,3;22,604167;19,2;77,642857;4,270833;
2023-02-03;23,4;957,8125;27;21,029167;19,2;null;4,258333;
2023-02-04;10,4;958,716667;26,4;20,116667;17;null;4,445833;
2023-02-05;0;959,295833;24,6;18,933333;15,3;88,272727;3,995833;
2023-02-06;2,6;960,2;30,5;22,570833;17,3;62,4375;3,333333;
2023-02-07;0;961,429167;31,8;23,645833;19,8;69,954545;4,0375;
2023-02-08;0;960,216667;33,3;24,041667;19,1;66,952381;4,420833;
2023-02-09;5,8;960,370833;30,4;23,083333;18;71,35;3,508333;
2023-02-10;0;960,770833;32,7;25,691667;21,3;60,541667;3,991667;
2023-02-11;0;961,079167;34,1;25,933333;20,7;57,208333;4,683333;
2023-02-12;0;959,766667;33,7;25,3875;20;57,75;4,066667;
2023-02-13;0;956,654167;35,7;26,7375;19,1;57,285714;4,870833;
2023-02-14;0;954,883333;30,6;23,754167;24,1;71,041667;4,679167;
2023-02-15;12,8;955,5125;25,4;20,454167;18,1;91,6875;3,9625;
2023-02-16;5,4;951,291667;31;22,425;18,4;73,066667;3,975;
2023-02-17;,8;953,291667;19,4;16,458333;13,9;60,5;3,9;
2023-02-18;,2;965,3625;20,3;13,420833;7,5;54,25;3,991667;
2023-02-19;0;969,375;22,9;16,875;11,6;53,208333;3,820833;
2023-02-20;0;965,366667;24,7;18,966667;15,2;86,045455;3,754167;
2023-02-21;0;963,870833;27,8;20,2125;16,2;72,785714;3,620833;
2023-02-22;,2;965,554167;28,6;20,833333;16,7;68,933333;4,066667;
2023-02-23;0;963,254167;29,4;21,245833;17,5;83,4;4,3;
2023-02-24;7;960,179167;28;21,079167;17,8;84,923077;3,866667;
2023-02-25;4,6;955,179167;25,5;19,920833;17,6;null;3,916667;
2023-02-26;6,8;959,908333;29,8;21,895833;17;74;4,470833;
2023-02-27;,2;966,758333;29,6;20,641667;17,5;78,833333;3,979167;
2023-02-28;20,6;965,991667;31,2;24,1625;15,9;59,888889;3,95;
2023-03-01;0;962,133333;31,6;24,675;20,8;56,875;4,0625;
2023-03-02;0;959,8;30,3;23,929167;20,3;79,458333;3,533333;
2023-03-03;,6;959,316667;26,8;22,591667;20,9;74,823529;3,279167;
2023-03-04;17;957,975;22,9;20,545833;19,8;null;3,420833;
2023-03-05;17,2;960,954167;26;20,745833;18;null;5,029167;
2023-03-06;0;960,804167;23,2;19,8125;16,9;null;5,566667;
2023-03-07;18,4;956,791667;25,1;21,408333;19,9;null;3,379167;
2023-03-08;7,4;957,483333;29,5;23,345833;19,5;null;2,479167;
2023-03-09;0;961,679167;31,6;24,1375;21,5;80,933333;4,033333;
2023-03-10;4,2;963,175;30,2;23,704167;19,8;null;2,9;
2023-03-11;,4;963,533333;30,6;23,7;19,9;75;3,691667;
2023-03-12;,2;965,1125;29,8;23,579167;20,5;82,411765;4,366667;
2023-03-13;0;964,741667;30,2;23,979167;20,8;84,590909;4,341667;
2023-03-14;0;963,483333;30,3;24,120833;20,3;80,954545;4,25;
2023-03-15;0;962,745833;30,6;24,795833;21,8;80,090909;3,604167;
2023-03-16;0;961,95;31,3;24,808333;20,9;77,545455;3,8;
2023-03-17;0;962,275;32,7;24,116667;20,5;79,52381;3,7875;
2023-03-18;2,2;963,133333;30,4;23,6875;19,8;80,0625;3,445833;
2023-03-19;0;961,541667;31,9;23,816667;20;null;2,266667;
2023-03-20;21,6;961,2125;28,3;23,2125;20,5;84,416667;4,254167;
2023-03-21;3,2;965,1625;23,3;19,379167;17,5;89,071429;3,845833;
2023-03-22;0;966,945833;24;19,641667;17,5;92,857143;4,025;
2023-03-23;10;964,929167;24,2;20,2375;18,3;null;3,670833;
2023-03-24;,2;964,725;26,8;21,0625;18,3;null;2,733333;
2023-03-25;0;960,2125;21,3;19,920833;19,2;null;4,475;
2023-03-26;10,6;960,9375;23,4;19,329167;16,6;71,833333;4,958333;
2023-03-27;,2;965,879167;23,5;17,916667;14,4;70,125;3,170833;
2023-03-28;0;962,1625;27,6;19,841667;14,9;73,5;3,695833;
2023-03-29;0;959,05;30,1;24,025;19,1;69,083333;3,966667;
2023-03-30;28;961,945833;25,9;20,920833;17,7;null;3,554167;
2023-03-31;0;962,370833;26,9;19,679167;18,2;null;4,666667;
2023-04-01;,8;965,054167;20,2;13,75;8,8;78,625;4,8875;
2023-04-02;,2;965,154167;23,2;16,6125;12,5;74,111111;2,6375;
2023-04-03;0;962,420833;24,5;18,075;14,5;82,958333;4,1125;
2023-04-04;0;962,6;22;17,7;15,7;94;3,1625;
2023-04-05;0;965,420833;22,9;17,9875;15,7;75,083333;5,4;
2023-04-06;,2;966,279167;21,6;17,216667;15,3;null;4,358333;
2023-04-07;,2;965,670833;21,1;16,416667;13,9;86,842105;4,041667;
2023-04-08;,8;966,575;23,3;17,6125;14,8;87,285714;3,429167;
2023-04-09;0;966,2;24,4;18,475;15,3;null;3,608333;
2023-04-10;0;965,558333;27,3;21,433333;17,7;74,05;4,0625;
2023-04-11;,2;962,3875;29,2;22,404167;17,1;54,071429;3,8625;
2023-04-12;0;958,866667;24,6;20,95;20;70,583333;3,333333;
2023-04-13;17,8;961,166667;19,5;14,766667;11,8;83,307692;5,579167;
2023-04-14;0;964,870833;19,1;13,583333;9,2;78,583333;4,85;
2023-04-15;0;966,170833;18,6;14,383333;12;88,1;4,520833;
2023-04-16;4;962,108333;19,6;16,6875;14,3;null;3,191667;
2023-04-17;2,6;956,904167;17,8;14,425;12,7;null;3,870833;
2023-04-18;,2;953,054167;19,6;14,220833;10,5;53,384615;3,845833;
2023-04-19;0;952,5625;14;10,4;8,4;71,208333;5,579167;
2023-04-20;,6;963,616667;18,2;11,658333;7,1;73,631579;3,3375;
2023-04-21;,4;966,7625;21,3;15,554167;10,1;74,9375;3,791667;
2023-04-22;0;966,754167;23,3;17,191667;14,4;82,958333;4,475;
2023-04-23;0;968,520833;22,6;17,470833;14;81,045455;3,533333;
2023-04-24;0;967,5625;24,9;18,983333;14,9;76,666667;3,691667;
2023-04-25;0;964,004167;21,2;17,754167;16,4;93,076923;3,95;
