Nome: RIO PARDO
Codigo Estacao: A813
Latitude: -29.87222221
Longitude: -52.38194443
Altitude: 106.99
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;0;997,745833;36,9;28,425;21;53,833333;2,470833;
2023-01-02;5;994,5375;33;26,745833;22,7;71,458333;2,7875;
2023-01-03;,8;996,154167;30,7;24,708333;19,3;55,75;2,045833;
2023-01-04;0;998,225;32,9;24,9375;18,3;55,375;1,829167;
2023-01-05;0;1001,254167;33;25,4625;17,9;49,875;2,775;
2023-01-06;0;1005,320833;31,5;23,9375;17,9;58,625;3,7875;
2023-01-07;0;1007,791667;30,9;23,666667;17,7;59,708333;4,054167;
2023-01-08;0;1005,95;31,2;23,854167;18;60,791667;3,375;
2023-01-09;0;1001,970833;33,5;24,325;17,3;62,458333;2,733333;
2023-01-10;0;999,7875;31,2;22,9;19;72,333333;2,45;
2023-01-11;0;998,1;35,3;25,758333;16,8;54;1,7875;
2023-01-12;0;994,904167;34,3;26,379167;18,8;58,458333;2,404167;
2023-01-13;0;994,016667;32,1;25,370833;21,4;69,833333;1,970833;
2023-01-14;,4;997,304167;29,3;23,804167;20,5;72;2,720833;
2023-01-15;0;1001,2625;29,9;24,4;20,9;69,541667;3,1;
2023-01-16;0;1001,320833;35,1;26,179167;20,6;67,583333;2,8125;
2023-01-17;0;1002,429167;33,4;26,2;20,1;67,333333;3,516667;
2023-01-18;0;1005,2125;29,9;24,9125;21,5;73,833333;3,775;
2023-01-19;0;1003,575;33,3;26,058333;22,3;72,5;3,366667;
2023-01-20;0;998,295833;35,2;27,083333;22,3;64,791667;3,091667;
2023-01-21;0;993,833333;37;24,8;21,3;78,333333;2,425;
2023-01-22;18,4;993,4125;33,6;26,7875;20,3;72,541667;2,433333;
2023-01-23;0;995,95;35,4;26,816667;20,9;64;2,391667;
2023-01-24;0;995,7;36,2;27,733333;20,9;61,875;2,4;
2023-01-25;0;997,05;36,8;28,129167;21,5;64,375;2,7625;
2023-01-26;0;997,6125;36,2;25,866667;23,3;74,416667;3,120833;
2023-01-27;3;997,445833;36,6;27,5875;20,5;65,583333;1,991667;
2023-01-28;0;998,529167;39,7;27,804167;22,8;65,708333;2,3375;
2023-01-29;5,4;999,1625;32,8;25,941667;22;72,5;2,2625;
2023-01-30;0;996,375;33,3;26,35;20;63,5;1,945833;
2023-01-31;0;995,2125;37;27,708333;21,3;61;2,291667;
2023-02-01;0;997,783333;36,2;27,583333;21,8;66,041667;2,529167;
2023-02-02;0;998,433333;34,3;26,833333;21,7;69,75;3,0125;
2023-02-03;,4;995,8875;30,4;25,345833;22,4;74,666667;2,404167;
2023-02-04;3,4;998,4;29,9;24,083333;20,3;66,875;3,558333;
2023-02-05;0;999,341667;31,1;23,383333;16,2;58,458333;3,579167;
