Nome: URUSSANGA
Codigo Estacao: A814
Latitude: -28.53249999
Longitude: -49.31527777
Altitude: 40.56
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;0;1008,1625;33,4;25,3;18,4;63,583333;1,429167;
2023-01-02;0;1003,5375;33,8;26,35;20,4;62;1,216667;
2023-01-03;2;1003,241667;26,5;23,775;22,8;73,25;1,179167;
2023-01-04;2,8;1006,9875;26,9;21,533333;19,2;75,416667;,891667;
2023-01-05;,2;1010,608333;29;21,633333;14,7;67;1,366667;
2023-01-06;0;1015,016667;27,4;21,325;15,4;68,541667;1,491667;
2023-01-07;1;1017,325;26,5;20,683333;16,1;75,125;,95;
2023-01-08;1,4;1015,254167;27,7;21,729167;15,7;69,375;1,3625;
2023-01-09;0;1011,804167;29,7;23,204167;17,2;65;1,325;
2023-01-10;0;1009,104167;30,9;23,2;17,8;70,166667;,870833;
2023-01-11;6,4;1006,970833;31;24,333333;19,1;63,875;1,5125;
2023-01-12;0;1003,725;36,1;26,091667;17,9;58,958333;1,379167;
2023-01-13;0;1002,225;34,6;25,954167;21,9;64,625;1,075;
2023-01-14;8,4;1004,520833;29,9;23,7625;20,5;74,083333;1,3125;
2023-01-15;48,6;1009,833333;25,9;22,604167;20,6;84,375;,745833;
2023-01-16;4,4;1010,204167;28,7;24,325;21,2;77;1,158333;
2023-01-17;0;1011,679167;27,9;23,766667;21,1;79,541667;,866667;
2023-01-18;0;1012,904167;30,6;24,55;21,8;76,375;1,0125;
2023-01-19;21,6;1012,429167;28,4;23,729167;21,7;81,375;,908333;
2023-01-20;10;1008,1;29,4;22,866667;19,7;80,5;,779167;
2023-01-21;11,2;1002,8875;32,8;24,204167;18,6;73,583333;,858333;
2023-01-22;,6;1001,45;30,6;24,991667;21,8;74,708333;,991667;
2023-01-23;8,8;1004,595833;32,1;24,191667;20,8;75,166667;1,204167;
2023-01-24;6,8;1004,55;33,9;24,516667;17,7;67,083333;1,416667;
