Nome: JOAQUIM TAVORA
Codigo Estacao: A821
Latitude: -23.50527777
Longitude: -49.94638888
Altitude: 512.67
Situacao: Pane
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;null;null;32,4;null;22,5;64,125;null;
2023-01-02;null;null;30,4;null;null;69,083333;null;
2023-01-03;null;null;29,4;null;null;null;null;
2023-01-04;null;null;24,7;null;null;null;null;
2023-01-05;null;null;22,3;null;null;70,285714;null;
2023-01-06;null;null;26,1;null;null;63,5;null;
2023-01-07;null;null;27,2;null;18;61,470588;null;
2023-01-08;null;956,888889;26,8;null;18,8;66,333333;5,672222;
2023-01-09;null;955,177778;26,5;null;19,4;71,222222;null;
2023-01-10;null;954,568421;29,1;null;20,3;75;2,747368;
2023-01-11;null;null;29,6;null;21,2;76,5;null;
2023-01-12;null;null;28,5;null;20,7;75,9375;null;
2023-01-13;null;null;28,8;null;22,2;83,666667;null;
2023-01-14;null;null;29;null;null;76,357143;null;
2023-01-15;null;null;31;null;22,1;78,1875;null;
2023-01-16;null;null;31,8;null;22;73,705882;null;
2023-01-17;null;null;31,1;null;20,4;72,1875;null;
2023-01-18;null;null;31,7;null;22,7;68,8125;null;
2023-01-19;null;null;30,5;null;22,2;65,357143;null;
2023-01-20;null;null;28,8;null;null;72;null;
2023-01-21;null;null;29,1;null;null;73,692308;null;
2023-01-22;null;null;30,3;null;null;73,333333;null;
2023-01-23;null;null;29,2;null;null;76;null;
2023-01-24;null;null;31,2;null;null;61,538462;null;
2023-01-25;null;null;31,3;null;null;48,25;null;
2023-01-26;null;null;32,1;null;null;54,916667;null;
2023-01-27;null;null;32;null;null;56,5;null;
2023-01-28;null;null;31,5;null;null;63,5;null;
2023-01-29;null;null;31,3;null;null;null;null;
2023-01-30;null;null;26,5;null;null;null;null;
2023-01-31;null;null;28;null;null;80,357143;null;
2023-02-01;null;null;29,9;null;null;74,153846;null;
2023-02-02;null;null;30,5;null;null;76,083333;null;
2023-02-03;null;null;27,9;null;null;79,428571;null;
2023-02-04;null;null;27;null;null;81,230769;null;
2023-02-05;null;null;29,2;null;21,5;78,411765;null;
2023-02-06;null;953,85;31,1;null;19,1;72,555556;1,144444;
2023-02-07;null;null;29,8;null;null;76,461538;null;
2023-02-08;null;null;30,9;null;null;62,928571;null;
2023-02-09;null;null;33,2;null;null;55,307692;null;
2023-02-10;null;null;28,8;null;null;null;null;
2023-02-11;null;null;26,7;null;null;84,5;null;
2023-02-12;null;null;29,4;null;null;77,928571;null;
2023-02-13;null;null;29,7;null;22;77,6;null;
2023-02-14;null;null;31,1;null;null;78,6;null;
2023-02-15;null;null;30,3;null;20,4;79,466667;null;
2023-02-16;null;null;29,1;null;21,1;83,375;null;
2023-02-17;null;null;27,1;null;null;87,571429;null;
2023-02-18;null;null;28,8;null;21,1;81,4375;null;
2023-02-19;null;null;23,3;null;18,9;77,823529;null;
2023-02-20;null;null;22,8;null;19,1;88,705882;null;
2023-02-21;null;null;26,8;null;null;82,933333;null;
2023-02-22;3,2;956,963636;31;24,918182;20,1;78,318182;,809091;
2023-02-23;null;null;25,7;null;21,2;86,764706;null;
2023-02-24;null;null;27;null;null;81,75;null;
2023-02-25;null;953,655;29,8;null;17,8;79,45;1,505;
2023-02-26;0;955,681818;30,1;24,186364;19,1;82,818182;1,136364;
2023-02-27;null;958,27619;30,7;null;18,8;78,333333;1,747619;
2023-02-28;null;null;26,8;null;20,4;78;null;
2023-03-01;null;null;28,4;null;null;74,538462;null;
2023-03-02;null;null;31,5;null;20,2;71,6875;null;
2023-03-03;null;null;32,3;null;null;68,076923;null;
2023-03-04;null;null;31,6;null;null;null;null;
2023-03-05;null;null;28,8;null;null;null;null;
2023-03-06;null;null;30,9;null;null;null;null;
2023-03-07;null;null;31;null;null;67,5;null;
2023-03-08;null;null;30,6;null;null;null;null;
2023-03-09;null;null;31,3;null;null;null;null;
2023-03-10;null;null;26,1;null;null;null;null;
2023-03-11;null;null;28,5;null;null;null;null;
