Nome: INACIO MARTINS
Codigo Estacao: A823
Latitude: -25.567879
Longitude: -51.077946
Altitude: 1208.85
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;0;881,45;25,7;20,445833;17,3;69;1,995833;
2023-01-02;0;879,033333;23,5;18,920833;17,3;77,541667;2,2;
2023-01-03;1,6;876,425;25,4;19,3625;15,8;74,583333;1,8375;
2023-01-04;42,8;877,266667;16,6;14,645833;12,7;81,791667;3,0375;
2023-01-05;6,6;880,45;21,9;15,491667;11;66,125;3,345833;
2023-01-06;,2;883,066667;22;15,670833;11;62,875;3,9125;
2023-01-07;0;884,541667;22;15,75;11,8;68,208333;4,520833;
2023-01-08;0;883,891667;19,3;15,7875;12;70,083333;3,2625;
2023-01-09;0;881,8125;22,9;17,233333;13,7;71,5;2,683333;
2023-01-10;0;880,8375;23,9;17,975;14,2;75,166667;2,204167;
2023-01-11;12,2;879,908333;25,5;19,158333;15,5;74,291667;2,020833;
2023-01-12;0;878,370833;23,4;18,858333;16,8;78,166667;1,333333;
2023-01-13;12,2;876,945833;25,7;19,5125;16,8;74,583333;2,045833;
2023-01-14;0;878,1;23,5;19,258333;16,8;77,583333;1,8;
2023-01-15;33,2;880,679167;25;19,520833;17,4;79,208333;1,933333;
2023-01-16;1,4;881,370833;26,6;19,891667;16,3;77,875;1,875;
2023-01-17;16,2;882,641667;23,9;19,3625;17,9;81,083333;2,133333;
2023-01-18;1,2;883,925;23,9;19,0125;16,4;76,041667;2,470833;
2023-01-19;7;882,875;24,2;18,579167;15,8;77,083333;2,629167;
2023-01-20;8,4;879,854167;25,1;18,970833;16,7;77,833333;2,1875;
2023-01-21;4;877,229167;27,5;20,754167;16,5;70,041667;2,1125;
2023-01-22;0;876,508333;24,7;20,491667;17,3;71,916667;2,320833;
2023-01-23;0;877,895833;26,6;20,233333;16,2;72,375;1,595833;
2023-01-24;,6;878,2875;28,8;20,354167;14,2;61,125;1,9125;
2023-01-25;0;879,7;28,1;21,616667;16,9;53,75;1,916667;
2023-01-26;0;879,958333;26,8;21,170833;15,6;52,833333;2,345833;
2023-01-27;0;880,495833;27,3;19,825;12,1;54,541667;2,308333;
2023-01-28;0;881,3625;28,2;21,341667;16,8;62,541667;2,104167;
2023-01-29;0;880,416667;25,5;19,9375;17,5;71,416667;1,975;
2023-01-30;14;877,954167;23,1;17,9375;16,6;80,291667;2,083333;
2023-01-31;31;878,675;21,6;18,4625;16,4;82,5;1,608333;
2023-02-01;5,4;880,0125;22,9;18,854167;16,7;82;1,545833;
2023-02-02;5,6;879,8625;22,2;19,170833;18;82,916667;1,104167;
2023-02-03;14,4;877,970833;24,1;19,229167;18,1;82,208333;2,183333;
2023-02-04;14,8;878,991667;23,6;18,9625;16,8;76,333333;2,466667;
2023-02-05;1,6;880,329167;25,1;19,454167;14,4;63,416667;2,120833;
2023-02-06;,2;880,383333;26;19,604167;14,4;56,916667;1,829167;
2023-02-07;0;881,0875;25,8;20,204167;15,1;63,958333;1,65;
2023-02-08;0;881,0875;25,7;20,241667;17;68,583333;2,016667;
2023-02-09;,2;881,208333;27,5;20,204167;16,6;68,166667;2,570833;
2023-02-10;7;881,095833;23,8;18,029167;16,4;79,25;2,5875;
2023-02-11;2,8;880,641667;25,2;18,716667;15,3;73,208333;2,233333;
2023-02-12;0;880,195833;25,9;19,933333;16,7;68,791667;2,3;
2023-02-13;0;879,575;27,6;20,595833;17,6;70,416667;2,570833;
2023-02-14;,6;878,733333;25,6;19,791667;17,2;76,125;2;
2023-02-15;13,8;875,825;19,9;17,958333;16,8;83,291667;1,575;
2023-02-16;25,2;873,595833;23,4;17,733333;15,7;80,25;2,279167;
2023-02-17;8,2;874,025;21,6;18,0625;16,2;81;2,483333;
2023-02-18;,4;881,05;23,3;17,729167;11,9;70,708333;2,704167;
2023-02-19;,2;884,6375;17,2;12,620833;9,9;83,791667;3,620833;
2023-02-20;4,8;882,233333;16,9;14,758333;12;89,291667;2,4875;
2023-02-21;15,8;881,058333;23,8;17,333333;14,1;80,75;1,716667;
2023-02-22;3,8;883,216667;24,6;18,9375;15,8;78,333333;1,820833;
2023-02-23;7,6;883,541667;22,1;17,5;16,7;82,75;2,8375;
2023-02-24;26,4;880,008333;22,4;17,5;14,2;82,125;1,9125;
2023-02-25;4,8;879,216667;25,2;19,679167;16,4;71,875;1,804167;
2023-02-26;,2;881,558333;21,9;18,316667;16;76,25;1,725;
2023-02-27;7,8;885,191667;22,3;17,891667;15,5;80,208333;1,533333;
2023-02-28;1,8;885,608333;20,9;16,9625;14,7;78,916667;2,729167;
2023-03-01;0;882,945833;23,9;18,620833;15,8;74,958333;1,979167;
2023-03-02;0;881,233333;23,2;18,820833;16,2;79;1,529167;
2023-03-03;14,6;880,583333;23,1;18,879167;16,3;80,083333;2,241667;
2023-03-04;1,2;880,2625;26,4;19,4375;17,2;78,416667;2,516667;
2023-03-05;6,8;878,491667;25,8;19,354167;15,8;75,041667;2,183333;
2023-03-06;3;877,183333;24,2;17,391667;13,3;79,375;1,304167;
2023-03-07;1;877,866667;26,7;19,733333;15,3;69,958333;2,575;
2023-03-08;,2;880,3;26,2;20,295833;15,8;71,25;2,4625;
2023-03-09;17,4;882,295833;23,9;18,6125;16,3;79,75;1,620833;
2023-03-10;5,4;882,066667;23;18,1;16,3;80,916667;2,079167;
2023-03-11;,2;881,579167;22,2;18,4;16,6;78,916667;2,15;
2023-03-12;1,8;882,354167;21,6;18,0125;16,2;79,416667;3,729167;
2023-03-13;1,6;882,683333;24,2;18,45;17;80,083333;3,491667;
2023-03-14;10,2;883,020833;22;18,004167;16,4;81,958333;3,345833;
2023-03-15;2;882,920833;22,4;18,270833;16,1;80,666667;3,2625;
2023-03-16;1,2;882,479167;23;18,354167;14,8;75,5;2,958333;
2023-03-17;,2;882,991667;25,4;19,479167;15,6;68,75;2,991667;
2023-03-18;0;882,9875;25,7;18,966667;13,4;66,5;1,783333;
2023-03-19;0;882,470833;26;19,75;14,6;60,416667;1,616667;
2023-03-20;0;882,4875;26,6;19,475;16,6;70,208333;1,383333;
2023-03-21;17,2;883,308333;27,7;20,8375;15,5;63,625;1,7625;
2023-03-22;,2;884,891667;26,3;20,566667;17,4;70,708333;1,875;
2023-03-23;0;885,0125;25,4;19,9875;16,6;73,666667;2,079167;
2023-03-24;0;883,75;29;21,504167;15,9;65,5;1,429167;
2023-03-25;0;882,679167;25,4;20,145833;17,8;74,75;2,4625;
2023-03-26;31;881,879167;25,3;20,433333;14,8;67,541667;2,5625;
2023-03-27;,2;882,725;24,5;17,854167;12,4;69,416667;1,995833;
2023-03-28;0;882,4;24,6;18,4375;14,9;77,166667;2,616667;
2023-03-29;,8;882,3875;25,3;18,883333;15,7;80,666667;2,058333;
2023-03-30;15,4;882,591667;24,5;18,0125;13,9;74,625;2,3125;
2023-03-31;1;882,333333;27,5;19,545833;13;64,833333;1,95;
2023-04-01;0;881,679167;26,4;19,858333;16,1;63,291667;2,85;
2023-04-02;0;882,120833;21,9;15,266667;9,7;64,375;2,0875;
2023-04-03;0;882,029167;22,2;16,0625;11,9;76,916667;2,483333;
2023-04-04;0;881,016667;26,8;20,116667;12,7;65,708333;1,545833;
2023-04-05;0;881,608333;24,1;18,004167;16,1;72,041667;2,070833;
2023-04-06;3,8;881,883333;18,2;15,983333;14,6;81,125;2,995833;
2023-04-07;18;881,1125;17,6;15,120833;14,3;86,958333;2,2375;
2023-04-08;1;882,666667;20;16,441667;14,6;83,958333;2,358333;
2023-04-09;,2;884,541667;21,6;16,3875;14,7;81,083333;2,525;
2023-04-10;,2;885,329167;23,1;17,025;14,1;75,583333;2,208333;
2023-04-11;0;883,320833;23,1;17,2625;13,3;69;1,8375;
2023-04-12;0;880,9625;25,8;18,833333;14;57,75;1,345833;
2023-04-13;0;878,883333;24,8;19,1375;15,8;62,708333;1,554167;
2023-04-14;10,2;879,1375;22,9;17,341667;15,4;80,708333;2,145833;
2023-04-15;3,4;882,370833;19,4;16,0125;14,9;85,333333;2,975;
