Nome: SAO GABRIEL
Codigo Estacao: A832
Latitude: -30.34138888
Longitude: -54.31083333
Altitude: 114.89
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;0;996,433333;37,3;29,379167;22,5;51,291667;2,375;
2023-01-02;13,8;994,420833;30,9;25,466667;22,3;78,583333;1,3125;
2023-01-03;,2;995,908333;29,7;22,8;15,9;57,541667;1,445833;
2023-01-04;0;997,191667;33,3;25,358333;18,2;51,583333;1,408333;
2023-01-05;0;999,733333;33,5;26,879167;18,9;47,541667;1,770833;
2023-01-06;0;1003,3875;32,8;26,208333;19,6;48,375;3,741667;
2023-01-07;0;1005,95;32,1;25,379167;19,3;51,666667;4,7;
2023-01-08;0;1004,354167;32,4;25,679167;19,3;55,708333;3,6;
2023-01-09;0;1000,670833;33,4;26,0375;19,5;54,583333;3,016667;
2023-01-10;0;998,108333;34,7;26,45;20,8;59,791667;3,091667;
2023-01-11;0;996,9625;36,3;26,15;18,8;61,666667;2,0625;
2023-01-12;7,8;994,458333;33,6;25,666667;20;69,041667;1,375;
2023-01-13;1,6;993,683333;27,6;22,920833;20,8;83,583333;1,275;
2023-01-14;11,8;996,929167;30;22,604167;17,9;72,375;,954167;
2023-01-15;0;1000,104167;32,3;26,141667;20,4;54,25;2,379167;
2023-01-16;0;1000,191667;35,4;27,195833;19,7;58,416667;2,320833;
2023-01-17;0;1000,875;36,5;28,254167;20,7;58,75;2,616667;
2023-01-18;0;1003,2125;34,4;27,6125;21,6;63,583333;4,166667;
2023-01-19;0;1002,195833;34,3;27,479167;22,9;67,916667;3,645833;
2023-01-20;0;996,95;36,2;28,429167;22;61,458333;2,879167;
2023-01-21;0;992,891667;31,4;26,291667;22,9;72,666667;2,741667;
2023-01-22;0;992,891667;35,5;27,579167;21,6;66,958333;1,191667;
2023-01-23;,2;995,1;36,7;28,633333;21,3;52,125;1,825;
2023-01-24;0;994,475;38,1;28,591667;19,9;52,333333;1,704167;
2023-01-25;0;995,529167;39,4;30,233333;23,2;50,583333;1,975;
2023-01-26;0;996,3;32,2;26,0125;24,4;74,958333;3,029167;
2023-01-27;22;996,4875;35;27,058333;20,4;74,375;1,291667;
2023-01-28;0;997,670833;35;27,791667;23,2;73;1,675;
2023-01-29;0;998,775;33,6;26,704167;19,8;68,291667;1,4;
2023-01-30;0;995,758333;33;26,258333;19,6;63,666667;1,579167;
2023-01-31;0;994,3625;36,1;27,991667;20,8;56,125;1,291667;
2023-02-01;0;996,641667;36,8;29,258333;21,3;58,208333;1,520833;
2023-02-02;0;997,479167;36,2;27,466667;22,8;67,833333;3,304167;
2023-02-03;9,4;996,316667;31,3;24,5;20,5;77,916667;3,241667;
2023-02-04;0;998,975;29,4;22,925;18,3;68,5;2,5375;
2023-02-05;0;999,3875;30,4;22,254167;14,5;66,25;1,454167;
2023-02-06;0;998,379167;33,4;25,579167;18,4;63,083333;,933333;
2023-02-07;0;998,616667;36,3;27,9375;20,8;51,75;1,6;
2023-02-08;0;997,5375;38;28,558333;19,6;51,375;2,579167;
2023-02-09;,8;998,116667;33,9;26,370833;19,8;67,083333;2,075;
2023-02-10;,2;997,883333;36,3;28,7375;22,5;59,75;1,291667;
2023-02-11;0;998,479167;37,5;29,0625;20,3;52,958333;1,875;
2023-02-12;0;996,745833;39;29,85;21,1;42,75;1,9875;
2023-02-13;0;993,941667;38,9;30,008333;20,8;49,291667;2,383333;
2023-02-14;2;992,7;35,6;26,895833;23,3;70,416667;1,745833;
2023-02-15;13,8;993,220833;32,5;24,920833;19;76;1,016667;
2023-02-16;0;989,066667;33,3;24,8875;21,2;78,5;3,745833;
2023-02-17;7,2;992,961111;20,6;null;14;79,222222;2,733333;
2023-02-18;null;null;22;null;null;null;null;
2023-02-19;null;1007,5375;26,7;18,304167;9,8;57,458333;3,220833;
2023-02-20;0;1002,995833;29,3;22,195833;18,1;65,833333;3,120833;
2023-02-21;0;1001,933333;30,5;23,229167;16;72,083333;1,725;
2023-02-22;0;1002,941667;32;24,925;19,4;63,458333;3,233333;
2023-02-23;0;1000,529167;33,2;25,6125;20,5;69,458333;3,008333;
2023-02-24;8,2;998,1125;28,9;23,108333;20,2;84,625;1,116667;
2023-02-25;4,8;994,345833;29,7;22,870833;17,8;80,416667;2,066667;
2023-02-26;1,2;998,5375;33,7;24,579167;17,6;70;,633333;
2023-02-27;0;1004,2125;33,5;25,445833;19,5;71,208333;1,8875;
2023-02-28;0;1003,925;33,2;25,808333;19,1;65,291667;2,220833;
2023-03-01;0;999,595833;34,6;26,775;19,9;58,583333;2,083333;
2023-03-02;0;998,033333;28,7;24,591667;20,2;75,75;1,475;
2023-03-03;0;996,954167;25,7;23,029167;20,1;87,916667;1,991667;
2023-03-04;14,6;996,225;27,4;22,95;21,3;93,708333;1,254167;
2023-03-05;20,6;999,5;29,8;23,166667;17,6;81,083333;,7875;
2023-03-06;,2;998,5125;28,7;23,404167;17,9;76,25;1,304167;
2023-03-07;0;994,966667;31,8;24,908333;20,2;78,25;1,279167;
2023-03-08;0;995,620833;34,6;27,158333;21;71,25;1,029167;
2023-03-09;0;999,133333;34,3;27,816667;22,6;69,166667;1,620833;
2023-03-10;0;1000,366667;33,5;27,454167;22,1;73,208333;2,245833;
2023-03-11;0;1000,6375;33,8;27,2375;21,8;72,958333;2,516667;
2023-03-12;0;1001,720833;32,6;26,9875;21,5;68,166667;3,745833;
2023-03-13;0;1001,316667;32,6;27,208333;22,5;68,666667;3,3;
2023-03-14;0;1000,233333;32,7;27,495833;22,9;68,916667;3,104167;
2023-03-15;0;999,766667;32,5;27,0125;24,8;75,875;2,816667;
2023-03-16;7,4;999,445833;32;25,858333;23,7;87,541667;1,4875;
2023-03-17;3,4;999,783333;33,4;26,779167;22,5;77,5;1,591667;
2023-03-18;0;1000,558333;35,1;26,4875;22,6;78,166667;,854167;
2023-03-19;0;999,320833;34,1;27,2125;21,7;74,25;,775;
2023-03-20;0;999,441667;33,6;26,279167;21,7;77,708333;1,270833;
2023-03-21;0;1002,516667;29,1;24,529167;21,4;79,833333;1,816667;
2023-03-22;0;1003,729167;32;25,108333;19,8;71,875;2,808333;
2023-03-23;0;1002,4625;32,7;25,841667;21,6;73,5;2,491667;
2023-03-24;0;1002,079167;33,7;26,529167;21,2;71,5;1,279167;
2023-03-25;6,6;998,65;28,5;23,745833;21,4;85,958333;2,770833;
2023-03-26;1,2;1001,7625;27,8;22,670833;19,6;72,916667;2,304167;
2023-03-27;0;1004,395833;27,2;20,65;14,5;68,291667;1,1125;
2023-03-28;0;999,825;30,8;22,808333;16,6;65,833333;2,045833;
2023-03-29;0;997,229167;35,1;24,320833;19,4;76,875;1,3375;
2023-03-30;18,6;1000,058333;28,9;22,991667;19,2;82,875;,991667;
2023-03-31;0;1001,766667;28,8;23,108333;20,4;83,875;1,7875;
2023-04-01;,8;1005,683333;24,7;16,941667;9,2;66,291667;1,679167;
2023-04-02;0;1003,975;26,2;18,566667;10,6;69;1,804167;
2023-04-03;0;1000,25;29,8;20,941667;13,4;67,166667;1,816667;
2023-04-04;0;1000,495833;27,9;22,2;17,2;70,875;1,0375;
2023-04-05;0;1002,825;27,2;22,479167;17,9;67,875;3,1375;
2023-04-06;0;1003,6625;24,3;21,495833;19,5;69,208333;3,266667;
2023-04-07;0;1003,695833;24,7;19,433333;13,7;75,833333;1,795833;
2023-04-08;0;1004,4125;27,1;21,35;16,5;70;2,2;
2023-04-09;0;1003,9625;30,2;22,270833;15,9;74,166667;1,225;
2023-04-10;0;1003,625;31,7;24,5;17,2;66,375;1,075;
2023-04-11;0;1000,45;32,7;23,8875;17,4;67,666667;1,266667;
2023-04-12;0;997,1625;32,2;23,729167;18,4;71,791667;1,241667;
2023-04-13;13,4;null;22,8;null;16;86,941176;null;
2023-04-14;null;null;23,3;null;null;null;null;
2023-04-15;null;1003,808333;25,6;19,745833;13,9;70,541667;2,7375;
2023-04-16;0;1000,370833;25,3;20,85;18,5;80,458333;1,35;
2023-04-17;0;996,166667;23,4;18,779167;16,9;76,333333;1,345833;
2023-04-18;0;993,283333;24,1;16,4375;10,3;67,125;1,541667;
2023-04-19;0;null;17;null;11,3;57,3125;null;
2023-04-20;null;null;20,6;null;null;null;null;
2023-04-21;null;1005,166667;25,3;15,695833;6,9;68,625;2,2375;
2023-04-22;0;1005,7125;26;19,054167;12,7;70,25;1,6125;
2023-04-23;0;1006,254167;27,3;19,870833;13,7;65,25;1,995833;
2023-04-24;0;1005,175;28,9;22,129167;16,5;65,375;2,395833;
2023-04-25;6,6;1002,9;23,4;null;18,2;85,944444;2,238889;
2023-04-26;null;null;24,1;null;null;null;null;
2023-04-27;null;1002,079167;24,6;17,970833;13,3;84,5;,308333;
2023-04-28;0;1003,529167;24,8;17,9125;10,7;79,375;,704167;
2023-04-29;0;1002,108333;27,7;20,1875;13,4;70,458333;1,854167;
2023-04-30;0;1000,004167;30,1;21,658333;15;74,166667;2,404167;
2023-05-01;0;1001,27619;24;null;18,8;85,52381;1,519048;
2023-05-02;null;null;null;null;null;null;null;
