Nome: SANTIAGO
Codigo Estacao: A833
Latitude: -29.191599
Longitude: -54.885653
Altitude: 390.03
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;0;965,041667;38,6;29,1625;23;41,708333;2,504167;
2023-01-02;,4;963,6125;31;24,816667;21,5;70;2,520833;
2023-01-03;0;964,283333;31,3;23,658333;16,4;40,833333;1,629167;
2023-01-04;0;965,616667;35,8;26,104167;18,9;34,291667;1,329167;
2023-01-05;0;967,545833;36,1;26,6875;18,9;32,5;1,904167;
2023-01-06;0;970,495833;36,2;26,55;19,6;36,5;1,975;
2023-01-07;0;972,666667;35,1;25,420833;17,8;45,958333;2,029167;
2023-01-08;0;971,366667;34,9;25,2625;17,7;51,791667;2,129167;
2023-01-09;0;968,220833;34,7;25,295833;18,1;50,666667;1,666667;
2023-01-10;0;966,5;33,2;23,7125;20,1;62,625;1,854167;
2023-01-11;2,8;965,6375;36,5;25,395833;17,6;55,958333;2,283333;
2023-01-12;null;null;33,2;null;23,3;47,533333;null;
2023-01-13;1,8;962,645833;26,1;20,820833;20;83;2,304167;
2023-01-14;7,8;965,304167;30,2;20,845833;15,7;71,958333;1,345833;
2023-01-15;0;967,8;32,1;24,541667;18,5;63,208333;1,370833;
2023-01-16;3,2;967,966667;36,1;27,054167;19,5;59,958333;1,525;
2023-01-17;0;968,520833;38;28,9;21,4;52;1,704167;
2023-01-18;0;970,311111;37,5;null;20,5;61,5;1,661111;
2023-01-19;null;null;36,1;null;null;46,583333;null;
2023-01-20;,2;965,05;35,4;27;21,3;62,916667;1,579167;
2023-01-21;18;961,836842;33,5;null;20,2;67,736842;2,672222;
2023-01-22;null;null;33,9;null;null;48,307692;null;
2023-01-23;0;963,883333;36;28,570833;20,9;41,875;1,316667;
2023-01-24;0;963,279167;36,6;29,391667;22,3;38,458333;1,8875;
2023-01-25;0;964,254167;37,8;28,5;22,5;44;1,620833;
2023-01-26;1,4;964,470833;34,8;26,408333;22,7;59,875;2,008333;
2023-01-27;0;965,016667;38,2;27,454167;21,4;59;1,766667;
2023-01-28;0;966,65;33,6;27,370833;24,2;58,416667;1,975;
2023-01-29;null;null;35,1;null;21,8;48,933333;null;
2023-01-30;0;963,675;35,9;26,333333;19,7;57,583333;1,416667;
2023-01-31;0;963,233333;36,2;26,945833;20,3;54,833333;1,441667;
2023-02-01;0;965,370833;37,3;28,183333;21,7;49;1,5875;
2023-02-02;0;965,495833;34,9;26,241667;22,2;63,375;1,983333;
2023-02-03;15,2;964,595833;28,8;22,3125;19,7;85,666667;1,725;
2023-02-04;6,8;967,491667;28,1;21,683333;17,4;73,208333;1,675;
2023-02-05;0;968,145833;29,7;21,975;14,9;51,291667;1,4375;
2023-02-06;0;966,904167;34,8;25,120833;18,1;47,75;1,154167;
2023-02-07;0;967,045833;36,9;27,458333;18,7;42,166667;1,175;
2023-02-08;0;965,895833;37,1;28,316667;20,6;40,458333;1,583333;
2023-02-09;3,6;967,016667;30,6;23,554167;19,1;68,833333;1,745833;
2023-02-10;0;966,475;35,5;27,520833;21,3;55,25;1,191667;
2023-02-11;0;966,983333;38,3;27,933333;19,7;48,916667;1,533333;
2023-02-12;0;965,354167;37,4;28,725;21,4;38,083333;1,845833;
2023-02-13;0;963,1;36,9;29,291667;22,9;42,416667;2,545833;
2023-02-14;0;962,195833;33,7;25,866667;23;68,541667;3,433333;
2023-02-15;39;961,975;31,1;23,6125;18,9;77,083333;1,216667;
2023-02-16;,2;957,891667;32,3;25,083333;20,4;66,125;2,641667;
2023-02-17;2,2;963,229167;21;17,0125;14,6;70,75;3,141667;
2023-02-18;0;974,425;23,2;14,729167;7,7;49,25;2,104167;
2023-02-19;0;973,870833;29,2;18,791667;11,5;49,333333;1,758333;
2023-02-20;0;969,954167;29,4;21,654167;17,3;66;1,654167;
2023-02-21;,2;969,55;32;22,891667;15,7;65,208333;1,375;
2023-02-22;0;970,166667;32,4;24,3625;17,6;59,166667;1,7375;
2023-02-23;0;968,529167;33,2;24,558333;19,7;64,166667;2;
2023-02-24;,2;966,3375;30,8;22,4;19,6;80,291667;1,104167;
2023-02-25;2;963,179167;31,2;23,704167;19,4;68,541667;2,8875;
2023-02-26;4;967,520833;32,5;24,966667;19,9;56,625;1,425;
2023-02-27;3,4;972,670833;33,6;24,254167;20,3;67,541667;1,304167;
2023-02-28;,8;971,833333;35,5;25,604167;19,3;56,541667;1,9125;
2023-03-01;0;968,054167;34,7;25,7625;20,5;60,75;1,820833;
2023-03-02;2;966,604167;29,9;23,075;18,5;74,25;1,370833;
2023-03-03;,8;964,991667;26,3;22,041667;20,2;85,125;2,833333;
2023-03-04;10,6;964,775;28,7;22,675;20,8;87,291667;2,133333;
2023-03-05;3;967,554167;30,7;23,591667;18,6;75,291667;1,504167;
2023-03-06;,4;966,108333;30,4;22,925;17;73,208333;1,695833;
2023-03-07;0;963,783333;32,2;24,391667;19,2;73,708333;1,45;
2023-03-08;0;964,870833;34,9;26,816667;21,1;60,333333;1,291667;
2023-03-09;0;968;36,1;26,6875;20,2;64,125;1,6125;
2023-03-10;0;968,583333;35,2;26,6625;20;61,166667;1,391667;
2023-03-11;0;968,425;36,2;27,195833;20,2;61,791667;1,4875;
2023-03-12;0;969,15;36,3;27,079167;20,1;60;1,908333;
2023-03-13;0;968,958333;34,6;26,895833;20,6;62,583333;1,745833;
2023-03-14;0;968,408333;32,7;24,6125;21,5;75,208333;2,266667;
2023-03-15;15,6;968,120833;30,7;24,6625;22;78,916667;2,154167;
2023-03-16;8;967,7625;31,1;24,075;21,2;83,208333;1,770833;
2023-03-17;,2;968,35;33,8;25,908333;21,9;74,625;1,9;
2023-03-18;17,6;969,191667;33,6;23,5875;20,5;83,625;1,479167;
2023-03-19;42,6;968,225;32,2;25,354167;19,7;74,291667;1,5;
2023-03-20;,2;968,595833;33,3;26,208333;21,9;68,708333;1,533333;
2023-03-21;0;969,983333;32,6;24,975;20,6;75,416667;1,354167;
2023-03-22;0;971,005;33;null;20,2;78,15;1,62;
2023-03-23;null;null;32,4;null;null;null;null;
2023-03-24;null;null;32,7;null;null;null;null;
2023-03-25;null;null;28,2;null;null;null;null;
2023-03-26;null;null;26,9;null;null;null;null;
2023-03-27;0;971,895833;28,3;20,579167;14,7;65,916667;1,354167;
2023-03-28;0;967,533333;30,5;21,591667;14,3;65,041667;1,783333;
2023-03-29;0;966,083333;32,5;25,058333;20,5;66,458333;2,745833;
2023-03-30;48,2;968,675;26,1;21,008333;17,8;83,458333;2,208333;
2023-03-31;,2;970,345833;27,3;22,529167;19,6;79,416667;1,975;
2023-04-01;null;972,65;22,2;null;12;62,611111;1,583333;
2023-04-02;0;970,920833;27,7;18,4;11,7;59,958333;1,370833;
2023-04-03;null;null;29,4;null;null;45,461538;null;
2023-04-04;0;968,429167;24,8;20,770833;17,6;67,208333;1,05;
