Nome: TRAMANDAI
Codigo Estacao: A834
Latitude: -30.01027777
Longitude: -50.13583333
Altitude: 4.56
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;0;1011,85;26;23,15;20,7;81,125;5,5625;
2023-01-02;0;1006,895833;25,5;23,125;22;80,708333;5,579167;
2023-01-03;3,6;1007,441667;26,2;23,133333;21,7;72,75;3,4125;
2023-01-04;0;1010,545833;26,1;22,7875;20,3;73,166667;2,233333;
2023-01-05;0;1014,329167;26,2;23,325;21,5;70,708333;4,470833;
2023-01-06;0;1018,85;26,3;23,595833;21,6;66,041667;5,708333;
2023-01-07;0;1021,220833;25,6;23,35;22;67,166667;5,708333;
2023-01-08;1,4;1019,291667;25,9;22,991667;21;68,791667;5,8125;
2023-01-09;0;1015,6125;25,6;23,441667;21,5;70,375;6,483333;
2023-01-10;0;1012,8125;25,9;23,066667;21,4;75,916667;4,45;
2023-01-11;0;1010,479167;27,5;23,2375;20;76,666667;2,891667;
2023-01-12;,2;1007,145833;27,1;23,441667;20,2;77,083333;3,9;
2023-01-13;0;1005,775;26,4;22,7625;20,8;83,5;3,158333;
2023-01-14;15,4;1008,2875;27,4;23,391667;20,7;74,958333;3,295833;
2023-01-15;4,2;1013,7;25,8;22,733333;21,7;81,875;1,7875;
2023-01-16;,4;1014,120833;27,3;24,441667;22,4;77,041667;3,558333;
2023-01-17;0;1015,5625;27,2;24,779167;22,9;75,916667;4,2875;
2023-01-18;,6;1017,5875;24,6;23,908333;23;81,625;6,366667;
2023-01-19;11,6;1016,704167;26,3;24,4125;23,1;79,041667;6,666667;
2023-01-20;1,4;1011,8125;27,6;24,9;22,8;76,458333;5,616667;
2023-01-21;0;1006,2625;27,2;24,220833;22,5;77,375;4,625;
2023-01-22;6,6;1004,691667;32,9;25,55;21,4;70,75;2,8625;
2023-01-23;0;1008,116667;28,2;24,916667;21,9;77,333333;2,370833;
2023-01-24;0;1008,258333;27,7;25,241667;21,1;73,333333;3,545833;
2023-01-25;0;1009,783333;28,7;25,966667;23,9;77,958333;4,158333;
2023-01-26;0;1010,5125;28,5;26,458333;25,3;75,791667;5,683333;
2023-01-27;,4;1010,275;27,2;24,891667;23,6;73,166667;5,670833;
2023-01-28;0;1010,658333;26;23,266667;21;77,708333;4,2875;
2023-01-29;1,6;1010,8;27,5;24,545833;22,1;77,666667;2,15;
2023-01-30;0;1008,908333;27,8;24,179167;21;77,208333;2,525;
2023-01-31;0;1007,3625;32,9;25,004167;22,4;75,833333;2,745833;
2023-02-01;,2;1010,066667;29,4;25,633333;21,8;75,375;2,054167;
2023-02-02;0;1011,120833;29,1;26,170833;23,8;74,875;3,583333;
