Nome: JAGUARAO
Codigo Estacao: A836
Latitude: -32.53472221
Longitude: -53.37583332
Altitude: 31.48
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;0;1007,316667;35,7;26,595833;20,4;73,375;,745833;
2023-01-02;1,4;1002,470833;31,9;25,545833;22,4;70,625;1,675;
2023-01-03;,2;1005,766667;30,1;22,166667;14,4;62,5;,225;
2023-01-04;0;1007,216667;31,5;23,341667;15,2;53,166667;,958333;
2023-01-05;0;1011,991667;29,5;23,458333;18;72,583333;,408333;
2023-01-06;0;1015,754167;30,2;23,458333;18;72,583333;1,1375;
2023-01-07;0;1018,633333;29,5;23,229167;17,8;72,25;1,2875;
2023-01-08;0;1016,883333;29,7;23,341667;18,3;72,5;1,033333;
2023-01-09;0;1012,791667;29,7;23,3125;18,3;70,791667;,841667;
2023-01-10;0;1009,595833;31,2;23,8;18,6;74,75;,745833;
2023-01-11;0;1006,004167;36,7;25,3125;19,1;75,041667;,479167;
2023-01-12;6,4;1003,375;32,5;25,320833;19,8;75,541667;,579167;
2023-01-13;0;1005,004167;24,7;21,520833;20,6;89,916667;,008333;
2023-01-14;13,2;1006,266667;30,1;23,275;19,2;69,041667;,4125;
2023-01-15;0;1010,6;32,1;24,033333;16;61;,404167;
2023-01-16;0;1011,416667;31,8;23,883333;16,3;74,083333;,2625;
2023-01-17;,2;1013,304167;30,4;23,833333;18;79,416667;,729167;
2023-01-18;0;1016,079167;29,9;23,9125;19,8;75,958333;,866667;
2023-01-19;0;1014,575;29,5;24,183333;19,9;74,75;,8875;
2023-01-20;0;1008,729167;30,8;25,05;20,5;78,916667;1,2125;
2023-01-21;0;1002,566667;30,5;25,670833;22,1;76,458333;,1125;
2023-01-22;0;1001,6875;35,1;26,316667;19,8;65,333333;,2;
2023-01-23;0;1005,429167;33,5;24,583333;16,3;64,75;,2125;
2023-01-24;0;1005,941667;32,5;23,654167;14,6;65,916667;,1625;
2023-01-25;0;1006,745833;34,9;25,3;17,3;69,625;,516667;
2023-01-26;0;1007,316667;29,2;25,166667;22,5;84,625;,158333;
2023-01-27;0;1006,154167;36,1;27,116667;20;68,25;,145833;
2023-01-28;0;1008,254167;30,2;24,429167;22,3;88,083333;,216667;
2023-01-29;16,2;1009,929167;30,1;24,245833;20;82,666667;,629167;
2023-01-30;0;1006,229167;30,4;24,616667;21,1;79,375;,0875;
2023-01-31;,8;1004,85;30,9;25,145833;20,4;82,916667;,15;
2023-02-01;0;1008,283333;32,2;25,341667;20,7;80,666667;,158333;
2023-02-02;0;1009,658333;28,7;24,104167;20;81,5;,15;
2023-02-03;46;1007,016667;27;21,958333;19,8;92,875;,370833;
2023-02-04;9,2;1007,675;28,1;22,070833;18,2;79,166667;1,070833;
2023-02-05;1,6;1007,620833;27,6;22,020833;18,7;83,458333;,5875;
2023-02-06;1;1007,975;31,9;23,883333;17,6;72,833333;,108333;
2023-02-07;0;1009,208333;32,2;24,995833;19,1;71,708333;,3125;
2023-02-08;0;1007,758333;34,1;25,3;19,5;75,25;,5875;
2023-02-09;13;1007,825;30,7;24,4625;18,9;78,125;,045833;
2023-02-10;0;1008,1125;32,4;26,125;20,7;79,375;,0875;
2023-02-11;,2;1008,291667;35,4;27,1875;20,4;72,375;,458333;
2023-02-12;0;1006,770833;33,7;26,754167;20,3;62,833333;,541667;
2023-02-13;0;1002,733333;39,2;28,5375;19,5;64,666667;,379167;
2023-02-14;9,4;1001,5375;31,7;24,925;21,7;79,833333;,6;
2023-02-15;,2;1003,933333;26,8;22,991667;20,5;77;,295833;
2023-02-16;0;998,320833;31,8;22,033333;18,5;82,541667;,1125;
2023-02-17;6;1001,883333;21,2;18,216667;14;65,041667;2,116667;
2023-02-18;0;1014,733333;23,1;15,65;9,2;59,458333;,829167;
2023-02-19;0;1019,183333;24,5;16,979167;9,4;68,375;,2625;
2023-02-20;0;1015,0375;26,1;20,133333;14,7;81,541667;,45;
2023-02-21;,2;1012,941667;28,1;22,55;18,9;82,25;,175;
2023-02-22;,2;1014,304167;28,9;22,175;14,8;78,875;,1625;
2023-02-23;0;1011,766667;30,3;23,591667;19,3;80,333333;,541667;
2023-02-24;0;1008,3875;29,4;23,520833;22;89,166667;,075;
2023-02-25;2;1002,970833;27,6;21,354167;19;92;,054167;
2023-02-26;,6;1007,533333;28,2;22,316667;17,1;80,333333;,195833;
2023-02-27;1,6;1015,491667;27,4;22,2125;17,6;78,625;,354167;
2023-02-28;,4;1013,7125;33,4;25,295833;20;79,375;,216667;
2023-03-01;null;1009,4;33,7;26,083333;20,5;69,25;,045833;
2023-03-02;null;1006,891667;34;25,683333;20,7;77,833333;,008333;
2023-03-03;null;1006,520833;31,6;24,670833;20,6;84,916667;,1125;
2023-03-04;null;1005,908333;28,7;23,975;21,6;87,583333;,2375;
2023-03-05;null;1009,7625;28,7;23,3875;20,2;83,75;,1;
2023-03-06;null;1010,025;27,4;21,916667;16,2;85,958333;,170833;
2023-03-07;null;1005,4625;29;24,629167;22,3;90,416667;,016667;
2023-03-08;null;1004,9375;30,8;24,945833;21,5;88,5;0;
2023-03-09;null;1009,65;29,9;25,004167;22;88,75;,070833;
2023-03-10;null;1010,758333;32,6;25,3375;20,7;85,083333;,0375;
2023-03-11;null;1010,941667;32,4;26,208333;20,6;81,416667;,191667;
2023-03-12;null;1013,0625;31,6;25,5625;20,9;85,125;,341667;
2023-03-13;null;1012,533333;32,3;26,179167;22,2;83,666667;,525;
2023-03-14;null;1011,008333;33,2;26,791667;22,2;81,625;,291667;
2023-03-15;null;1009,825;33;27,054167;24,1;79,791667;,170833;
2023-03-16;null;1009,558333;31,9;25,804167;23,3;87,083333;0;
2023-03-17;null;1010,125;28,4;24,604167;22,4;91,75;,004167;
2023-03-18;null;1011,295833;28,6;25,0625;23,2;92,958333;,004167;
2023-03-19;null;1009,079167;32,3;26,158333;22,7;85,708333;0;
2023-03-20;null;1008,858333;27,1;23,666667;21,2;91,5;,129167;
2023-03-21;null;1014,366667;24,5;20,679167;16,5;83,166667;0;
2023-03-22;null;1016,208333;25,4;21,816667;18,8;80,166667;,145833;
2023-03-23;null;1013,591667;26,2;22,304167;20,4;91,208333;,0625;
2023-03-24;null;1013,245833;29,2;22,9625;20;90,166667;,004167;
2023-03-25;null;1007,5625;22,9;21,833333;20,7;95,75;,220833;
2023-03-26;null;1009,575;26,8;21,291667;18,7;82,041667;1,141667;
2023-03-27;null;1015,004167;25,9;19,179167;13,8;80,75;,004167;
2023-03-28;null;1010,541667;28,9;20,9875;13,4;74,833333;,041667;
2023-03-29;null;1006,208333;32,2;23,416667;17,5;80,958333;,033333;
2023-03-30;null;1010,608333;26,1;22,754167;19,8;85,833333;,0875;
2023-03-31;null;1010,866667;26,8;21,166667;19,3;86,458333;,5375;
2023-04-01;null;1014,829167;23,7;16,404167;11,2;75,625;,170833;
2023-04-02;null;1014,270833;25,9;17,1625;9,9;81,666667;,016667;
2023-04-03;null;1011,654167;24,4;18,5875;13,1;83,875;0;
2023-04-04;null;1012,008333;25,9;20,591667;17,8;83,291667;,054167;
2023-04-05;null;1015,125;25,8;19,783333;14,7;82,208333;,104167;
2023-04-06;null;1016,058333;25;19,2625;15,7;78;,0875;
2023-04-07;null;1015,504167;25,2;19,941667;15,9;76,541667;,020833;
2023-04-08;null;1016,225;25,3;18,566667;13,2;84,416667;,029167;
2023-04-09;null;1015,3875;26,7;19,491667;11,5;84,916667;,070833;
2023-04-10;null;1014,379167;28;21,245833;16,6;88,75;,004167;
2023-04-11;null;1010,2125;31;23,329167;17,4;76,166667;,070833;
2023-04-12;null;1006,2125;25,7;20,9625;17,7;85,041667;,091667;
2023-04-13;null;1011,479167;20;15,858333;11,5;83,791667;,129167;
2023-04-14;0;1015,270833;21,3;14,2125;9,1;81,333333;0;
2023-04-15;0;1016,6;20,3;14,395833;7,7;84,166667;0;
2023-04-16;,6;1012,3;18,9;17,166667;13,5;91,625;,020833;
2023-04-17;0;1006,425;21,6;16,695833;13,3;76,708333;,095833;
2023-04-18;0;1001,520833;21,6;14,541667;9,2;75,166667;1,020833;
2023-04-19;,2;1001,158333;17,8;13,25;9,4;72,5;,433333;
2023-04-20;0;1013,5;21,2;13,6625;7,4;78,625;,029167;
2023-04-21;0;1015,9875;24,4;15,0625;7;82,5;,054167;
2023-04-22;,2;1016,0125;25,3;17,45;10,3;83,25;0;
2023-04-23;,2;1018,0625;27,2;18,516667;13,7;89,25;,0125;
2023-04-24;0;1016,754167;26,9;20,904167;17,4;88,625;,095833;
2023-04-25;0;1012,470833;24,5;20,85;19,3;89,916667;,0375;
2023-04-26;5;1009,5125;23,5;19,216667;16,9;90,375;,0125;
2023-04-27;,2;1010,808333;23,4;18,1625;13,1;89,708333;0;
2023-04-28;,2;1013,0875;26,7;18,433333;11,9;80,791667;0;
2023-04-29;0;1012,3;27,6;19,370833;12,7;75,25;,070833;
2023-04-30;0;1008,733333;30,2;21,65;14,7;71,791667;,170833;
2023-05-01;4,2;1012,2625;23,8;18,3;14,9;79,791667;,241667;
2023-05-02;0;1015,6625;18,6;15;11,5;81,333333;0;
2023-05-03;0;1015,391667;21,6;16,158333;12,4;82,541667;,025;
2023-05-04;,2;1014,595833;22,8;16,5125;11,5;94,166667;,020833;
2023-05-05;,6;1015,5375;19,8;18,866667;15,8;99,041667;,083333;
2023-05-06;53,2;1012,1875;22,6;20,229167;18,3;97,625;,020833;
2023-05-07;34,2;1010,308333;20,4;18,0875;17,8;99,875;0;
2023-05-08;16,8;1011,791667;21,9;16,8625;13,1;85,291667;,2625;
2023-05-09;,2;1014,716667;20,2;15,704167;12,7;81,541667;,0375;
2023-05-10;0;1015,279167;20,3;14,758333;11;82,291667;,154167;
2023-05-11;0;1016,525;18,7;12,858333;7,9;85,916667;,083333;
2023-05-12;,2;1018,425;20;13,558333;7,8;81,166667;0;
2023-05-13;0;1014,504167;19,5;13,758333;8,5;80,291667;,091667;
2023-05-14;0;1014,720833;23,2;16,145833;10,1;83,083333;0;
2023-05-15;,2;1015,233333;24,4;16,983333;11,7;81,625;,0375;
2023-05-16;,2;1017,008333;21,5;15,066667;9,1;89,291667;0;
2023-05-17;,2;1015,108333;22,4;16,020833;9,5;87,708333;,091667;
2023-05-18;0;1014,458333;25,5;17,575;11,2;85,125;,066667;
2023-05-19;,2;1014,429167;21,6;17,054167;11,7;96,291667;0;
2023-05-20;,2;1014,220833;18,8;16,491667;14,1;97,833333;,004167;
2023-05-21;,2;1012,9875;22,4;18,5;15,6;94,333333;,029167;
2023-05-22;0;1011,333333;23,5;18,695833;14,3;92,083333;,004167;
2023-05-23;,2;1013,779167;24,8;17,9;11,9;91,333333;0;
2023-05-24;0;1012,245833;27,8;20,891667;14,6;86,333333;0;
2023-05-25;0;1011,583333;27,7;21,704167;17,5;84,875;0;
2023-05-26;0;1007,170833;26;19,4375;15,8;86;,0875;
2023-05-27;15,8;1015,4875;19;16,291667;14,3;85,541667;,316667;
2023-05-28;0;1022,833333;15,8;10,320833;5,4;76,708333;,020833;
2023-05-29;0;1021,441667;16,7;9,608333;3,5;84,416667;0;
2023-05-30;0;1019,2625;19,7;12,770833;6,5;89,833333;,008333;
2023-05-31;,2;1016,745833;18,7;14,395833;8,9;97,75;0;
2023-06-01;,2;1016,279167;22,9;16,725;12,9;90,916667;0;
2023-06-02;,2;1013,9875;24,9;17,541667;10,4;89,458333;0;
2023-06-03;,2;1011,608333;24,9;17,995833;12,6;88,125;0;
2023-06-04;0;1014,466667;19,6;17,158333;14,6;97,833333;0;
2023-06-05;4,8;1020,195833;17,5;12,525;8;90,5;,004167;
2023-06-06;,2;1015,633333;20,8;12,491667;4,5;92,458333;,004167;
2023-06-07;0;1013,508333;21,9;18,141667;8,7;92,083333;0;
2023-06-08;,6;1012,183333;24,4;19,0875;15,4;91,75;,116667;
2023-06-09;,8;1006,420833;24,3;19,766667;15,2;82,041667;,195833;
2023-06-10;10,4;1009,4125;20,6;14,108333;12,6;86,583333;,016667;
2023-06-11;1,2;1015;13,1;9,308333;6,8;76,291667;,3625;
2023-06-12;0;1021,55;12,3;6,370833;1,6;76,083333;,1875;
2023-06-13;0;1027,1375;14;7,245833;2,6;82,125;,004167;
2023-06-14;,2;1025,8;15,5;7,291667;,6;88,125;0;
2023-06-15;0;1021,475;18,2;10,725;3,7;92,875;,029167;
2023-06-16;,2;1017,791667;16,7;13,475;7,9;90,291667;,141667;
2023-06-17;0;1019,658333;15,4;9,920833;5,3;87;,1;
2023-06-18;0;1020,9875;13,7;7,391667;2,4;85,833333;0;
2023-06-19;,2;1021,2375;14,6;7,475;,3;89,125;0;
2023-06-20;null;null;16,1;null;null;null;null;
2023-06-21;null;null;null;null;null;null;null;
2023-06-22;null;null;null;null;null;null;null;
2023-06-23;null;null;null;null;null;null;null;
