Nome: CAMAQUA
Codigo Estacao: A838
Latitude: -30.807953
Longitude: -51.83424
Altitude: 92.3
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;0;1000,625;33,9;25,475;17,3;null;,920833;
2023-01-02;null;null;33,4;null;23,1;null;null;
2023-01-03;null;998,873684;28,5;null;18,2;null;,921053;
2023-01-04;0;1000,258333;32,1;23,366667;16,9;null;,370833;
2023-01-05;0;1004,25;29,6;23,475;17,3;null;,766667;
2023-01-06;0;1008,630435;28,5;22,556522;16,7;null;1,121739;
2023-01-07;null;1011,209524;28,8;null;17,5;null;,985714;
2023-01-08;null;null;28,4;null;16,7;null;null;
2023-01-09;null;null;28,3;null;17,2;null;null;
2023-01-10;null;null;29,7;null;null;null;null;
2023-01-11;1;999,920833;34,7;24,8875;17,2;null;,458333;
2023-01-12;0;996,5625;34,9;25,425;19,3;null;,4875;
2023-01-13;0;996,33913;30,8;23,547826;21,2;null;,352174;
2023-01-14;null;null;28;null;null;null;null;
2023-01-15;0;1003,95;28,1;22,6125;18,6;null;,404167;
2023-01-16;0;1004,329167;30,2;23,1;17,7;null;,504167;
2023-01-17;0;1005,670833;29,9;23,875;20;null;,775;
2023-01-18;null;null;26,9;null;22;null;null;
2023-01-19;3,2;1007,0625;28,1;23,4875;21;null;,820833;
2023-01-20;,4;1001,691667;29,9;24,645833;21;null;,758333;
2023-01-21;0;996,025;33,9;24,583333;21,4;null;,129167;
2023-01-22;null;null;33,3;null;21,5;null;null;
2023-01-23;0;998,275;33;25,595833;20,4;null;,470833;
2023-01-24;0;998,495833;32,5;25,108333;19,6;null;,45;
2023-01-25;null;1000,089474;32,8;null;21,1;null;,747368;
2023-01-26;0;1000,365217;33;25,369565;23,2;null;,582609;
2023-01-27;35,8;999,6125;33,5;25,75;19,6;null;,316667;
2023-01-28;0;1000,795833;34,5;25,2125;21,1;null;,370833;
2023-01-29;2,2;1001,733333;30,7;24,2625;20,8;null;,879167;
2023-01-30;0;998,677273;32,8;25,022727;20,2;null;,409091;
2023-01-31;null;null;33,3;null;20,7;null;null;
2023-02-01;null;null;31,9;null;null;null;null;
2023-02-02;,8;1001,466667;31,6;24,779167;20,4;null;,629167;
2023-02-03;3;998,0875;29,9;23,958333;22,3;null;,633333;
2023-02-04;null;999,32;29,6;null;20,6;null;,865;
2023-02-05;0;1000,495833;27;20,704167;15,6;null;,608333;
2023-02-06;4,6;1001,333333;32,4;24,170833;18,4;null;,35;
2023-02-07;0;1002,595238;31,9;null;19,2;null;,752381;
2023-02-08;null;null;34,2;null;null;null;null;
2023-02-09;null;null;33,6;null;null;null;null;
2023-02-10;null;null;33,7;null;null;null;null;
2023-02-11;null;null;34,7;null;null;null;null;
2023-02-12;null;null;33,5;null;null;null;null;
2023-02-13;null;null;38,6;null;null;null;null;
2023-02-14;null;null;34,1;null;null;null;null;
2023-02-15;null;null;29,8;null;null;null;null;
2023-02-16;null;null;31,4;null;20,5;null;null;
2023-02-17;22;994,420833;24,9;20,404167;19;null;1,133333;
2023-02-18;null;1008,373684;23,9;null;12,1;null;1,061111;
2023-02-19;null;null;25;null;13,2;null;null;
2023-02-20;null;null;26,9;null;null;null;null;
2023-02-21;null;null;29,2;null;18,7;null;null;
2023-02-22;,2;1007,1875;28,2;21,770833;16,5;null;,575;
2023-02-23;0;1004,85;30,6;null;18,8;null;,615789;
2023-02-24;null;null;26,1;null;null;null;null;
2023-02-25;8;996,229167;28;22,020833;18,9;null;,558333;
2023-02-26;,2;1001,117391;33;22,83913;17,2;null;,247826;
2023-02-27;1,8;1008,3375;29,7;22,929167;18;null;,4125;
2023-02-28;,2;1007,470833;33,5;25,091667;18,8;null;,5625;
2023-03-01;null;1003,22;32,6;null;18,5;null;,51;
2023-03-02;null;1001,026316;32,9;null;21,1;null;,222222;
2023-03-03;null;null;27,6;null;null;null;null;
2023-03-04;null;999,084211;28,1;null;22,4;null;null;
2023-03-05;null;1001,926316;27,4;null;20,9;null;1,415789;
2023-03-06;null;null;26;null;18,9;null;null;
2023-03-07;null;null;29,5;null;21,8;null;null;
2023-03-08;null;null;31,3;null;21,3;null;null;
2023-03-09;null;null;33,6;null;21,2;null;null;
2023-03-10;null;null;31,3;null;23,2;null;null;
2023-03-11;null;null;31,6;null;23,2;null;null;
2023-03-12;null;null;30,2;null;21,7;null;null;
2023-03-13;0;1005,891304;30,5;25,291304;21;null;,795652;
2023-03-14;0;1004,720833;32,2;25,979167;21,2;78,916667;,795833;
2023-03-15;0;1003,95;33,5;26,275;22,8;77,125;,970833;
2023-03-16;0;1003,229167;33,4;26,183333;22,2;74,833333;,9125;
2023-03-17;0;1003,095833;34,3;26,354167;20,5;76,833333;,295833;
2023-03-18;0;1003,8;32,8;25,058333;21,1;83,208333;,416667;
2023-03-19;0;1002,25;34,6;25,033333;20,1;79,25;,1;
2023-03-20;0;1001,775;32,6;24,5875;19,9;81,875;,2875;
2023-03-21;3;1006,225;25,3;22,1375;21;92,125;,266667;
2023-03-22;,2;1008,208333;25,6;22,025;19,2;87,208333;,4625;
2023-03-23;0;1005,904348;30,4;24,486957;21,7;78,043478;,552174;
2023-03-24;0;1005,779167;30,8;23,9;20,5;84,416667;,4;
2023-03-25;0;1002,054167;24,4;21,954167;19,4;92,5;,441667;
2023-03-26;0;1001,879167;27,6;22,341667;20,2;78,041667;1,016667;
2023-03-27;0;1007,508333;27,2;20,275;15,3;75,5;,370833;
2023-03-28;0;1003,675;30,6;21,154167;14,6;75,5;,425;
2023-03-29;0;999,883333;35,2;25,020833;17,4;74,5;,4125;
2023-03-30;4,6;1002,966667;27,7;22,929167;19,9;87;,4375;
2023-03-31;,2;1003,458333;31,7;22,554167;18,3;85,625;,583333;
2023-04-01;5,4;1006,85;24;17,004167;10,9;71,125;,875;
2023-04-02;0;1007,170833;25,8;17,770833;12,4;76,458333;,3;
2023-04-03;,2;1003,945833;29,3;18,704167;11,9;79,25;,233333;
2023-04-04;0;1003,629167;25,7;19,566667;15,1;86,041667;,466667;
2023-04-05;8;1006,9375;26;20,258333;16,9;85,375;,454167;
2023-04-06;0;1007,8375;22,9;19,595833;16,8;79,458333;,55;
2023-04-07;0;1007,308333;22,8;18,6625;16,3;86;,35;
2023-04-08;3,6;1008,208333;25;18,9625;15,2;87,458333;,404167;
2023-04-09;0;1007,654167;28,4;20,8125;16,1;84,291667;,129167;
2023-04-10;,2;1006,891667;30;21,783333;17,3;85,208333;,2125;
2023-04-11;0;1003,575;33,2;24,079167;19,8;77,875;,166667;
2023-04-12;0;999,65;31,4;22,029167;17,4;78,541667;,295833;
2023-04-13;15,6;1002,658333;21,8;17,441667;15,2;92,375;,45;
2023-04-14;0;1006,8625;21,5;16,7125;13,3;77,041667;,429167;
2023-04-15;,2;1007,941667;19,4;17,104167;15,4;92,666667;,279167;
2023-04-16;13,2;1003,233333;24,6;19,866667;16,4;92,666667;,245833;
2023-04-17;5;998,15;23,7;17,9;16,3;87,75;,525;
2023-04-18;0;994,770833;23,7;16,745833;12,9;77,958333;,408333;
2023-04-19;0;995,2625;17,9;13,05;8,8;67,125;,975;
2023-04-20;,2;1005,995833;21,4;14,158333;9,5;75,541667;,620833;
2023-04-21;0;1009,35;24,7;15,791667;10;81,958333;,320833;
2023-04-22;,2;1008,941667;25,2;17,958333;12,7;85;,145833;
2023-04-23;,2;1010,508333;25,6;17,841667;12,2;87,166667;,120833;
2023-04-24;,2;1009,445833;27,5;20,6625;16,3;83,166667;,466667;
2023-04-25;0;1006,2875;25,7;20,520833;17,8;83,291667;,529167;
2023-04-26;6,4;1002,6875;25,2;18,591667;16,4;90,541667;,179167;
2023-04-27;,2;1003,520833;25,5;18,279167;14,4;83,875;,283333;
2023-04-28;0;1006,533333;26;18,204167;12,8;75,875;,216667;
2023-04-29;,2;1006,341667;28,1;18,454167;11,6;77,75;,504167;
2023-04-30;,2;1003,7;29,8;20,566667;14,3;76,458333;,304167;
2023-05-01;0;1004,479167;21,7;18,45;17,4;85,25;,591667;
2023-05-02;7,6;1006,708333;16,4;15,816667;15,3;97,833333;,4625;
2023-05-03;28;1006,670833;17,6;16,145833;14,7;99;,391667;
2023-05-04;35,6;1005,825;22,4;18,866667;16;96,75;,316667;
2023-05-05;8,4;1007,816667;20,3;19,670833;18,9;99;,104167;
2023-05-06;51,6;1006,058333;25,4;20,341667;18,9;95,875;,329167;
2023-05-07;20,6;1003,365217;21,3;20,03913;19,5;98,73913;,486957;
2023-05-08;13;1004,983333;22,4;18,029167;15,4;85,375;,8875;
2023-05-09;,2;1007,891667;23,1;16,304167;11,9;83,041667;,558333;
2023-05-10;,2;1007,995833;21,9;15,141667;11,8;85,875;,333333;
2023-05-11;,2;1008,345833;18,9;13,325;8,9;85,875;,516667;
2023-05-12;,4;1010,720833;21,2;13,870833;10,1;86,125;,1875;
