Nome: NOVA FATIMA
Codigo Estacao: A842
Latitude: -23.41527777
Longitude: -50.57777777
Altitude: 664.31
Situacao: Pane
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;null;null;31;null;20,9;68,9375;null;
2023-01-02;null;null;27,6;null;null;79,692308;null;
2023-01-03;null;null;28,2;null;20,3;78,2;null;
2023-01-04;null;null;23,8;null;20,4;92,857143;null;
2023-01-05;null;937,111111;21,7;null;16,5;79,722222;5,294444;
2023-01-06;0;939,070833;25,5;19,754167;15,4;72,291667;5,458333;
2023-01-07;null;940,665;25,8;null;15,9;69,45;5,095;
2023-01-08;null;940,045;25,1;null;16,2;72,9;3,655;
2023-01-09;null;938,405;24,7;null;17,5;78,9;1,92;
2023-01-10;null;937,92381;27,6;null;18,1;80,142857;,395238;
2023-01-11;null;937,57;26,5;null;18,6;85,9;,16;
2023-01-12;null;null;27,1;null;19,3;79,352941;null;
2023-01-13;null;null;26,2;null;20,1;89,882353;null;
2023-01-14;null;null;26,7;null;19,8;86,375;null;
2023-01-15;null;938,3;28,3;null;20,7;85,578947;,084211;
2023-01-16;null;null;31;null;20,3;72,529412;null;
2023-01-17;null;null;29,6;null;null;75,133333;null;
2023-01-18;null;null;29,4;null;null;70,461538;null;
2023-01-19;null;null;29,2;null;null;71,083333;null;
2023-01-20;null;null;27,9;null;null;80,357143;null;
2023-01-21;null;null;29,6;null;null;77,142857;null;
2023-01-22;null;null;29,6;null;null;null;null;
2023-01-23;null;null;27,8;null;null;80,923077;null;
2023-01-24;null;null;30,6;null;null;null;null;
2023-01-25;null;null;29,6;null;null;55,25;null;
2023-01-26;null;null;30,7;null;null;null;null;
2023-01-27;null;null;30,7;null;null;null;null;
2023-01-28;null;null;30,7;null;null;null;null;
2023-01-29;null;null;30,4;null;null;null;null;
2023-01-30;null;null;null;null;null;null;null;
2023-01-31;null;null;26,1;null;null;89,769231;null;
2023-02-01;null;null;27,6;null;null;83,692308;null;
2023-02-02;null;null;28,9;null;null;null;null;
2023-02-03;null;null;25,6;null;null;89,714286;null;
2023-02-04;null;null;25,9;null;null;89,785714;null;
2023-02-05;null;null;26,7;null;19,7;86,666667;null;
2023-02-06;null;null;29,5;null;null;68,857143;null;
2023-02-07;null;null;30,2;null;null;72;null;
2023-02-08;null;null;29,6;null;null;67,75;null;
2023-02-09;null;null;31,3;null;null;null;null;
2023-02-10;null;null;27,7;null;null;null;null;
2023-02-11;null;null;24;null;null;null;null;
2023-02-12;null;null;28,2;null;null;null;null;
2023-02-13;null;null;28,7;null;null;null;null;
2023-02-14;null;null;30;null;null;null;null;
2023-02-15;null;null;28;null;null;null;null;
2023-02-16;null;null;27;null;null;null;null;
2023-02-17;null;null;26,1;null;null;null;null;
2023-02-18;null;null;28,2;null;null;null;null;
2023-02-19;null;null;22,9;null;null;null;null;
2023-02-20;null;null;20,6;null;null;null;null;
2023-02-21;null;null;26,4;null;null;null;null;
2023-02-22;null;null;30,4;null;null;71,333333;null;
2023-02-23;null;null;24,6;null;null;null;null;
2023-02-24;null;null;23,7;null;null;null;null;
2023-02-25;null;null;28,2;null;null;71,666667;null;
2023-02-26;null;null;28,9;null;null;76,666667;null;
2023-02-27;null;null;29,9;null;null;null;null;
2023-02-28;null;null;27,1;null;null;null;null;
2023-03-01;null;null;27,4;null;null;null;null;
2023-03-02;null;null;31,9;null;null;null;null;
2023-03-03;null;null;31,5;null;null;null;null;
2023-03-04;null;null;31,3;null;null;null;null;
2023-03-05;null;null;29,2;null;null;null;null;
2023-03-06;null;null;null;null;null;null;null;
2023-03-07;null;null;null;null;null;null;null;
2023-03-08;null;null;null;null;null;null;null;
2023-03-09;null;null;null;null;null;null;null;
2023-03-10;null;null;null;null;null;null;null;
2023-03-11;null;null;null;null;null;null;null;
2023-03-12;null;null;null;null;null;null;null;
2023-03-13;null;null;null;null;null;null;null;
2023-03-14;null;null;null;null;null;null;null;
2023-03-15;null;null;null;null;null;null;null;
2023-03-16;null;null;null;null;null;null;null;
2023-03-17;null;null;null;null;null;null;null;
2023-03-18;null;null;null;null;null;null;null;
2023-03-19;null;null;null;null;null;null;null;
2023-03-20;null;null;null;null;null;null;null;
2023-03-21;null;null;null;null;null;null;null;
2023-03-22;null;null;null;null;null;null;null;
2023-03-23;null;null;null;null;null;null;null;
2023-03-24;null;null;null;null;null;null;null;
2023-03-25;null;null;null;null;null;null;null;
2023-03-26;null;null;null;null;null;null;null;
2023-03-27;null;null;null;null;null;null;null;
2023-03-28;null;null;null;null;null;null;null;
2023-03-29;null;null;null;null;null;null;null;
2023-03-30;null;null;null;null;null;null;null;
2023-03-31;null;null;null;null;null;null;null;
2023-04-01;null;null;null;null;null;null;null;
2023-04-02;null;null;null;null;null;null;null;
2023-04-03;null;null;null;null;null;null;null;
2023-04-04;null;null;null;null;null;null;null;
2023-04-05;null;null;null;null;null;null;null;
2023-04-06;null;null;null;null;null;null;null;
2023-04-07;null;null;null;null;null;null;null;
2023-04-08;null;null;null;null;null;null;null;
2023-04-09;null;null;null;null;null;null;null;
2023-04-10;null;null;null;null;null;null;null;
2023-04-11;null;null;null;null;null;null;null;
2023-04-12;null;null;null;null;null;null;null;
2023-04-13;null;null;null;null;null;null;null;
2023-04-14;null;null;null;null;null;null;null;
2023-04-15;null;null;null;null;null;null;null;
2023-04-16;null;null;null;null;null;null;null;
2023-04-17;null;null;null;null;null;null;null;
2023-04-18;null;null;null;null;null;null;null;
2023-04-19;null;null;null;null;null;null;null;
2023-04-20;null;null;null;null;null;null;null;
2023-04-21;null;null;null;null;null;null;null;
2023-04-22;null;null;null;null;null;null;null;
2023-04-23;null;null;null;null;null;null;null;
2023-04-24;null;null;null;null;null;null;null;
2023-04-25;null;null;null;null;null;null;null;
2023-04-26;null;null;null;null;null;null;null;
2023-04-27;null;null;null;null;null;null;null;
2023-04-28;null;null;null;null;null;null;null;
2023-04-29;null;null;null;null;null;null;null;
2023-04-30;null;null;null;null;null;null;null;
2023-05-01;null;null;null;null;null;null;null;
2023-05-02;null;null;null;null;null;null;null;
2023-05-03;null;null;null;null;null;null;null;
2023-05-04;null;null;null;null;null;null;null;
2023-05-05;null;null;null;null;null;null;null;
2023-05-06;null;null;null;null;null;null;null;
2023-05-07;null;null;null;null;null;null;null;
2023-05-08;null;null;null;null;null;null;null;
2023-05-09;null;null;null;null;null;null;null;
2023-05-10;null;null;null;null;null;null;null;
2023-05-11;null;null;null;null;null;null;null;
2023-05-12;null;null;null;null;null;null;null;
2023-05-13;null;null;null;null;null;null;null;
2023-05-14;null;null;null;null;null;null;null;
2023-05-15;null;null;null;null;null;null;null;
2023-05-16;null;null;null;null;null;null;null;
2023-05-17;null;null;null;null;null;null;null;
2023-05-18;null;null;null;null;null;null;null;
2023-05-19;null;null;null;null;null;null;null;
2023-05-20;null;null;null;null;null;null;null;
2023-05-21;null;null;null;null;null;null;null;
2023-05-22;null;null;null;null;null;null;null;
2023-05-23;null;null;null;null;null;null;null;
2023-05-24;null;null;null;null;null;null;null;
2023-05-25;null;null;null;null;null;null;null;
2023-05-26;null;null;null;null;null;null;null;
2023-05-27;null;null;null;null;null;null;null;
2023-05-28;null;null;null;null;null;null;null;
2023-05-29;null;null;null;null;null;null;null;
2023-05-30;null;null;null;null;null;null;null;
2023-05-31;null;null;null;null;null;null;null;
2023-06-01;null;null;null;null;null;null;null;
2023-06-02;null;null;null;null;null;null;null;
2023-06-03;null;null;null;null;null;null;null;
2023-06-04;null;null;null;null;null;null;null;
2023-06-05;null;null;null;null;null;null;null;
2023-06-06;null;null;null;null;null;null;null;
2023-06-07;null;null;null;null;null;null;null;
2023-06-08;null;null;null;null;null;null;null;
2023-06-09;null;null;null;null;null;null;null;
2023-06-10;null;null;null;null;null;null;null;
2023-06-11;null;null;null;null;null;null;null;
2023-06-12;null;null;null;null;null;null;null;
2023-06-13;null;null;null;null;null;null;null;
2023-06-14;null;null;null;null;null;null;null;
2023-06-15;null;null;null;null;null;null;null;
2023-06-16;null;null;null;null;null;null;null;
2023-06-17;null;null;null;null;null;null;null;
2023-06-18;null;null;null;null;null;null;null;
2023-06-19;null;null;null;null;null;null;null;
2023-06-20;null;null;null;null;null;null;null;
2023-06-21;null;null;null;null;null;null;null;
2023-06-22;null;null;null;null;null;null;null;
2023-06-23;null;null;null;null;null;null;null;
2023-06-24;null;null;null;null;null;null;null;
2023-06-25;null;null;null;null;null;null;null;
2023-06-26;null;null;null;null;null;null;null;
2023-06-27;null;null;null;null;null;null;null;
2023-06-28;null;null;null;null;null;null;null;
2023-06-29;null;null;null;null;null;null;null;
2023-06-30;null;null;null;null;null;null;null;
2023-07-01;null;null;null;null;null;null;null;
2023-07-02;null;null;null;null;null;null;null;
2023-07-03;null;null;null;null;null;null;null;
2023-07-04;null;null;null;null;null;null;null;
2023-07-05;null;null;null;null;null;null;null;
2023-07-06;null;null;null;null;null;null;null;
2023-07-07;null;null;null;null;null;null;null;
2023-07-08;null;null;null;null;null;null;null;
2023-07-09;null;null;null;null;null;null;null;
2023-07-10;null;null;null;null;null;null;null;
2023-07-11;null;null;null;null;null;null;null;
2023-07-12;null;null;null;null;null;null;null;
2023-07-13;null;null;null;null;null;null;null;
2023-07-14;null;null;null;null;null;null;null;
2023-07-15;null;null;null;null;null;null;null;
2023-07-16;null;null;null;null;null;null;null;
2023-07-17;null;null;null;null;null;null;null;
2023-07-18;null;null;null;null;null;null;null;
2023-07-19;null;null;null;null;null;null;null;
2023-07-20;null;null;null;null;null;null;null;
2023-07-21;null;null;null;null;null;null;null;
2023-07-22;null;null;null;null;null;null;null;
2023-07-23;null;null;null;null;null;null;null;
2023-07-24;null;null;null;null;null;null;null;
2023-07-25;null;null;null;null;null;null;null;
2023-07-26;null;null;null;null;null;null;null;
2023-07-27;null;null;null;null;null;null;null;
2023-07-28;null;null;null;null;null;null;null;
2023-07-29;null;null;null;null;null;null;null;
