Nome: PALMEIRA DAS MISSOES
Codigo Estacao: A856
Latitude: -27.92027777
Longitude: -53.31805554
Altitude: 614.11
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;0;941,7125;34,4;27,733333;20,3;47,583333;3,375;
2023-01-02;8,6;939,7125;29,8;23,783333;18,6;77,833333;3,179167;
2023-01-03;0;938,866667;28,9;22,908333;19,1;76,5;1,979167;
2023-01-04;1,8;940,875;29,8;22,816667;16,7;55,166667;2,116667;
2023-01-05;0;943,234783;30,5;23,46087;17,4;40,869565;1,986957;
2023-01-06;0;945,991667;30,2;23,079167;16,3;44,416667;2,370833;
2023-01-07;0;947,820833;29,2;22,266667;15,3;54,208333;2,2;
2023-01-08;0;946,758333;29,3;22,545833;15,6;55,458333;1,925;
2023-01-09;0;943,8875;30,7;23,554167;16,5;55,625;1,895833;
2023-01-10;0;942,7125;30,1;22,679167;18,8;65,208333;3,208333;
2023-01-11;,4;941,733333;32,6;23,5375;16,3;59,875;2,716667;
2023-01-12;0;939,7375;31,5;23,2125;20,8;67,333333;2,5125;
2023-01-13;9,6;938,470833;23,6;19,358333;17,9;88,833333;2,154167;
2023-01-14;35,8;940,458333;26,1;20,8;15,8;84,416667;,916667;
2023-01-15;0;942,904167;28;22,5;19,3;80,5;1,0625;
2023-01-16;2,2;943,470833;30,2;23,575;18,1;79,541667;1,295833;
2023-01-17;0;944,1875;31,9;24,979167;19,6;73,541667;2,508333;
2023-01-18;0;945,9375;31,6;24,454167;18,6;73,625;2,091667;
2023-01-19;0;945,3125;31,1;24,308333;18,1;69,75;2,141667;
2023-01-20;0;941,254167;31,8;24,675;18,5;66,25;2,2;
2023-01-21;0;938,229167;31,8;25,141667;21,7;68,625;3,6875;
2023-01-22;1,4;937,8125;29,6;24,0375;19,8;77,458333;2,4625;
2023-01-23;0;939,6375;32;25,341667;19,8;68,75;1,533333;
2023-01-24;0;939,916667;32,6;25,4375;17,8;58,333333;2,395833;
2023-01-25;0;940,695833;33;27,483333;21,9;49,75;1,983333;
2023-01-26;0;940,7875;34,5;26,254167;21,3;56,666667;3,204167;
2023-01-27;7,6;941,416667;33;25,9;18,1;61,958333;2,441667;
2023-01-28;0;942,529167;33,6;27,629167;22,4;53,875;2,395833;
2023-01-29;7,6;942,129167;30,7;24,041667;21,1;78,583333;2,379167;
2023-01-30;1,6;939,570833;29;23,045833;17,5;80,166667;2,05;
2023-01-31;,2;939,616667;30,1;24,445833;19,1;75,083333;2,066667;
2023-02-01;0;941,554167;32;25,508333;19,9;69,666667;2,154167;
2023-02-02;0;941,15;32,9;25,704167;20,3;67,75;2,2875;
2023-02-03;0;939,5625;25,2;21,879167;20,2;85,916667;1,816667;
2023-02-04;1;941,9375;28;21,429167;16,7;79,458333;1,8125;
2023-02-05;,2;943,425;28,6;22,0375;16,3;52,375;1,7875;
2023-02-06;0;942,541667;31;24,35;18;39,5;1,875;
2023-02-07;0;943,0375;32,8;25,958333;19,4;42,083333;2,216667;
2023-02-08;0;942,325;34,3;27,0125;19,2;43,708333;2,216667;
2023-02-09;0;942,891667;30,9;23,720833;19,5;62,791667;2,1875;
2023-02-10;11,4;942,525;30,9;24,320833;19,1;64,291667;2,379167;
2023-02-11;0;942,904348;32,3;23,865217;16,6;62,217391;1,934783;
2023-02-12;0;941,733333;34;25,779167;18,9;50,5;2,079167;
2023-02-13;0;940,075;33;27,420833;20,9;49,083333;3,608333;
2023-02-14;0;939,316667;28,5;23,875;21,8;79,125;3,766667;
2023-02-15;9,2;937,541667;26,2;21,420833;18,4;86,291667;1,8125;
2023-02-16;0;934,495833;29,5;23,554167;18,8;73,166667;2,241667;
2023-02-17;3,4;936,804167;25,1;19,2375;17;83,083333;3,075;
2023-02-18;0;947,9;20;13,433333;8;51,125;3,1;
2023-02-19;0;947,704167;28,4;17,825;9,1;65,333333;2,533333;
2023-02-20;,2;945,658333;23,7;18,3125;15,6;85,416667;1,854167;
2023-02-21;,2;944,3375;28,5;19,808333;14,3;79,166667;1,354167;
2023-02-22;0;945,458333;31,6;23,25;16,4;65,125;2,220833;
2023-02-23;10;944,870833;27,8;21,545833;15,7;82,375;2,579167;
2023-02-24;11,4;941,929167;23,3;20,029167;17,9;91,75;1,9625;
2023-02-25;3;939,995833;28,2;22,291667;18,8;83,958333;4,270833;
2023-02-26;31,8;943,925;25;20,3625;15,6;83,416667;2,479167;
2023-02-27;1,2;948,291667;28,6;22,220833;15,5;70,583333;1,541667;
2023-02-28;0;947,666667;28,9;22,766667;17;71,125;1,925;
2023-03-01;0;944,416667;29;23,5375;17,8;71,583333;3,1125;
2023-03-02;0;942,5625;28,2;23,083333;20,4;77,5;2,545833;
2023-03-03;8,6;941,5875;22,3;20,25;19,2;96,583333;3,495833;
2023-03-04;6;940,925;25,8;20,954167;19,5;93,625;3,641667;
2023-03-05;1,6;942,070833;26,4;21,370833;18,4;84,791667;2,025;
2023-03-06;0;940,775;26,4;20,583333;16;83,625;1,9125;
2023-03-07;0;939,1875;28,9;22,445833;17,3;78,958333;1,541667;
2023-03-08;0;941,295833;29,9;24,083333;19,2;69,333333;2,2375;
2023-03-09;2,2;944,120833;28,9;22,6875;18,1;81,25;2,766667;
2023-03-10;0;944,195833;30,3;24,091667;19,2;74,333333;1,583333;
2023-03-11;0;943,9;30,7;24,220833;19;73,458333;1,891667;
2023-03-12;0;944,795833;29,8;23,533333;17,9;73,75;1,958333;
2023-03-13;0;944,7625;30,1;22,970833;17,8;76,458333;1,908333;
2023-03-14;0;944,616667;27,8;22,445833;19,2;81,375;2,941667;
2023-03-15;0;944,341667;28,8;23,033333;19,8;81,916667;2,541667;
2023-03-16;0;943,945833;29;23,895833;20,4;77,208333;2,391667;
2023-03-17;0;944,245833;32,1;25,225;20;68,541667;2,354167;
2023-03-18;0;944,720833;32,4;25,479167;19,7;64,333333;1,65;
2023-03-19;0;943,891667;33,1;25,570833;20,1;62,25;1,9;
2023-03-20;0;944,429167;32,4;24,6125;21,1;66,958333;1,758333;
2023-03-21;9,6;945,254167;32,5;24,4;18,7;71;1,570833;
2023-03-22;0;946,425;32,5;23,829167;19,1;76,75;2,095833;
2023-03-23;0;946,25;33,1;24,55;20;72,583333;2,725;
2023-03-24;13;945,9;30,7;23,058333;20;81,708333;1,291667;
2023-03-25;21,4;943,604167;30,3;22,516667;18,9;84,041667;3,095833;
2023-03-26;8,6;945,366667;24,4;20,25;17,5;84,666667;1,808333;
2023-03-27;0;946,45;25,5;19,333333;13,6;70,333333;1,595833;
2023-03-28;0;943,4125;29,2;21,5;15,1;68,958333;3,395833;
2023-03-29;0;942,625;31,4;24,916667;20,9;67,791667;3,729167;
2023-03-30;31,2;945,2375;26,3;20,104167;17,1;86,166667;2,508333;
2023-03-31;,2;945,55;29,5;22,733333;17,6;76,333333;2;
2023-04-01;0;946,391667;23,3;18,2375;13,8;65,75;3,020833;
2023-04-02;0;945,433333;27,3;17,254167;9,1;57,291667;1,725;
2023-04-03;0;943,3875;28,9;20,579167;13,9;61,375;3,020833;
2023-04-04;0;943,2125;29,5;23,383333;18,3;48,166667;1,9375;
2023-04-05;0;944,333333;24,8;19,5875;16,1;81;1,829167;
2023-04-06;4;945,208333;20,7;17,170833;16,1;98,208333;1,695833;
2023-04-07;18,2;944,429167;21,3;17,316667;15,9;96,5;1,4875;
2023-04-08;2,2;945,508333;26,6;19,791667;16,2;85,125;1,541667;
2023-04-09;0;946,6125;27,9;20,9;16,3;80,75;2,4625;
2023-04-10;0;947,6;28,4;22,583333;17,6;71,375;2,2625;
2023-04-11;0;945,041667;29,3;23,2;18,7;63,958333;2,495833;
2023-04-12;0;942,679167;29,3;23,654167;19,3;62,083333;2,1625;
2023-04-13;0;941,308333;23,4;20,433333;17,5;75,708333;2,004167;
2023-04-14;,2;942,825;24,2;17,970833;15,6;85,833333;2,320833;
2023-04-15;0;944,554167;27,3;19,020833;14;82,958333;2,254167;
2023-04-16;,8;942,9;26,7;20,245833;17,1;85,583333;2,354167;
2023-04-17;6,2;938,166667;23,4;19,208333;17,5;89,041667;1,329167;
2023-04-18;,2;936,154167;22,4;16,2375;12,5;76,083333;1,55;
2023-04-19;0;938,866667;19,7;13,458333;8,2;64,583333;2,058333;
2023-04-20;0;946,208333;19,2;11,970833;6,1;72,5;1,720833;
2023-04-21;0;947,166667;23,2;15,104167;8,1;62,083333;2,508333;
2023-04-22;0;948,220833;24;17,879167;13,2;59,791667;2,816667;
2023-04-23;0;948,283333;25,4;18,420833;12,1;65,291667;2,220833;
2023-04-24;0;947,966667;26,5;18,7125;12,8;70,958333;2,291667;
2023-04-25;4,2;946,2125;20,7;17,9125;16,2;83,583333;3,7375;
2023-04-26;15,8;944,15;21,7;16,6125;14,8;94,625;1,991667;
2023-04-27;3,6;944,925;21,9;16,541667;13,1;80,166667;1,195833;
2023-04-28;0;946,0125;24,1;17,133333;11,7;73,708333;1,5;
2023-04-29;0;945,883333;24,8;18,854167;14,4;67,916667;3,195833;
2023-04-30;0;945,179167;24,9;19,541667;14,7;71,75;4,225;
2023-05-01;0;944,9;27,9;21,8125;17;67,875;2,795833;
2023-05-02;0;943,5625;24,8;19,683333;17,3;89,75;2,308333;
2023-05-03;22,6;943,358333;21,7;18,266667;16,7;98,75;2,320833;
2023-05-04;5,8;945,341667;19;17,525;16,9;100;1,85;
2023-05-05;17,8;946,8;19,8;17,945833;16,7;99,083333;2,55;
2023-05-06;12,2;946,466667;26,6;21,466667;17,3;89,541667;2,370833;
2023-05-07;0;944,370833;26,8;21,366667;19,7;86,041667;3,033333;
2023-05-08;40,8;947,133333;18,6;15,970833;14,1;90,791667;1,716667;
2023-05-09;0;949,020833;21,6;15,391667;10,6;69,541667;1,554167;
2023-05-10;0;948,420833;19,1;14,154167;9,8;72,166667;1,6625;
2023-05-11;0;947,595833;18,2;12,475;8,6;74,166667;1,841667;
2023-05-12;0;948,633333;18,2;11,508333;6,5;74,25;1,770833;
2023-05-13;0;948,204167;21,3;13,866667;8,8;67,125;1,3;
2023-05-14;0;949,404167;22,6;16,35;11,4;55,625;1,2;
2023-05-15;0;950,0625;25,4;18,454167;13,4;49,833333;1,291667;
2023-05-16;0;949,058333;23,5;17,845833;12,6;54,083333;1,1;
2023-05-17;0;947,166667;25,3;17,6125;12,3;63,541667;2,725;
2023-05-18;0;948,595833;24,7;18,291667;13,2;61,625;2,4875;
2023-05-19;0;947,316667;24;18,025;13,7;59;2,083333;
2023-05-20;0;946,845833;22,8;17,954167;11,9;66,416667;1,033333;
2023-05-21;0;944,666667;17,8;15,004167;13,4;83,666667;1,729167;
2023-05-22;3;944,95;22,7;16,4375;12,5;86,416667;2,783333;
2023-05-23;0;947,645833;26,1;19,775;14,6;72,625;2,2875;
2023-05-24;0;946,995833;25,5;20,3625;16,3;67,291667;3,5375;
2023-05-25;0;946,6875;25,6;19,566667;14,5;65,375;3,745833;
2023-05-26;0;944,304167;24,8;20,141667;16,3;66,708333;5,625;
2023-05-27;37,8;946,35;22,1;16,745833;15,2;95;2,2875;
2023-05-28;2,8;949,375;16,6;13,916667;11,8;90,833333;2,354167;
2023-05-29;0;948,941667;20,2;12,866667;8,5;89,958333;1,854167;
2023-05-30;,2;948,954167;22,1;15,979167;9,7;84,125;2,466667;
2023-05-31;0;949,270833;22,7;16,883333;12,7;79,791667;1,833333;
