Nome: SAO MIGUEL DO OESTE
Codigo Estacao: A857
Latitude: -26.78638888
Longitude: -53.51416666
Altitude: 647
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;0;938,66087;33,8;27,478261;22,6;56,086957;3,269565;
2023-01-02;35,8;936,895833;27,9;23,841667;19;78,333333;2,816667;
2023-01-03;6;935,854167;25,5;20,770833;20,8;92,791667;1,7875;
2023-01-04;28,8;937,466667;28,4;21,6125;16,8;73,708333;2,1875;
2023-01-05;0;939,93913;28,6;23,517391;17,1;49,086957;1,769565;
2023-01-06;null;null;27,8;null;16,8;46,5625;null;
2023-01-07;0;944,0625;26,7;21,754167;16,2;58,166667;2,925;
2023-01-08;0;943,120833;27,9;22,420833;16,4;58,041667;2,241667;
2023-01-09;0;940,408333;29,2;23,608333;17,3;59,333333;2,041667;
2023-01-10;0;939,3875;30,5;24,216667;20,4;67,041667;3,058333;
2023-01-11;0;938,709091;32,1;23,745455;17,7;69,5;2,845455;
2023-01-12;null;null;29,2;null;null;70,8;null;
2023-01-13;6,4;935,330435;24,5;19,917391;17,7;89,173913;2,208696;
2023-01-14;null;null;24,6;null;null;83;null;
2023-01-15;null;null;28,4;null;null;79,933333;null;
2023-01-16;null;null;31,1;null;null;66,625;null;
2023-01-17;null;null;31;null;21,3;77,235294;null;
2023-01-18;null;null;30,8;null;19,4;78,266667;null;
2023-01-19;null;null;30,4;null;null;66,642857;null;
2023-01-20;null;null;31,8;null;null;60,875;null;
2023-01-21;0;935,245455;32,6;26,122727;21,2;64,318182;3,227273;
2023-01-22;null;null;26,5;null;null;81;null;
2023-01-23;null;null;31,2;null;null;68;null;
2023-01-24;0;936,83913;31,9;25,447826;20,2;63,782609;2,021739;
2023-01-25;0;937,663636;33;27,827273;21,7;50,454545;2,277273;
2023-01-26;null;null;32,6;null;null;48,214286;null;
2023-01-27;null;null;33;null;null;52,071429;null;
2023-01-28;0;939,372727;33,4;27,168182;22,2;52,5;2,609091;
2023-01-29;0;938,970833;31,3;23,941667;22;76,458333;2,095833;
2023-01-30;1,2;936,258333;30,3;23,758333;19;80,125;1,804167;
2023-01-31;3,6;936,808696;27,7;22,713043;19,2;85,086957;2,456522;
2023-02-01;null;null;30,8;null;19,9;66,142857;null;
2023-02-02;null;null;30,5;null;null;74,4375;null;
2023-02-03;null;null;27,2;null;21;84,8;null;
2023-02-04;null;null;26,6;null;null;81,5;null;
2023-02-05;null;null;28,4;null;null;52,357143;null;
2023-02-06;null;null;30,7;null;null;42,857143;null;
2023-02-07;null;null;32;null;null;41;null;
2023-02-08;null;null;32,8;null;null;47,571429;null;
2023-02-09;null;null;30,7;null;null;61,785714;null;
2023-02-10;null;null;28;null;null;79,428571;null;
2023-02-11;null;null;31;null;null;60,357143;null;
2023-02-12;null;null;31,8;null;null;57;null;
2023-02-13;null;null;31,5;null;null;62,785714;null;
2023-02-14;null;null;27,2;null;null;85,214286;null;
2023-02-15;null;null;26,7;null;null;80,923077;null;
2023-02-16;null;null;30,3;null;null;67,285714;null;
2023-02-17;null;null;23,8;null;null;83,538462;null;
2023-02-18;null;null;21,1;null;null;49,928571;null;
2023-02-19;null;null;27,6;null;null;63,142857;null;
2023-02-20;null;null;18,1;null;null;93,923077;null;
2023-02-21;null;null;27,5;null;null;74,923077;null;
2023-02-22;null;null;31,1;null;null;64,714286;null;
2023-02-23;null;null;30,1;null;null;75,230769;null;
2023-02-24;null;null;25,6;null;null;91,230769;null;
2023-02-25;null;null;29;null;null;69,538462;null;
2023-02-26;null;null;24,6;null;null;82;null;
2023-02-27;null;null;24,9;null;null;80,846154;null;
2023-02-28;null;null;30,1;null;null;61,692308;null;
2023-03-01;null;null;29,1;null;null;61;null;
2023-03-02;null;null;28,7;null;null;68,692308;null;
2023-03-03;null;null;21,6;null;null;94,384615;null;
2023-03-04;null;null;27,2;null;null;82,230769;null;
2023-03-05;null;null;28,1;null;null;73,769231;null;
2023-03-06;null;null;28,1;null;null;71;null;
2023-03-07;null;null;30,7;null;null;54,076923;null;
2023-03-08;null;null;30,5;null;null;69,153846;null;
2023-03-09;null;null;26,2;null;null;77,692308;null;
2023-03-10;null;null;31,6;null;null;59,923077;null;
2023-03-11;null;null;30,9;null;null;62,384615;null;
2023-03-12;null;null;29,3;null;null;65,461538;null;
2023-03-13;null;null;28,5;null;null;71,384615;null;
2023-03-14;null;null;27,3;null;null;81,153846;null;
2023-03-15;null;null;28,5;null;null;78,307692;null;
2023-03-16;null;null;28,1;null;null;69,769231;null;
2023-03-17;null;null;30,5;null;null;64,384615;null;
2023-03-18;null;null;30,7;null;null;66,153846;null;
2023-03-19;null;null;31,8;null;null;50,692308;null;
2023-03-20;null;null;32;null;null;60,923077;null;
2023-03-21;null;null;31,8;null;null;60,538462;null;
2023-03-22;null;null;30,8;null;null;68,153846;null;
2023-03-23;null;null;31,6;null;null;60;null;
2023-03-24;null;null;31,5;null;null;66,923077;null;
2023-03-25;null;null;30,5;null;null;66,583333;null;
2023-03-26;null;null;25,6;null;null;72;null;
2023-03-27;null;null;26,4;null;null;62,692308;null;
2023-03-28;null;null;29,3;null;null;65,230769;null;
2023-03-29;null;null;30,9;null;null;71,769231;null;
2023-03-30;null;null;25,2;null;null;82,076923;null;
2023-03-31;null;null;28,8;null;null;66,538462;null;
2023-04-01;null;null;25,6;null;null;62,916667;null;
2023-04-02;null;null;27,5;null;null;48,384615;null;
2023-04-03;null;null;29,3;null;null;55,333333;null;
2023-04-04;null;null;29,4;null;null;49,166667;null;
2023-04-05;null;null;26,8;null;null;73,5;null;
2023-04-06;null;null;17,6;null;null;99;null;
2023-04-07;null;null;23,5;null;null;89,538462;null;
2023-04-08;null;null;25,7;null;null;82,923077;null;
2023-04-09;null;null;27,9;null;null;66,923077;null;
2023-04-10;null;null;29;null;null;60,538462;null;
2023-04-11;null;null;29;null;null;59,583333;null;
2023-04-12;null;null;29,5;null;null;47,583333;null;
2023-04-13;null;null;23,4;null;null;72,166667;null;
2023-04-14;null;null;25,1;null;null;83,416667;null;
2023-04-15;null;null;26,5;null;null;73,5;null;
2023-04-16;null;null;22,8;null;null;89,833333;null;
2023-04-17;null;null;22,1;null;null;94,416667;null;
2023-04-18;null;null;21;null;null;73,25;null;
2023-04-19;null;null;19,4;null;null;null;null;
2023-04-20;null;null;17,8;null;null;66;null;
2023-04-21;null;null;23,2;null;null;54,333333;null;
2023-04-22;null;null;23,3;null;null;57,25;null;
2023-04-23;null;null;25;null;null;61,75;null;
2023-04-24;null;null;26,3;null;null;62,333333;null;
2023-04-25;null;null;21,1;null;null;85,5;null;
2023-04-26;null;null;21,9;null;null;85,333333;null;
2023-04-27;null;null;21,9;null;null;73,666667;null;
2023-04-28;null;null;23,5;null;null;74,166667;null;
2023-04-29;null;null;24,7;null;null;65,916667;null;
2023-04-30;null;null;26,8;null;null;62,25;null;
2023-05-01;null;null;27,5;null;null;59,75;null;
2023-05-02;null;null;25,5;null;null;71,833333;null;
2023-05-03;null;null;23;null;null;90,916667;null;
2023-05-04;null;null;18,2;null;null;98;null;
2023-05-05;null;null;26;null;null;84,25;null;
2023-05-06;null;null;26,9;null;null;78,083333;null;
2023-05-07;null;null;26,8;null;null;null;null;
2023-05-08;null;null;17,4;null;null;97,25;null;
2023-05-09;null;null;20;null;null;78,416667;null;
2023-05-10;null;null;18,9;null;null;74,857143;null;
2023-05-11;0;944,1625;17,8;13,758333;11,1;73,541667;1,804167;
2023-05-12;0;944,7625;18;12,529167;8,4;72,666667;2,320833;
2023-05-13;0;944,695833;20,2;13,966667;8,6;70,5;1,441667;
2023-05-14;0;946,079167;23,7;16,416667;11,4;60,291667;1,65;
2023-05-15;0;946,908333;24,6;18,5625;12,5;53,375;1,3875;
2023-05-16;0;945,566667;22,7;18,7;14,5;50,333333;1,458333;
2023-05-17;0;943,608333;24,3;18,15;12,5;63,541667;2,129167;
2023-05-18;0;945,158333;23,9;18,329167;14,2;64,25;2,041667;
2023-05-19;0;943,966667;24,7;18,8875;14,9;58,583333;1,904167;
2023-05-20;0;943,445833;21,9;17,533333;14;71,333333;1,583333;
2023-05-21;,2;941,170833;18,2;16,491667;15;84,041667;1,770833;
2023-05-22;6,2;941,491667;22;18,15;14,1;75,875;3,245833;
2023-05-23;0;944,175;27,6;20,379167;15;73,041667;2,154167;
2023-05-24;0;943,55;25,6;21,033333;17,2;63,791667;3,329167;
2023-05-25;0;943,1875;25,3;20,9875;17,5;58,625;4,491667;
2023-05-26;0;941,225;25;21,433333;18,5;60,666667;4,866667;
2023-05-27;15,4;942,541667;22,8;17,891667;15,9;88,375;3,741667;
2023-05-28;29,8;944,925;16,9;15,541667;14,3;94,583333;2,7375;
2023-05-29;0;944,95;22,3;15,966667;12,3;88,333333;1,966667;
