Nome: RIO DO CAMPO
Codigo Estacao: A861
Latitude: -26.93749999
Longitude: -50.14555555
Altitude: 591.67
Situacao: Pane
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;0;946,504167;30,6;23,708333;18,9;73,25;1,425;
2023-01-02;0;943,620833;27,6;23,020833;19,3;80,375;1,425;
2023-01-03;0;940,179167;29,8;22,166667;19,2;86,458333;,9875;
2023-01-04;59,4;943,383333;21,3;17,9875;16,1;89,083333;,845833;
2023-01-05;5;946,875;26,4;18,325;12,5;75,708333;1,1125;
2023-01-06;0;950,058333;26,2;19,079167;12,7;73,958333;1,916667;
2023-01-07;,2;952,041667;24,9;19,654167;15,5;72,958333;1,954167;
2023-01-08;0;950,666667;25,7;19,5875;14,2;74,666667;1,079167;
2023-01-09;0;948,133333;26,6;20,770833;16,7;72,333333;1,333333;
2023-01-10;0;946,545833;27,2;20,995833;17,8;78,791667;1,0875;
2023-01-11;9,4;944,5375;29,6;22,475;17,9;81,708333;,975;
2023-01-12;1,8;942,529167;28,2;21,658333;17,8;82,416667;1,195833;
2023-01-13;,2;941,004167;29,7;22,158333;17,8;82,166667;1,433333;
2023-01-14;7,6;942,241667;31,1;22,804167;18,7;82,833333;1,270833;
2023-01-15;84,8;945,8875;26,8;21,2125;19,2;91,666667;1,070833;
2023-01-16;19;946,2375;28,9;23,0625;19,8;86,333333;,708333;
2023-01-17;0;947,883333;26,9;23,170833;21,2;84,75;1,704167;
2023-01-18;34,6;949,383333;27,1;21,558333;18,6;86,708333;,804167;
2023-01-19;12,2;948,7625;27,4;21,704167;19,7;88,208333;,858333;
2023-01-20;21,4;945,0625;29,9;22,991667;18,8;76,791667;1,0125;
2023-01-21;,2;941,554167;29,1;22,7375;17,8;80,666667;1,441667;
2023-01-22;4,8;940,154167;28,4;22,2875;18,4;83,583333;1,0125;
2023-01-23;7,4;942,620833;29,2;21,133333;18,6;85,375;1,104167;
2023-01-24;15,6;943;32;21,2875;15,1;79,041667;1,033333;
2023-01-25;,2;944,05;32,4;23,9625;17,2;70,625;1,108333;
2023-01-26;0;945,158333;30,4;23,454167;18,2;72,125;1,104167;
2023-01-27;0;946,141667;29,6;21,379167;13,9;71,541667;1,1875;
2023-01-28;0;945,970833;31,2;23,520833;17,6;75,291667;,879167;
2023-01-29;0;944,483333;31,3;24,020833;21;78,791667;1,291667;
2023-01-30;36,4;942,85;27,4;20,933333;19,3;88,083333;1,195833;
2023-01-31;18,4;942,779167;28,4;20,929167;17,8;87,791667;,816667;
2023-02-01;0;944,0875;29,2;22,591667;18,8;85,166667;,6125;
2023-02-02;2,6;944,341667;28;22,6375;20,2;85,833333;,758333;
2023-02-03;23,6;941,470833;27,3;21,75;19,8;90,458333;1,0125;
2023-02-04;25,8;942,6125;29,9;22,875;18,3;75;1,266667;
2023-02-05;,2;944,366667;28,9;22,191667;16,6;71,291667;1,1625;
2023-02-06;0;944,808333;29,9;21,395833;13,5;71,666667;,704167;
2023-02-07;0;946,204167;30,1;23,2875;18,6;73,208333;,6875;
2023-02-08;0;945,858333;31,2;23,641667;18,2;71,041667;1,35;
2023-02-09;0;946,35;30,8;21,370833;17,3;81,958333;1,033333;
2023-02-10;11,6;946,325;27,6;19,933333;18,5;90,458333;,745833;
2023-02-11;11,6;945,941667;30,3;21,429167;16,4;80,958333;1,079167;
2023-02-12;,2;944,9375;31,1;23,879167;18,3;72;1,066667;
2023-02-13;0;944,204167;29,9;22,6125;17,1;79,541667;1,3875;
2023-02-14;0;942,654167;28,8;22,579167;19,7;87,666667;,8875;
2023-02-15;8,8;939,191667;27,5;22,291667;19,7;84,833333;1,3875;
2023-02-16;21,2;937,166667;29,2;22,3375;18,6;82,458333;1,108333;
2023-02-17;,2;937,358333;25,9;22,658333;20,4;79,625;1,570833;
2023-02-18;,2;947,008333;26,2;20,529167;16,6;67,083333;2,304167;
2023-02-19;0;952,454167;19,6;16,075;12,6;80,083333;1,4;
2023-02-20;9;948,341667;19,6;17,458333;15,6;94,416667;,475;
2023-02-21;28;945,9625;25,4;20,004167;17,4;90,666667;,704167;
2023-02-22;30,8;949,1625;27,3;21,4875;18,3;81,791667;1,283333;
2023-02-23;5,4;949,3;25;19,791667;18,2;89,916667;1,15;
2023-02-24;10,8;944,970833;25,2;20,429167;17,4;87,458333;,670833;
2023-02-25;9,8;942,479167;32;23,958333;18,7;76;,820833;
2023-02-26;0;945,979167;25,7;20,775;16,6;86,5;,5625;
2023-02-27;18,2;951,191667;26,9;21,295833;18;79,541667;1,033333;
2023-02-28;,4;951,779167;26,2;21,020833;18,1;83,416667;,816667;
2023-03-01;,2;948,320833;27,4;22,295833;19,4;77,541667;1,133333;
2023-03-02;0;946,279167;28;21,395833;19,8;86,5;1,633333;
2023-03-03;60,4;945,508333;28,3;21,433333;18,8;87,666667;,9;
2023-03-04;20,6;944,4875;28,5;22,095833;19,3;85,541667;1,05;
2023-03-05;5,8;942,466667;29,1;21,7;18,1;83,416667;,870833;
2023-03-06;0;941,545833;25,7;19,795833;18;90,166667;,683333;
2023-03-07;33;942,333333;27,5;21,070833;18,4;86,375;1,629167;
2023-03-08;18,8;944,616667;31,2;21,8;18,1;86,375;1,420833;
2023-03-09;44,4;947,454167;25,8;20,558333;19;92,166667;,908333;
2023-03-10;5,2;947,520833;27,2;21,445833;18;86,375;1,004167;
2023-03-11;,2;947,241667;28,6;22,891667;19,4;80,333333;,933333;
2023-03-12;0;948,675;25,3;21,808333;19,8;83,083333;1,320833;
2023-03-13;1,4;949,175;25,7;21,929167;19,7;84,041667;1,4;
2023-03-14;1,4;949,383333;24,7;21,2625;19,1;86,958333;,7625;
2023-03-15;0;949,070833;27,5;22,241667;19;81,458333;1,2625;
2023-03-16;,2;948,504167;27,4;21,683333;17,6;81,125;,7375;
2023-03-17;0;948,9;28,1;21,970833;17,3;81,875;,758333;
2023-03-18;0;948,366667;28,2;21,741667;17,7;79,166667;1,045833;
2023-03-19;0;947,329167;29,5;21,8125;16,9;79,375;1,141667;
2023-03-20;0;946,4875;33,4;22,641667;16,6;77,75;,9625;
2023-03-21;0;947,966667;31,7;23,266667;17,5;78,541667;,9625;
2023-03-22;42,6;950,458333;28;22,070833;19,2;86,791667;,895833;
2023-03-23;2,2;950,066667;29,3;22,916667;20,2;83,666667;1,020833;
2023-03-24;,6;948,291667;31,3;22,45;18,4;82,833333;,85;
2023-03-25;5,8;947,6125;28,4;21,6125;19,8;87,916667;1,125;
2023-03-26;4,2;945,854167;28,8;22,216667;18,6;78,75;1,333333;
2023-03-27;0;948,720833;27,6;19,445833;12,5;75,583333;,7875;
2023-03-28;0;948,441667;26,6;20,854167;17,3;77,458333;1,404167;
2023-03-29;0;947,358333;26,6;21,475;19,1;86,916667;,958333;
2023-03-30;4,4;947,1875;28,5;21,095833;16,6;84,333333;1,5125;
2023-03-31;25,2;946,741667;30,1;22,333333;18,3;80,041667;,8375;
2023-04-01;,2;946,008333;27,8;21,058333;17,3;71,333333;1,2875;
2023-04-02;0;948,716667;25,9;16,4625;9,9;75,541667;,8125;
2023-04-03;0;947,9;26,7;19,133333;14,2;78,5;,829167;
2023-04-04;0;946,441667;28,4;20,170833;16,2;84,708333;,533333;
2023-04-05;0;947,608333;25,5;20,554167;16,2;80,416667;,920833;
2023-04-06;1,4;948,795833;21,5;18,216667;17,4;89,041667;,816667;
2023-04-07;36,4;948,216667;17,9;16,425;15;94,208333;,479167;
2023-04-08;8;949,604167;19,6;17,3875;15,5;93,083333;,3125;
2023-04-09;2,4;951,141667;22,7;18,916667;16,3;88,291667;,516667;
2023-04-10;0;951,566667;23,6;19,391667;17,8;83,666667;1,070833;
2023-04-11;0;948,991667;27,2;19,725;15,8;78,916667;,845833;
2023-04-12;0;946,0625;27,7;19,258333;14,1;85,75;,4125;
2023-04-13;0;943,370833;29,6;20,120833;13,8;80,125;,758333;
2023-04-14;27,4;945,604167;20,7;18,479167;17,6;93,375;,733333;
2023-04-15;9,2;949,041667;20,7;17,979167;16,7;90,125;,9625;
2023-04-16;,2;947,5875;22,3;18,329167;16,5;89,291667;,958333;
2023-04-17;28,8;939,845833;26,5;19,933333;17,6;89,833333;,891667;
2023-04-18;25,6;936,7625;23,4;18,8375;16,9;89,166667;,925;
2023-04-19;4;939,7375;20,4;14,275;9,1;75,958333;1,633333;
2023-04-20;,2;947,425;20,7;12,970833;6,9;70,5;1,495833;
2023-04-21;,2;951,604167;21,4;13,075;7;82,583333;,9375;
2023-04-22;0;951,7;23,3;17,358333;9,4;82,666667;,779167;
2023-04-23;0;952,370833;22,9;16,4;12,2;88,333333;,633333;
2023-04-24;2;952,616667;24,5;18,85;15,3;83,291667;,933333;
2023-04-25;0;951,116667;23,6;17,820833;14,5;85,25;1,083333;
2023-04-26;,4;946,141667;26,4;19;15,8;80,166667;1,091667;
2023-04-27;,2;945,995833;23,4;16,45;11,7;80,791667;,975;
2023-04-28;,2;948,945833;23,1;14,908333;9,3;84,875;,595833;
2023-04-29;0;950,479167;21,5;16,166667;13,7;86,375;1;
2023-04-30;0;949,7;24,6;17,95;13,5;83,5;,6875;
2023-05-01;0;948,083333;28;19,075;14;83,375;,379167;
2023-05-02;0;947,166667;25,7;18,933333;14,8;82,583333;,741667;
2023-05-03;7,4;946,7625;22,6;19,4625;15,5;87,416667;,970833;
2023-05-04;0;947,8;22,8;19,85;18,5;90,333333;,6375;
2023-05-05;18,8;950,979167;24,7;19,5625;17,1;89,25;,758333;
2023-05-06;0;950,608333;26,8;21,325;18,2;87,583333;,5;
2023-05-07;0;948,629167;25,4;21,045833;19,5;85,958333;1,204167;
