Nome: LAGES
Codigo Estacao: A865
Latitude: -27.80222222
Longitude: -50.33555555
Altitude: 952.7
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;0;907,9375;29,3;22,1625;16,6;71,708333;null;
2023-01-02;0;905,208333;25,4;20,1875;17,7;85,916667;null;
2023-01-03;11,4;902,0875;28,1;21,933333;18,3;81,75;null;
2023-01-04;17,2;904,5125;24,4;17,725;13,2;76,625;null;
2023-01-05;,4;907,770833;25,2;17,570833;10,4;66,25;null;
2023-01-06;0;910,841667;25,3;18,1;12,5;69,875;null;
2023-01-07;0;912,745833;24;16,991667;10,1;74,375;null;
2023-01-08;0;911,5125;23,9;17,570833;10,8;73,666667;null;
2023-01-09;0;909,066667;24,9;18,854167;14,5;73,583333;null;
2023-01-10;0;907,7875;25,7;18,858333;15,4;80,833333;null;
2023-01-11;,6;906,070833;29,1;21,129167;15,1;73,083333;null;
2023-01-12;0;904,129167;29,7;22,65;16,7;69,333333;null;
2023-01-13;,4;902,8375;27,6;20,391667;17;81,791667;null;
2023-01-14;4,6;904,045833;27,2;20,341667;15,8;85,583333;null;
2023-01-15;53,4;907,491667;23,5;19,804167;17,4;92;null;
2023-01-16;5,6;907,85;28,6;21,691667;17,7;83,625;null;
2023-01-17;59;909,429167;26,3;20,558333;17,9;93;null;
2023-01-18;29,2;910,741667;27,5;20,5;18,5;88,916667;null;
2023-01-19;,6;910,154167;26,8;20,370833;17,7;86,75;null;
2023-01-20;4,4;906,641667;26,6;20,695833;16,6;80,416667;null;
2023-01-21;0;903,216667;29,1;21,425;15,9;78,625;null;
2023-01-22;2,6;901,95;26,3;20,7125;17;86,166667;null;
2023-01-23;5,8;904,433333;26,8;19,2625;17,5;89,958333;null;
2023-01-24;21,6;904,645833;28,7;19,908333;11,3;70,416667;null;
2023-01-25;,2;905,929167;30,3;22,7875;17,1;67,083333;null;
2023-01-26;0;906,7;27,5;22,120833;17,7;71,458333;null;
2023-01-27;0;907,408333;27,4;20,6625;15,8;71,291667;null;
2023-01-28;0;907,629167;30,4;22,129167;16,8;71;null;
2023-01-29;0;906,441667;27,3;21,208333;19,2;85,291667;null;
2023-01-30;1,8;904,2625;25,3;20,6;17,8;84,666667;null;
2023-01-31;0;904,258333;28,2;21,820833;17,2;80,541667;null;
2023-02-01;0;905,833333;29,2;22,270833;17,6;77,458333;null;
2023-02-02;0;906,033333;28,4;21,966667;18;77,583333;null;
2023-02-03;8,2;903,220833;27;20,5625;18,1;89,5;null;
2023-02-04;2;904,391667;25,6;19,891667;17,3;84,791667;null;
2023-02-05;,2;906,145833;24,7;19,133333;13,8;71,708333;null;
2023-02-06;0;906,591667;27,5;19,658333;11,5;60,083333;null;
2023-02-07;0;907,875;28,6;20,708333;14,5;69,791667;null;
2023-02-08;0;907,516667;29,1;22,129167;17,4;70,166667;null;
2023-02-09;0;907,758333;27,5;20,375;17,3;82,166667;null;
2023-02-10;6;907,658333;28,1;19,5625;16,6;86,458333;null;
2023-02-11;,4;907,475;29;21,208333;15,2;70,708333;null;
2023-02-12;0;906,633333;30,4;22,575;17;69,125;null;
2023-02-13;0;905,8125;29,9;22,904167;16,9;68,291667;null;
2023-02-14;0;904,366667;27,8;21,8625;18;85,416667;null;
2023-02-15;12,8;901,008333;24,7;20,854167;18,1;84,583333;null;
2023-02-16;,2;898,958333;26,3;21,308333;17,6;80,208333;null;
2023-02-17;0;899,541667;21,9;19,175;17,9;90,75;null;
2023-02-18;17,6;908,820833;21,4;15,695833;10,8;69,916667;null;
2023-02-19;0;912,5375;21,8;14,966667;9,5;76,791667;null;
2023-02-20;6,8;909,145833;21;16,408333;13,9;95,75;null;
2023-02-21;null;907,271429;24,7;null;15,6;86,904762;null;
2023-02-22;,4;910,3875;26,7;18,825;13,5;82,583333;null;
2023-02-23;,4;910,320833;23,6;17,3875;16;94;null;
2023-02-24;23,4;906,341667;21,9;17,683333;15;93,333333;null;
2023-02-25;1,4;904,35;26,6;20,775;17;82,791667;null;
2023-02-26;0;907,75;23,7;19,075;15;83,208333;null;
2023-02-27;0;912,25;26,2;18,995833;12;78;null;
2023-02-28;0;912,720833;25,3;19,754167;15,5;76,958333;null;
2023-03-01;0;909,666667;25,1;19,416667;16,9;85,166667;null;
2023-03-02;0;907,883333;26,8;19,691667;17,4;90,333333;null;
2023-03-03;29;906,95;26,4;20,191667;16,5;89,791667;null;
2023-03-04;7,6;906,0125;25,8;20,416667;18,1;89,25;null;
2023-03-05;9,6;904,3875;24,2;19,641667;17,3;87,583333;null;
2023-03-06;26,4;903,133333;21,6;18,4625;16,7;94,958333;null;
2023-03-07;28;903,729167;23,1;18,775;17;94,291667;null;
2023-03-08;3,2;906,154167;29;21,795833;17;81,375;null;
2023-03-09;4,8;908,75;26,3;20,491667;17;83,666667;null;
2023-03-10;14,4;908,9875;25,5;20,241667;16,6;86,416667;null;
2023-03-11;3,6;908,891667;26,3;20,083333;17,6;90,208333;null;
2023-03-12;14;910,116667;25,4;19,970833;16,8;86,916667;null;
2023-03-13;,2;910,570833;23,5;19,345833;17,4;90,541667;null;
2023-03-14;4,8;910,666667;23,9;19,245833;17,1;89,916667;null;
2023-03-15;,6;910,541667;24,4;19,441667;17;89,083333;null;
2023-03-16;1;909,858333;24,5;19,2375;16,2;85,666667;null;
2023-03-17;0;910,258333;25,3;19,941667;17,4;85,333333;null;
2023-03-18;0;909,704167;26,7;20,058333;14,8;78,583333;null;
2023-03-19;0;908,683333;28;21,120833;15,7;71,666667;null;
2023-03-20;0;908,4625;28,7;20,195833;14,6;79,083333;null;
2023-03-21;16,6;909,7875;28,6;20,9875;15,1;81,375;null;
2023-03-22;0;911,8;24,5;19,891667;17,6;89,541667;null;
2023-03-23;2,2;911,516667;26,4;20,75;18,3;87,25;null;
2023-03-24;3,6;910,0125;27,7;19,920833;16,4;90,375;null;
2023-03-25;4,8;908,904167;25,4;19,545833;17,1;92,583333;null;
2023-03-26;12,8;907,570833;24,3;19,720833;17,8;83,625;null;
2023-03-27;0;910,0125;24;17,208333;12,2;73,583333;null;
2023-03-28;0;909,441667;22,4;17,316667;14,9;87,083333;null;
2023-03-29;0;908,65;28;19,358333;15,9;91,625;null;
2023-03-30;11,2;908,866667;23,8;18,154167;14,6;88,583333;null;
2023-03-31;,2;908,591667;26,5;19,708333;15,2;83,416667;null;
2023-04-01;0;907,954167;22;17,966667;14,5;67,5;null;
2023-04-02;0;909,595833;22,4;14,05;6;71,25;null;
2023-04-03;0;908,775;25,4;17,429167;12,2;77,083333;null;
2023-04-04;0;907,725;26,7;19,220833;14,7;76,958333;null;
2023-04-05;0;908,833333;23,9;18,320833;14,9;82,208333;null;
2023-04-06;2,8;null;17,5;null;15,1;97,941176;null;
2023-04-07;null;null;null;null;null;null;null;
2023-04-08;null;null;null;null;null;null;null;
2023-04-09;null;null;19,9;null;null;null;null;
2023-04-10;null;912,3625;24,1;18,066667;15,5;86,625;null;
2023-04-11;0;910,0625;25,7;18,670833;14,8;81,416667;null;
2023-04-12;,2;907,295833;26,4;19;14,2;79,208333;null;
2023-04-13;0;905,154167;25,4;18,65;13,1;78,083333;null;
2023-04-14;3,6;null;18,8;null;15,8;93,764706;null;
2023-04-15;null;null;null;null;null;null;null;
2023-04-16;null;null;19,6;null;null;null;null;
2023-04-17;null;null;22,5;null;15,9;90,1875;null;
2023-04-18;,8;898,325;22,5;16,845833;14,1;79,75;null;
2023-04-19;0;null;15,5;null;8,4;79,933333;null;
2023-04-20;null;null;null;null;null;null;null;
2023-04-21;null;null;18,7;null;null;null;null;
2023-04-22;null;null;19,9;null;null;null;null;
2023-04-23;null;913,25;18;14,295455;11,1;93,5;null;
2023-04-24;null;null;21,1;null;null;null;null;
2023-04-25;null;911,7375;20,3;15,779167;13,4;86,625;null;
2023-04-26;null;null;19,8;null;14,7;null;null;
2023-04-27;null;null;null;null;null;null;null;
2023-04-28;null;null;21;null;null;null;null;
2023-04-29;0;910,956522;19,6;14,573913;11,9;87;null;
2023-04-30;null;null;20,1;null;12,5;91,923077;null;
2023-05-01;null;null;24,7;null;null;null;null;
2023-05-02;0;908,216667;23,6;17,108333;12,2;85,583333;null;
2023-05-03;3,8;907,8625;21,2;17,525;14,1;90,25;null;
2023-05-04;54;null;18,5;null;15,9;99,875;null;
2023-05-05;null;null;21,7;null;null;null;null;
2023-05-06;1,4;911,795833;22,5;19,158333;17,8;93,125;null;
2023-05-07;0;909,833333;22,7;18,858333;17;91,916667;null;
2023-05-08;9,2;909,725;20,5;17,083333;15;92,916667;null;
2023-05-09;0;911,083333;20,3;14,466667;9,3;69,708333;null;
2023-05-10;0;910,470833;18,4;11,45;6,4;82,041667;null;
2023-05-11;,2;null;11,4;null;3,6;94;null;
2023-05-12;null;null;17,4;null;null;null;null;
2023-05-13;null;null;12,2;null;7,4;null;null;
2023-05-14;null;null;19,7;null;null;null;null;
2023-05-15;null;912,533333;21,4;12,8375;5,5;73,416667;null;
2023-05-16;0;911,841667;23,2;13,408333;6,5;69,333333;null;
2023-05-17;,2;912,382609;18,1;11,13913;7;90,73913;null;
2023-05-18;null;null;23,1;null;null;null;null;
2023-05-19;,4;911,791667;22,3;12,170833;4,9;76,583333;null;
2023-05-20;0;910,904167;22,7;13,595833;6,4;79,291667;null;
2023-05-21;0;null;16,8;null;8,4;90,666667;null;
2023-05-22;null;null;19,1;null;null;null;null;
2023-05-23;null;912,454167;23;15,616667;9,5;81,791667;null;
2023-05-24;0;912,495833;20,6;15,0375;10,7;83,333333;null;
2023-05-25;0;912,641667;20,6;15,675;13,4;88,125;null;
2023-05-26;,2;910,7625;22,8;16,8375;13,7;87,083333;null;
2023-05-27;2,2;null;17;null;14,4;99,75;null;
2023-05-28;null;null;null;null;null;null;null;
2023-05-29;null;null;null;null;null;null;null;
2023-05-30;null;null;null;null;null;null;null;
2023-05-31;null;null;19,6;null;null;null;null;
2023-06-01;null;913,147826;21,7;13,13913;5,8;76,608696;null;
2023-06-02;0;912,758333;20,3;12,575;6;77,375;null;
2023-06-03;0;911,7125;21,6;13,191667;7,9;79,25;null;
2023-06-04;,2;912,683333;20,9;12,9625;5,9;83,041667;null;
2023-06-05;,2;913,533333;21,5;13,408333;7;85,666667;null;
2023-06-06;0;913,013043;20,2;14,086957;10;88,304348;null;
2023-06-07;null;912,694444;20,2;null;8,9;87,611111;null;
2023-06-08;null;null;22;null;null;69,933333;null;
2023-06-09;0;909,65;21,9;13,4125;5,6;74,75;null;
2023-06-10;0;907,966667;23,9;14,916667;7,4;77,958333;null;
2023-06-11;0;null;18,9;null;10,7;87,9375;null;
2023-06-12;null;null;null;null;null;null;null;
2023-06-13;null;null;null;null;null;null;null;
2023-06-14;null;null;null;null;null;null;null;
2023-06-15;null;null;null;null;null;null;null;
2023-06-16;null;null;null;null;null;null;null;
2023-06-17;null;null;null;null;null;null;null;
2023-06-18;null;null;null;null;null;null;null;
2023-06-19;null;null;null;null;null;null;null;
2023-06-20;null;null;18;null;null;null;null;
2023-06-21;null;null;9,9;null;null;null;null;
2023-06-22;null;null;19,6;null;null;null;null;
2023-06-23;null;null;16,4;null;null;null;null;
2023-06-24;null;null;22,8;null;null;null;null;
2023-06-25;,2;911,133333;22,9;15,875;9,8;85,75;null;
2023-06-26;,4;911,479167;23,3;15,908333;10,4;81,166667;null;
2023-06-27;,2;910,591667;22,1;14,05;8;79,291667;null;
2023-06-28;,2;911,1125;21,3;12,925;6,5;83,166667;null;
2023-06-29;5,2;null;13,9;null;10,1;93,1875;null;
2023-06-30;null;null;null;null;null;null;null;
2023-07-01;null;null;19,2;null;null;null;null;
2023-07-02;,2;911,668182;20,3;14,081818;11,5;91,454545;null;
2023-07-03;0;null;14,8;null;11,5;95,2;null;
2023-07-04;null;null;null;null;null;null;null;
2023-07-05;null;null;19,3;null;null;null;null;
2023-07-06;null;null;21,7;null;null;69,142857;null;
2023-07-07;1,6;null;14,6;null;11,1;95,466667;null;
2023-07-08;null;null;null;null;null;null;null;
2023-07-09;null;null;null;null;null;null;null;
2023-07-10;null;null;15,4;null;null;null;null;
2023-07-11;null;907,1875;14,6;13,845833;14;98,25;3,33913;
2023-07-12;49,2;901,8625;15,9;14,125;12,8;98,291667;3,622727;
2023-07-13;42,2;898,504167;15,6;10,316667;7,5;86,833333;6,25;
2023-07-14;2,2;909,970833;10,7;6,033333;3,7;86,458333;3,666667;
2023-07-15;0;910,85;14,9;7,770833;1,8;84,458333;2,525;
2023-07-16;0;909,395833;16,7;10,520833;6,9;79,083333;1,8375;
2023-07-17;0;910,375;17,1;11,295833;7,7;82,041667;1,729167;
2023-07-18;,2;914,258333;11,1;9,254167;8,5;92,916667;2,5875;
2023-07-19;,2;919,4375;11,7;8,416667;6,3;90,5;4,304167;
2023-07-20;0;919,45;13,9;10,795833;8,3;93,125;4,941667;
2023-07-21;,2;917,508333;16,7;13,225;10,3;92,791667;4,65;
2023-07-22;0;914,858333;17,8;13,8125;12,4;89,916667;4,320833;
2023-07-23;0;914,641667;23,5;16,3;12;83,541667;2,1;
2023-07-24;0;914,3375;23,5;16,4875;12;78,541667;1,3625;
2023-07-25;,2;910,720833;23,8;16,270833;12,1;78,166667;1,491667;
2023-07-26;0;908,966667;23,1;17,1625;12,8;74,291667;2,054167;
2023-07-27;4;911,866667;19;15,054167;13,5;90,875;2,129167;
2023-07-28;8,2;913,0375;13,7;11,65;11,1;92,75;2,708696;
2023-07-29;1,8;915,066667;12;6,375;2,2;87,958333;2,870833;
2023-07-30;0;914,925;17,1;9,754167;3,9;80,333333;2,708333;
2023-07-31;0;914,741667;20,5;12,275;4,8;82,083333;1,608333;
2023-08-01;,2;914,2;21,7;13,895833;7,7;81,291667;1,6625;
2023-08-02;0;912,495833;23,8;14,554167;7;74;1,420833;
2023-08-03;,2;912,016667;24,1;16,283333;9,8;74,375;1,85;
2023-08-04;0;911,504167;23,2;16,095833;11,5;81,375;1,870833;
2023-08-05;0;912,329167;25,4;16,954167;10,1;75,041667;1,320833;
2023-08-06;0;911,116667;25;17,3625;12,5;76,291667;2,654167;
