Nome: VENTANIA
Codigo Estacao: A872
Latitude: -24.28027777
Longitude: -50.21027777
Altitude: 1093.41
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;0;893,895833;27,1;21,166667;17,1;86,125;2,066667;
2023-01-02;0;891,666667;24,6;19,983333;17,1;93,375;2,533333;
2023-01-03;1,8;889,3375;25,7;20,620833;17,7;89,458333;2,3125;
2023-01-04;23,2;888,7;21,7;17,291667;17,6;98,4;3,408333;
2023-01-05;13,2;892,0375;19,2;15,8625;13,4;91,166667;3,875;
2023-01-06;0;894,554167;22;16,504167;12,6;82,541667;3,6375;
2023-01-07;0;896,029167;23;16,916667;12,6;81,5;4,541667;
2023-01-08;0;895,533333;21,7;17,245833;12,7;86,583333;3,354167;
2023-01-09;0;893,8875;23,2;17,783333;13,8;91,291667;2,704167;
2023-01-10;0;893,258333;24,3;18,879167;14,8;92,041667;2,05;
2023-01-11;0;892,825;24,4;19,7375;18;93,666667;1,895833;
2023-01-12;0;891,191667;25,3;19,845833;16,7;90,333333;1,9375;
2023-01-13;,2;890,029167;25,5;19,7125;17,1;93,541667;2,204167;
2023-01-14;5,4;891,125;24,4;19,854167;17,7;95,666667;2,454167;
2023-01-15;26;893,5;24,6;20,4;18,3;96,541667;2,116667;
2023-01-16;5,2;893,716667;29,3;21,854167;19,1;87,375;1,954167;
2023-01-17;11,6;894,7375;27,3;21,325;18,1;90,458333;2,295833;
2023-01-18;,2;895,779167;28,4;21,075;18,7;88,75;2,533333;
2023-01-19;,4;895,008333;25,5;20,158333;17,3;90;2,229167;
2023-01-20;12;892,329167;23,9;19,666667;17,5;94,083333;1,954167;
2023-01-21;17,8;889,808333;27;20,833333;16,7;88,125;2,004167;
2023-01-22;,2;889,254167;27,5;21,404167;18,2;87,75;2,35;
2023-01-23;,4;890,1125;26,6;21,745833;18,7;82,25;2,075;
2023-01-24;0;890,441667;28;21,5875;15,8;75,958333;2,320833;
2023-01-25;0;891,783333;28,7;22,716667;17,6;67,666667;2,1375;
2023-01-26;0;891,9;27,6;21,6625;15,7;68,166667;2,883333;
