Nome: CANELA
Codigo Estacao: A879
Latitude: -29.36888888
Longitude: -50.82722221
Altitude: 830.93
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;0;919,675;30,8;23,958333;17,9;58,666667;null;
2023-01-02;0;915,983333;27,5;22,808333;19,6;71,833333;null;
2023-01-03;15,8;915,604167;24,2;19,479167;16,7;88,208333;null;
2023-01-04;0;917,779167;24,7;19,275;15,3;67,541667;null;
2023-01-05;0;920,975;25,7;19,979167;13,7;44,958333;null;
2023-01-06;0;924,370833;24,9;18,308333;13;68,291667;null;
2023-01-07;0;926,366667;24,9;18,041667;12,9;73,5;null;
2023-01-08;0;924,733333;24,5;18,004167;12,7;77,25;null;
2023-01-09;0;921,629167;26,1;19,683333;15,5;74,5;null;
2023-01-10;0;920,179167;27,2;18,491667;16,1;79,958333;null;
2023-01-11;17,4;918,575;28,1;20,704167;14,8;68,416667;null;
2023-01-12;0;916,495833;28,9;21,825;17,1;72,875;null;
2023-01-13;15,6;914,8875;26,7;20,458333;17,3;80,416667;null;
2023-01-14;12,4;916,825;23,5;19,079167;16,6;88,125;null;
2023-01-15;2;920,6375;22,7;19,0625;16,7;92,75;null;
2023-01-16;4;921,154167;25,3;21,004167;18;88,583333;null;
2023-01-17;1,8;922,270833;26,2;21,375;17,3;82,5;null;
2023-01-18;0;924,341667;24,4;20,516667;18,4;90,833333;null;
2023-01-19;,4;923,354167;25,9;21,191667;18,3;88,5;null;
2023-01-20;8,8;919,054167;28,3;21,5625;17,3;78,875;null;
2023-01-21;,2;915,2375;30,7;21,65;17,6;76,75;null;
2023-01-22;,8;914,333333;27,1;21,520833;17,6;82,083333;null;
2023-01-23;,2;916,8875;27,4;21,345833;17,4;79,833333;null;
2023-01-24;0;916,858333;29,2;22,066667;15,3;63,875;null;
2023-01-25;0;918,179167;29,5;23,7625;18,6;65,208333;null;
2023-01-26;0;918,729167;30,3;22,641667;18,8;73,958333;null;
2023-01-27;15,2;918,870833;30;22,533333;17,4;68,875;null;
2023-01-28;0;919,820833;31,1;23,5;20,3;71,416667;null;
2023-01-29;,8;919,308333;25,1;20,670833;17,8;86,958333;null;
2023-01-30;1;916,883333;26,9;19,866667;15,7;83,791667;null;
2023-01-31;23,2;916,458333;26,6;21,05;15,5;84,291667;null;
2023-02-01;,2;918,725;27,6;22,2125;18,5;81,875;null;
2023-02-02;0;918,9875;27,7;21,8875;17,3;78,291667;null;
2023-02-03;11,6;915,933333;24,7;19,970833;18,4;90,625;null;
2023-02-04;28,4;917,1625;23;19,079167;17,1;87,25;null;
2023-02-05;,2;918,541667;23,5;18,745833;13,2;70,666667;null;
2023-02-06;0;919,5125;25,8;20,1125;15,7;74,625;null;
2023-02-07;0;920,55;26,9;20,954167;15,7;66,666667;null;
2023-02-08;0;919,829167;29,2;22,070833;17,1;71,791667;null;
2023-02-09;,8;919,7875;25,3;20,733333;17,7;76,75;null;
2023-02-10;0;919,954167;28,5;22,341667;17,7;70,083333;null;
2023-02-11;0;920,508333;28,4;21,620833;16,1;65,875;null;
2023-02-12;0;919,095833;28,9;21,4125;14,1;64,791667;null;
2023-02-13;0;917,579167;31,7;24,054167;18,5;64,25;null;
2023-02-14;0;915,829167;29,7;23,483333;20,2;73;null;
2023-02-15;81;913,825;21,9;18,6;16,2;90,958333;null;
2023-02-16;5,6;911,275;26,8;20,733333;16,7;85,958333;null;
2023-02-17;1;912,2375;21,2;17,8625;17;87,791667;null;
2023-02-18;0;923,454167;17,3;11,6625;7,6;62,5;null;
2023-02-19;0;926,220833;21,8;14,275;8,8;70,875;null;
2023-02-20;0;923,0125;17,4;15,604167;14,1;92,041667;null;
2023-02-21;68,2;921,241667;20,3;16,9875;14,5;92,958333;null;
2023-02-22;,2;923,5125;24;18,058333;13,1;85,75;null;
2023-02-23;,2;922,375;22,3;18,3375;16,8;83,083333;null;
2023-02-24;0;918,504167;21,4;17,970833;15,2;87,208333;null;
2023-02-25;0;916,0375;21,6;17,958333;15,6;89,333333;null;
2023-02-26;12,2;920,3375;22,5;18,5875;15,3;85,208333;null;
2023-02-27;,2;925,408333;25,6;19,05;13,6;78,791667;null;
2023-02-28;,2;925,316667;27,5;20,879167;15,8;65,875;null;
2023-03-01;0;921,725;27,5;20,404167;17;77,791667;null;
2023-03-02;11,8;919,85;27,1;20,545833;16,7;80,833333;null;
2023-03-03;0;919,158333;25,1;20,854167;18,8;81,25;null;
2023-03-04;12,8;917,366667;26,8;20,75;18,8;87;null;
2023-03-05;55;917,945833;21,3;18,2125;16,6;95,625;2,1;
2023-03-06;50,4;916,804167;20;18,058333;16,8;98;1,772727;
2023-03-07;32,6;915,391667;24;19,6625;17,6;91,291667;null;
2023-03-08;17,4;917,945833;28,5;21,520833;18,5;84,125;null;
2023-03-09;,2;921,308333;26,8;21,558333;18;79,083333;null;
2023-03-10;4,8;921,920833;26,9;21,225;17;81,25;null;
2023-03-11;,6;922,095833;26,5;21,295833;17,6;82,208333;null;
2023-03-12;,2;923,295833;26,8;21,320833;17,7;80,791667;null;
2023-03-13;0;923,116667;26,8;21,775;18,4;79,583333;null;
2023-03-14;0;922,708333;27,7;22,004167;18,2;78,083333;null;
2023-03-15;,8;922,45;28,8;22,016667;18,7;78,208333;null;
2023-03-16;0;921,825;28,5;21,845833;17,2;74,833333;null;
2023-03-17;0;922,0375;27,5;21,833333;17,4;78,041667;null;
2023-03-18;0;922,108333;27,9;21,995833;17,5;78,833333;null;
2023-03-19;0;920,816667;28,8;21,6125;17;70,958333;null;
2023-03-20;0;920,879167;28,3;22,066667;18,9;72,333333;null;
2023-03-21;1,2;922,958333;24,7;20,458333;17,9;91,041667;null;
2023-03-22;0;924,483333;25,8;20,779167;18,3;87;null;
2023-03-23;0;923,275;28,3;21,245833;18,9;83,791667;null;
2023-03-24;10,4;923,125;24,5;19,916667;17,8;91,875;null;
2023-03-25;0;920,495833;26,7;20,083333;16,2;86,041667;null;
2023-03-26;20,2;920,170833;20,5;17,766667;16,1;92,791667;3,355556;
2023-03-27;3,8;923,620833;20,7;16,3625;13,7;88,75;null;
2023-03-28;0;921,004167;26,9;18,420833;13,3;80,833333;null;
2023-03-29;0;919,7375;27,2;20,783333;17,4;83,708333;null;
2023-03-30;5;921,166667;22,7;18,795833;16;84,75;null;
2023-03-31;0;921,379167;25,6;20,1375;15,1;82,125;null;
2023-04-01;7,2;922,258333;21,6;13,529167;8,6;78;null;
2023-04-02;0;922,866667;20,1;15,158333;10,5;82,5;null;
2023-04-03;0;920,729167;25,2;17,0125;11,9;77,833333;null;
2023-04-04;0;920,425;24;17,966667;14,8;82,583333;null;
2023-04-05;0;922,629167;20;16,370833;13,1;91,791667;null;
2023-04-06;0;923,070833;16,1;15,179167;14,9;90,416667;null;
2023-04-07;3,2;922,129167;19,8;15,291667;13,2;92,333333;null;
2023-04-08;26,8;923,329167;19,3;15,495833;13,7;94,791667;null;
2023-04-09;0;924,066667;23,2;17,679167;14,1;85,791667;null;
2023-04-10;0;924,475;25,5;19,1625;15,2;81,666667;null;
2023-04-11;0;922,004167;26,8;20,191667;15,7;76,458333;null;
2023-04-12;0;919,008333;27,2;20,833333;17,5;71,458333;null;
2023-04-13;1,4;918,345833;19,6;15,958333;13,4;89,916667;null;
2023-04-14;18;921,229167;14,4;13,091667;12,3;98,875;1,375;
2023-04-15;7,8;922,708333;20,6;14,975;12,2;96,208333;null;
2023-04-16;1,4;919,841667;22,4;17,4;14,7;90,625;null;
2023-04-17;47;914,4875;17,5;15,458333;15,4;95,375;null;
2023-04-18;,2;911,8125;18,1;13,620833;10,4;83,75;null;
2023-04-19;,2;912,316667;13,9;10,016667;8,4;72,083333;null;
2023-04-20;1,4;921,291667;15,4;9,445833;6,4;83,375;null;
2023-04-21;0;924,691667;20,7;13,0375;7,2;80,916667;null;
2023-04-22;,2;925,420833;21,4;15,320833;11,4;76,916667;null;
2023-04-23;0;926,1125;22,4;16,425;12,1;72,541667;null;
2023-04-24;0;925,808333;23;17,545833;14;76,416667;null;
2023-04-25;0;923,554167;22,4;17,029167;13,6;80,041667;null;
2023-04-26;11,2;919,6125;19,7;16,066667;14,6;91,625;null;
2023-04-27;7;920,241667;17,6;14,45;13;90,25;null;
2023-04-28;0;922,854167;19,4;13,704167;9,5;84,958333;null;
2023-04-29;,2;923,170833;22,4;15,270833;10,1;79,541667;null;
2023-04-30;0;922,1125;22,7;16,775;12,4;78,333333;null;
2023-05-01;0;921,8625;22,5;16,8875;13,5;85,833333;null;
2023-05-02;,6;921,266667;17,1;15,5125;14,8;98;null;
2023-05-03;14,4;921,070833;17;15,008333;13,7;98,666667;1,119048;
2023-05-04;14,8;921,616667;18,3;16,883333;14,3;97,458333;null;
2023-05-05;13,4;924,504167;17,7;16,508333;15,9;97,041667;1,283333;
2023-05-06;54,8;923,908333;22,5;18,554167;16,2;92,083333;null;
2023-05-07;6;921,304167;25;20,65;16,7;83,166667;null;
2023-05-08;8,6;922,166667;21;15,175;14,6;93,083333;null;
2023-05-09;,4;924,470833;17,9;12,3875;8;85,166667;null;
2023-05-10;,2;923,570833;16;11,341667;8,3;88,083333;null;
2023-05-11;0;922,7875;13;10,191667;8,6;83,25;null;
2023-05-12;,6;924,733333;14,2;10,525;8,6;87,875;null;
2023-05-13;,2;923,920833;17;10,483333;6,2;83,5;null;
2023-05-14;,2;924,858333;18,2;13,129167;8,6;72,5;null;
2023-05-15;0;925,4125;19,2;13,879167;9,1;72,208333;null;
2023-05-16;0;925,375;16,8;12,529167;8,3;84,375;null;
2023-05-17;0;924,433333;24,7;14,858333;8;67;null;
2023-05-18;,2;925,3125;24,8;16,416667;11,4;58,916667;null;
2023-05-19;0;923,9625;24,8;16,670833;9,5;56,208333;null;
2023-05-20;0;923,241667;21,7;15,691667;10,4;59,375;null;
2023-05-21;0;921,5125;17,1;14,329167;12,1;81,916667;null;
2023-05-22;,2;922,408333;18,7;15,579167;12,2;81,791667;null;
2023-05-23;0;924,754167;24;17,5;12,6;78,25;null;
2023-05-24;0;924,408333;24;18,175;14,2;65,625;null;
2023-05-25;0;924,245833;23,6;17,4875;13,1;69,458333;null;
2023-05-26;0;921,6375;22,3;17,754167;14,6;74,958333;null;
2023-05-27;8;922,7875;19,2;15,704167;14,2;90,791667;null;
2023-05-28;29;926,75;12,9;9,604167;8,2;96,916667;null;
2023-05-29;,8;926,429167;13,7;9,4625;5,7;92,083333;null;
2023-05-30;0;925,804167;17,5;12,733333;9,2;85,5;null;
2023-05-31;0;925,354167;19;13,520833;10,2;85,125;null;
2023-06-01;,2;926,270833;19,9;13,7875;9,2;80,833333;null;
2023-06-02;,2;925,025;21,7;14,9625;10,3;74,541667;null;
2023-06-03;0;923,333333;20,8;15,545833;11,1;59,708333;null;
2023-06-04;0;925,316667;20,5;14,708333;10,3;83,416667;null;
2023-06-05;1,8;926,983333;16,3;13,475;12,1;97,166667;null;
2023-06-06;1,8;925,370833;21,3;13,604167;8,8;88,791667;null;
2023-06-07;0;925,25;21,2;15,629167;10,8;79,458333;null;
2023-06-08;0;924,45;22,8;16,466667;12,5;76,916667;null;
2023-06-09;0;921,170833;22,3;17,216667;12,6;65,916667;null;
2023-06-10;0;918,529167;24;18,770833;15,6;66,5;null;
2023-06-11;32,4;920,0125;20,2;8,341667;6,8;98,5;1,519048;
2023-06-12;3,6;925,883333;6,7;4,516667;2,2;92,833333;null;
2023-06-13;0;930,3125;8,2;4,445833;,8;89,166667;null;
2023-06-14;7,6;928,625;9,7;8,183333;4,8;99;1,008333;
2023-06-15;32,4;922,554167;12,3;10,633333;7,8;99;1,533333;
2023-06-16;117,8;918,883333;11,8;10,170833;9,9;97;4,445833;
2023-06-17;16,2;926,354167;9,2;8,054167;7,5;87,666667;null;
2023-06-18;0;927,245833;10,8;6,9375;5;82,625;null;
2023-06-19;,2;927,043478;18,4;8,352174;,9;77,086957;null;
2023-06-20;0;925,679167;17,6;11,2;5,3;71,833333;null;
2023-06-21;0;922,654167;14,8;11,904167;9,7;81,291667;null;
2023-06-22;5,2;919,9875;17,6;14,308333;11,1;91,041667;null;
