Nome: CAPAO DO LEAO (PELOTAS)
Codigo Estacao: A887
Latitude: -31.8025
Longitude: -52.40722222
Altitude: 13
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;0;1009,704167;31,3;25,883333;18,9;75,666667;3,645833;
2023-01-02;0;1004,583333;33;26,983333;23,4;69,583333;3,645833;
2023-01-03;,4;1007,729167;29,7;22,970833;17,4;64,208333;2,983333;
2023-01-04;0;1009,204167;33,6;23,954167;17,2;62,333333;2,433333;
2023-01-05;0;1013,741667;30,1;23,391667;17,4;73,333333;2,825;
2023-01-06;0;1018,05;28,6;23,55;18,3;68,375;3,916667;
2023-01-07;0;1020,75;28,7;23,945833;19,7;67;4,416667;
2023-01-08;3,6;1018,941667;27,7;23,325;20;72,916667;3,875;
2023-01-09;0;1014,841667;28,9;23,520833;18,1;70,666667;4,0625;
2023-01-10;0;1011,85;29,1;23,904167;18,8;75,375;3,708333;
2023-01-11;0;1008,658333;33;25,395833;18,6;75;2,475;
2023-01-12;0;1005,245833;33,2;26,004167;21,9;71,875;3,295833;
2023-01-13;20;1006,3;25,6;22,156522;20,9;91,565217;2,095652;
2023-01-14;22,2;1007,9875;27,9;22,916667;19,9;74,708333;3,645833;
2023-01-15;0;1012,979167;30,8;23,929167;18,7;70,416667;2,245833;
2023-01-16;0;1013,65;30,2;23,708333;17,5;77,416667;2,220833;
2023-01-17;0;1015,1875;30,2;24,191667;19,1;79,916667;3,395833;
2023-01-18;0;1018,047826;27,8;24,173913;21,3;76,565217;4,252174;
2023-01-19;0;1016,725;27,7;24,591667;22;75,5;3,883333;
2023-01-20;,2;1011,129167;28,9;24,8875;20,4;79,875;4,495833;
2023-01-21;0;1004,852174;30,5;26,030435;22,2;79,26087;2,365217;
2023-01-22;0;1003,641667;34,4;26,6625;20,6;68,833333;2,45;
2023-01-23;0;1007,4;33,7;25,266667;19;67,5;2,308333;
2023-01-24;0;1007,916667;31,4;24,4875;18,5;76,625;2,391667;
2023-01-25;0;1009,179167;32,5;25,616667;19,1;77;3,066667;
2023-01-26;0;1009,483333;28,7;25,7625;23,1;81;4,05;
2023-01-27;0;1008,478261;34;26,426087;19,2;74,565217;2,404348;
2023-01-28;0;1010,075;33,4;25,679167;22,7;83,916667;2,120833;
2023-01-29;24,8;1011,15;29,4;24,325;20,8;83,041667;3,4125;
2023-01-30;,2;1007,841667;31;25,0375;20,1;77,916667;2,3875;
2023-01-31;0;1006,745833;32;25,35;20,4;81,458333;2,05;
2023-02-01;14;1009,929167;31,2;25,454167;21,5;82,708333;2,1375;
2023-02-02;,2;1011,191667;28;24,333333;21,1;84,25;2,325;
2023-02-03;4,2;1007,7875;27,1;23,579167;21,5;85,916667;3,304167;
2023-02-04;0;1008,595833;27,8;22,670833;20;76,916667;4,954167;
2023-02-05;0;1009,095833;26;21,716667;18,8;82,375;4,041667;
2023-02-06;5,2;1010,158333;31,8;24,129167;17,6;73,291667;2,129167;
2023-02-07;0;1011,675;31,8;24,729167;17,7;72,375;2,579167;
2023-02-08;0;1010,295833;33,1;25,979167;20,2;71,875;3,95;
2023-02-09;53,2;1010,25;31,9;24,983333;19,8;75,208333;2,8125;
2023-02-10;0;1010,529167;32,3;26,375;19,9;77,458333;2,525;
2023-02-11;0;1010,908333;33,3;26,583333;20,2;74,833333;2,608333;
2023-02-12;0;1009,575;31,6;26,175;20,5;71,75;3,0875;
2023-02-13;0;1005,7;39,1;28,704167;21,8;69,041667;3,4375;
2023-02-14;2,2;1003,856522;30,3;24,952174;23,7;79,217391;2,621739;
2023-02-15;,8;1005,429167;26,6;23,104167;20,7;81,833333;2,845833;
2023-02-16;0;1000,870833;30,2;23,558333;18,9;81,916667;2,8125;
2023-02-17;3,6;1003,475;22;19,366667;16,2;66;5,204167;
2023-02-18;,2;1016,870833;23;16,475;11,1;53,083333;4,616667;
2023-02-19;0;1021,179167;24,2;17,1625;10;66,5;2,720833;
2023-02-20;0;1016,525;25,8;21,416667;16,4;78,833333;2,416667;
2023-02-21;10,6;1014,679167;26,3;22,1625;18,2;85,041667;2,095833;
2023-02-22;3,6;1016,504167;27,5;21,95;16,4;79,958333;2,425;
2023-02-23;0;1014,0875;28,8;23,579167;19,5;80,708333;3,866667;
2023-02-24;0;1010,641667;28;24,033333;22;82,583333;3,395833;
2023-02-25;1;1004,975;27,6;22,645833;20,1;83,375;2,033333;
2023-02-26;20,4;1009,495833;31,6;23,6125;17,7;76,875;2,795833;
2023-02-27;0;1017,575;27,6;23,229167;19,4;79,583333;2,825;
2023-02-28;0;1016,225;32,5;25,083333;20,9;80,166667;3,05;
2023-03-01;3,4;1012,141667;31,9;25,433333;21,1;78,208333;3,575;
2023-03-02;0;1009,604167;31,4;25,7625;21,5;80,25;2,558333;
2023-03-03;0;1009,116667;28,7;24,325;20,6;88,875;2,170833;
2023-03-04;5;1007,895833;25,1;23,004167;22,1;93,708333;2,029167;
2023-03-05;32,2;1011,270833;27,7;23,133333;20,1;84,333333;2,825;
2023-03-06;0;1011,475;25,3;21,779167;17,5;90,375;2,766667;
2023-03-07;1;1006,7625;29;25,229167;22,1;85,208333;3,070833;
2023-03-08;,2;1007,008333;30,6;25,220833;22,1;86,166667;1,854167;
2023-03-09;0;1011,583333;31,3;25,325;21,1;87,333333;2,0625;
2023-03-10;0;1013,3125;30,2;25,291667;21,4;85,416667;2,4;
2023-03-11;0;1013,691667;30,2;25,758333;21,2;84;3,179167;
2023-03-12;0;1015,545833;29,9;25,683333;22,1;84,5;3,5625;
2023-03-13;0;1015,116667;30,8;26,458333;22,4;81,333333;4,170833;
2023-03-14;0;1013,769565;31,5;27,06087;23,7;78,478261;4,608696;
2023-03-15;0;1012,745833;32,1;27,445833;23,9;76,5;4,691667;
2023-03-16;0;1011,958333;32,6;27,104167;23,7;76,458333;5,15;
2023-03-17;0;1012,1625;33,5;25,933333;22,8;84,208333;2,6875;
2023-03-18;22,8;1013,181818;30,7;25,695455;22;85,227273;2,168182;
2023-03-19;,2;1011,275;31,8;26,341667;22,1;81,833333;1,9;
2023-03-20;0;1010,743478;30,7;24,986957;22,1;81,565217;2,078261;
2023-03-21;,2;1015,786957;25,1;22,608696;20,7;78;1,917391;
2023-03-22;,2;1017,908333;26,4;22,9125;20,4;80,5;3,091667;
2023-03-23;26,4;1015,870833;24,6;22,658333;20,7;89;3,4125;
2023-03-24;3,6;1015,2375;28,1;23,0625;20,4;89,041667;1,995833;
2023-03-25;,2;1010,570833;23,3;22,241667;20,9;94,666667;2,995833;
2023-03-26;24,8;1010,7375;26,1;22,1375;19,6;81,625;5,65;
2023-03-27;0;1016,85;25,6;20,091667;16,3;76,916667;2,704167;
2023-03-28;0;1012,95;27;20,870833;13,9;76,5;2,691667;
2023-03-29;0;1008,6875;31,8;24,529167;19;79,291667;1,920833;
2023-03-30;18,4;1012,170833;27;23,504167;21,3;87,125;2,429167;
2023-03-31;0;1012,645833;29,5;22,095833;19,7;87,5;2,879167;
2023-04-01;0;1016,175;23,2;17,183333;12,1;69,541667;5,391667;
2023-04-02;0;1016,375;24,6;18,220833;13,3;78,416667;2,125;
2023-04-03;0;1013,5875;25,5;18,633333;12,8;82,125;2,0875;
2023-04-04;0;1013,316667;24,6;20,445833;17;84,083333;2,020833;
2023-04-05;0;1016,8;25,4;19,958333;16;80,958333;2,604167;
2023-04-06;2,6;1017,766667;24;20,195833;17,6;80,791667;2,670833;
2023-04-07;,6;1017,083333;23,8;19,116667;14,6;80,75;2,229167;
2023-04-08;0;1017,945833;24,3;19,583333;15,3;81,166667;2,370833;
2023-04-09;0;1017,445833;25,9;19,783333;14,5;87,125;2,245833;
2023-04-10;0;1016,345833;28,3;22,05;18,1;87,208333;1,9;
2023-04-11;0;1012,583333;28,2;23,145833;19,7;88,75;1,866667;
2023-04-12;0;1008,483333;23,2;20,595833;18;88,416667;2,1625;
2023-04-13;13,8;1012,6;21,2;17,770833;14,7;77,625;3,333333;
2023-04-14;0;1016,820833;21,9;15,616667;11,3;75,958333;2,479167;
2023-04-15;0;1018,079167;20,7;16,741667;12,6;81,666667;2,3875;
2023-04-16;4,8;1013,241667;22,7;19,266667;16,9;92,166667;2,529167;
2023-04-17;0;1007,7125;22;17,495833;15;85,208333;3,529167;
2023-04-18;0;1003,683333;22,8;16,179167;10,7;72,875;2,645833;
2023-04-19;,2;1003,575;17,7;13,954167;11,4;62,625;4;
2023-04-20;0;1015,104167;21;14,883333;10,4;72,041667;4,0625;
2023-04-21;0;1018,5375;22,5;15,2625;8,1;83,416667;2,291667;
2023-04-22;0;1018,0875;25,7;17,8;12;83,833333;1,545833;
2023-04-23;0;1020,116667;23,6;17,508333;12,9;90,875;1,783333;
2023-04-24;0;1018,979167;26;20,9875;14,5;87,041667;3,008333;
2023-04-25;,2;1015,133333;25,3;21,716667;20,3;83,958333;3,441667;
2023-04-26;1,2;1011,7375;23,8;19,5125;17,5;88,791667;1,629167;
2023-04-27;,4;1012,616667;24,2;19,366667;16,9;82,583333;2,704167;
2023-04-28;0;1015,491667;25,5;17,579167;10,1;80,708333;1,445833;
2023-04-29;,2;1015,316667;25,3;18,308333;12,7;80,833333;2,7375;
2023-04-30;0;1012,116667;29,4;21,179167;16,1;77,375;2,683333;
2023-05-01;0;1013,983333;21,7;18,1;17,6;86,875;2,9375;
2023-05-02;23,2;1017,095833;16,9;14,804167;13;94,375;2,3125;
2023-05-03;null;null;17,8;null;14,1;95,058824;null;
2023-05-04;null;1016,05;20,5;18,008333;15,6;97,333333;2,4125;
2023-05-05;2,8;1017,313043;20,2;19,926087;18;97,347826;3,3;
2023-05-06;31,2;1014,821739;21,2;20,256522;19,4;97,347826;2,717391;
2023-05-07;28,4;1012,458333;20,7;20,170833;19,7;98,625;1,95;
2023-05-08;33,6;1013,954167;22,2;17,7625;14,6;78,958333;3,891667;
2023-05-09;0;1016,8375;21,4;16,166667;12,4;83,166667;2,408333;
2023-05-10;0;1017,175;20,2;15,333333;12,2;80,083333;2,65;
2023-05-11;0;1017,920833;19;13,570833;9,7;85,041667;3,870833;
2023-05-12;,8;1020,2875;20;14,258333;10,3;79,75;1,795833;
2023-05-13;0;1017,233333;21,6;14,670833;7,9;74,875;1,616667;
2023-05-14;0;1016,9875;23,6;18,1375;11,7;71,625;2,5625;
2023-05-15;0;1017,416667;24,8;17,204167;11,1;79,833333;2,441667;
2023-05-16;0;1019,358333;21,1;15,545833;10,3;84,875;1,575;
