Nome: SERAFINA CORREA
Codigo Estacao: A894
Latitude: -28.70472222
Longitude: -51.87083332
Altitude: 485.29
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;0;955,645833;35;25,9375;18,2;60,875;1,0375;
2023-01-02;2,2;952,779167;30,1;25,095833;21,1;73,083333;1,791667;
2023-01-03;3,2;952,154167;29,7;23,508333;18,8;72,083333;1,229167;
2023-01-04;0;954,508333;30,7;23,0375;16,8;56,291667;1,2375;
2023-01-05;0;957,475;31;21,283333;10,8;54,958333;1;
2023-01-06;0;960,5875;31,2;22,241667;12,7;53,416667;1,229167;
2023-01-07;0;962,816667;30,9;21,995833;11,4;53,666667;1,358333;
2023-01-08;0;961,304167;30,8;22,9625;14;54,708333;1,2875;
2023-01-09;0;958,016667;32,3;23,308333;14,3;60,208333;1,133333;
2023-01-10;0;956,795833;33;21,620833;16,2;72,75;1,3375;
2023-01-11;11;955,3875;32,8;21,8375;12,9;70,458333;,979167;
2023-01-12;,2;952,883333;33,9;23,358333;15,7;69,208333;1,391667;
2023-01-13;0;951,708333;29,1;21,354167;17,2;82,791667;1,395833;
2023-01-14;18;953,8375;28;21,545833;17;79,833333;1,283333;
2023-01-15;,2;957,179167;24,6;21,566667;19,4;88,083333;,779167;
2023-01-16;1,8;957,4375;31,2;24,241667;19,8;78,25;,9875;
2023-01-17;,2;958,308333;33,5;24,7125;18,2;75,666667;1,079167;
2023-01-18;22,6;960,4375;31,5;23,991667;18,8;78,833333;1,0625;
2023-01-19;,2;959,645833;32,9;24,125;18,9;75,416667;,933333;
2023-01-20;0;955,241667;32,1;23,7625;16,6;72,125;1,058333;
2023-01-21;0;951,545833;33,3;24,870833;19,2;70,75;1,8625;
2023-01-22;,8;950,820833;32,8;23,966667;19,4;77,166667;1,529167;
2023-01-23;1,4;953,35;31,9;21,9;18,9;84,083333;1;
2023-01-24;21,4;953,3125;33,7;23,241667;14,2;69,25;1,041667;
2023-01-25;,2;954,204167;35,1;24,879167;17,1;64,166667;1,129167;
2023-01-26;0;954,579167;34,8;25,370833;18,6;65,208333;1,6;
2023-01-27;0;955,2875;34,2;25,729167;19,3;59,458333;1,545833;
2023-01-28;0;955,925;36;25,545833;18,6;66,166667;1,2625;
2023-01-29;0;955,7375;31,2;24,625;20,2;73,416667;1,295833;
2023-01-30;0;953,091667;33,2;24,35;17,4;68,125;1,083333;
2023-01-31;0;952,895833;31,9;24,420833;19,5;73,25;1,575;
2023-02-01;0;954,845833;33,9;25,183333;18,1;70,166667;,995833;
2023-02-02;0;954,975;33,5;24,866667;18;72,833333;,995833;
2023-02-03;6,8;952,825;27,7;22,129167;20,6;89,166667;,970833;
2023-02-04;10,2;954,575;28,7;22,125;18;78,083333;1,341667;
2023-02-05;,2;956,279167;29;20,65;12,1;64,375;1,7875;
2023-02-06;0;956,191667;31,1;21,554167;12,3;64,166667;,745833;
2023-02-07;0;956,716667;34,1;22,629167;13,1;62,916667;,85;
2023-02-08;0;956,029167;33,9;24,1;16,1;63,458333;1,041667;
2023-02-09;4;956,675;27,9;21,804167;18;81,375;1,041667;
2023-02-10;2,4;956,3375;32,4;23,7;18,5;75,958333;1,058333;
