Nome: CHAPECO
Codigo Estacao: A895
Latitude: -27.0853111
Longitude: -52.6357111
Altitude: 679
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;0;935,045833;33,4;27,466667;22,4;54,708333;3,575;
2023-01-02;60,4;933,120833;28,7;23,4625;19,1;76,333333;3,504167;
2023-01-03;1,2;931,747826;27,6;21,73913;20,4;89,26087;2,221739;
2023-01-04;null;933,257143;27,3;null;17,4;68,238095;3,409524;
2023-01-05;0;935,986957;28,2;22,921739;16,8;48,26087;3,952174;
2023-01-06;0;938,591667;27,7;22,433333;16,4;46,833333;3,6625;
2023-01-07;0;940,395833;27,5;21,916667;16;55,75;3,9375;
2023-01-08;0;939,383333;28,2;22,275;16,2;54,541667;2,85;
2023-01-09;0;936,665217;29,8;23,321739;17,5;52,352941;2,621739;
2023-01-10;0;935,630435;29;23,178261;20,1;67,217391;3,395652;
2023-01-11;null;934,604545;30,6;23,147826;16,2;66,454545;2,727273;
2023-01-12;0;932,604545;28,8;23,954545;20,1;69,227273;2,863636;
2023-01-13;0;931,386364;26,2;21,104545;19;80,363636;3,75;
2023-01-14;4,8;933,179167;26,4;20,975;17,3;83,333333;2,491667;
2023-01-15;1,2;935,629167;28,2;22,8375;19,4;81,916667;2,379167;
2023-01-16;,2;936,1875;29,7;24,1125;19,3;76,565217;2,0375;
2023-01-17;0;937,213043;31,9;24,03913;21;77,565217;3,069565;
2023-01-18;16;938,65;31,3;23,504545;19,7;80,5;3,277273;
2023-01-19;19,4;937,722727;30,4;23,809091;18,4;75;3,172727;
2023-01-20;0;934,152174;31,2;25,130435;19,7;65,73913;2,93913;
2023-01-21;0;931,440909;30,6;24,772727;21;70,136364;3,590909;
2023-01-22;21,2;931,004545;27,1;23,322727;19,9;80,954545;3,040909;
2023-01-23;0;932,720833;30,3;23,854167;20,3;79,125;2,7375;
2023-01-24;10,6;933,120833;32,3;23,95;17,1;63,041667;2,3875;
2023-01-25;0;933,818182;33,3;27,031818;21;47,772727;2,604545;
2023-01-26;0;933,845833;32,5;27,079167;21,4;49,875;3,054167;
2023-01-27;0;934,613043;32,6;26,595652;20,9;52;2,834783;
2023-01-28;0;935,554167;32,7;26,9625;21,4;54,625;2,8625;
2023-01-29;0;934,873913;29;24,378261;22,5;71,782609;2,743478;
2023-01-30;2,4;932,277273;30,2;23,331818;18,8;76,857143;2,477273;
2023-01-31;,4;932,873913;28,6;23,613043;19,6;75,782609;3,265217;
2023-02-01;0;934,475;31;25,170833;20,7;69,916667;2,208333;
2023-02-02;0;934,247826;29,3;25;22,2;74,304348;2,56087;
2023-02-03;0;932,525;26,9;22,279167;21,7;84,291667;3,0625;
2023-02-04;21,6;934,758333;26,7;20,570833;17,8;86,916667;2,0875;
2023-02-05;6,8;936,233333;26,9;21,625;16,4;66,291667;2,175;
2023-02-06;0;935,665217;28,9;23,373913;16,7;52,130435;2,4;
2023-02-07;0;936,113636;31;24,986364;16,5;49,272727;2,3;
2023-02-08;0;935,5125;31,3;25,5875;19,6;53,291667;2,704167;
2023-02-09;0;935,659091;29,5;24,840909;18,1;61,409091;2,836364;
2023-02-10;0;935,708333;27,5;23,408333;20,6;67,521739;3,070833;
2023-02-11;0;935,509091;31,4;24,186364;17,7;60;2,790909;
2023-02-12;0;934,613043;31,9;26,113043;20,1;52,695652;2,221739;
2023-02-13;0;933,586364;31,4;26,127273;20,9;58,909091;3,672727;
2023-02-14;null;932,827273;26,7;22,904545;22,1;83,136364;3,795455;
2023-02-15;21,2;930,222727;25,8;22,15;18,9;84,181818;3,018182;
2023-02-16;0;927,7375;29,7;22,329167;17,2;80,208333;2,920833;
2023-02-17;27,2;929,378261;22,8;19,952174;18,8;87,086957;3,847826;
2023-02-18;,6;939,869565;21,5;15,043478;8,7;55,695652;3,534783;
2023-02-19;0;939,995652;27,1;18,443478;11,7;64,130435;3,647826;
2023-02-20;0;938,379167;20,3;17,345833;16,9;86,291667;2,9;
2023-02-21;14;936,9125;26,3;19,879167;15,7;82,083333;1,925;
2023-02-22;,2;938,082609;29,5;23,508696;16,8;70,782609;2,904348;
2023-02-23;,8;937,929167;28,8;22,616667;20,3;78,291667;3,783333;
2023-02-24;16,4;934,941667;23,4;19,954167;18,4;89,166667;2,6125;
2023-02-25;2,2;933,46087;27,9;22,491304;18,4;78,956522;3,991304;
2023-02-26;0;936,8375;24,3;21,0875;19,1;76,722222;3,4625;
2023-02-27;0;940,866667;26,9;20,483333;15,2;77,363636;2,975;
2023-02-28;0;940,495833;29,6;22,8;16,8;66,708333;2,754167;
2023-03-01;0;937,545833;28,5;23,166667;19,1;69,375;3,229167;
2023-03-02;0;935,665217;27,5;22,486957;19;79,73913;2,665217;
2023-03-03;16,4;934,783333;23;20,883333;19,7;90,708333;2,916667;
2023-03-04;13;934,245833;27,6;22,070833;20,4;86,333333;3,670833;
2023-03-05;0;934,370833;26,8;21,970833;19,2;80,625;2,7375;
2023-03-06;0;932,786364;26,3;21,25;17,6;79,545455;3,222727;
2023-03-07;1,8;932,129167;29,2;22,75;17,6;76,083333;2,6625;
2023-03-08;,2;934,533333;29,8;22,55;18,7;76,791667;2,891667;
2023-03-09;30,8;937,354167;26,2;21,379167;18,7;83,083333;3,154167;
2023-03-10;0;936,904348;28,9;23,552174;18,4;75,565217;2,2;
2023-03-11;0;936,608696;28,7;24,13913;19,8;70,608696;2,673913;
2023-03-12;0;937,333333;28,5;null;19,3;72,142857;3,066667;
2023-03-13;null;937,431818;27,7;23,718182;19,2;71,454545;3,395455;
2023-03-14;0;937,486957;27;22,691304;21;78,173913;2,843478;
2023-03-15;null;937,355;27,4;null;20,9;79,45;2,675;
2023-03-16;1,2;936,813043;28,9;24,195652;20,3;70,913043;2,373913;
