Nome: S.J. DO RIO CLARO
Codigo Estacao: A903
Latitude: -13.45388888
Longitude: -56.67722221
Altitude: 339.59
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;19;972,3625;32,5;25,8625;21;80,541667;1,220833;
2023-01-02;0;971,908333;29,8;23,929167;21,5;84,958333;1,233333;
2023-01-03;1,6;971,620833;30,1;24,5875;22,3;84,666667;1,8;
2023-01-04;3;972,1625;29,3;23,833333;22,2;88,333333;1,258333;
2023-01-05;10;972,004167;29,8;24,441667;21,7;83,541667;2,2;
2023-01-06;1,6;972,629167;30,8;25,141667;21,9;81,583333;1,3875;
2023-01-07;0;973,3875;32,7;25,529167;21,5;79,75;,995833;
2023-01-08;0;973,779167;30,8;24,9625;22,1;80,833333;1,775;
2023-01-09;,2;973,170833;30,5;24,7125;20,9;80,916667;2,041667;
2023-01-10;0;974,1;30,8;24,904167;21,5;78,541667;2,291667;
2023-01-11;0;974,154167;31,3;24,704167;21,3;82,333333;1,345833;
2023-01-12;1,2;972,620833;32,2;24,804167;22,2;83,791667;1,4375;
2023-01-13;6;972,4125;29,7;23,266667;21,7;88,875;1,520833;
2023-01-14;23,8;973,795833;30,8;24,3875;20,8;83,791667;1,2875;
2023-01-15;5,4;974,283333;31,9;24,741667;21,2;81,875;1,108333;
2023-01-16;,6;972,720833;33,8;25,7875;20,1;77,125;,975;
2023-01-17;89,4;973,004167;30,4;24,104167;20,6;82,291667;,945833;
2023-01-18;,2;973,729167;32,3;24,833333;20,5;79,125;1,079167;
2023-01-19;4;974,875;33,4;24,2875;19,5;79,791667;1,1;
2023-01-20;0;973,779167;33;25,445833;19,6;75,25;1,266667;
2023-01-21;,6;972,066667;31,8;25,1375;21;80,416667;1,683333;
2023-01-22;7,4;971,841667;31,9;25,170833;21,4;79,25;1,708333;
2023-01-23;7,4;972,916667;31,2;25,204167;22,5;82,291667;1,333333;
2023-01-24;22;972,9125;28,9;23,725;21,3;87,5;1,545833;
2023-01-25;9,8;971,425;30,6;24,2;21;86,75;,75;
2023-01-26;12,8;971,020833;30,7;23,7125;21,6;87,541667;1,5625;
2023-01-27;12,8;971,2375;29,5;23,795833;21,5;86,75;1,866667;
2023-01-28;10,4;972,9375;29,1;22,858333;21,2;89,666667;1,683333;
2023-01-29;11,8;973,291667;30,3;24,5625;21,2;80,833333;1,7375;
2023-01-30;6,2;972,041667;32,2;25,495833;21,8;76,833333;1,845833;
2023-01-31;50,8;972,3;29,2;24,504167;21;83,625;1,4625;
2023-02-01;,4;972,645833;32,6;25,925;21,2;77,208333;,666667;
2023-02-02;0;972,741667;33,3;26,55;21,8;74,75;1,375;
2023-02-03;6,6;973,5125;33,3;26,2125;21,2;78,916667;1,1375;
2023-02-04;18;976,041667;27;23,558333;20,5;85,583333;1,25;
2023-02-05;24,2;974,629167;33,5;26,375;20,5;71,416667;,916667;
2023-02-06;13,6;973,945833;31,6;24,4625;21,8;83,583333;1,4625;
2023-02-07;17,6;973,370833;33,1;24,916667;21,3;80,291667;,970833;
2023-02-08;0;972,433333;33,2;26,5125;22,3;73,666667;1,008333;
2023-02-09;7,6;972,870833;33,7;26,120833;21;76,125;1,545833;
2023-02-10;0;972,6125;32,9;26;21,2;75,125;1,075;
2023-02-11;0;971,629167;35,2;26,358333;22;77,625;,933333;
2023-02-12;16,8;971,375;33,9;26,85;22,1;74,333333;1,054167;
2023-02-13;18,8;971,341667;34,2;26,670833;21,8;74,791667;1,304167;
2023-02-14;0;970,966667;35,1;28,520833;22,4;68,458333;,9625;
2023-02-15;,4;971,3;32,5;26,241667;23;77,666667;1,525;
2023-02-16;0;969,708333;33,4;26,566667;22;73,375;1,95;
2023-02-17;,2;970,4375;32;24,554167;21,7;83,791667;1,795833;
2023-02-18;13,8;973,141667;28,8;23,379167;22,4;90,75;1,370833;
2023-02-19;null;971,805556;30,5;null;21,7;78,277778;,9;
2023-02-20;2,4;972,295833;27,1;23,758333;22;87,5;1,241667;
2023-02-21;7,8;973,570833;28,6;23,641667;21;84,5;1,233333;
2023-02-22;1,6;975,129167;29,5;24,475;21,8;85,25;,954167;
2023-02-23;6,8;975,6875;32,2;25,6625;20,8;76,208333;1,254167;
2023-02-24;0;973,716667;34,7;26,808333;22,4;74,208333;1,033333;
2023-02-25;0;973,583333;31,7;25,175;22,2;80,458333;1,6125;
2023-02-26;1,2;973,845833;33,7;26,416667;21,2;73,083333;,995833;
2023-02-27;1;974,508333;35,1;26,920833;22,1;74,541667;1,158333;
2023-02-28;4;975,4875;32,4;25,975;22,1;78,666667;,958333;
2023-03-01;0;974,404167;34,2;26,491667;20,7;71,791667;1,229167;
2023-03-02;3,4;972,2875;34,8;27,6125;22,5;69,875;1,154167;
2023-03-03;17,2;972,9125;32,3;25,633333;21,3;75,958333;1,366667;
2023-03-04;0;972,854167;33,2;26,516667;21,9;73,583333;1,104167;
2023-03-05;42,2;972,875;33,2;26,8875;22,1;76,833333;1,425;
2023-03-06;13,2;971,375;33,8;26,9625;22,1;76,333333;1,554167;
2023-03-07;0;971,629167;33;26,683333;22,7;76,083333;1,775;
2023-03-08;26,2;972,6625;27;24,175;21,3;87,333333;1,104167;
2023-03-09;3,8;973,308333;31,6;25,466667;21,2;78,375;1,416667;
2023-03-10;0;972,875;33,6;25,833333;22,5;79,583333;1,1;
2023-03-11;12,6;973,734783;25,5;23,352174;22,7;91,73913;,552174;
2023-03-12;16,4;973,941667;28,8;23,8625;22,4;88,875;,970833;
2023-03-13;14;974,358333;29;23,933333;21,3;83,458333;1,883333;
2023-03-14;0;974,566667;30,7;24,104167;20,8;82,125;1,45;
2023-03-15;4,2;973,3375;31,2;24,820833;21,6;83,375;,779167;
2023-03-16;0;971,7625;33,8;24,825;21,2;84,208333;,804167;
2023-03-17;24,4;971,458333;31,5;24,741667;21,3;82,958333;,975;
2023-03-18;77,6;971,4;28,6;23,2875;21,4;90,541667;1,058333;
2023-03-19;19,8;972,045833;28,8;24,025;21,6;83,625;2,004167;
2023-03-20;2,6;971,875;27;23,45;22,2;90,041667;1,266667;
2023-03-21;23,4;972,216667;28,4;23,2625;21,3;89,166667;1,1;
2023-03-22;4,6;973,495833;28,1;23,720833;21,1;88,541667;,916667;
2023-03-23;13,2;974,9875;27,6;22,7625;21;89,833333;,9625;
2023-03-24;13,8;974,529167;31,7;24,483333;20,1;81,5;,833333;
2023-03-25;0;973,595833;33,7;26,645833;21,1;76,458333;,716667;
2023-03-26;,2;973,975;33,6;26,866667;22,2;76,916667;,716667;
2023-03-27;3,6;973,666667;33,8;26,504167;21,4;76,208333;,995833;
2023-03-28;6,4;973,241667;31,9;25,6125;21,6;80,625;,879167;
2023-03-29;0;973,083333;31,4;24,3875;21,5;86,5;1,004167;
2023-03-30;23,8;974,2875;33,7;25,725;21,4;78,5;,7625;
2023-03-31;,2;974,045833;34;26,3125;20,2;77,458333;,595833;
2023-04-01;0;973,425;34,1;25,520833;21,2;81,458333;,7375;
2023-04-02;10,2;973,091667;30,2;24,6125;21,6;84,916667;1,129167;
2023-04-03;0;973,358333;29,5;24,4625;21,8;84,125;1,379167;
2023-04-04;1,8;972,025;32,3;25,208333;21;80,416667;,691667;
2023-04-05;0;971,204167;31,9;25,541667;21,2;80,083333;,9875;
2023-04-06;69,8;972,670833;28,2;23,4625;21,2;87,25;1,445833;
2023-04-07;2,2;972,875;31,9;24,045833;20,9;86,458333;,65;
2023-04-08;11;973,954167;31,4;25,2625;22;83,541667;,75;
2023-04-09;1,2;974,675;31,3;24,8875;21,8;86,166667;,675;
2023-04-10;4,4;974,825;33;25,954167;22,2;81,125;,641667;
2023-04-11;59,4;974;30,3;23,420833;21,3;89,041667;,879167;
2023-04-12;,2;972,245833;32,3;25,283333;20,3;80,875;,925;
2023-04-13;,2;971,141667;32,9;25,929167;20,7;78,625;,983333;
2023-04-14;0;971,4625;32,7;26,033333;23;81,666667;,920833;
2023-04-15;5;972,925;32,8;26,225;22,5;82,083333;,804167;
2023-04-16;0;972,5875;33;25,475;22,6;86,791667;,5;
2023-04-17;13,8;970,275;32,4;26,404167;21,6;79,541667;1,204167;
2023-04-18;0;969,716667;32,6;26,595833;21,9;76,541667;1,704167;
2023-04-19;0;972,354167;32,4;25,066667;22,8;85,75;1,320833;
2023-04-20;10,6;974,945833;28,8;24,320833;21,9;84,75;,729167;
