Nome: GUARANTA DO NORTE
Codigo Estacao: A906
Latitude: -9.9525
Longitude: -54.89777777
Altitude: 283.58
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;,4;978,55;31,5;25,741667;21,7;86,291667;,658333;
2023-01-02;2,8;978,041667;31;25,529167;23,1;87,583333;1,095833;
2023-01-03;17,2;978,675;30,8;24,6625;22;88,75;,75;
2023-01-04;5;979,15;30,3;24;21,3;90,208333;,583333;
2023-01-05;3;979,170833;32;24,445833;22,7;91,041667;,529167;
2023-01-06;16,4;980,395833;27,5;23,9375;22;88,875;,591667;
2023-01-07;0;980,766667;31,5;24,891667;22,5;85,833333;,983333;
2023-01-08;4;981,054167;30,3;23,533333;21,6;90,25;,508333;
2023-01-09;,8;979,779167;32;25,354167;21,9;82,958333;,6125;
2023-01-10;1,4;981,016667;30,1;24,745833;21,9;85,791667;,729167;
2023-01-11;,2;980,608333;32,7;25,5375;21,9;83,5;,575;
2023-01-12;1,4;979,004167;29,4;23,7;22,4;92;,354167;
2023-01-13;7,2;978,895833;30,4;23,033333;20,7;92,333333;,629167;
2023-01-14;1,2;980,045833;30,7;24,5375;21,1;85,833333;,8625;
2023-01-15;3,2;980,570833;31,4;24,745833;21,1;86;,604167;
2023-01-16;2,4;978,904167;31,4;24,383333;20,8;88,458333;,520833;
2023-01-17;0;978,8625;30;23,475;20;87,833333;,666667;
2023-01-18;0;980,020833;30,9;24,416667;20;84,75;,35;
2023-01-19;,4;981,2;31,4;23,754167;20,8;88,833333;,470833;
2023-01-20;1,4;980,170833;32,3;25,058333;21,1;81,791667;,820833;
2023-01-21;0;978,7625;33;25,325;22,2;82,125;,716667;
2023-01-22;0;978,866667;31,5;24,1125;22;88,958333;,641667;
2023-01-23;0;979,458333;33,2;25,529167;22,2;83,583333;,675;
2023-01-24;1;979,166667;31,1;25,158333;21,9;85,458333;,616667;
2023-01-25;1,4;978,120833;27,5;23,904167;21,7;90,958333;,866667;
2023-01-26;,6;977,3875;31,2;24,8;21,6;86,333333;,920833;
2023-01-27;,6;978,458333;27;23,425;20,5;90,291667;,645833;
2023-01-28;,2;979,35;30,2;24,191667;21;89,083333;,583333;
2023-01-29;1,2;979,083333;32;24,7625;20,2;85,833333;,645833;
2023-01-30;0;978,195833;32,6;25,341667;21;82,791667;,7625;
2023-01-31;0;978,425;31,8;25,329167;22;81,25;1,091667;
2023-02-01;0;979,095833;32,5;25,004167;22,2;85,666667;,679167;
2023-02-02;2,2;979,208333;33,5;26,5375;21,7;78,625;,775;
2023-02-03;0;979,695833;33,1;26,575;23;79,416667;,720833;
2023-02-04;,4;981,75;28,7;23,9;22,2;89,916667;,708333;
2023-02-05;0;980,804167;32,2;24,504167;22,1;88,5;,320833;
2023-02-06;,6;979,583333;32;24,720833;19,8;86,75;,741667;
2023-02-07;0;979,3125;30;23,858333;20,6;91,041667;,458333;
2023-02-08;0;978,4125;33,5;26,008333;20,6;79,416667;,6;
2023-02-09;0;979,104167;28,8;24,441667;23;90,833333;,65;
2023-02-10;0;978,541667;32,7;25,0875;22;85,833333;,475;
2023-02-11;0;977,6875;30,8;26,1625;23,1;85,458333;,491667;
2023-02-12;,2;977,441667;33,9;26,925;22,8;82,25;,525;
2023-02-13;0;977,233333;35,2;27,525;22,8;78,541667;,7;
2023-02-14;0;976,733333;36,7;28,7125;22,8;73,166667;,420833;
2023-02-15;0;977,6125;34,1;25,733333;23;84;,6625;
2023-02-16;6,4;976,495833;32;25,795833;21,6;85,666667;,695833;
2023-02-17;0;976,841667;26,9;24,45;23,1;91,916667;,420833;
2023-02-18;2,6;978,741667;29,4;24,454167;21,5;89,708333;,845833;
2023-02-19;null;977,495833;31,1;24,8;22,5;88,333333;,75;
2023-02-20;null;978,575;25,8;23,195833;22,9;92,833333;,3875;
2023-02-21;null;979,7625;29;23,720833;21,1;92;,3875;
2023-02-22;null;981,529167;31,9;24,2875;21,9;88,208333;,458333;
2023-02-23;null;981,454167;33,1;25,833333;21,4;80,833333;,829167;
2023-02-24;null;979,2875;34,5;27,295833;22,6;79,375;,308333;
2023-02-25;null;979,65;28,3;24,766667;21,4;88,666667;,525;
2023-02-26;null;979,770833;34;26,7;21,3;81,333333;,391667;
2023-02-27;null;980,254167;33,8;26,775;21,9;79,583333;,8125;
2023-02-28;null;980,95;33;25,454167;22,8;86,25;,3875;
2023-03-01;null;980,120833;34,5;26,204167;21,2;82,5;,579167;
2023-03-02;null;978,591667;33,9;26,166667;23,5;84,166667;,991667;
2023-03-03;null;978,4;34,1;25,8375;22,8;82,958333;,666667;
2023-03-04;null;978,658333;35,2;25,754167;21,4;81,958333;,5;
2023-03-05;null;978,6875;34,8;26,833333;22,3;78,916667;,591667;
2023-03-06;null;977,983333;27,8;24,879167;23,2;89,375;,508333;
2023-03-07;null;978,175;32,3;25,0125;22,3;87,833333;,470833;
2023-03-08;null;979,104167;27,7;23,966667;22,9;91,166667;,6875;
2023-03-09;null;979,341667;32;25,3375;22;84,958333;,508333;
2023-03-10;null;979,291667;30,3;24,433333;22,8;92,291667;,370833;
2023-03-11;null;978,866667;31,3;24,5125;22,7;89,291667;,466667;
2023-03-12;null;979,870833;27,1;23,8625;22;91;,433333;
2023-03-13;null;980,3375;30,3;24,491667;21,9;89,625;,620833;
2023-03-14;null;981,029167;28,9;24,625;22,9;87,416667;,445833;
2023-03-15;null;979,483333;32,2;25,583333;22,5;83,125;,358333;
2023-03-16;null;978,158333;28,5;24,416667;22,4;90,708333;,170833;
2023-03-17;null;978,045833;30,9;24,879167;23;88,708333;1,233333;
2023-03-18;null;978,6;28,8;23,691667;21,7;90,125;,520833;
2023-03-19;null;979,4625;29,5;23,845833;21,1;88,916667;,954167;
2023-03-20;null;979,175;27,2;23,7;21,9;92,916667;,675;
2023-03-21;null;979,420833;26,7;23,445833;21,4;91,833333;,683333;
2023-03-22;null;979,791667;31,3;24,670833;21,6;84,875;,7625;
2023-03-23;null;980,383333;27,8;23,645833;22,4;92,916667;,575;
2023-03-24;null;979,941667;31,7;24,425;21,9;88,583333;,416667;
2023-03-25;null;979,429167;33,8;25,8375;20,5;81,208333;,575;
2023-03-26;null;979,4125;35,2;27,608333;22,8;76,416667;,5;
2023-03-27;null;979,704167;31,3;25,225;23,3;88,291667;,75;
2023-03-28;null;979,208333;32,2;24,666667;20,8;86,916667;,516667;
2023-03-29;null;979,079167;30,8;24,35;22;91,166667;,716667;
2023-03-30;null;979,7375;32,8;25,8;21,4;84;,529167;
2023-03-31;null;980,15;33,6;25,804167;23,2;83,583333;,695833;
2023-04-01;null;979,691667;32,3;25,091667;21,7;85,916667;,6375;
2023-04-02;null;979,408333;31;23,2625;21,3;90,666667;,529167;
2023-04-03;null;979,6875;28,9;23,620833;21,6;89,583333;,541667;
2023-04-04;null;978,004167;32;25,154167;21,3;83,083333;,533333;
2023-04-05;null;977,391667;31,5;25,5;22,5;83,791667;,466667;
2023-04-06;null;977,816667;32,1;25,416667;22,9;84,666667;,695833;
2023-04-07;null;978,770833;29,9;23,9;20,9;89,458333;,5125;
2023-04-08;null;979,791667;31;24,525;21,7;88,833333;,425;
2023-04-09;null;980,254167;30,7;25,125;21,3;88,041667;,325;
2023-04-10;null;980,483333;31;25,616667;22,6;85,958333;,533333;
2023-04-11;null;979,845833;32,2;25,670833;22,8;85,916667;,5125;
2023-04-12;null;978,058333;31,6;25,9125;22,6;86,083333;,5125;
2023-04-13;null;977,275;32,7;25,845833;22,3;83,833333;,516667;
2023-04-14;null;977,308333;33,5;26,270833;22,1;83,625;,725;
2023-04-15;null;978,658333;33,3;26,529167;22,8;84,458333;,5;
2023-04-16;null;978,483333;32,5;25,925;23;87;,533333;
2023-04-17;null;976,525;32,5;25,654167;21,9;85,583333;,645833;
2023-04-18;null;976,708333;31,4;25,475;22,7;86,916667;,695833;
2023-04-19;null;978,820833;31,6;25,95;22,9;83,875;1,054167;
2023-04-20;null;980,095833;31,2;25,541667;21,4;83,25;,641667;
2023-04-21;null;977,254167;33,6;26,779167;22,4;82,375;,504167;
2023-04-22;null;977,775;26,7;24,083333;23,1;93,416667;,591667;
2023-04-23;null;979,325;30,8;23,8625;22,4;92,25;,641667;
2023-04-24;0;979,0375;33,2;25,241667;19,8;84,083333;,395833;
2023-04-25;0;979,941667;34,2;27,029167;22,8;79,666667;,6;
2023-04-26;0;979,866667;33,8;26,775;22;81,416667;,3125;
2023-04-27;0;979,866667;32;26,070833;23;82,75;,7;
2023-04-28;0;980,158333;32,4;26,295833;22,3;85,291667;,483333;
2023-04-29;0;980;34,4;27,370833;22,2;80,291667;,504167;
2023-04-30;0;980,229167;32,4;25,9375;22,8;83,916667;,5;
2023-05-01;0;979,916667;32,9;26,2125;22;82,208333;,5625;
2023-05-02;0;979,75;32,2;25,908333;22,4;81,916667;,358333;
2023-05-03;0;979,429167;33,2;26,795833;22,3;80,75;,495833;
2023-05-04;0;979,654167;33,9;26,504167;21,4;77,75;,633333;
2023-05-05;0;980,4;33,4;25,325;21,2;82,166667;,479167;
2023-05-06;0;980,441667;32,4;25,283333;22;87,5;,5875;
2023-05-07;0;979,325;34,1;26,604167;21,7;81,291667;,516667;
2023-05-08;0;980,258333;34;26,916667;22;79,708333;,554167;
2023-05-09;0;980,6875;34,2;27,4375;24;78,25;,425;
2023-05-10;0;979,704167;33,2;26,608333;21,6;79,458333;,429167;
2023-05-11;0;979,129167;33,1;26,454167;21,8;80,25;,345833;
2023-05-12;0;980,220833;32,8;26,466667;21,8;78,541667;,3125;
2023-05-13;0;980,8875;33,5;26,245833;21,2;78,333333;,320833;
2023-05-14;0;981,766667;34,2;26,083333;20,4;78,125;,458333;
2023-05-15;0;982,025;34;26,441667;21,1;76,375;,483333;
2023-05-16;0;980,6375;34,3;26,466667;20,9;78,208333;,4375;
2023-05-17;0;980,245833;33,9;26,866667;22;80,125;,620833;
2023-05-18;0;980,970833;33,9;26,7;21,6;79,833333;,433333;
2023-05-19;0;980,425;35;26,833333;20,7;75,041667;,775;
2023-05-20;0;979,05;35;26,833333;21;75,708333;,6375;
