Nome: COMODORO
Codigo Estacao: A913
Latitude: -13.70805555
Longitude: -59.7625
Altitude: 576.87
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;null;null;28,9;null;null;85,153846;null;
2023-01-02;1,6;947,8125;28,5;22,770833;20,1;87,291667;1,579167;
2023-01-03;14,6;947,641667;27,7;22,970833;20,6;86,458333;2,491667;
2023-01-04;3,8;948,252174;25,5;22,030435;20,7;88,565217;1,730435;
2023-01-05;29,8;948,773913;26,1;21,326087;19,2;90,043478;1,817391;
2023-01-06;null;949,590476;26;null;19,7;89,047619;1,304762;
2023-01-07;0;949,934783;30;23,695652;19,4;81,478261;1,086957;
2023-01-08;0;949,541667;31;23,845833;18,3;76,25;,9125;
2023-01-09;0;948,859091;31,1;23,213636;19,4;81,045455;1,659091;
2023-01-10;58,4;949,736364;27,9;23,290909;19,4;86,545455;2,431818;
2023-01-11;1,6;949,826087;29,3;23,3;18,6;81,956522;1,626087;
2023-01-12;8,4;948,541667;28,1;23,441667;20,4;82,291667;2,516667;
2023-01-13;,2;947,717391;28,8;23,086957;20,1;81,434783;3,226087;
2023-01-14;6,6;949,320833;29,3;23,116667;19,4;80,958333;2,6625;
2023-01-15;null;950,285714;30,3;null;19,8;82,095238;1,819048;
2023-01-16;89;949,5375;27,4;22,175;18,8;87,666667;1,35;
2023-01-17;18,2;949,2375;28,4;22,145833;18,2;86,541667;1,15;
2023-01-18;4,6;950,029167;29,4;22,566667;18,4;86,833333;1,004167;
2023-01-19;15,2;951,320833;28,6;22,441667;17,5;84,583333;1,033333;
2023-01-20;14,4;950,125;30,5;22,720833;19,3;81,416667;1,183333;
2023-01-21;7,8;948,245833;28,9;22,679167;17,5;82,416667;2,425;
2023-01-22;0;947,75;29,7;24,008333;20,1;76,875;2,8;
2023-01-23;,2;948,7625;27,5;22,991667;20,2;82,25;2,4;
2023-01-24;,4;948,9;27,2;22,75;20,4;82,791667;2,475;
2023-01-25;1,6;947,370833;30,8;23,004167;18,3;80,833333;1,804167;
2023-01-26;8,8;947,520833;25,8;22,229167;20,8;86,416667;2,695833;
2023-01-27;4,6;947,554167;27,3;22,166667;19,8;87,5;1,904167;
2023-01-28;2,6;948,320833;26,5;22,6375;21;87,458333;1,5125;
2023-01-29;10,6;949,0375;25,9;21,933333;20,4;88;1,708333;
2023-01-30;,4;948,145833;28,9;22,829167;18,9;80,041667;2,3125;
2023-01-31;0;948,525;26,3;20,966667;17,8;87,625;1,629167;
2023-02-01;10,8;949,129167;28,4;22,7625;19,4;87,416667;1,3625;
2023-02-02;3,4;949,316667;29,9;23,016667;18,5;85,125;1,191667;
2023-02-03;1;950,295833;28,9;21,7;19,2;87,375;1,025;
2023-02-04;5,6;951,643478;27,9;19,986957;16,8;89,869565;,595652;
2023-02-05;null;950,977273;30,1;22,890909;18,8;86,545455;,940909;
2023-02-06;71,2;950,295833;26,6;22,279167;19,8;88,333333;1,379167;
2023-02-07;1;949,591667;30,2;22,504167;19,7;86,583333;,516667;
2023-02-08;22;948,958333;28,5;22,508333;20,4;88,25;1,208333;
2023-02-09;12,8;949,275;27,7;22,375;18,7;88,75;,545833;
2023-02-10;,8;949,017391;28,8;22,626087;18,7;85,869565;,821739;
2023-02-11;,8;948,278261;28,5;22,895652;19,7;87,347826;1,086957;
