Nome: JUINA
Codigo Estacao: A920
Latitude: -11.37499999
Longitude: -58.77472221
Altitude: 365.39
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;,6;969,266667;30,6;24,966667;21,7;84,041667;,858333;
2023-01-02;1,2;968,945833;27,3;23,979167;21,9;88,5;,816667;
2023-01-03;3,6;968,979167;29,8;23,904167;21;85,125;1,395833;
2023-01-04;1,4;969,108333;30,8;25,1;22;81,958333;1,1625;
2023-01-05;7,8;969,595833;30,4;25,05;21,7;81,25;1,104167;
2023-01-06;0;970,404167;28,1;24,708333;22,6;82,833333;1,2;
2023-01-07;6,2;971,133333;29,5;24,125;21,9;88,166667;,766667;
2023-01-08;36,2;970,8875;30;23,916667;21,6;87;1,229167;
2023-01-09;,2;970,2875;29,6;24,041667;21,5;84,25;1,679167;
2023-01-10;,4;971,308333;29,7;24,233333;21;80,958333;1,554167;
2023-01-11;,2;970,9125;31,4;24,925;20,7;80,583333;1,133333;
2023-01-12;2,4;969,616667;29,7;24,375;22,7;88;,625;
2023-01-13;3,6;969,308333;29;24,170833;21,7;86,291667;1,1875;
2023-01-14;5,4;970,454167;30,7;24,233333;20,5;81,291667;,9125;
2023-01-15;0;971,15;31,1;23,9875;21,6;87,625;,816667;
2023-01-16;11,8;969,725;32,2;25,4625;22,2;81,458333;,7875;
2023-01-17;13,6;969,8375;29,1;24,095833;20,6;84,083333;,895833;
2023-01-18;,2;970,570833;29,9;24,3375;21,7;82,708333;,733333;
2023-01-19;,2;971,845833;30,8;24,295833;21,3;83,041667;,741667;
2023-01-20;0;970,9;31,7;24,670833;19,8;78,958333;,695833;
2023-01-21;0;969,5875;29,2;23,766667;21,2;88,041667;,658333;
2023-01-22;10,8;969,15;30,3;23,995833;20;84,166667;1,229167;
2023-01-23;1,2;969,875;31,2;25,458333;21,4;77,25;1,266667;
2023-01-24;6,4;969,9875;31;24,433333;21,6;85,458333;,958333;
2023-01-25;1,2;968,454167;30,1;24,5;21,9;87,833333;,875;
2023-01-26;2,8;968,3625;31;24,475;22;86,125;,729167;
2023-01-27;15,2;968,95;26,2;23,2875;21,7;89,75;,883333;
2023-01-28;1,2;969,566667;29;23,75;21,5;87,25;,629167;
2023-01-29;,2;970,5;24,9;22,416667;21,9;89,916667;1,033333;
2023-01-30;5,4;969,191667;31,3;23,858333;20;82,375;,820833;
2023-01-31;,4;969,554167;27,9;23,845833;22,1;85,708333;1,504167;
2023-02-01;4;969,9;31,4;24,341667;21,1;85,083333;,833333;
2023-02-02;0;969,791667;32,3;25,704167;21,2;79,333333;1,0125;
2023-02-03;17,2;970,9625;29,3;24,129167;20,4;85;,745833;
2023-02-04;0;972,379167;25,5;23,145833;20,9;91,5;,833333;
2023-02-05;2;971,75;31,8;24,55;21,5;84,958333;,845833;
2023-02-06;4,8;970,9;23,6;22,495833;22,1;94,916667;,558333;
2023-02-07;46,6;970,129167;31,2;24,4875;21,5;83,904762;1,033333;
2023-02-08;6,8;969,5;30,3;24,616667;21,6;84,791667;,520833;
2023-02-09;6,4;969,895833;31,1;24,466667;21,5;85,583333;,958333;
2023-02-10;31,2;969,4125;31,9;25,516667;22;81;,625;
2023-02-11;3,4;968,991667;30,5;24,408333;21,6;86,166667;,929167;
2023-02-12;5,2;968,508333;32;25,45;21,4;80,5;,658333;
2023-02-13;0;968,070833;32,5;26,0375;22,1;80,583333;,625;
2023-02-14;0;968,0875;33,4;26,9375;22,1;77;,616667;
2023-02-15;4;968,666667;30,7;25,8;21,1;77,583333;1,104167;
2023-02-16;,2;967,216667;31,4;25,475;21,5;79,833333;1,166667;
2023-02-17;0;967,420833;31,1;24,904167;22,6;85,833333;1,108333;
2023-02-18;66,2;970,466667;24,5;22,316667;20,8;93,5;,55;
2023-02-19;9;969,270833;26,6;22,691667;19,7;89,166667;1,45;
2023-02-20;0;968,7875;25,8;23,016667;21,3;91,958333;1,016667;
2023-02-21;17,6;969,904167;29;23,65;21,5;87,541667;1,35;
2023-02-22;3;971,904167;28,5;23,608333;21,2;86,916667;1,15;
2023-02-23;4,6;972,258333;31,5;25,633333;22,1;80,666667;,833333;
2023-02-24;0;970,695833;30,6;25,270833;21,6;84,791667;,333333;
2023-02-25;11,2;970,779167;27,8;23,4875;21,5;87,208333;,55;
2023-02-26;4;970,5875;31,2;24,258333;20,7;84,583333;,958333;
2023-02-27;22,8;971,408333;31,2;24,8625;21;84,478261;,908333;
2023-02-28;0;972,220833;31,5;24,945833;22,2;84,208333;,983333;
2023-03-01;0;971,358333;32;25,191667;21,8;81,833333;,6375;
2023-03-02;0;969,4125;32,9;25,345833;20,9;81,5;,920833;
2023-03-03;,8;969,225;30,8;25,116667;21,8;85,375;,8625;
2023-03-04;8,8;969,354167;31,7;25,025;21,8;86;1,254167;
2023-03-05;9,6;970,220833;30,8;25,091667;21,7;84,916667;,7625;
2023-03-06;2,2;968,783333;31,4;26,158333;22,9;83,916667;,916667;
2023-03-07;0;968,8375;31,5;25,733333;22,5;81,125;1,595833;
2023-03-08;0;969,4875;29,4;24,091667;23,6;90,125;,8;
2023-03-09;41,8;969,958333;30,2;24,266667;21,1;82,916667;,766667;
2023-03-10;0;970,008333;31,6;24,175;22,2;87,791667;,683333;
2023-03-11;48,8;970,179167;30,1;24,229167;21,8;86,125;,483333;
2023-03-12;6;970,645833;28,7;23,720833;21,2;87,75;,779167;
2023-03-13;32,8;971,729167;23,2;22,1125;21;94,625;1,120833;
2023-03-14;14,4;971,645833;29,8;24,125;20,8;83,375;,629167;
2023-03-15;,4;970,445833;29,9;24,016667;21,7;86,5;,4875;
2023-03-16;2,4;969,458333;28,1;22,954167;21,5;93,125;,820833;
2023-03-17;29,8;968,6;29,9;23,858333;21,3;88,208333;,554167;
2023-03-18;14,8;968,729167;27;23,15;22,2;91,708333;1,541667;
2023-03-19;1,8;969,095833;28,6;23,445833;20,6;85,333333;1,533333;
2023-03-20;,2;968,620833;27,6;23,675;22;87,791667;2,258333;
2023-03-21;16,4;968,1875;28,3;23,454167;21,3;88;2,020833;
2023-03-22;1,6;969,558333;28,5;23,570833;21,7;87,708333;1,891667;
2023-03-23;6;971,008333;29,7;23,595833;20,5;86,875;,995833;
2023-03-24;2,2;970,875;29;23,8125;20,5;85,416667;1,3125;
2023-03-25;,2;970,320833;31,5;25,516667;21,2;81,041667;,720833;
2023-03-26;2,2;970,658333;31,9;25,1;21,7;83,541667;,658333;
2023-03-27;,4;970,9125;31,4;24,741667;20,3;82,583333;,925;
2023-03-28;,8;970,0625;30,4;24,395833;19,8;81,208333;,979167;
2023-03-29;4,2;970,045833;28,4;23,945833;21;85,791667;,808333;
2023-03-30;,2;970,933333;29,5;24,3;21,4;87,875;,6;
2023-03-31;7,8;971,183333;31,2;25,358333;21,5;82,956522;,816667;
2023-04-01;,2;970,679167;30,5;25,2375;22;84,541667;1,0375;
2023-04-02;,4;970,1875;30,7;25,1375;22,1;83,083333;1,075;
2023-04-03;3,4;970,066667;27,9;23,545833;21,3;86,541667;,975;
2023-04-04;2,2;968,8;31,1;24,4;21,1;86,791667;,570833;
2023-04-05;15,2;968,379167;31;24,683333;20,9;83,541667;,979167;
2023-04-06;5,6;969,508333;24,8;22,354167;21,2;91;,858333;
2023-04-07;10,4;969,683333;29,1;23,395833;20,6;88,416667;,470833;
2023-04-08;4,8;970,5625;30,1;24,320833;20,7;88,291667;,883333;
2023-04-09;,2;971,2125;31;25,145833;22;87,375;,845833;
2023-04-10;,2;971,633333;30,8;24,591667;22,1;88,166667;,7875;
2023-04-11;4,2;970,575;30,4;24,795833;22;88,041667;,904167;
2023-04-12;,2;968,908333;31;24,445833;21,2;85,375;,483333;
2023-04-13;,6;967,8875;31,8;25,191667;21,3;88,041667;,575;
2023-04-14;3,8;968,158333;29,7;24,9125;22,8;89,541667;,5875;
2023-04-15;,8;969,954167;30,3;24,758333;22,1;89,333333;,579167;
2023-04-16;0;969,6125;31,9;24,491667;21,1;89,625;,6125;
2023-04-17;8,6;967,545833;31;25,275;21,1;87,75;,870833;
2023-04-18;,2;967,2375;31,9;25,7125;21,7;86,791667;,841667;
2023-04-19;0;969,233333;32,5;26,345833;22,7;84,333333;1,054167;
2023-04-20;9;971,458333;29,3;24,845833;22;87,166667;1,566667;
2023-04-21;0;969,091667;30;24,270833;20,2;85,875;1,4;
2023-04-22;2,4;968,983333;29,3;24,254167;21,9;87,375;,729167;
2023-04-23;16,8;970,633333;28,2;23,204167;20,9;90,5;1,066667;
2023-04-24;,2;970,225;30,6;24,6;20,3;87,125;,841667;
2023-04-25;0;971,216667;31,9;25,033333;20,7;82,875;,7;
2023-04-26;1,2;971,116667;32,2;25,404167;21,2;84,208333;,591667;
2023-04-27;,2;970,854167;32,4;26,129167;22,2;81,458333;,458333;
2023-04-28;0;971,095833;32,1;26,129167;22,4;81,166667;,570833;
2023-04-29;0;970,958333;32,6;26,3625;21,8;80,625;,5375;
2023-04-30;0;970,945833;31,1;25,5625;22,3;81,083333;,741667;
2023-05-01;,8;970,858333;31,9;25,754167;21,7;83,75;,791667;
2023-05-02;18;971,05;29,8;24,166667;21,4;85,708333;,783333;
2023-05-03;0;970,404167;31,4;25,408333;21,2;85,125;,458333;
2023-05-04;0;970,470833;31,4;25,608333;21,7;82,166667;,720833;
2023-05-05;0;971,2875;31,2;25,4875;21;81;,7875;
2023-05-06;0;971,5875;30,5;25,370833;20,8;77,708333;,804167;
2023-05-07;0;970,654167;31,7;25,845833;22,3;80,125;,845833;
2023-05-08;0;971,591667;31,1;25,295833;22,3;83,041667;,629167;
2023-05-09;0;972,525;30,1;24,666667;21,2;85,25;,9375;
2023-05-10;,2;971,595833;30,8;25,2;22,2;81,5;1,225;
2023-05-11;0;971,1;30,2;24,116667;20,1;80,208333;1,025;
2023-05-12;0;971,8625;30,5;24,0625;19,4;80,958333;1,070833;
2023-05-13;0;972,541667;30,5;24,725;20,6;79,5;1,179167;
2023-05-14;0;973,2875;30,9;24,4625;19,9;78,041667;,925;
2023-05-15;0;973,545833;30,7;24,354167;19,1;74,833333;1,183333;
2023-05-16;0;972,258333;30,9;23,933333;17,9;73,416667;,704167;
2023-05-17;0;971,475;31,6;23,991667;17,8;73,833333;,691667;
2023-05-18;0;972,129167;32,4;25,2875;20;76,416667;,658333;
2023-05-19;0;971,366667;31,9;25,491667;20;76,416667;,958333;
2023-05-20;0;970,220833;32,6;24,795833;18,8;75,916667;,804167;
2023-05-21;0;968,983333;32,5;25,1375;18,6;75,791667;,620833;
2023-05-22;0;969,566667;32,7;25,570833;20,3;76,541667;,754167;
2023-05-23;0;970,5375;32,1;25,729167;20,9;76,5;1,020833;
2023-05-24;0;969,854167;32,1;24,979167;19,4;76,416667;,7125;
2023-05-25;0;969,754167;33,5;25,629167;20;75,125;,783333;
2023-05-26;0;970,654167;33,4;25,704167;20;75,75;,845833;
2023-05-27;0;971,4875;33,9;25,9125;19,9;73,833333;,591667;
2023-05-28;0;971,525;33,4;25,154167;20;75,708333;,508333;
2023-05-29;0;971,383333;28,7;23,8875;20,5;82,333333;1,333333;
2023-05-30;0;971,975;29,2;24,2875;19,7;85,125;,754167;
2023-05-31;0;973,370833;29,1;23,970833;20;84,208333;1,4;
2023-06-01;0;973,683333;31,1;24,291667;20,3;84,666667;1,183333;
2023-06-02;0;972,191667;30,8;25,154167;20,3;80,666667;,9375;
2023-06-03;0;971,058333;32,8;25,195833;20,3;76,791667;,816667;
2023-06-04;0;972,441667;32,1;25,45;21,6;79;,725;
