Nome: ALTA FLORESTA
Codigo Estacao: A924
Latitude: -10.07722221
Longitude: -56.17916666
Altitude: 291.85
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;5,8;977,541667;33,9;26,666667;21,8;78;1,1625;
2023-01-02;18,2;977,416667;29,5;24,604167;22,5;88,458333;1,691667;
2023-01-03;9,8;977,641667;29,6;24,566667;21,7;85,583333;1,891667;
2023-01-04;2,6;977,8125;31,2;24,741667;21,9;84,916667;1,533333;
2023-01-05;1,2;978,329167;27,9;23,979167;22,4;89,833333;1,483333;
2023-01-06;4,4;979,3625;25,4;23,0375;22,2;92,333333;1,7125;
2023-01-07;13,2;979,9875;26,8;22,883333;22,1;93,166667;1,3125;
2023-01-08;15;980,05;26,8;23,016667;21,2;89,916667;1,2375;
2023-01-09;6,8;978,908333;30,8;24,141667;22,1;86,291667;1,3;
2023-01-10;2,6;980,079167;28,8;23,35;21,2;89,5;1,2875;
2023-01-11;6,2;979,4625;32,7;25,520833;21,6;79,666667;1,3875;
2023-01-12;,2;977,916667;33,1;24,754167;22,1;85,5;1,129167;
2023-01-13;14;977,870833;30,6;23,8625;21,2;88;1,65;
2023-01-14;8;979,1;30,9;24,358333;21,3;84,833333;1,0625;
2023-01-15;,2;979,383333;31,7;25,4;21,9;79,416667;1,329167;
2023-01-16;0;977,7625;32,7;25,175;20,2;81,291667;1,5875;
2023-01-17;10;977,8125;31,3;24,220833;19,8;81,791667;1,075;
2023-01-18;0;979,008333;32,9;24,65;19,4;79,166667;1,3125;
2023-01-19;,2;979,9875;31,7;24,725;19,3;79,708333;1,091667;
2023-01-20;0;979,104167;32,9;25,491667;21,5;77,083333;1,325;
2023-01-21;0;977,970833;30,2;24,470833;20,7;83,375;1,916667;
2023-01-22;,8;977,604167;33;25,720833;21,4;79,333333;1,475;
2023-01-23;5,2;978,5125;32,7;25,591667;22,4;82,958333;1,245833;
2023-01-24;11,2;978,1625;32,1;25,8625;22,5;81,583333;1,270833;
2023-01-25;0;977,170833;27,4;23,291667;22;92,458333;1,116667;
2023-01-26;70,8;976,5625;30,7;24,5;22,1;88,291667;1,575;
2023-01-27;6,4;977,358333;25,1;23,345833;22,5;92,958333;1,220833;
2023-01-28;30,6;978,295833;29,7;22,95;22,1;91,916667;1,220833;
2023-01-29;30;978,395833;30,6;23,483333;20,7;87,125;1,2875;
2023-01-30;6,6;977,266667;32,2;24,854167;21,6;83;1,066667;
2023-01-31;,4;977,445833;32,3;25,629167;21,3;79,666667;1,904167;
2023-02-01;,6;978,116667;32,6;25,120833;22,4;84,625;1,025;
2023-02-02;0;978,154167;33,4;26,133333;21,2;78,583333;1,445833;
2023-02-03;0;978,833333;32,5;24,904167;22,1;86,833333;1,108333;
2023-02-04;9,8;980,625;31,4;24,591667;22,2;86,666667;1,329167;
2023-02-05;21,8;979,8;32,2;25,029167;22,1;84,333333;1,2875;
2023-02-06;,2;978,683333;31,1;24,625;22,1;84,208333;1,204167;
2023-02-07;,6;978,154167;31,1;25,075;20,9;80,916667;1,825;
2023-02-08;0;977,558333;30,8;25,429167;21,9;82,791667;1,325;
2023-02-09;1,4;978,179167;32,9;24,1125;21,7;89;1,070833;
2023-02-10;24;977,566667;33,6;24,579167;20,2;86,208333;1,079167;
2023-02-11;7,4;977,058333;30,3;24,320833;22,9;89,458333;1,325;
2023-02-12;5,2;976,741667;33,6;24,641667;21,2;86,458333;1,125;
2023-02-13;5,6;976,204167;34,2;27,020833;22,4;78,458333;1,354167;
2023-02-14;0;975,7625;36,4;27,529167;21,4;76,833333;1,008333;
2023-02-15;20,2;976,866667;32,6;25,0375;21,5;84,291667;2,2625;
2023-02-16;5,6;975,491667;33,3;25,425;22,2;83,208333;1,533333;
2023-02-17;,2;975,733333;30,6;25,7;23,1;84,416667;1,375;
2023-02-18;10,6;977,929167;30,3;24,883333;22,1;83,958333;1,566667;
2023-02-19;,4;976,629167;32,1;24,808333;22,6;86,791667;1,25;
2023-02-20;31,6;977,4875;26,8;22,708333;21,9;93,375;1,391667;
2023-02-21;24,8;978,825;28,1;23,508333;21,6;89,75;1,166667;
2023-02-22;7,4;980,408333;30,8;24,695833;21,4;83,125;1,3375;
2023-02-23;0;980,752381;33,2;null;22,2;77,380952;1,509524;
2023-02-24;null;null;33,9;null;null;69,916667;null;
2023-02-25;null;null;30,2;null;null;null;null;
2023-02-26;null;null;33,6;null;null;76,428571;null;
2023-02-27;3;979,379167;32,4;25,770833;21,3;81,625;1,35;
2023-02-28;null;null;33,7;null;23,1;77;null;
2023-03-01;null;null;32,5;null;null;75;null;
2023-03-02;,4;977,641667;34;25,783333;23,2;83,958333;1,145833;
2023-03-03;9,2;977,191667;34,1;26,666667;22,8;77,958333;1,6;
2023-03-04;null;977,463158;33,8;null;22,2;78,421053;1,784211;
2023-03-05;null;null;33,8;null;null;null;null;
2023-03-06;null;null;23,6;null;null;null;null;
2023-03-07;null;null;null;null;null;null;null;
2023-03-08;null;null;24;null;null;null;null;
2023-03-09;null;null;28,1;null;null;null;null;
2023-03-10;null;null;28,9;null;null;null;null;
2023-03-11;null;null;30,8;null;null;null;null;
2023-03-12;null;null;24,7;null;null;92,583333;null;
2023-03-13;null;null;null;null;null;null;null;
2023-03-14;null;null;null;null;null;null;null;
2023-03-15;null;null;31,6;null;null;null;null;
2023-03-16;1,2;977,3875;29,9;23,795833;22,2;90,791667;,9625;
2023-03-17;33,4;977,075;31,7;24,645833;22,1;86,416667;1,475;
2023-03-18;8,6;977,554167;28,3;24,070833;21,4;85,625;2,483333;
2023-03-19;0;977,8;30,3;24,295455;21,3;84,818182;1,568182;
2023-03-20;12,8;977,933333;28,2;24,029167;22,3;86,833333;2,1125;
2023-03-21;3,8;978,333333;29,3;null;21,2;89,190476;1,314286;
2023-03-22;null;null;null;null;null;null;null;
2023-03-23;null;null;30,1;null;null;null;null;
2023-03-24;null;null;32,4;null;null;null;null;
2023-03-25;null;null;32,6;null;null;67,692308;null;
2023-03-26;null;null;33,3;null;null;68,571429;null;
2023-03-27;null;null;27,9;null;null;85,466667;null;
2023-03-28;null;977,82;33,3;null;21,1;81,35;1,584211;
2023-03-29;0;977,968182;31,8;24,636364;22,2;85,454545;1,490909;
2023-03-30;null;978,654545;32,4;25,786364;21,9;82,772727;1,431818;
2023-03-31;0;979,225;32,4;25,05;22,1;85,333333;1,458333;
2023-04-01;4,8;978,656522;31,1;25,108696;21,7;84,391304;1,26087;
2023-04-02;null;978,386364;30,6;24,563636;22,1;86,227273;1,340909;
2023-04-03;0;978,520833;31,6;23,920833;20,2;83,125;1,183333;
2023-04-04;0;976,975;32,3;24,575;19,9;83,083333;1,154167;
2023-04-05;0;976,241667;32,7;25,629167;22;82,083333;1,041667;
2023-04-06;0;977,233333;29;23,55;22,3;91;1,466667;
2023-04-07;,4;977,633333;31,5;24,483333;20,7;85,416667;,954167;
2023-04-08;4,8;978,670833;31,2;24,691667;22,5;87,958333;1,479167;
2023-04-09;24,6;979,054167;32,9;25,795833;22,2;82,375;1,145833;
2023-04-10;0;979,325;32,9;25,520833;22;84,541667;1,475;
2023-04-11;57,8;978,654167;31,6;24,929167;22;87;1,433333;
2023-04-12;,6;977,070833;31,8;25,870833;22,2;84,666667;1,083333;
2023-04-13;20;976,158333;32,8;26,1;21,6;82,25;1,233333;
2023-04-14;,4;976,091667;32,9;26,3875;22,6;83,166667;1,354167;
2023-04-15;0;977,625;33,8;25,979167;22,2;85,5;1,0375;
2023-04-16;1;977,391667;32,9;25,716667;22,7;85,166667;1,3375;
2023-04-17;2,2;975,554167;33,3;26,158333;21,9;82,75;1,308333;
2023-04-18;0;975,541667;31,3;26,191667;23,1;84,375;1,575;
2023-04-19;3,8;977,6125;33;25,883333;22,2;83,541667;1,570833;
2023-04-20;48,8;979,066667;30,6;24,754167;22,1;88,541667;1,141667;
2023-04-21;,4;976,2875;33,3;26,066667;22,2;83,333333;1,566667;
2023-04-22;54,6;976,958333;29,8;23,8625;21,7;90,333333;1,608333;
2023-04-23;11;978,4375;30,2;23,895833;21,7;89,166667;1,3625;
2023-04-24;,6;977,970833;32,1;25,108333;20,6;82,625;1,5;
2023-04-25;0;978,854167;33;26,45;21,9;80,458333;1,154167;
2023-04-26;1,6;978,866667;33,3;26,708333;22;80,583333;1,141667;
2023-04-27;0;978,829167;32,2;25,608333;21,8;85,291667;,9375;
2023-04-28;,4;979,075;33,1;25,716667;21,4;84;,8625;
2023-04-29;,2;978,891667;33,9;26,229167;21,2;81,25;1,025;
2023-04-30;0;979,108333;33,8;26,083333;21,5;81,708333;,991667;
2023-05-01;3,4;978,7625;33,6;25,608333;21,2;83,791667;1,65;
2023-05-02;,6;978,908333;31,9;25,05;21,7;85,291667;1,170833;
2023-05-03;0;978,308333;33,3;25,9625;21,4;83;1,004167;
2023-05-04;,2;978,479167;33;25,7;20,6;80,458333;1,375;
2023-05-05;0;979,166667;31,8;24,979167;19,8;79,833333;1,529167;
2023-05-06;,8;979,291667;33;25,7625;22,5;81,833333;1,725;
2023-05-07;0;978,2375;33,2;26,3125;22;80,791667;1,470833;
2023-05-08;0;979,220833;32,9;26,058333;21,1;80,833333;1,0125;
2023-05-09;0;979,795833;32,1;25,275;22,2;86,833333;,808333;
2023-05-10;3;978,745833;32,3;25,433333;21;81,083333;1,5625;
2023-05-11;0;978,179167;32,5;26,058333;21,3;79,083333;1,145833;
2023-05-12;0;979,25;34,1;25,466667;20,6;81,541667;,691667;
2023-05-13;0;979,791667;33,1;25,554167;21,9;79,375;1,479167;
2023-05-14;,2;980,620833;33,6;25,108333;19,4;79,916667;1,491667;
2023-05-15;0;980,904167;33,8;25,0625;19,8;77,208333;1,7;
2023-05-16;0;979,566667;33,7;24,983333;18,7;77,958333;1,216667;
2023-05-17;,2;979,083333;34,4;25,55;20,2;80;1,125;
2023-05-18;0;979,9125;33,2;25,5125;20,7;82,541667;1,316667;
2023-05-19;0;979,291667;33,9;25,920833;20,4;76,5;1,8375;
2023-05-20;0;977,883333;33,9;24,970833;19;77,125;1,491667;
2023-05-21;,2;976,733333;34,1;25,2875;19,5;79,541667;1,470833;
2023-05-22;0;977,508333;34,6;26,191667;21,4;76,083333;2,108333;
2023-05-23;0;978,270833;33,6;25,175;18,8;77,041667;1,7625;
2023-05-24;0;977,579167;34,5;25,066667;19,2;76,708333;1,833333;
2023-05-25;0;977,520833;34,9;26,45;20,7;74,75;2,125;
2023-05-26;,2;978,566667;34,7;25,875;20;74,75;1,7375;
2023-05-27;0;979,433333;34,8;25,608333;19;76,291667;1,345833;
2023-05-28;0;979,191667;34,8;25,516667;19,3;77,25;1,008333;
2023-05-29;0;978,354167;34,5;25,3875;18,9;76;1,495833;
2023-05-30;0;979,104167;34,9;25,970833;20,1;75,958333;1,229167;
2023-05-31;7,6;980,7125;33,3;25,083333;20,7;82,708333;1,641667;
2023-06-01;18;981,825;28,1;23,170833;21,3;90,833333;1,516667;
2023-06-02;12,8;979,741667;32;24,541667;19,6;81,583333;1,691667;
2023-06-03;,2;978,6875;33,4;25,35;19,8;79,375;1,575;
2023-06-04;0;979,933333;34;25,716667;20,4;76,916667;1,645833;
2023-06-05;0;980,758333;33,2;25,333333;20,4;76,125;2,020833;
2023-06-06;,2;979,8125;34;24,795833;19;77,333333;1,329167;
2023-06-07;0;980,358333;33,9;26,158333;22,4;76,833333;1,166667;
2023-06-08;0;980,775;33,9;25,483333;19,8;77,375;1,5;
2023-06-09;0;980,358333;35,4;25,470833;19,2;75,25;1,2;
2023-06-10;,2;979,795833;34,6;25,445833;18,7;76,458333;1,245833;
2023-06-11;0;979,533333;34,2;25,529167;19,5;77,666667;1,129167;
2023-06-12;0;979,2625;35,1;25,7;19,8;78,666667;1,129167;
2023-06-13;,2;980,508333;31,5;23,695833;20,2;83,541667;1,908333;
2023-06-14;,2;982,745833;27,3;18,9625;15,1;76,5;2,416667;
2023-06-15;0;982,95;29,1;19,025;13,1;75,125;1,695833;
2023-06-16;,2;981,970833;31,3;22,05;16,2;79;1,6125;
2023-06-17;0;982,258333;31,8;23,945833;19;74,541667;2,095833;
2023-06-18;0;981,875;32;24,1125;19;70,375;2,375;
2023-06-19;0;981,333333;33;23,383333;15,5;74,416667;1,770833;
2023-06-20;0;980,875;34,5;25,108333;18,7;71,416667;2,070833;
2023-06-21;0;979,9125;34,6;24,629167;18,8;70,625;2,0125;
2023-06-22;0;979,5875;34,5;23,6875;16,9;71,916667;1,904167;
2023-06-23;0;979,316667;35;24,025;16,8;75,875;1,308333;
2023-06-24;0;979,483333;34,7;24,616667;17,7;73,416667;1,304167;
2023-06-25;0;980,066667;34;24,454167;18,5;71,458333;1,8625;
2023-06-26;,2;979,841667;33,8;24,220833;17,1;70,958333;1,8375;
2023-06-27;0;979,779167;34,2;24,658333;18,4;69,833333;2,208333;
2023-06-28;0;980,758333;34,6;23,741667;15,5;68,708333;1,7875;
2023-06-29;0;981,275;33,8;23,5;15,6;68,958333;2,020833;
2023-06-30;0;981,316667;33,7;23,104167;15,1;68;1,954167;
2023-07-01;0;980,791667;34,8;23,183333;15,4;68,541667;1,8;
2023-07-02;0;979,420833;34,4;22,766667;13,9;67,375;1,275;
2023-07-03;,2;979,695455;34,5;22,654545;13,9;68,045455;1,522727;
2023-07-04;null;null;null;null;null;null;null;
2023-07-05;null;null;34,4;null;null;null;null;
2023-07-06;null;null;35;null;null;null;null;
2023-07-07;null;979,395833;35,3;24,004167;16,2;70,75;1,575;
2023-07-08;0;979,456522;34,3;23,347826;14,4;72,347826;1,268182;
2023-07-09;null;null;33,9;null;null;72,846154;null;
2023-07-10;null;979,288889;35,2;null;null;68,944444;null;
2023-07-11;null;null;36,6;null;null;64;null;
2023-07-12;null;null;null;null;null;null;null;
2023-07-13;null;null;null;null;null;null;null;
2023-07-14;null;null;null;null;null;null;null;
2023-07-15;null;null;34,5;null;null;null;null;
2023-07-16;null;null;null;null;null;null;null;
2023-07-17;null;null;null;null;null;null;null;
2023-07-18;null;null;null;null;null;null;null;
2023-07-19;null;null;null;null;null;null;null;
2023-07-20;null;null;null;null;null;null;null;
2023-07-21;null;null;null;null;null;null;null;
2023-07-22;null;null;null;null;null;null;null;
2023-07-23;null;null;null;null;null;null;null;
2023-07-24;null;null;null;null;null;null;null;
2023-07-25;null;null;null;null;null;null;null;
2023-07-26;null;null;null;null;null;null;null;
2023-07-27;null;null;null;null;null;null;null;
2023-07-28;null;null;null;null;null;null;null;
2023-07-29;null;null;null;null;null;null;null;
2023-07-30;null;null;null;null;null;null;null;
2023-07-31;null;null;null;null;null;null;null;
2023-08-01;null;null;null;null;null;null;null;
2023-08-02;null;null;null;null;null;null;null;
2023-08-03;null;null;null;null;null;null;null;
2023-08-04;null;null;null;null;null;null;null;
2023-08-05;null;null;null;null;null;null;null;
2023-08-06;null;null;null;null;null;null;null;
2023-08-07;null;null;null;null;null;null;null;
2023-08-08;null;null;null;null;null;null;null;
2023-08-09;null;null;null;null;null;null;null;
2023-08-10;null;null;null;null;null;null;null;
2023-08-11;null;null;null;null;null;null;null;
2023-08-12;null;null;null;null;null;null;null;
2023-08-13;null;null;null;null;null;null;null;
2023-08-14;null;null;null;null;null;null;null;
2023-08-15;null;null;null;null;null;null;null;
2023-08-16;null;null;null;null;null;null;null;
2023-08-17;null;null;null;null;null;null;null;
2023-08-18;null;null;null;null;null;null;null;
2023-08-19;null;null;null;null;null;null;null;
2023-08-20;null;null;null;null;null;null;null;
2023-08-21;null;null;null;null;null;null;null;
2023-08-22;null;null;null;null;null;null;null;
2023-08-23;null;null;null;null;null;null;null;
2023-08-24;null;null;null;null;null;null;null;
2023-08-25;null;null;null;null;null;null;null;
2023-08-26;null;null;null;null;null;null;null;
2023-08-27;null;null;null;null;null;null;null;
2023-08-28;null;null;null;null;null;null;null;
2023-08-29;null;null;null;null;null;null;null;
2023-08-30;null;null;null;null;null;null;null;
2023-08-31;null;null;null;null;null;null;null;
2023-09-01;null;null;null;null;null;null;null;
2023-09-02;null;null;null;null;null;null;null;
2023-09-03;null;null;null;null;null;null;null;
2023-09-04;null;null;null;null;null;null;null;
2023-09-05;null;null;null;null;null;null;null;
2023-09-06;null;null;null;null;null;null;null;
2023-09-07;null;null;null;null;null;null;null;
2023-09-08;null;null;null;null;null;null;null;
2023-09-09;null;null;null;null;null;null;null;
2023-09-10;null;null;null;null;null;null;null;
2023-09-11;null;null;null;null;null;null;null;
2023-09-12;null;null;null;null;null;null;null;
2023-09-13;null;null;null;null;null;null;null;
2023-09-14;null;null;null;null;null;null;null;
2023-09-15;null;null;null;null;null;null;null;
2023-09-16;null;null;null;null;null;null;null;
2023-09-17;null;null;null;null;null;null;null;
2023-09-18;null;null;null;null;null;null;null;
2023-09-19;null;null;null;null;null;null;null;
2023-09-20;null;null;null;null;null;null;null;
2023-09-21;null;null;null;null;null;null;null;
2023-09-22;null;null;null;null;null;null;null;
2023-09-23;null;null;null;null;null;null;null;
2023-09-24;null;null;null;null;null;null;null;
2023-09-25;null;null;null;null;null;null;null;
2023-09-26;null;null;null;null;null;null;null;
2023-09-27;null;null;null;null;null;null;null;
2023-09-28;null;null;null;null;null;null;null;
2023-09-29;null;null;null;null;null;null;null;
2023-09-30;null;null;null;null;null;null;null;
2023-10-01;null;null;null;null;null;null;null;
2023-10-02;null;null;null;null;null;null;null;
2023-10-03;null;null;null;null;null;null;null;
2023-10-04;null;null;null;null;null;null;null;
2023-10-05;null;null;null;null;null;null;null;
2023-10-06;null;null;null;null;null;null;null;
2023-10-07;null;null;null;null;null;null;null;
2023-10-08;null;null;null;null;null;null;null;
2023-10-09;null;null;null;null;null;null;null;
2023-10-10;null;null;null;null;null;null;null;
2023-10-11;null;null;null;null;null;null;null;
2023-10-12;null;null;null;null;null;null;null;
2023-10-13;null;null;null;null;null;null;null;
2023-10-14;null;null;null;null;null;null;null;
2023-10-15;null;null;null;null;null;null;null;
2023-10-16;null;null;null;null;null;null;null;
2023-10-17;null;null;null;null;null;null;null;
2023-10-18;null;null;null;null;null;null;null;
2023-10-19;null;null;null;null;null;null;null;
2023-10-20;null;null;null;null;null;null;null;
2023-10-21;null;null;null;null;null;null;null;
2023-10-22;null;null;null;null;null;null;null;
2023-10-23;null;null;null;null;null;null;null;
2023-10-24;null;null;null;null;null;null;null;
2023-10-25;null;null;null;null;null;null;null;
2023-10-26;null;null;null;null;null;null;null;
2023-10-27;null;null;null;null;null;null;null;
2023-10-28;null;null;null;null;null;null;null;
2023-10-29;null;null;null;null;null;null;null;
2023-10-30;null;null;null;null;null;null;null;
2023-10-31;null;null;null;null;null;null;null;
2023-11-01;null;null;null;null;null;null;null;
2023-11-02;null;null;null;null;null;null;null;
2023-11-03;null;null;null;null;null;null;null;
2023-11-04;null;null;null;null;null;null;null;
2023-11-05;null;null;null;null;null;null;null;
2023-11-06;null;null;null;null;null;null;null;
2023-11-07;null;null;null;null;null;null;null;
2023-11-08;null;null;null;null;null;null;null;
2023-11-09;null;null;null;null;null;null;null;
2023-11-10;null;null;null;null;null;null;null;
2023-11-11;null;null;null;null;null;null;null;
2023-11-12;null;null;null;null;null;null;null;
2023-11-13;null;null;null;null;null;null;null;
2023-11-14;null;null;null;null;null;null;null;
2023-11-15;null;null;null;null;null;null;null;
2023-11-16;null;null;null;null;null;null;null;
2023-11-17;null;null;null;null;null;null;null;
2023-11-18;null;null;null;null;null;null;null;
2023-11-19;5,4;977,358333;33,1;26,8375;22,3;81,625;1,641667;
2023-11-20;,2;976,320833;32,4;26,0625;23,7;83,875;1,458333;
2023-11-21;14,6;976,1375;31,8;25,7;22,1;84,791667;1,1875;
2023-11-22;25,2;975,9;29,5;25,633333;22,2;87,416667;1,279167;
2023-11-23;26,8;977,625;29,4;24,7;21,7;92,041667;1,316667;
2023-11-24;26,8;979,5125;30,9;25,245833;22;85,458333;1,566667;
2023-11-25;,2;977,691667;34,9;27,470833;21,5;78,583333;1,2875;
2023-11-26;,2;977,541667;33,8;25,941667;22,6;83,166667;1,8875;
2023-11-27;35,6;979,075;31,8;24,85;21,4;86,916667;1,475;
2023-11-28;null;978,155;34,4;null;null;76,8;1,066667;
2023-11-29;0;976,404167;35,3;27,325;20,7;77,208333;,95;
2023-11-30;11,2;976,595833;34,8;27,583333;22,4;78;1,775;
2023-12-01;0;977,358333;34,3;26,6625;23,7;83,875;1,575;
2023-12-02;,4;977,3375;33;25,583333;22,7;85,666667;1,295833;
2023-12-03;2,6;977,175;29,4;23,408333;21,8;94,541667;1,2375;
2023-12-04;31,8;978,570833;30,3;24,7625;21,5;87,791667;1,291667;
2023-12-05;,4;978,929167;32,3;25,7875;21,4;83,333333;1,7125;
2023-12-06;0;976,808333;34,6;26,695833;20,5;80,708333;1,254167;
2023-12-07;,2;976,470833;36,6;26,145833;22,5;85,166667;1,420833;
2023-12-08;1,2;978,008333;33,4;26,354167;22;83,833333;1,208333;
2023-12-09;0;976,854167;35;27;22,2;85,583333;,883333;
2023-12-10;1,4;975,441667;34,3;27,058333;22,2;83,375;1,241667;
2023-12-11;0;975,741667;32,1;26,0875;23,2;86,166667;1,7125;
2023-12-12;0;977,125;33,2;26,5625;22,9;84,708333;1,425;
2023-12-13;0;975,566667;34,2;27,454167;23,5;82,541667;1,316667;
2023-12-14;0;974,025;35,6;27,5375;22,1;80,583333;1,416667;
2023-12-15;2;975,229167;34,8;27,554167;22,5;80,291667;1,229167;
2023-12-16;0;975,625;36,2;28,379167;21,5;76,458333;1,395455;
2023-12-17;0;975,804167;35,1;27,766667;22;81,625;1,366667;
2023-12-18;,2;975,35;34,1;25,820833;22,5;87,916667;1,258333;
2023-12-19;,2;974,716667;33,7;26,908333;21,6;84,791667;1,295833;
2023-12-20;0;974,81;33,9;null;22,8;84,9;1,722222;
2023-12-21;null;null;null;null;null;86,357143;null;
2023-12-22;1,4;null;null;null;22,9;96,375;null;
2023-12-23;null;978,7875;33;25,8375;null;91,375;1,841667;
2023-12-24;8,8;978,554167;33,8;26,3;23;87,791667;1,241667;
2023-12-25;3,6;978,104167;34,9;27,745833;23,2;82,666667;1,225;
2023-12-26;6,6;979,508333;32,9;26,3125;22,1;86,958333;1,795833;
2023-12-27;,2;978,420833;34,8;28,1625;22,7;82,25;1,3;
2023-12-28;0;977,508333;34,6;27,304167;22,6;82;1,333333;
2023-12-29;65,8;978,379167;30,8;25,479167;22,1;92,75;1,358333;
2023-12-30;41,4;980,229167;30,7;25,454167;21,7;92,125;1,6625;
2023-12-31;0;978,783333;32,9;26,829167;23,2;86,666667;1,108333;

