Nome: CARLINDA
Codigo Estacao: A926
Latitude: -9.97055554
Longitude: -55.82749999
Altitude: 293.71
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;5,8;977,333333;32;25,616667;21,3;73,541667;1,1;
2023-01-02;43,8;977,1;28,2;23,775;21,5;82,916667;1,945833;
2023-01-03;23,6;977,420833;28,5;23,6625;21;80,75;1,754167;
2023-01-04;8,4;977,641667;29,6;23,775;21,1;82,25;1,695833;
2023-01-05;10,2;978,029167;27,6;23,166667;21,7;85,208333;1,5;
2023-01-06;4,4;979,175;26;22,320833;20,6;87,083333;2,1375;
2023-01-07;7,8;979,691667;27,8;22,579167;20,9;86,791667;1,491667;
2023-01-08;10;979,804167;25,3;22,7125;20,8;83,083333;1,3625;
2023-01-09;,2;978,6125;30,1;23,95;21,7;77,708333;1,383333;
2023-01-10;5,2;979,795833;28,9;23,616667;20,8;79,25;1,475;
2023-01-11;0;979,275;31,1;24,525;21,7;74,166667;1,570833;
2023-01-12;0;977,666667;31,2;24,4;21,9;77,083333;1,170833;
2023-01-13;52,2;977,683333;29,7;22,566667;19,7;84,208333;1,4;
2023-01-14;31,8;978,870833;28,4;23,395833;20,1;80,5;,9625;
2023-01-15;,8;979,195833;29,9;24,558333;21,1;72,791667;1,458333;
2023-01-16;0;977,533333;30,9;24,804167;20,6;72,166667;1,591667;
2023-01-17;0;977,604167;29,2;23,891667;19,5;70,916667;1,179167;
2023-01-18;0;978,7625;30,9;24,183333;19,9;72,375;1,216667;
2023-01-19;,2;979,820833;28,8;23,725;20,1;77,333333;1,204167;
2023-01-20;,2;978,983333;30;23,641667;20,7;76,416667;1,391667;
2023-01-21;0;977,654167;30,1;23,695833;20,6;79,375;1,5625;
2023-01-22;0;977,416667;31,5;24,829167;21,4;74,791667;1,320833;
2023-01-23;0;978,25;31,3;24,883333;21,6;76,541667;1,354167;
2023-01-24;4,6;977,9125;30,5;24,95;21,9;77,166667;1,033333;
2023-01-25;4,8;976,879167;26,6;22,954167;22,2;87,708333;1,220833;
2023-01-26;6;976,3;30,2;23,758333;21,4;82,875;1,504167;
2023-01-27;34,4;977,175;23,2;21,820833;20,4;90,333333;1,120833;
2023-01-28;24,2;978,041667;25,5;22,154167;20,5;88,208333;1,3;
2023-01-29;36,8;978,075;29,8;22,425;20;84,416667;1,333333;
2023-01-30;9;977,020833;30,5;23,779167;20,6;78,541667;1,008333;
2023-01-31;4,2;977,225;31,1;24,75;20,7;73,666667;1,716667;
2023-02-01;0;977,975;30;24,116667;21,9;79,125;1,329167;
2023-02-02;36;977,95;31,9;24,841667;20,1;75,791667;1,283333;
2023-02-03;1,2;978,608333;31;24,220833;22,4;80,708333;,8875;
2023-02-04;22,8;980,433333;28,9;23,5875;21,1;81,625;1,695833;
2023-02-05;,6;979,620833;30,3;23,858333;21,2;80,25;1,170833;
2023-02-06;1,4;978,445833;30,7;23,908333;20,4;76,041667;1,654167;
2023-02-07;17,6;978,004167;28,9;23,908333;20,7;78,666667;1,6625;
2023-02-08;0;977,245833;32;25,045833;21,6;75,416667;1,254167;
2023-02-09;14,2;977,933333;29,6;23,208333;21,7;85,208333;1,004167;
2023-02-10;2,4;977,320833;30,9;24,358333;20,4;78,291667;,829167;
2023-02-11;0;976,695833;27,8;24,666667;22,1;79,291667;1,720833;
2023-02-12;0;976,35;30,7;25,041667;21,2;75,291667;1,3375;
2023-02-13;5,8;976,0125;32,7;25,479167;21,9;76,125;1,425;
2023-02-14;6,2;975,5875;34,2;27,616667;22,1;67,041667;,95;
2023-02-15;43,8;976,583333;32,1;24,266667;20,6;79,916667;1,983333;
2023-02-16;4,6;975,254167;31,6;24,916667;21,7;76,666667;1,4875;
2023-02-17;0;975,516667;29;24,970833;22,8;78,791667;1,333333;
2023-02-18;16;977,6125;28,8;23,795833;20,9;80;1,9875;
2023-02-19;0;976,35;29,2;24,295833;22,3;80,125;1,141667;
2023-02-20;11,8;977,245833;24,7;22,320833;21,3;88,25;1,333333;
2023-02-21;24,4;978,595833;25,8;22,733333;20,8;84,25;1,233333;
