Nome: GAUCHA DO NORTE
Codigo Estacao: A930
Latitude: -13.18472221
Longitude: -53.2575
Altitude: 375.87
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;41,4;967,890909;32,6;26,481818;22,2;76,318182;,595455;
2023-01-02;,2;967,552174;28,3;24,569565;23;84,173913;,621739;
2023-01-03;,2;967,470833;31,7;24,8125;20,3;77,75;1,108333;
2023-01-04;,8;967,940909;31,4;25,168182;21,9;79,045455;1,181818;
2023-01-05;null;967,655;30,5;null;21,8;81,2;1,085;
2023-01-06;11,2;968,826087;25,4;22,926087;21,7;89,391304;1,765217;
2023-01-07;16,2;969,681818;28,6;23,231818;21,5;87,681818;1,209091;
2023-01-08;null;969,885;28,8;null;21,4;82,1;1,415;
2023-01-09;12,4;969,304545;28;23,822727;22,4;84,181818;,713636;
2023-01-10;null;970,266667;28;null;21,9;80,571429;1,138095;
2023-01-11;1;970,234783;30,7;24,908696;21,4;74,73913;1,665217;
2023-01-12;0;968,186364;32,4;25,55;22;76,045455;,963636;
2023-01-13;null;968,27619;29,6;null;21,7;84,952381;,461905;
2023-01-14;1,6;969,390476;31,7;null;20,6;76,666667;,819048;
2023-01-15;1,4;969,547826;31,4;25,573913;21,5;76,695652;,852174;
2023-01-16;1;968,1875;33,4;24,470833;22,5;80,583333;1,241667;
2023-01-17;,6;968,382609;31,3;23,773913;19,6;78,608696;1,382609;
2023-01-18;1,4;969,738095;32,7;null;19,9;68,666667;,533333;
2023-01-19;null;970,45;31,7;25,581818;21,7;69,818182;1,022727;
2023-01-20;1,6;969,343478;32,5;25,808696;21,4;73,608696;,695652;
2023-01-21;,2;967,718182;32,6;26,804545;23,4;69,227273;1,454545;
2023-01-22;,2;968,481818;28,2;24,168182;22;81,454545;1,759091;
2023-01-23;,4;968,569565;31,2;25,408696;21,6;77,826087;1,186957;
2023-01-24;,4;968,321739;27,5;24,695652;22,4;79,391304;1,382609;
2023-01-25;,4;966,95;32,1;24,625;21,2;79,458333;,6875;
2023-01-26;,4;966,043478;32;25,247826;22,1;77,782609;1,6;
2023-01-27;,4;967,468182;25,7;22,909091;21,1;86,181818;1,904545;
2023-01-28;null;969,342857;29,2;null;20,8;79,285714;1,352381;
2023-01-29;2,6;968,920833;31,9;24,791667;21,6;77,416667;,945833;
2023-01-30;1;967,591667;33,5;25,579167;21,7;75,083333;1,120833;
2023-01-31;,4;967,613043;32,5;25,852174;21,5;73,217391;1,334783;
2023-02-01;null;967,847619;34,3;null;22,5;67,047619;1,014286;
2023-02-02;null;968,695652;33,3;27,508696;22,3;67,521739;1,513043;
2023-02-03;null;969,231818;33,9;26,704545;24,1;73,590909;1,204545;
2023-02-04;null;971,3;27,6;24,595455;22,6;82,363636;1,059091;
2023-02-05;null;970,395455;33,3;26,081818;22,1;75,318182;,85;
2023-02-06;null;968,87;32,8;null;23;76,3;1,43;
2023-02-07;null;968,633333;34,2;null;21,8;70,428571;1,733333;
2023-02-08;null;968;33,2;25,2;21,9;76,478261;1,204348;
2023-02-09;null;968,377273;35,2;26,218182;21,4;72;1,077273;
2023-02-10;null;967,917391;34,7;27,352174;21,5;67,478261;,895652;
2023-02-11;null;967,240909;35,7;28,659091;22,9;60,681818;1,718182;
