Nome: GUIRATINGA
Codigo Estacao: A932
Latitude: -16.34166666
Longitude: -53.76611111
Altitude: 525.43
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;2,6;953,008333;31,4;26,041667;23;79,666667;,725;
2023-01-02;6;952,070833;31,8;24,708333;23,3;87,333333;,8;
2023-01-03;4,6;951,758333;30,4;25,229167;22,5;82,458333;,766667;
2023-01-04;16,6;951,754167;30;24,266667;21,5;88,333333;1,108333;
2023-01-05;40;951,8875;29,7;23,233333;21,4;89,5;,6375;
2023-01-06;25,4;951,4875;30,1;24,270833;21,9;87,875;,445833;
2023-01-07;56,8;952,8625;30,3;25,041667;21,9;83,125;,608333;
2023-01-08;14,2;953,4875;31,9;25,9375;22,5;76,5;,9875;
2023-01-09;0;953,183333;30,4;24,1;22,2;86,958333;1,033333;
2023-01-10;18,8;954,0125;30,8;23,745833;21,8;88,916667;1,0625;
2023-01-11;8;954,591667;27,4;23,720833;22;89,708333;,916667;
2023-01-12;38,6;953,025;29,5;22,995833;21;90,083333;,666667;
2023-01-13;43,8;952,420833;30,2;23,029167;20,6;91,041667;,4375;
2023-01-14;33,8;953,820833;28,3;23,6125;20,2;82,333333;1,179167;
2023-01-15;,2;954,4125;33,4;24,7375;21,3;77,916667;,5125;
2023-01-16;0;952,9625;33,3;25,958333;21,2;77;,629167;
2023-01-17;0;953,204167;33,3;25,720833;21,9;77,666667;1,541667;
2023-01-18;1,8;954,783333;32,7;25,5125;19,9;75;,854167;
2023-01-19;0;954,879167;33,4;26,6125;22;72,208333;,941667;
2023-01-20;24,4;953,733333;33,3;25,308333;20,8;77,625;1,204167;
2023-01-21;9,4;952,329167;29,6;23,708333;22,1;88,125;,7375;
2023-01-22;7,4;952,033333;32,1;24,033333;21,5;87,166667;,879167;
2023-01-23;2;952,483333;32,8;24,804167;21,8;84,541667;,816667;
2023-01-24;10,8;952,170833;28,4;23,108333;21,5;89,5;1,258333;
2023-01-25;17,2;951,229167;31,5;24,579167;21,3;85,041667;,991667;
2023-01-26;,4;950,045833;32,6;25,8;23,1;82,541667;,970833;
2023-01-27;10;950,775;29,2;24,466667;22,3;84,083333;1,8125;
2023-01-28;0;953,491667;28,8;24,429167;21,6;80,541667;1,745833;
2023-01-29;0;953,670833;32,6;25,35;21,4;75,875;1,329167;
2023-01-30;0;952,429167;31,8;25,4;21,9;78,083333;1,233333;
2023-01-31;0;952,479167;33;24,658333;21,2;81,375;1,408333;
2023-02-01;12;953,35;33,4;25,479167;21,5;78,458333;,8125;
2023-02-02;0;953,15;35;27,1625;22;72,958333;1,3625;
2023-02-03;12;954,245833;32,2;25,075;22;82,75;1,05;
2023-02-04;2,2;955,504167;32,2;24,429167;21,7;83,666667;,7125;
2023-02-05;2,8;955,191667;31,4;25,416667;22,5;80,5;,7625;
2023-02-06;3,2;954,004167;32,6;25,479167;23;80,375;1,220833;
2023-02-07;7,8;953,970833;33,8;26,241667;21,8;75,375;,595833;
2023-02-08;,2;952,725;33,6;26,983333;23,8;72,166667;,983333;
2023-02-09;0;953,116667;32,9;26,5125;22,5;74,375;,766667;
2023-02-10;0;953,233333;32,2;24,575;23,7;85,125;1,008333;
2023-02-11;56,6;952,583333;33,4;25,333333;20,4;79,833333;,941667;
2023-02-12;,2;952,108333;31,4;26,004167;23;77,875;1,229167;
2023-02-13;12;952,283333;34;25,9;21,8;78,333333;1,179167;
2023-02-14;,2;952,045833;35,8;27,9875;22,2;70,416667;1,220833;
2023-02-15;0;951,441667;35,5;25,975;23,5;78,875;1,3375;
2023-02-16;29,6;949,920833;33;24,358333;21,2;84,875;,925;
2023-02-17;12,6;950,770833;30,9;24,133333;22,2;86,583333;1,183333;
2023-02-18;,6;952,904167;30,6;24,491667;20,7;79,333333;1,495833;
2023-02-19;0;952,4375;31,1;25,120833;22,9;82,458333;1,3875;
2023-02-20;16,2;953,083333;28,5;24,0625;21,3;86,041667;1,104167;
2023-02-21;18,2;954,729167;27,1;22,958333;20,4;86,75;,858333;
2023-02-22;,4;956,079167;29;23,729167;21,2;85,541667;1,070833;
2023-02-23;0;956,454167;33;24,816667;21,6;82,333333;1,095833;
2023-02-24;1,6;954,6625;33,9;25,233333;22,5;82,375;1,145833;
2023-02-25;5,4;953,8;32,3;24,820833;21,6;82,083333;,833333;
2023-02-26;0;954,725;34,9;26,270833;22;74,083333;1,2;
2023-02-27;0;955,5125;35,3;28;22,3;67,791667;1,245833;
2023-02-28;0;955,5;32,9;26,133333;23,6;76,75;,679167;
2023-03-01;0;955,116667;33,2;26,166667;21,9;74,708333;,941667;
2023-03-02;2,2;953,6125;34,4;25,9875;21,9;75,166667;1,358333;
2023-03-03;1,2;953,225;33,2;25,275;21,7;79;1,004167;
2023-03-04;0;953,7;34,8;26,970833;22;72,458333;1,454167;
2023-03-05;0;953,2375;34,5;27,233333;24,2;72,291667;1,225;
2023-03-06;0;951,3;35,5;27,666667;23,3;73,916667;1,1125;
2023-03-07;0;951,904167;31,8;26,654167;23,5;79,083333;1,075;
2023-03-08;,2;952,970833;31,9;26,116667;21,8;75,875;1,258333;
