Nome: CAMPINA DA LAGOA
Codigo Estacao: B803
Latitude: -24.57083332
Longitude: -52.80027777
Altitude: 598
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;null;null;33,4;null;null;69,384615;null;
2023-01-02;null;null;26,2;null;null;null;null;
2023-01-03;null;null;29,5;null;null;89,307692;null;
2023-01-04;null;null;26;null;null;null;null;
2023-01-05;null;null;28,3;null;null;61,714286;null;
2023-01-06;null;null;28,3;null;null;60,923077;null;
2023-01-07;null;null;28,7;null;null;64,071429;null;
2023-01-08;null;null;28,9;null;null;61,307692;null;
2023-01-09;null;null;29,5;null;null;75;null;
2023-01-10;null;null;30,2;null;null;null;null;
2023-01-11;null;null;29,6;null;null;79,384615;null;
2023-01-12;null;null;28,1;null;null;91,642857;null;
2023-01-13;null;null;27,2;null;null;91,166667;null;
2023-01-14;null;null;28,4;null;null;null;null;
2023-01-15;null;null;27;null;null;88,928571;null;
2023-01-16;null;null;31,4;null;null;71,615385;null;
2023-01-17;null;null;27,1;null;null;97,307692;null;
2023-01-18;null;null;31,9;null;null;81,857143;null;
2023-01-19;null;null;31,2;null;null;81,307692;null;
2023-01-20;null;null;30,3;null;null;87,153846;null;
2023-01-21;null;null;31,4;null;null;79,153846;null;
2023-01-22;null;null;28,5;null;null;84,357143;null;
2023-01-23;null;null;30;null;null;74,466667;null;
2023-01-24;null;null;32,9;null;null;65,461538;null;
2023-01-25;null;null;33,9;null;null;64,153846;null;
2023-01-26;null;null;33,3;null;null;53,153846;null;
2023-01-27;null;null;33,3;null;null;60,230769;null;
2023-01-28;null;null;34,5;null;null;64,846154;null;
2023-01-29;null;null;31,9;null;null;89,307692;null;
2023-01-30;null;null;29,2;null;null;86,769231;null;
2023-01-31;null;null;23,9;null;null;99,166667;null;
2023-02-01;null;null;27,1;null;null;99;null;
2023-02-02;null;null;26,7;null;null;97,833333;null;
2023-02-03;null;null;26,5;null;null;null;null;
2023-02-04;null;null;29,7;null;null;76,5;null;
2023-02-05;null;null;30,7;null;null;64;null;
2023-02-06;null;null;31,1;null;null;51,75;null;
2023-02-07;null;null;31,8;null;null;47,285714;null;
2023-02-08;null;null;32,8;null;null;58,846154;null;
2023-02-09;null;null;33,9;null;null;56,153846;null;
2023-02-10;null;null;29,8;null;null;80;null;
2023-02-11;null;null;27,4;null;null;86,857143;null;
2023-02-12;null;null;31,4;null;null;68,642857;null;
2023-02-13;null;null;30,3;null;null;85,846154;null;
2023-02-14;null;null;31;null;null;null;null;
2023-02-15;null;null;27,2;null;null;null;null;
2023-02-16;null;null;24,9;null;null;99,153846;null;
2023-02-17;null;null;25,2;null;null;null;null;
2023-02-18;null;null;27,7;null;null;61,384615;null;
2023-02-19;null;null;25,2;null;null;70,666667;null;
2023-02-20;null;null;20,3;null;null;null;null;
2023-02-21;null;null;28,3;null;null;86,583333;null;
2023-02-22;null;null;30,1;null;null;null;null;
2023-02-23;null;null;26,8;null;null;null;null;
2023-02-24;null;null;26,6;null;null;87,666667;null;
2023-02-25;null;null;29,2;null;null;null;null;
2023-02-26;null;null;25,9;null;null;null;null;
2023-02-27;null;null;28;null;null;null;null;
2023-02-28;null;null;30,4;null;null;null;null;
2023-03-01;null;null;30,7;null;null;null;null;
2023-03-02;null;null;25,8;null;null;null;null;
2023-03-03;null;null;31,5;null;null;null;null;
2023-03-04;null;null;31,7;null;null;null;null;
2023-03-05;null;null;30,4;null;null;null;null;
2023-03-06;null;null;31,5;null;null;null;null;
2023-03-07;null;null;33,8;null;null;null;null;
2023-03-08;null;null;34,6;null;null;null;null;
2023-03-09;null;null;28,9;null;null;null;null;
2023-03-10;null;null;32,1;null;null;null;null;
2023-03-11;null;null;30,3;null;null;null;null;
2023-03-12;null;null;28,2;null;null;null;null;
2023-03-13;null;null;29,5;null;null;null;null;
2023-03-14;null;null;27,4;null;null;null;null;
2023-03-15;null;null;29,9;null;null;null;null;
2023-03-16;null;null;26,5;null;null;null;null;
2023-03-17;null;null;31,8;null;null;null;null;
2023-03-18;null;null;33,3;null;null;null;null;
2023-03-19;null;null;30,1;null;null;null;null;
2023-03-20;null;null;31,6;null;null;null;null;
2023-03-21;null;null;32,3;null;null;null;null;
2023-03-22;null;null;34;null;null;null;null;
2023-03-23;null;null;34,3;null;null;null;null;
2023-03-24;null;null;33,3;null;null;null;null;
2023-03-25;null;null;34,1;null;null;null;null;
2023-03-26;null;null;30,2;null;null;null;null;
2023-03-27;null;null;31,9;null;null;null;null;
2023-03-28;null;null;33;null;null;null;null;
2023-03-29;null;null;33;null;null;null;null;
2023-03-30;null;null;28;null;null;null;null;
2023-03-31;null;null;31,4;null;null;null;null;
2023-04-01;null;null;31,6;null;null;null;null;
2023-04-02;null;null;31,7;null;null;null;null;
2023-04-03;null;null;30,6;null;null;null;null;
2023-04-04;null;null;31,9;null;null;null;null;
2023-04-05;null;null;30,8;null;null;null;null;
2023-04-06;null;null;null;null;null;null;null;
2023-04-07;null;null;26,9;null;null;null;null;
2023-04-08;null;null;27,7;null;null;null;null;
2023-04-09;null;null;28,7;null;null;null;null;
2023-04-10;null;null;29,1;null;null;null;null;
2023-04-11;null;null;30,1;null;null;null;null;
2023-04-12;null;null;30,3;null;null;null;null;
2023-04-13;null;null;30,1;null;null;null;null;
2023-04-14;null;null;27,3;null;null;null;null;
2023-04-15;null;null;26,7;null;null;null;null;
2023-04-16;null;null;27,9;null;null;null;null;
2023-04-17;null;null;22,6;null;null;null;null;
2023-04-18;null;null;25;null;null;null;null;
2023-04-19;null;null;23,1;null;null;null;null;
2023-04-20;null;null;21,4;null;null;null;null;
2023-04-21;null;null;23,5;null;null;null;null;
2023-04-22;null;null;26,6;null;null;null;null;
2023-04-23;null;null;27,2;null;null;null;null;
2023-04-24;null;null;27,9;null;null;null;null;
2023-04-25;null;null;26,5;null;null;null;null;
2023-04-26;null;null;23,2;null;null;null;null;
2023-04-27;null;null;24,4;null;null;null;null;
2023-04-28;null;null;25,9;null;null;null;null;
2023-04-29;null;null;26,4;null;null;null;null;
