Nome: PORTO ALEGRE- BELEM NOVO
Codigo Estacao: B807
Latitude: -30.1861111
Longitude: -51.17805554
Altitude: 3.3
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;0;1010,175;36;27,133333;18,7;63,958333;2,479167;
2023-01-02;0;1005,779167;33,7;27,383333;23,4;71,791667;1,754167;
2023-01-03;0;1007,595833;28,4;24,354167;20,9;70,958333;3,758333;
2023-01-04;0;1009,95;31,6;24,379167;19;65,958333;2,208333;
2023-01-05;0;1013,408333;31,3;24,125;16,6;66;2,904167;
2023-01-06;1,6;1017,8875;29,6;24,208333;18,7;63,083333;4,116667;
2023-01-07;0;1020,479167;29,3;23,595833;17,4;65,041667;4,133333;
2023-01-08;0;1018,5875;28,9;23,516667;18,5;68,291667;3,929167;
2023-01-09;0;1014,6125;30,7;24,0375;18,9;68,75;3,541667;
2023-01-10;0;1011,9;31,1;23,816667;18,4;74,75;2,229167;
2023-01-11;1,8;1009,941667;35,4;24,85;16,3;67,333333;1,908333;
2023-01-12;0;1006,354167;35,8;27,295833;18,6;57,458333;2,4625;
2023-01-13;0;1005,383333;32,6;26,191667;23,2;71,916667;1,854167;
2023-01-14;0;1008,35;28,7;24,7875;22,5;74,708333;2,829167;
2023-01-15;0;1013,3625;26;23,729167;22,2;80,916667;2,833333;
2023-01-16;,2;1013,483333;31;25,566667;19,4;74,666667;3,320833;
2023-01-17;0;1014,833333;30,8;25,520833;20;73,5;3,8625;
2023-01-18;0;1017,504167;27,4;24,2875;22;81,958333;3,9375;
2023-01-19;0;1016,191667;29,2;25,2625;22,7;80,791667;4,308333;
